,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,20.25,20.38,19.31,20.25,7.8326,65400,0.0,1.0
2000-01-19,20.13,20.5,20.06,20.5,7.9293,57000,0.0,1.0
2000-01-20,20.56,20.63,20.44,20.5,7.9293,23100,0.0,1.0
2000-01-21,20.31,20.5,20.25,20.31,7.8558,27600,0.0,1.0
2000-01-24,20.38,20.38,19.88,19.88,7.6894,34100,0.0,1.0
2000-01-25,19.88,20.06,19.88,19.88,7.6894,19400,0.0,1.0
2000-01-26,19.88,20.13,19.88,20.06,7.7591,29100,0.0,1.0
2000-01-27,20.19,20.19,19.94,19.94,7.7127,30200,0.0,1.0
2000-01-28,19.94,20.0,19.13,19.13,7.3993,35300,0.0,1.0
2000-01-31,19.25,19.69,19.25,19.56,7.5657,48100,0.0,1.0
2000-02-01,19.56,19.63,19.5,19.63,7.5927,63600,0.0,1.0
2000-02-02,19.63,19.81,19.56,19.69,7.616,70900,0.0,1.0
2000-02-03,19.81,19.88,19.81,19.88,7.6894,67500,0.0,1.0
2000-02-04,19.88,19.88,19.81,19.88,7.6894,73600,0.0,1.0
2000-02-07,18.75,19.88,18.75,19.81,7.6624,115100,0.0,1.0
2000-02-08,19.88,20.06,19.81,20.0,7.7359,49900,0.0,1.0
2000-02-09,19.5,19.56,19.5,19.56,7.7513,37000,0.48,1.0
2000-02-10,19.5,19.5,19.19,19.25,7.6285,39400,0.0,1.0
2000-02-11,19.25,19.63,18.94,19.06,7.5532,56200,0.0,1.0
2000-02-14,19.0,19.0,18.38,18.44,7.3075,57000,0.0,1.0
2000-02-15,18.31,18.75,18.31,18.75,7.4303,41100,0.0,1.0
2000-02-16,18.75,19.13,18.75,19.13,7.5809,47000,0.0,1.0
2000-02-17,19.0,19.0,18.75,18.94,7.5056,73300,0.0,1.0
2000-02-18,18.94,18.94,18.81,18.88,7.4819,12500,0.0,1.0
2000-02-22,19.38,19.38,18.88,18.88,7.4819,32900,0.0,1.0
2000-02-23,18.94,18.94,18.81,18.88,7.4819,9100,0.0,1.0
2000-02-24,18.81,19.06,18.81,19.0,7.5294,11700,0.0,1.0
2000-02-25,18.81,18.94,18.75,18.88,7.4819,20000,0.0,1.0
2000-02-28,18.94,19.25,18.81,19.19,7.6047,29800,0.0,1.0
2000-02-29,19.25,19.25,18.5,18.91,7.4937,148100,0.0,1.0
2000-03-01,18.94,19.0,18.75,18.88,7.4819,58100,0.0,1.0
2000-03-02,18.88,19.13,18.88,19.13,7.5809,15300,0.0,1.0
2000-03-03,19.13,19.25,19.13,19.25,7.6285,11600,0.0,1.0
2000-03-06,19.13,19.19,19.06,19.19,7.6047,7300,0.0,1.0
2000-03-07,19.19,19.19,19.13,19.13,7.5809,7500,0.0,1.0
2000-03-08,19.19,19.44,19.19,19.31,7.6523,46800,0.0,1.0
2000-03-09,19.44,19.75,19.44,19.75,7.8266,38000,0.0,1.0
2000-03-10,19.75,19.75,19.63,19.69,7.8028,16300,0.0,1.0
2000-03-13,19.44,19.56,19.31,19.31,7.6523,145900,0.0,1.0
2000-03-14,19.31,19.31,19.0,19.06,7.5532,56500,0.0,1.0
2000-03-15,19.06,19.06,18.81,19.0,7.5294,49200,0.0,1.0
2000-03-16,18.88,19.69,18.88,19.69,7.8028,47600,0.0,1.0
2000-03-17,19.44,19.5,19.38,19.5,7.7276,14600,0.0,1.0
2000-03-20,19.5,19.5,19.25,19.44,7.7038,84600,0.0,1.0
2000-03-21,19.44,19.94,19.31,19.94,7.9019,18900,0.0,1.0
2000-03-22,20.0,20.25,19.94,20.13,7.9772,72900,0.0,1.0
2000-03-23,20.0,20.13,19.75,19.75,7.8266,127100,0.0,1.0
2000-03-24,19.88,19.88,19.5,19.5,7.7276,150400,0.0,1.0
2000-03-27,19.56,19.69,19.5,19.63,7.7791,37100,0.0,1.0
2000-03-28,19.63,19.63,19.56,19.56,7.7513,38100,0.0,1.0
2000-03-29,19.69,19.69,19.31,19.38,7.68,31100,0.0,1.0
2000-03-30,19.25,19.44,19.25,19.38,7.68,31900,0.0,1.0
2000-03-31,19.38,19.94,19.31,19.75,7.8266,52500,0.0,1.0
2000-04-03,19.81,19.81,19.25,19.31,7.6523,21200,0.0,1.0
2000-04-04,19.31,20.06,19.31,20.0,7.9257,47900,0.0,1.0
2000-04-05,19.94,19.94,19.69,19.94,7.9019,39000,0.0,1.0
2000-04-06,19.88,20.25,19.88,20.19,8.001,83700,0.0,1.0
2000-04-07,20.25,20.38,20.0,20.31,8.0485,53100,0.0,1.0
2000-04-10,20.56,20.56,20.13,20.38,8.0763,62000,0.0,1.0
2000-04-11,20.38,20.88,20.38,20.63,8.1754,29000,0.0,1.0
2000-04-12,20.69,20.88,20.63,20.69,8.1991,48300,0.0,1.0
2000-04-13,20.94,20.94,20.63,20.69,8.1991,10400,0.0,1.0
2000-04-14,20.88,21.19,20.75,21.06,8.3458,43000,0.0,1.0
2000-04-17,21.0,21.0,20.81,20.88,8.2744,7800,0.0,1.0
2000-04-18,20.88,20.88,20.81,20.88,8.2744,52500,0.0,1.0
2000-04-19,20.81,21.06,20.75,21.06,8.3458,13200,0.0,1.0
2000-04-20,21.06,21.06,20.44,20.44,8.1001,50300,0.0,1.0
2000-04-24,20.44,20.5,20.0,20.38,8.0763,36600,0.0,1.0
2000-04-25,20.38,20.81,20.38,20.75,8.2229,17900,0.0,1.0
2000-04-26,20.69,21.5,20.69,21.44,8.4963,52800,0.0,1.0
2000-04-27,21.44,22.0,21.38,21.88,8.6707,31400,0.0,1.0
2000-04-28,21.94,22.13,21.31,22.0,8.7183,72000,0.0,1.0
2000-05-01,22.0,23.25,22.0,23.25,9.2136,65400,0.0,1.0
2000-05-02,23.13,23.13,22.81,22.94,9.0908,132800,0.0,1.0
2000-05-03,22.88,22.88,22.06,22.06,8.742,45100,0.0,1.0
2000-05-04,22.13,22.38,21.94,22.0,8.7183,16600,0.0,1.0
2000-05-05,22.0,22.38,22.0,22.25,8.8173,54600,0.0,1.0
2000-05-08,22.25,22.25,21.38,21.56,8.5439,25100,0.0,1.0
2000-05-09,21.63,21.88,21.56,21.69,8.5954,37600,0.0,1.0
2000-05-10,21.44,21.56,21.38,21.44,8.6866,24000,0.48,1.0
2000-05-11,21.56,21.56,21.38,21.5,8.7109,26600,0.0,1.0
2000-05-12,21.5,21.75,21.5,21.75,8.8122,39300,0.0,1.0
2000-05-15,21.75,21.75,21.25,21.5,8.7109,10000,0.0,1.0
2000-05-16,21.63,21.63,21.5,21.63,8.7635,10600,0.0,1.0
2000-05-17,21.5,21.69,21.38,21.44,8.6866,12800,0.0,1.0
2000-05-18,21.44,21.5,21.13,21.13,8.561,17800,0.0,1.0
2000-05-19,21.13,21.25,21.06,21.13,8.561,38800,0.0,1.0
2000-05-22,21.13,21.38,21.06,21.38,8.6623,21700,0.0,1.0
2000-05-23,21.31,21.44,21.13,21.13,8.561,8800,0.0,1.0
2000-05-24,21.25,21.25,20.63,20.75,8.407,48400,0.0,1.0
2000-05-25,20.81,20.81,20.38,20.56,8.33,28000,0.0,1.0
2000-05-26,20.69,20.88,20.56,20.75,8.407,41400,0.0,1.0
2000-05-30,20.94,21.25,20.81,21.25,8.6096,41800,0.0,1.0
2000-05-31,21.25,21.31,21.06,21.19,8.5853,29500,0.0,1.0
2000-06-01,21.0,21.0,20.81,21.0,8.5083,22400,0.0,1.0
2000-06-02,20.94,21.25,20.94,21.25,8.6096,34900,0.0,1.0
2000-06-05,21.38,21.38,20.94,21.0,8.5083,7100,0.0,1.0
2000-06-06,21.0,21.31,21.0,21.0,8.5083,14500,0.0,1.0
2000-06-07,21.06,21.38,20.94,21.38,8.6623,18100,0.0,1.0
2000-06-08,21.5,21.5,21.25,21.38,8.6623,6600,0.0,1.0
2000-06-09,21.31,21.63,21.25,21.5,8.7109,27200,0.0,1.0
2000-06-12,21.5,21.69,21.5,21.5,8.7109,28900,0.0,1.0
2000-06-13,21.69,21.75,21.44,21.75,8.8122,69200,0.0,1.0
2000-06-14,21.75,22.38,21.69,22.25,9.0147,54600,0.0,1.0
2000-06-15,22.19,22.31,22.13,22.31,9.039,19300,0.0,1.0
2000-06-16,22.38,22.38,22.13,22.25,9.0147,32200,0.0,1.0
2000-06-19,22.38,22.44,22.25,22.44,9.0917,13800,0.0,1.0
2000-06-20,22.38,22.44,22.31,22.31,9.039,32400,0.0,1.0
2000-06-21,22.25,22.31,21.88,22.13,8.9661,62700,0.0,1.0
2000-06-22,22.13,22.25,21.94,22.0,8.9134,15700,0.0,1.0
2000-06-23,22.06,22.06,21.5,21.88,8.8648,36800,0.0,1.0
2000-06-26,21.88,22.0,21.81,22.0,8.9134,54600,0.0,1.0
2000-06-27,22.0,22.0,21.81,21.88,8.8648,119400,0.0,1.0
2000-06-28,21.94,22.19,21.94,22.0,8.9134,74700,0.0,1.0
2000-06-29,22.0,22.5,21.94,22.5,9.116,65100,0.0,1.0
2000-06-30,22.5,23.77,22.19,23.73,9.6144,108900,0.0,1.0
2000-07-03,23.63,23.63,22.5,22.69,9.193,39000,0.0,1.0
2000-07-05,22.81,22.81,22.63,22.63,9.1687,62100,0.0,1.0
2000-07-06,22.56,23.19,22.38,23.13,9.3713,40800,0.0,1.0
2000-07-07,23.19,23.19,23.13,23.13,9.3713,17100,0.0,1.0
2000-07-10,22.75,22.75,22.56,22.69,9.193,46100,0.0,1.0
2000-07-11,22.56,22.81,22.5,22.81,9.2416,53100,0.0,1.0
2000-07-12,22.69,22.69,22.25,22.38,9.0674,38100,0.0,1.0
2000-07-13,22.5,22.5,22.38,22.44,9.0917,10800,0.0,1.0
2000-07-14,22.44,22.94,22.19,22.31,9.039,65000,0.0,1.0
2000-07-17,22.19,22.31,22.13,22.13,8.9661,49000,0.0,1.0
2000-07-18,22.25,22.31,22.0,22.06,8.9378,51500,0.0,1.0
2000-07-19,21.94,22.0,21.75,21.94,8.8891,82700,0.0,1.0
2000-07-20,22.0,22.75,21.75,22.75,9.2173,74900,0.0,1.0
2000-07-21,22.63,23.25,22.63,23.25,9.4199,164800,0.0,1.0
2000-07-24,23.25,23.5,23.25,23.38,9.4726,56800,0.0,1.0
2000-07-25,23.25,23.31,23.0,23.19,9.3956,32300,0.0,1.0
2000-07-26,23.19,23.56,23.19,23.31,9.4442,172600,0.0,1.0
2000-07-27,23.44,23.56,23.31,23.31,9.4442,86000,0.0,1.0
2000-07-28,23.38,23.5,23.25,23.44,9.4969,119600,0.0,1.0
2000-07-31,23.5,24.0,23.44,24.0,9.7238,54000,0.0,1.0
2000-08-01,23.88,23.94,23.13,23.31,9.4442,62000,0.0,1.0
2000-08-02,23.38,23.94,23.38,23.94,9.6995,44400,0.0,1.0
2000-08-03,24.0,24.0,23.5,23.63,9.5739,109300,0.0,1.0
2000-08-04,23.56,23.56,23.38,23.56,9.5455,25400,0.0,1.0
2000-08-07,23.69,23.69,23.5,23.56,9.5455,31000,0.0,1.0
2000-08-08,23.75,23.75,23.56,23.75,9.6225,13600,0.0,1.0
2000-08-09,23.25,23.44,23.19,23.44,9.6914,60100,0.48,1.0
2000-08-10,23.31,23.31,22.94,23.19,9.588,16200,0.0,1.0
2000-08-11,23.19,23.19,22.75,23.0,9.5094,31700,0.0,1.0
2000-08-14,22.94,23.25,22.94,23.25,9.6128,23300,0.0,1.0
2000-08-15,23.13,23.19,23.0,23.13,9.5632,18700,0.0,1.0
2000-08-16,23.13,23.19,23.0,23.13,9.5632,10500,0.0,1.0
2000-08-17,23.13,23.25,23.13,23.25,9.6128,28200,0.0,1.0
2000-08-18,23.25,23.38,23.19,23.31,9.6376,185300,0.0,1.0
2000-08-21,23.25,23.25,23.13,23.19,9.588,9300,0.0,1.0
2000-08-22,23.25,23.31,22.94,23.0,9.5094,27300,0.0,1.0
2000-08-23,22.94,22.94,22.5,22.56,9.3275,15000,0.0,1.0
2000-08-24,22.69,22.94,22.44,22.5,9.3027,11400,0.0,1.0
2000-08-25,22.44,22.81,22.44,22.75,9.4061,7300,0.0,1.0
2000-08-28,22.94,22.94,22.63,22.63,9.3565,16300,0.0,1.0
2000-08-29,22.69,22.69,22.25,22.31,9.2241,38400,0.0,1.0
2000-08-30,22.44,22.63,22.44,22.63,9.3565,8000,0.0,1.0
2000-08-31,22.56,22.69,22.56,22.63,9.3565,7300,0.0,1.0
2000-09-01,22.63,22.63,22.56,22.63,9.3565,2700,0.0,1.0
2000-09-05,22.69,22.69,22.06,22.13,9.1497,17300,0.0,1.0
2000-09-06,22.25,22.25,22.13,22.13,9.1497,11500,0.0,1.0
2000-09-07,22.13,22.25,22.06,22.06,9.1208,39700,0.0,1.0
2000-09-08,22.06,22.38,22.06,22.38,9.2531,27600,0.0,1.0
2000-09-11,22.88,22.88,22.06,22.06,9.1208,30900,0.0,1.0
2000-09-12,22.13,22.88,22.13,22.75,9.4061,12500,0.0,1.0
2000-09-13,22.56,22.88,22.56,22.81,9.4309,46400,0.0,1.0
2000-09-14,22.81,22.94,22.44,22.44,9.2779,45400,0.0,1.0
2000-09-15,22.0,22.31,22.0,22.13,9.1497,34200,0.0,1.0
2000-09-18,22.0,22.13,21.63,21.63,8.943,32400,0.0,1.0
2000-09-19,21.56,22.0,21.56,21.94,9.0712,96200,0.0,1.0
2000-09-20,21.88,22.0,21.56,21.69,8.9678,94000,0.0,1.0
2000-09-21,21.31,21.63,21.31,21.56,8.9141,30700,0.0,1.0
2000-09-22,21.5,21.69,21.5,21.63,8.943,54100,0.0,1.0
2000-09-25,21.63,21.63,21.38,21.38,8.8396,51500,0.0,1.0
2000-09-26,21.38,21.5,21.25,21.25,8.7859,29300,0.0,1.0
2000-09-27,21.25,21.75,21.25,21.63,8.943,46600,0.0,1.0
2000-09-28,21.75,22.69,21.69,22.38,9.2531,66800,0.0,1.0
2000-09-29,22.63,22.94,22.38,22.94,9.4846,70600,0.0,1.0
2000-10-02,22.81,22.81,22.13,22.19,9.1745,246600,0.0,1.0
2000-10-03,22.25,22.31,22.13,22.19,9.1745,51400,0.0,1.0
2000-10-04,22.19,22.38,22.06,22.31,9.2241,82800,0.0,1.0
2000-10-05,22.19,22.31,22.06,22.25,9.1993,91500,0.0,1.0
2000-10-06,22.5,22.56,22.31,22.5,9.3027,33800,0.0,1.0
2000-10-09,22.69,22.69,22.38,22.5,9.3027,39400,0.0,1.0
2000-10-10,22.5,22.5,22.19,22.38,9.2531,55400,0.0,1.0
2000-10-11,22.31,22.94,22.31,22.94,9.4846,62500,0.0,1.0
2000-10-12,22.69,22.69,22.38,22.44,9.2779,61700,0.0,1.0
2000-10-13,22.44,22.81,22.44,22.81,9.4309,25100,0.0,1.0
2000-10-16,22.81,22.81,22.44,22.63,9.3565,28600,0.0,1.0
2000-10-17,22.69,22.75,22.38,22.56,9.3275,64900,0.0,1.0
2000-10-18,22.69,22.69,22.56,22.63,9.3565,3800,0.0,1.0
2000-10-19,22.69,22.75,22.5,22.63,9.3565,21700,0.0,1.0
2000-10-20,22.75,22.75,22.56,22.63,9.3565,51000,0.0,1.0
2000-10-23,22.5,22.69,22.5,22.63,9.3565,21800,0.0,1.0
2000-10-24,22.63,22.63,22.38,22.44,9.2779,49300,0.0,1.0
2000-10-25,22.38,22.56,22.38,22.5,9.3027,38900,0.0,1.0
2000-10-26,22.44,22.63,22.44,22.63,9.3565,20400,0.0,1.0
2000-10-27,22.88,22.88,22.38,22.44,9.2779,45700,0.0,1.0
2000-10-30,22.38,22.63,22.38,22.44,9.2779,44600,0.0,1.0
2000-10-31,22.56,22.75,22.38,22.5,9.3027,47400,0.0,1.0
2000-11-01,22.5,22.5,22.19,22.31,9.2241,16500,0.0,1.0
2000-11-02,22.31,22.38,22.25,22.38,9.2531,25900,0.0,1.0
2000-11-03,22.38,22.38,22.06,22.13,9.1497,25500,0.0,1.0
2000-11-06,22.0,22.19,22.0,22.19,9.1745,24200,0.0,1.0
2000-11-07,22.19,22.19,21.75,21.75,8.9926,68700,0.0,1.0
2000-11-08,21.75,22.0,21.75,21.94,9.0712,37500,0.0,1.0
2000-11-09,21.5,21.75,21.5,21.69,9.1663,13700,0.48,1.0
2000-11-10,21.69,21.69,21.31,21.5,9.086,11700,0.0,1.0
2000-11-13,21.63,21.63,21.31,21.44,9.0606,16100,0.0,1.0
2000-11-14,21.38,21.56,20.75,20.81,8.7944,41200,0.0,1.0
2000-11-15,20.94,21.63,20.94,21.63,9.1409,29900,0.0,1.0
2000-11-16,21.56,21.56,21.44,21.5,9.086,20600,0.0,1.0
2000-11-17,21.63,21.63,21.25,21.44,9.0606,20700,0.0,1.0
2000-11-20,21.44,21.44,21.0,21.31,9.0057,23600,0.0,1.0
2000-11-21,21.25,21.31,21.25,21.31,9.0057,15000,0.0,1.0
2000-11-22,21.13,21.56,21.13,21.56,9.1113,29100,0.0,1.0
2000-11-24,21.56,21.75,21.38,21.63,9.1409,11200,0.0,1.0
2000-11-27,21.5,21.81,21.5,21.69,9.1663,11900,0.0,1.0
2000-11-28,21.5,21.5,21.31,21.38,9.0353,13700,0.0,1.0
2000-11-29,21.5,21.63,21.31,21.63,9.1409,15400,0.0,1.0
2000-11-30,21.56,21.94,21.31,21.75,9.1916,23400,0.0,1.0
2000-12-01,21.63,22.13,21.63,22.06,9.3226,27100,0.0,1.0
2000-12-04,22.13,22.13,22.0,22.0,9.2973,19300,0.0,1.0
2000-12-05,22.0,22.94,22.0,22.94,9.6945,46600,0.0,1.0
