,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,24.06,24.19,24.06,24.06,10.6187,710931,0.0,1.0
2000-01-19,24.13,24.5,24.13,24.31,10.729,575951,0.0,1.0
2000-01-20,23.88,24.19,22.63,23.06,10.1773,508097,0.0,1.0
2000-01-21,23.5,23.81,22.94,23.06,10.1773,781700,0.0,1.0
2000-01-24,22.94,23.19,22.38,22.72,10.0273,560486,0.0,1.0
2000-01-25,22.81,23.25,22.31,22.88,10.0979,483320,0.0,1.0
2000-01-26,23.0,23.63,22.75,23.63,10.4289,484130,0.0,1.0
2000-01-27,23.56,23.81,23.38,23.69,10.4554,608259,0.0,1.0
2000-01-28,23.69,23.69,22.5,22.75,10.0405,733036,0.0,1.0
2000-01-31,23.13,24.31,22.88,24.25,10.7025,674170,0.0,1.0
2000-02-01,24.0,24.38,23.88,24.25,10.7025,461134,0.0,1.0
2000-02-02,23.94,24.13,23.75,23.88,10.5392,576275,0.0,1.0
2000-02-03,23.81,24.25,23.69,23.94,10.5657,454899,0.0,1.0
2000-02-04,23.91,24.0,23.5,23.5,10.3715,453927,0.0,1.0
2000-02-07,23.5,23.56,23.25,23.31,10.2876,341862,0.0,1.0
2000-02-08,23.5,23.81,23.38,23.59,10.4112,371255,0.0,1.0
2000-02-09,23.63,24.06,23.5,23.94,10.5657,967530,0.0,1.0
2000-02-10,23.75,24.06,23.44,23.81,10.5083,1076113,0.0,1.0
2000-02-11,23.69,24.06,23.5,23.63,10.4289,531579,0.0,1.0
2000-02-14,23.63,23.75,23.13,23.25,10.2612,691903,0.0,1.0
2000-02-15,23.25,23.56,22.94,23.44,10.345,522591,0.0,1.0
2000-02-16,23.38,23.63,23.25,23.44,10.345,437085,0.0,1.0
2000-02-17,23.5,23.56,22.5,22.88,10.0979,451498,0.0,1.0
2000-02-18,22.56,22.63,21.75,21.75,9.5992,798138,0.0,1.0
2000-02-22,21.88,22.0,21.69,21.81,9.6256,530121,0.0,1.0
2000-02-23,21.88,21.88,21.25,21.25,9.3785,671903,0.0,1.0
2000-02-24,21.25,21.38,20.38,20.81,9.1843,844696,0.0,1.0
2000-02-25,20.81,21.13,20.25,20.31,8.9636,873198,0.0,1.0
2000-02-28,20.31,21.25,20.25,21.25,9.3785,800081,0.0,1.0
2000-02-29,21.25,21.25,20.0,20.25,8.9371,863320,0.0,1.0
2000-03-01,20.38,20.38,19.63,19.88,8.7738,503563,0.0,1.0
2000-03-02,20.0,20.0,19.19,19.25,8.4958,801134,0.0,1.0
2000-03-03,19.56,19.63,19.13,19.31,8.5223,1228421,0.0,1.0
2000-03-06,19.25,19.5,19.0,19.38,8.5532,1351741,0.0,1.0
2000-03-07,19.56,19.56,19.0,19.13,8.4428,676923,0.0,1.0
2000-03-08,19.13,19.19,18.31,18.44,8.1383,1022267,0.0,1.0
2000-03-09,18.44,19.38,18.31,19.25,8.4958,754980,0.0,1.0
2000-03-10,19.25,19.5,18.94,19.06,8.412,407206,0.0,1.0
2000-03-13,19.25,19.63,18.88,19.38,8.5532,725587,0.0,1.0
2000-03-14,19.31,19.56,19.25,19.38,8.5532,411498,0.0,1.0
2000-03-15,19.38,21.0,19.19,20.56,9.1931,969879,0.27,1.0
2000-03-16,20.75,23.69,20.75,23.44,10.4809,1104534,0.0,1.0
2000-03-17,23.06,24.0,22.5,22.63,10.1187,1181457,0.0,1.0
2000-03-20,22.5,22.63,21.25,21.81,9.752,450283,0.0,1.0
2000-03-21,21.75,22.75,21.69,22.72,10.1589,571012,0.0,1.0
2000-03-22,22.69,23.0,22.06,22.75,10.1724,465911,0.0,1.0
2000-03-23,22.94,23.13,21.5,23.06,10.311,365830,0.0,1.0
2000-03-24,22.88,23.06,22.75,22.75,10.1724,326559,0.0,1.0
2000-03-27,22.94,23.11,21.88,22.0,9.837,407854,0.0,1.0
2000-03-28,21.94,22.69,21.44,22.19,9.922,434089,0.0,1.0
2000-03-29,22.31,22.69,22.0,22.38,10.0069,352146,0.0,1.0
2000-03-30,22.38,22.5,21.69,21.94,9.8102,290931,0.0,1.0
2000-03-31,22.0,23.25,21.52,22.81,10.1992,478300,0.0,1.0
2000-04-03,22.88,25.5,22.81,24.5,10.9548,1091336,0.0,1.0
2000-04-04,24.25,24.63,23.31,24.0,10.7313,605263,0.0,1.0
2000-04-05,23.88,24.13,23.13,23.33,10.4317,601134,0.0,1.0
2000-04-06,23.44,23.75,22.56,22.94,10.2573,478704,0.0,1.0
2000-04-07,23.06,23.06,21.81,21.94,9.8102,499433,0.0,1.0
2000-04-10,22.44,22.5,21.88,22.06,9.8638,326316,0.0,1.0
2000-04-11,22.0,22.44,21.81,21.94,9.8102,348664,0.0,1.0
2000-04-12,22.13,22.94,21.81,22.11,9.8862,669555,0.0,1.0
2000-04-13,21.94,22.13,21.56,21.84,9.7655,341457,0.0,1.0
2000-04-14,21.52,21.63,20.25,20.64,9.2289,457409,0.0,1.0
2000-04-17,20.63,20.94,19.94,20.58,9.2021,765344,0.0,1.0
2000-04-18,20.63,21.31,20.13,21.25,9.5016,575547,0.0,1.0
2000-04-19,21.38,21.44,20.75,20.94,9.363,367611,0.0,1.0
2000-04-20,21.0,21.38,20.69,21.13,9.448,376518,0.0,1.0
2000-04-24,20.94,22.13,20.81,21.69,9.6984,735547,0.0,1.0
2000-04-25,21.69,22.19,21.69,22.0,9.837,1198300,0.0,1.0
2000-04-26,22.0,22.0,21.63,21.69,9.6984,433522,0.0,1.0
2000-04-27,21.63,21.63,20.38,20.88,9.3362,419757,0.0,1.0
2000-04-28,21.03,21.06,20.13,20.44,9.1395,487530,0.0,1.0
2000-05-01,20.38,21.0,20.25,20.63,9.2244,515223,0.0,1.0
2000-05-02,20.75,20.75,20.19,20.38,9.1126,225263,0.0,1.0
2000-05-03,20.06,20.63,20.0,20.38,9.1126,519028,0.0,1.0
2000-05-04,20.44,20.44,19.81,20.13,9.0009,342267,0.0,1.0
2000-05-05,20.19,20.19,19.19,19.19,8.5805,615628,0.0,1.0
2000-05-08,19.25,20.75,19.13,20.38,9.1126,456680,0.0,1.0
2000-05-09,20.44,20.88,20.13,20.38,9.1126,292470,0.0,1.0
2000-05-10,20.31,20.5,19.81,19.88,8.8891,197895,0.0,1.0
2000-05-11,20.0,20.63,19.88,20.25,9.0545,304291,0.0,1.0
2000-05-12,20.44,20.81,20.25,20.63,9.2244,354737,0.0,1.0
2000-05-15,20.56,21.0,20.5,20.81,9.3049,366559,0.0,1.0
2000-05-16,20.88,21.13,20.63,20.69,9.2513,439028,0.0,1.0
2000-05-17,20.69,20.81,20.38,20.81,9.3049,480243,0.0,1.0
2000-05-18,20.81,21.5,20.69,21.5,9.6134,337652,0.0,1.0
2000-05-19,21.0,21.25,20.94,21.13,9.448,490364,0.0,1.0
2000-05-22,21.0,22.0,21.0,22.0,9.837,625020,0.0,1.0
2000-05-23,22.0,22.38,21.75,22.06,9.8638,687773,0.0,1.0
2000-05-24,22.0,22.5,22.0,22.0,9.837,1268988,0.0,1.0
2000-05-25,22.06,22.31,21.88,22.06,9.8638,922996,0.0,1.0
2000-05-26,22.19,22.25,22.0,22.13,9.8951,642024,0.0,1.0
2000-05-30,22.13,22.75,22.06,22.75,10.1724,761053,0.0,1.0
