,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,17.31,18.5,17.25,18.13,6.0937,143778,0.0,1.0
2000-01-19,18.25,18.75,17.5,17.56,5.9021,181778,0.0,1.0
2000-01-20,17.75,17.88,17.0,17.38,5.8416,254044,0.0,1.0
2000-01-21,17.38,17.5,16.81,17.19,5.7777,403600,0.0,1.0
2000-01-24,17.0,17.63,17.0,17.5,5.8819,137200,0.0,1.0
2000-01-25,17.63,18.0,17.31,18.0,6.05,278178,0.0,1.0
2000-01-26,17.94,19.69,17.63,18.25,6.134,394000,0.0,1.0
2000-01-27,18.5,20.44,18.5,19.56,6.5743,690578,0.0,1.0
2000-01-28,19.38,19.44,18.75,18.75,6.3021,126578,0.0,1.0
2000-01-31,18.63,19.06,18.5,19.0,6.3861,186667,0.0,1.0
2000-02-01,19.0,19.0,18.31,18.63,6.2617,89244,0.0,1.0
2000-02-02,18.56,18.94,18.38,18.75,6.3021,84578,0.0,1.0
2000-02-03,18.94,19.19,18.94,19.19,6.4499,90000,0.0,1.0
2000-02-04,19.19,19.94,19.19,19.88,6.6819,166178,0.0,1.0
2000-02-07,19.81,19.94,19.25,19.69,6.618,110800,0.0,1.0
2000-02-08,19.69,19.75,19.19,19.25,6.4701,106978,0.0,1.0
2000-02-09,19.19,19.38,18.63,18.75,6.3021,102667,0.0,1.0
2000-02-10,18.88,19.44,18.25,18.88,6.3458,92667,0.0,1.0
2000-02-11,18.69,19.31,18.19,18.44,6.1979,126800,0.0,1.0
2000-02-14,18.56,19.0,18.06,18.38,6.1777,76844,0.0,1.0
2000-02-15,18.5,19.06,18.06,18.88,6.3458,84844,0.0,1.0
2000-02-16,18.81,18.81,18.38,18.69,6.2819,50578,0.0,1.0
2000-02-17,18.56,19.5,18.44,18.5,6.218,116000,0.0,1.0
2000-02-18,18.56,18.56,18.0,18.0,6.05,134578,0.0,1.0
2000-02-22,18.19,18.19,17.69,18.06,6.0701,125644,0.0,1.0
2000-02-23,18.13,18.81,18.0,18.38,6.1777,182400,0.0,1.0
2000-02-24,18.5,18.69,18.06,18.5,6.218,151600,0.0,1.0
2000-02-25,18.38,18.63,18.0,18.0,6.05,58444,0.0,1.0
2000-02-28,18.19,18.94,18.06,18.94,6.3659,109244,0.0,1.0
2000-02-29,19.0,19.88,18.81,19.75,6.6382,202578,0.0,1.0
2000-03-01,19.88,20.69,19.81,20.06,6.7424,303067,0.0,1.0
2000-03-02,20.19,20.31,19.5,20.19,6.7861,59644,0.0,1.0
2000-03-03,20.0,20.56,19.56,20.56,6.9104,137067,0.0,1.0
2000-03-06,20.31,20.75,19.69,20.75,6.9743,78578,0.0,1.0
2000-03-07,20.5,20.5,19.31,19.31,6.4903,62400,0.0,1.0
2000-03-08,19.31,19.56,18.81,18.94,6.3659,114844,0.0,1.0
2000-03-09,18.69,19.25,18.5,19.19,6.4499,130400,0.0,1.0
2000-03-10,19.38,19.63,19.0,19.0,6.3861,194667,0.0,1.0
2000-03-13,19.06,19.06,18.69,18.88,6.3458,92000,0.0,1.0
2000-03-14,18.69,19.13,18.5,18.81,6.3222,60400,0.0,1.0
2000-03-15,18.69,18.81,18.56,18.81,6.3222,54267,0.0,1.0
2000-03-16,19.13,20.19,19.13,20.06,6.7424,194844,0.0,1.0
2000-03-17,19.13,20.19,19.13,19.88,6.7071,109067,0.075,1.0
2000-03-20,19.88,20.63,19.44,20.19,6.8117,227378,0.0,1.0
2000-03-21,19.81,20.0,19.5,20.0,6.7476,94667,0.0,1.0
2000-03-22,19.94,20.0,19.75,20.0,6.7476,90267,0.0,1.0
2000-03-23,20.0,20.38,19.63,19.94,6.7273,184978,0.0,1.0
2000-03-24,20.0,21.81,19.94,21.75,7.338,390178,0.0,1.0
2000-03-27,21.5,21.75,20.13,20.63,6.9601,218444,0.0,1.0
2000-03-28,20.75,20.75,19.19,20.13,6.7914,347644,0.0,1.0
2000-03-29,20.38,20.63,19.38,20.19,6.8117,228178,0.0,1.0
2000-03-30,20.19,20.19,19.69,19.94,6.7273,208978,0.0,1.0
2000-03-31,20.06,20.81,20.0,20.75,7.0006,310667,0.0,1.0
2000-04-03,20.63,21.25,20.13,20.44,6.896,139778,0.0,1.0
2000-04-04,19.44,20.06,18.06,19.19,6.4743,316978,0.0,1.0
2000-04-05,19.0,19.56,18.75,19.56,6.5991,64000,0.0,1.0
2000-04-06,19.13,20.0,19.13,19.88,6.7071,71200,0.0,1.0
2000-04-07,19.69,19.69,18.88,19.19,6.4743,92578,0.0,1.0
2000-04-10,19.19,19.94,19.19,19.38,6.5384,121467,0.0,1.0
2000-04-11,19.63,19.63,18.56,19.0,6.4102,93378,0.0,1.0
2000-04-12,19.25,19.69,18.69,18.94,6.3899,148844,0.0,1.0
2000-04-13,18.94,19.0,18.5,18.56,6.2617,56000,0.0,1.0
2000-04-14,18.38,18.38,16.0,16.94,5.7152,413200,0.0,1.0
2000-04-17,16.94,17.38,16.75,17.13,5.7793,156267,0.0,1.0
2000-04-18,16.94,18.69,16.88,17.88,6.0323,180400,0.0,1.0
2000-04-19,18.25,18.38,17.75,17.94,6.0526,132667,0.0,1.0
2000-04-20,17.69,18.25,17.69,17.81,6.0087,116978,0.0,1.0
2000-04-24,17.88,18.19,17.38,18.0,6.0728,99378,0.0,1.0
2000-04-25,18.13,19.31,18.13,19.13,6.454,198178,0.0,1.0
2000-04-26,19.19,19.81,19.13,19.5,6.5789,232978,0.0,1.0
2000-04-27,19.13,19.81,18.88,19.56,6.5991,262000,0.0,1.0
2000-04-28,19.88,20.13,19.56,20.13,6.7914,200400,0.0,1.0
2000-05-01,20.13,20.38,19.5,20.0,6.7476,150044,0.0,1.0
2000-05-02,19.75,19.75,19.13,19.38,6.5384,124578,0.0,1.0
2000-05-03,19.0,19.56,18.5,18.75,6.3258,106044,0.0,1.0
2000-05-04,18.5,19.19,18.44,19.0,6.4102,91378,0.0,1.0
2000-05-05,18.81,19.56,18.63,19.25,6.4945,70178,0.0,1.0
2000-05-08,19.13,19.56,18.81,19.25,6.4945,134978,0.0,1.0
2000-05-09,19.25,20.25,19.0,20.25,6.8319,240844,0.0,1.0
2000-05-10,20.25,20.44,18.88,18.94,6.3899,155244,0.0,1.0
2000-05-11,19.13,19.88,19.13,19.75,6.6632,76000,0.0,1.0
2000-05-12,19.81,20.69,19.81,19.94,6.7273,144000,0.0,1.0
2000-05-15,19.94,20.56,19.94,20.56,6.9365,82844,0.0,1.0
2000-05-16,20.56,20.81,20.38,20.81,7.0208,83378,0.0,1.0
2000-05-17,20.75,20.75,20.25,20.5,6.9162,93244,0.0,1.0
2000-05-18,20.5,20.75,20.13,20.25,6.8319,104578,0.0,1.0
2000-05-19,20.63,20.63,19.75,19.94,6.7273,151778,0.0,1.0
2000-05-22,20.06,20.06,19.13,19.81,6.6835,73600,0.0,1.0
2000-05-23,19.69,19.94,19.31,19.5,6.5789,86000,0.0,1.0
2000-05-24,19.63,19.81,19.06,19.81,6.6835,103244,0.0,1.0
2000-05-25,19.94,19.94,19.19,19.19,6.4743,159867,0.0,1.0
2000-05-26,18.94,19.25,18.94,19.19,6.4743,72844,0.0,1.0
2000-05-30,19.25,19.88,19.25,19.63,6.6227,56400,0.0,1.0
2000-05-31,19.81,20.13,19.69,19.88,6.7071,96267,0.0,1.0
2000-06-01,19.81,20.44,19.69,20.25,6.8319,93244,0.0,1.0
2000-06-02,20.25,21.31,20.25,21.25,7.1693,129067,0.0,1.0
2000-06-05,21.38,21.38,20.81,21.19,7.149,104044,0.0,1.0
2000-06-06,21.25,21.25,20.69,20.81,7.0208,40044,0.0,1.0
2000-06-07,20.94,21.56,20.88,21.38,7.2131,98578,0.0,1.0
2000-06-08,21.56,21.56,20.69,20.69,6.9803,40000,0.0,1.0
2000-06-09,20.81,21.13,20.63,21.0,7.0849,61067,0.0,1.0
2000-06-12,21.06,21.13,20.69,20.69,6.9803,33244,0.0,1.0
2000-06-13,20.81,21.13,20.44,21.0,7.0849,80444,0.0,1.0
2000-06-14,20.63,21.5,20.63,21.31,7.1895,98400,0.0,1.0
2000-06-15,21.44,21.69,20.88,21.69,7.3177,114044,0.0,1.0
2000-06-16,21.75,22.0,21.44,21.75,7.3633,192578,0.075,1.0
2000-06-19,21.88,22.94,21.69,22.94,7.7661,130444,0.0,1.0
2000-06-20,22.94,22.94,22.13,22.81,7.7221,147867,0.0,1.0
2000-06-21,22.44,22.44,21.75,22.13,7.4919,107644,0.0,1.0
2000-06-22,22.06,22.75,22.0,22.69,7.6815,174800,0.0,1.0
2000-06-23,22.38,22.88,22.38,22.75,7.7018,137067,0.0,1.0
2000-06-26,22.75,23.19,22.5,23.06,7.8068,162667,0.0,1.0
2000-06-27,22.81,23.31,22.69,23.13,7.8305,85067,0.0,1.0
2000-06-28,22.75,23.94,22.63,23.5,7.9557,240000,0.0,1.0
2000-06-29,23.75,23.75,23.06,23.25,7.8711,80267,0.0,1.0
2000-06-30,23.0,23.75,22.44,22.48,7.6104,406578,0.0,1.0
2000-07-03,22.38,22.75,22.25,22.75,7.7018,37867,0.0,1.0
2000-07-05,22.75,22.75,22.19,22.38,7.5766,146978,0.0,1.0
2000-07-06,22.25,22.75,22.13,22.75,7.7018,99244,0.0,1.0
2000-07-07,22.75,23.13,22.5,23.0,7.7864,60000,0.0,1.0
2000-07-10,23.0,23.56,22.75,23.56,7.976,101378,0.0,1.0
2000-07-11,23.56,25.38,23.38,24.19,8.1893,300578,0.0,1.0
2000-07-12,27.5,27.69,26.38,27.44,9.2896,783778,0.0,1.0
2000-07-13,27.19,27.19,24.88,25.56,8.6531,247200,0.0,1.0
2000-07-14,25.63,25.88,25.25,25.25,8.5482,125244,0.0,1.0
2000-07-17,25.44,25.5,24.56,24.63,8.3383,82044,0.0,1.0
2000-07-18,24.63,25.0,24.06,24.63,8.3383,113378,0.0,1.0
2000-07-19,24.5,24.5,24.13,24.13,8.169,60578,0.0,1.0
2000-07-20,24.13,25.13,24.13,24.63,8.3383,97244,0.0,1.0
2000-07-21,24.5,24.75,24.06,24.56,8.3146,74267,0.0,1.0
2000-07-24,24.5,25.0,24.13,24.81,8.3992,123200,0.0,1.0
2000-07-25,24.56,25.63,24.31,25.56,8.6531,63778,0.0,1.0
2000-07-26,25.44,25.44,24.75,24.94,8.4432,64267,0.0,1.0
2000-07-27,24.94,24.94,23.56,23.81,8.0607,127200,0.0,1.0
2000-07-28,23.75,24.0,22.63,23.31,7.8914,246667,0.0,1.0
2000-07-31,23.69,25.0,23.44,25.0,8.4635,120578,0.0,1.0
2000-08-01,24.81,24.88,23.56,24.31,8.2299,82267,0.0,1.0
2000-08-02,24.31,25.5,24.31,25.38,8.5922,133200,0.0,1.0
2000-08-03,25.25,25.63,24.94,25.56,8.6531,107644,0.0,1.0
2000-08-04,25.63,26.63,25.63,26.38,8.9307,100844,0.0,1.0
2000-08-07,26.56,27.19,25.88,27.13,9.1846,207467,0.0,1.0
2000-08-08,27.25,27.44,26.38,26.38,8.9307,117378,0.0,1.0
2000-08-09,26.44,26.5,25.75,26.44,8.951,126000,0.0,1.0
2000-08-10,26.5,26.63,25.5,25.63,8.6768,69200,0.0,1.0
2000-08-11,25.75,26.81,25.56,26.81,9.0763,76978,0.0,1.0
2000-08-14,26.56,26.75,26.13,26.75,9.056,123778,0.0,1.0
2000-08-15,26.5,26.69,26.06,26.13,8.8461,69644,0.0,1.0
2000-08-16,26.0,26.13,25.63,25.63,8.6768,54978,0.0,1.0
2000-08-17,25.81,25.81,24.81,25.0,8.4635,73067,0.0,1.0
2000-08-18,24.25,25.0,24.06,25.0,8.4635,114978,0.0,1.0
2000-08-21,25.0,25.38,24.38,24.75,8.3789,138800,0.0,1.0
2000-08-22,24.5,26.5,24.38,26.5,8.9713,130667,0.0,1.0
2000-08-23,26.5,26.56,25.75,26.44,8.951,184044,0.0,1.0
2000-08-24,26.69,26.69,25.88,26.5,8.9713,144978,0.0,1.0
2000-08-25,26.5,26.63,26.06,26.06,8.8224,59067,0.0,1.0
2000-08-28,26.25,27.13,26.25,27.13,9.1846,148000,0.0,1.0
2000-08-29,27.13,31.88,27.13,28.88,9.7771,981644,0.0,1.0
2000-08-30,29.63,31.81,29.56,29.88,10.1156,734844,0.0,1.0
2000-08-31,29.88,30.38,28.5,28.5,9.6484,242044,0.0,1.0
2000-09-01,28.63,29.44,28.56,29.13,9.8617,76400,0.0,1.0
2000-09-05,28.88,30.56,28.88,29.25,9.9023,168000,0.0,1.0
2000-09-06,29.25,30.13,29.25,30.13,10.2002,196178,0.0,1.0
2000-09-07,30.0,30.63,29.63,29.94,10.1359,101378,0.0,1.0
2000-09-08,29.94,30.75,29.13,30.75,10.4101,187867,0.0,1.0
2000-09-11,30.75,31.5,30.31,31.25,10.5794,256400,0.0,1.0
2000-09-12,31.5,31.5,30.06,30.5,10.3255,130044,0.0,1.0
2000-09-13,30.75,31.31,30.25,30.44,10.3052,104800,0.0,1.0
2000-09-14,30.69,31.19,30.56,31.13,10.5388,107467,0.0,1.0
2000-09-15,30.75,31.13,29.88,30.44,10.3306,194978,0.075,1.0
