,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,16.13,16.13,15.88,16.0,13.4076,137200,0.0,1.0
2000-01-19,15.75,16.25,15.75,16.25,13.6171,165200,0.0,1.0
2000-01-20,16.38,16.44,15.75,15.75,13.1981,301600,0.0,1.0
2000-01-21,15.88,15.88,15.5,15.5,12.9886,285000,0.0,1.0
2000-01-24,15.63,15.75,14.94,15.06,12.6199,268600,0.0,1.0
2000-01-25,14.94,15.13,14.56,14.75,12.3601,80200,0.0,1.0
2000-01-26,14.81,15.5,14.75,15.13,12.6785,211200,0.0,1.0
2000-01-27,15.25,15.69,15.13,15.5,12.9886,170200,0.0,1.0
2000-01-28,15.88,16.13,15.38,15.38,12.888,283000,0.0,1.0
2000-01-31,15.25,15.5,14.75,14.88,12.469,131800,0.0,1.0
2000-02-01,14.81,15.19,14.25,14.63,12.2596,237500,0.0,1.0
2000-02-02,15.13,15.13,14.44,14.56,12.2009,389800,0.0,1.0
2000-02-03,14.63,14.75,14.31,14.38,12.0501,377500,0.0,1.0
2000-02-04,14.13,14.75,14.13,14.13,11.8406,298300,0.0,1.0
2000-02-07,14.88,16.44,14.75,16.25,13.6171,723000,0.0,1.0
2000-02-08,16.75,17.44,16.38,16.44,13.7763,612000,0.0,1.0
2000-02-09,16.44,16.44,15.38,16.0,13.4076,255300,0.0,1.0
2000-02-10,16.0,16.0,15.0,15.06,12.6199,263400,0.0,1.0
2000-02-11,15.06,15.38,14.44,15.13,12.6785,398800,0.0,1.0
2000-02-14,15.5,15.75,15.44,15.5,12.9886,240100,0.0,1.0
2000-02-15,15.63,15.69,15.5,15.56,13.0389,285500,0.0,1.0
2000-02-16,15.56,15.63,15.44,15.56,13.0389,178300,0.0,1.0
2000-02-17,15.5,15.5,15.0,15.19,12.7288,206000,0.0,1.0
2000-02-18,15.06,15.38,15.0,15.0,12.5696,133600,0.0,1.0
2000-02-22,15.0,15.06,14.5,14.94,12.5193,118800,0.0,1.0
2000-02-23,14.94,14.94,14.5,14.88,12.469,101000,0.0,1.0
2000-02-24,14.81,15.0,14.63,14.69,12.3098,74000,0.0,1.0
2000-02-25,15.0,15.06,14.81,14.88,12.469,149400,0.0,1.0
2000-02-28,14.75,15.69,14.75,15.69,13.1478,173200,0.0,1.0
2000-02-29,15.63,16.75,15.63,16.75,14.0361,336500,0.0,1.0
2000-03-01,16.56,17.06,16.44,17.0,14.2455,249600,0.0,1.0
2000-03-02,17.5,17.5,17.0,17.25,14.455,308200,0.0,1.0
2000-03-03,16.88,16.94,16.31,16.44,13.7763,211500,0.0,1.0
2000-03-06,16.38,16.44,15.81,15.94,13.3573,156700,0.0,1.0
2000-03-07,16.13,16.63,15.81,15.88,13.307,297500,0.0,1.0
2000-03-08,15.69,15.75,15.5,15.56,13.0389,114800,0.0,1.0
2000-03-09,15.56,15.81,15.25,15.81,13.2484,223500,0.0,1.0
2000-03-10,15.63,15.94,15.56,15.63,13.0975,118500,0.0,1.0
2000-03-13,15.56,15.88,15.44,15.56,13.0389,120100,0.0,1.0
2000-03-14,15.5,16.25,15.5,15.94,13.3573,103700,0.0,1.0
2000-03-15,15.69,16.63,15.69,16.63,13.9355,232600,0.0,1.0
2000-03-16,16.69,17.5,16.5,17.31,14.5053,241000,0.0,1.0
2000-03-17,17.5,18.63,17.38,18.13,15.1925,428500,0.0,1.0
2000-03-20,18.06,18.44,17.75,17.75,14.874,352100,0.0,1.0
2000-03-21,17.81,17.94,17.56,17.81,14.9243,128000,0.0,1.0
2000-03-22,17.75,17.81,17.63,17.75,14.874,73100,0.0,1.0
2000-03-23,17.75,17.75,17.44,17.63,14.7735,165300,0.0,1.0
2000-03-24,17.75,17.88,17.56,17.63,14.7735,168100,0.0,1.0
2000-03-27,17.5,17.63,17.31,17.5,14.6645,68600,0.0,1.0
2000-03-28,17.63,18.81,17.5,18.44,15.4522,454400,0.0,1.0
2000-03-29,18.56,20.06,18.56,20.06,16.8097,422900,0.0,1.0
2000-03-30,20.0,20.75,20.0,20.25,16.969,328600,0.0,1.0
2000-03-31,20.13,20.5,18.63,18.69,15.6617,194700,0.0,1.0
2000-04-03,18.75,20.5,18.63,20.31,17.0192,182700,0.0,1.0
2000-04-04,20.31,20.31,18.25,19.38,16.2399,158400,0.0,1.0
2000-04-05,19.19,19.19,17.5,17.94,15.0332,240400,0.0,1.0
2000-04-06,17.94,18.0,17.81,17.94,15.0332,53400,0.0,1.0
2000-04-07,17.69,17.69,16.88,17.0,14.2455,470100,0.0,1.0
2000-04-10,17.0,17.13,16.88,16.94,14.1953,120500,0.0,1.0
2000-04-11,17.0,17.19,16.81,16.88,14.145,132100,0.0,1.0
2000-04-12,17.0,17.13,16.69,16.69,13.9858,106300,0.0,1.0
2000-04-13,16.69,17.06,16.69,16.94,14.1953,124700,0.0,1.0
2000-04-14,16.5,16.56,15.63,16.0,13.4076,266800,0.0,1.0
2000-04-17,15.75,15.75,15.44,15.69,13.1478,128400,0.0,1.0
2000-04-18,15.69,16.94,15.69,16.5,13.8266,163400,0.0,1.0
2000-04-19,16.31,16.31,15.88,15.88,13.307,221300,0.0,1.0
2000-04-20,15.81,16.19,15.63,16.06,13.4579,244400,0.0,1.0
2000-04-24,16.0,16.25,15.88,16.25,13.6171,90400,0.0,1.0
2000-04-25,16.38,16.38,16.0,16.31,13.6673,58200,0.0,1.0
2000-04-26,16.38,16.38,15.75,15.94,13.3573,130100,0.0,1.0
2000-04-27,15.94,16.19,15.81,15.94,13.3573,19500,0.0,1.0
2000-04-28,15.69,16.31,15.56,16.25,13.6171,112100,0.0,1.0
2000-05-01,16.25,17.06,16.13,17.0,14.2455,191000,0.0,1.0
2000-05-02,16.81,17.0,16.69,16.81,14.0863,110100,0.0,1.0
2000-05-03,16.5,17.0,16.13,16.56,13.8768,170200,0.0,1.0
2000-05-04,16.44,16.5,16.25,16.5,13.8266,62500,0.0,1.0
2000-05-05,16.75,16.75,16.31,16.38,13.726,144500,0.0,1.0
2000-05-08,16.38,16.38,15.63,16.0,13.4076,61800,0.0,1.0
2000-05-09,16.19,16.56,16.19,16.56,13.8768,86900,0.0,1.0
2000-05-10,16.44,16.56,16.25,16.25,13.6171,56500,0.0,1.0
2000-05-11,16.44,16.56,16.19,16.44,13.7763,40100,0.0,1.0
2000-05-12,16.31,16.38,16.13,16.31,13.6673,23700,0.0,1.0
2000-05-15,16.19,16.5,16.0,16.19,13.5668,69200,0.0,1.0
2000-05-16,15.94,16.94,15.75,16.81,14.0863,71600,0.0,1.0
2000-05-17,16.63,16.81,16.5,16.56,13.8768,72200,0.0,1.0
2000-05-18,16.44,16.44,16.0,16.19,13.5668,73200,0.0,1.0
2000-05-19,16.0,16.06,15.94,16.0,13.4076,41500,0.0,1.0
2000-05-22,16.19,16.19,15.69,15.94,13.3573,89100,0.0,1.0
2000-05-23,15.69,16.0,15.56,15.75,13.1981,110300,0.0,1.0
2000-05-24,15.38,15.38,14.0,14.56,12.2009,331800,0.0,1.0
2000-05-25,12.75,14.19,12.75,13.5,11.3126,451300,0.0,1.0
2000-05-26,13.5,13.56,13.19,13.38,11.2121,178300,0.0,1.0
2000-05-30,13.25,13.69,13.13,13.25,11.1031,150200,0.0,1.0
2000-05-31,13.25,14.38,13.25,14.0,11.7316,228400,0.0,1.0
2000-06-01,13.94,14.5,13.88,14.31,11.9914,116700,0.0,1.0
2000-06-02,14.44,14.75,14.44,14.44,12.1003,132200,0.0,1.0
2000-06-05,14.31,14.38,14.13,14.31,11.9914,92300,0.0,1.0
2000-06-06,14.31,14.31,14.06,14.06,11.7819,71800,0.0,1.0
2000-06-07,14.06,14.13,13.88,14.0,11.7316,100100,0.0,1.0
2000-06-08,14.0,14.13,13.38,13.69,11.4719,270800,0.0,1.0
2000-06-09,13.56,13.94,13.56,13.94,11.6814,103700,0.0,1.0
2000-06-12,13.88,14.25,13.88,14.13,11.8406,91500,0.0,1.0
2000-06-13,13.88,14.13,13.81,14.0,11.7316,81500,0.0,1.0
2000-06-14,13.94,14.19,13.88,14.13,11.8406,43500,0.0,1.0
2000-06-15,14.25,14.25,14.13,14.25,11.9411,108100,0.0,1.0
2000-06-16,14.38,14.5,14.06,14.06,11.7819,60100,0.0,1.0
2000-06-19,14.06,14.19,14.0,14.0,11.7316,76500,0.0,1.0
2000-06-20,14.0,14.25,13.75,13.75,11.5221,90900,0.0,1.0
2000-06-21,13.88,14.13,13.88,13.94,11.6814,131800,0.0,1.0
2000-06-22,13.94,14.13,13.88,14.0,11.7316,262600,0.0,1.0
2000-06-23,14.0,14.44,14.0,14.44,12.1003,156700,0.0,1.0
2000-06-26,14.63,15.19,14.31,15.06,12.6199,133000,0.0,1.0
2000-06-27,14.81,15.5,14.81,15.31,12.8294,104500,0.0,1.0
2000-06-28,15.31,15.56,15.31,15.56,13.0389,123000,0.0,1.0
2000-06-29,15.44,16.0,15.38,16.0,13.4076,171500,0.0,1.0
2000-06-30,16.0,16.38,14.25,14.25,11.9411,521400,0.0,1.0
2000-07-03,14.56,15.56,14.56,15.56,13.0389,150600,0.0,1.0
2000-07-05,15.38,15.75,15.38,15.69,13.1478,80700,0.0,1.0
2000-07-06,15.63,16.31,15.38,16.25,13.6171,132400,0.0,1.0
2000-07-07,16.38,16.44,16.06,16.44,13.7763,63500,0.0,1.0
2000-07-10,16.31,17.0,16.25,16.81,14.0863,96900,0.0,1.0
2000-07-11,16.56,17.13,16.56,16.75,14.0361,53100,0.0,1.0
2000-07-12,16.63,17.0,16.56,17.0,14.2455,97100,0.0,1.0
2000-07-13,16.94,17.25,16.94,17.13,14.3545,81400,0.0,1.0
2000-07-14,17.38,17.38,17.13,17.19,14.4048,78100,0.0,1.0
2000-07-17,17.13,17.13,16.69,17.06,14.2958,139800,0.0,1.0
2000-07-18,17.0,17.0,16.69,16.75,14.0361,73500,0.0,1.0
2000-07-19,16.63,17.25,16.38,17.25,14.455,81000,0.0,1.0
2000-07-20,17.0,17.0,16.69,16.94,14.1953,62600,0.0,1.0
2000-07-21,17.0,17.0,16.5,16.56,13.8768,37000,0.0,1.0
2000-07-24,16.31,17.0,16.31,16.81,14.0863,75100,0.0,1.0
2000-07-25,16.81,17.38,16.81,17.38,14.564,171600,0.0,1.0
2000-07-26,17.38,17.38,16.75,17.0,14.2455,137700,0.0,1.0
2000-07-27,16.88,17.25,16.88,17.19,14.4048,53000,0.0,1.0
2000-07-28,17.0,17.0,16.06,16.25,13.6171,50900,0.0,1.0
2000-07-31,16.06,16.25,16.06,16.19,13.5668,127000,0.0,1.0
2000-08-01,16.31,16.5,16.13,16.25,13.6171,40800,0.0,1.0
2000-08-02,16.25,16.88,16.25,16.75,14.0361,31700,0.0,1.0
2000-08-03,16.56,16.56,16.19,16.44,13.7763,36300,0.0,1.0
2000-08-04,16.31,17.13,16.31,17.13,14.3545,32400,0.0,1.0
2000-08-07,17.0,17.19,17.0,17.19,14.4048,58300,0.0,1.0
2000-08-08,17.0,19.0,17.0,18.81,15.7623,276200,0.0,1.0
2000-08-09,19.0,19.0,17.56,18.0,15.0835,202600,0.0,1.0
2000-08-10,18.0,19.38,17.69,19.38,16.2399,277300,0.0,1.0
2000-08-11,19.38,19.94,18.81,19.94,16.7092,345700,0.0,1.0
2000-08-14,19.88,20.25,19.81,19.88,16.6589,182100,0.0,1.0
2000-08-15,19.63,19.94,19.44,19.81,16.6003,283500,0.0,1.0
2000-08-16,19.63,19.75,19.44,19.5,16.3405,53200,0.0,1.0
2000-08-17,19.0,19.88,18.69,19.88,16.6589,65300,0.0,1.0
2000-08-18,19.75,19.75,18.88,19.06,15.9718,72400,0.0,1.0
2000-08-21,19.13,19.88,19.13,19.75,16.55,58200,0.0,1.0
2000-08-22,19.69,19.69,19.19,19.25,16.131,29600,0.0,1.0
2000-08-23,19.0,19.25,18.56,18.69,15.6617,70000,0.0,1.0
2000-08-24,18.88,19.5,18.75,19.38,16.2399,89200,0.0,1.0
2000-08-25,19.38,19.94,19.19,19.56,16.3908,37600,0.0,1.0
2000-08-28,19.56,19.56,18.75,19.13,16.0304,35900,0.0,1.0
2000-08-29,18.63,19.31,18.63,19.25,16.131,82500,0.0,1.0
2000-08-30,19.0,19.56,19.0,19.56,16.3908,49300,0.0,1.0
2000-08-31,19.38,19.44,19.13,19.38,16.2399,44700,0.0,1.0
2000-09-01,19.19,19.44,18.88,19.38,16.2399,57300,0.0,1.0
2000-09-05,19.44,19.5,18.94,19.0,15.9215,44800,0.0,1.0
2000-09-06,18.88,18.88,18.63,18.81,15.7623,41700,0.0,1.0
2000-09-07,19.0,19.19,18.75,19.19,16.0807,49800,0.0,1.0
2000-09-08,19.06,19.69,18.88,19.19,16.0807,50300,0.0,1.0
2000-09-11,19.0,19.31,18.94,19.25,16.131,212800,0.0,1.0
2000-09-12,19.13,19.19,18.63,19.0,15.9215,65500,0.0,1.0
2000-09-13,19.13,19.13,18.81,19.0,15.9215,46300,0.0,1.0
2000-09-14,19.25,19.63,19.19,19.38,16.2399,207500,0.0,1.0
2000-09-15,19.13,19.31,19.0,19.0,15.9215,209400,0.0,1.0
2000-09-18,18.75,18.75,18.13,18.13,15.1925,96600,0.0,1.0
2000-09-19,18.13,18.13,17.5,17.81,14.9243,55600,0.0,1.0
2000-09-20,17.69,18.06,17.69,17.88,14.983,61700,0.0,1.0
2000-09-21,17.63,17.94,17.56,17.75,14.874,27100,0.0,1.0
2000-09-22,17.69,17.69,17.25,17.5,14.6645,16700,0.0,1.0
2000-09-25,17.25,17.25,16.81,16.88,14.145,50000,0.0,1.0
2000-09-26,16.81,16.81,16.38,16.56,13.8768,54500,0.0,1.0
2000-09-27,16.63,16.69,16.13,16.13,13.5165,88700,0.0,1.0
2000-09-28,16.13,16.5,16.06,16.5,13.8266,70600,0.0,1.0
2000-09-29,16.44,16.44,16.13,16.13,13.5165,77000,0.0,1.0
2000-10-02,16.25,16.63,16.25,16.5,13.8266,100500,0.0,1.0
2000-10-03,16.5,16.5,16.25,16.25,13.6171,65100,0.0,1.0
2000-10-04,16.25,16.25,15.88,16.13,13.5165,73600,0.0,1.0
2000-10-05,16.38,19.5,16.38,19.0,15.9215,320400,0.0,1.0
2000-10-06,18.63,18.94,18.25,18.25,15.293,255200,0.0,1.0
2000-10-09,18.44,19.0,18.44,18.88,15.8209,58600,0.0,1.0
2000-10-10,19.13,19.63,19.0,19.13,16.0304,125600,0.0,1.0
2000-10-11,19.0,19.38,18.75,18.88,15.8209,173700,0.0,1.0
2000-10-12,18.75,18.75,18.0,18.06,15.1338,131300,0.0,1.0
2000-10-13,18.0,18.44,17.94,18.13,15.1925,172600,0.0,1.0
2000-10-16,18.19,19.0,18.19,18.81,15.7623,102200,0.0,1.0
2000-10-17,18.63,18.69,18.5,18.69,15.6617,72000,0.0,1.0
2000-10-18,18.5,19.0,18.13,19.0,15.9215,110700,0.0,1.0
2000-10-19,19.13,19.44,19.13,19.44,16.2902,91200,0.0,1.0
2000-10-20,19.44,19.44,19.0,19.19,16.0807,40200,0.0,1.0
2000-10-23,19.0,19.06,18.69,18.81,15.7623,43500,0.0,1.0
2000-10-24,18.94,19.0,18.81,18.94,15.8712,36900,0.0,1.0
2000-10-25,19.0,19.0,18.75,18.81,15.7623,64500,0.0,1.0
2000-10-26,18.94,18.94,18.44,18.69,15.6617,71600,0.0,1.0
2000-10-27,18.75,19.38,18.63,19.19,16.0807,112800,0.0,1.0
2000-10-30,19.0,19.38,19.0,19.25,16.131,75100,0.0,1.0
2000-10-31,19.38,20.0,19.31,19.63,16.4494,129100,0.0,1.0
2000-11-01,19.63,21.63,19.63,21.06,17.6477,258300,0.0,1.0
2000-11-02,21.13,23.19,21.13,23.19,19.4326,336300,0.0,1.0
2000-11-03,22.94,22.94,21.56,22.5,18.8544,114200,0.0,1.0
2000-11-06,22.5,22.75,22.31,22.63,18.9633,68600,0.0,1.0
2000-11-07,22.69,23.0,22.5,22.56,18.9047,60100,0.0,1.0
2000-11-08,22.31,22.94,22.0,22.81,19.1142,143500,0.0,1.0
2000-11-09,22.69,22.75,21.75,22.19,18.5946,107800,0.0,1.0
2000-11-10,21.94,21.94,21.06,21.25,17.8069,97400,0.0,1.0
2000-11-13,21.38,21.38,20.88,21.0,17.5974,82100,0.0,1.0
2000-11-14,21.19,22.25,21.19,21.69,18.1756,238900,0.0,1.0
2000-11-15,21.69,21.69,21.0,21.19,17.7567,123500,0.0,1.0
2000-11-16,21.19,21.69,20.94,21.63,18.1254,183300,0.0,1.0
2000-11-17,21.75,21.81,21.44,21.69,18.1756,93700,0.0,1.0
2000-11-20,21.63,22.19,21.5,21.94,18.3851,85700,0.0,1.0
2000-11-21,21.56,22.0,21.5,21.56,18.0667,44900,0.0,1.0
2000-11-22,21.44,21.44,21.0,21.19,17.7567,38600,0.0,1.0
2000-11-24,21.25,22.38,21.25,22.38,18.7538,30000,0.0,1.0
2000-11-27,22.38,23.25,22.38,23.0,19.2734,177400,0.0,1.0
2000-11-28,23.0,23.06,22.56,22.88,19.1728,139400,0.0,1.0
2000-11-29,22.75,22.75,21.44,21.63,18.1254,76400,0.0,1.0
2000-11-30,21.69,21.69,20.13,20.94,17.5472,115600,0.0,1.0
2000-12-01,20.94,22.06,20.94,21.63,18.1254,185800,0.0,1.0
2000-12-04,21.88,22.06,21.63,21.94,18.3851,164200,0.0,1.0
