,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,43.0,44.88,43.0,44.88,4.9074,112900,0.0,1.0
2000-01-19,45.0,45.94,45.0,45.88,5.0167,124600,0.0,1.0
2000-01-20,46.62,48.38,46.38,48.38,5.2901,70400,0.0,1.0
2000-01-21,49.0,55.12,49.0,54.5,5.9592,188000,0.0,1.0
2000-01-24,54.5,57.0,54.25,54.88,6.0008,125400,0.0,1.0
2000-01-25,55.0,55.0,49.38,49.94,5.4606,252500,0.0,1.0
2000-01-26,50.06,50.06,46.62,47.88,5.2354,156500,0.0,1.0
2000-01-27,47.88,47.88,44.0,44.75,4.8931,106100,0.0,1.0
2000-01-28,44.75,46.44,43.25,44.0,4.8111,272900,0.0,1.0
2000-01-31,44.0,44.0,42.12,43.0,4.7018,120600,0.0,1.0
2000-02-01,42.75,44.5,42.5,44.38,4.8527,133600,0.0,1.0
2000-02-02,44.31,45.62,42.5,42.75,4.6745,39000,0.0,1.0
2000-02-03,49.88,52.0,48.0,51.06,5.5831,311800,0.0,1.0
2000-02-04,52.0,55.75,51.88,54.56,5.9658,282300,0.0,1.0
2000-02-07,54.62,59.75,54.62,55.5,6.0686,162900,0.0,1.0
2000-02-08,55.5,56.75,53.75,56.0,6.1233,127300,0.0,1.0
2000-02-09,57.0,59.75,57.0,58.56,6.4032,206500,0.0,1.0
2000-02-10,58.56,61.0,58.56,61.0,6.67,102900,0.0,1.0
2000-02-11,61.0,61.0,56.75,57.5,6.2873,55800,0.0,1.0
2000-02-14,57.5,58.0,57.5,57.69,6.3081,49400,0.0,1.0
2000-02-15,57.88,57.88,56.56,56.62,6.1911,67000,0.0,1.0
2000-02-16,56.88,57.12,56.0,56.56,6.1845,29400,0.0,1.0
2000-02-17,57.12,57.38,56.5,56.88,6.2195,107500,0.0,1.0
2000-02-18,56.88,57.56,56.75,57.25,6.2599,84700,0.0,1.0
2000-02-22,57.88,59.56,57.12,59.38,6.4928,93400,0.0,1.0
2000-02-23,59.12,60.0,58.12,59.69,6.5267,191900,0.0,1.0
2000-02-24,60.38,70.0,60.38,68.62,7.5032,213600,0.0,1.0
2000-02-25,69.0,73.0,66.38,68.12,7.4485,317200,0.0,1.0
2000-02-28,71.75,74.19,70.75,74.0,8.0914,129900,0.0,1.0
2000-02-29,76.75,76.75,73.81,74.62,8.1592,274200,0.0,1.0
2000-03-01,77.0,79.25,76.0,79.06,8.6447,214500,0.0,1.0
2000-03-02,80.12,80.38,77.31,78.5,8.5835,137500,0.0,1.0
2000-03-03,77.75,78.75,77.5,77.62,8.4873,87100,0.0,1.0
2000-03-06,77.62,78.94,77.0,78.94,8.6316,88400,0.0,1.0
2000-03-07,79.0,79.5,76.5,77.19,8.4403,96000,0.0,1.0
2000-03-08,76.12,77.12,73.06,77.12,8.4326,143000,0.0,1.0
2000-03-09,78.0,79.38,78.0,79.0,8.6382,77900,0.0,1.0
2000-03-10,79.0,79.0,75.0,75.25,8.2281,73300,0.0,1.0
2000-03-13,74.25,74.88,72.19,72.75,7.9548,80500,0.0,1.0
2000-03-14,70.88,70.88,58.0,60.0,6.5606,317800,0.0,1.0
2000-03-15,60.0,67.5,59.75,66.5,7.2714,200800,0.0,1.0
2000-03-16,68.0,73.5,68.0,73.5,8.0368,90000,0.0,1.0
2000-03-17,72.75,73.25,72.0,73.0,7.9821,69200,0.0,1.0
2000-03-20,72.5,73.06,72.31,72.75,7.9548,43200,0.0,1.0
2000-03-21,72.5,73.88,71.75,73.88,8.0783,66800,0.0,1.0
2000-03-22,73.88,79.38,73.88,79.25,8.6655,85800,0.0,1.0
