,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,50.0,50.81,49.38,50.75,12.4789,795200,0.0,1.0
2000-01-19,52.0,54.5,51.5,51.94,12.7715,1444400,0.0,1.0
2000-01-20,52.5,52.63,48.63,49.0,12.0486,588000,0.0,1.0
2000-01-21,50.94,51.0,49.38,49.63,12.2035,597800,0.0,1.0
2000-01-24,49.13,49.5,46.75,46.88,11.5273,660700,0.0,1.0
2000-01-25,48.0,49.44,47.75,48.0,11.8027,1033200,0.0,1.0
2000-01-26,48.38,48.88,47.88,48.25,11.8641,645300,0.0,1.0
2000-01-27,48.25,49.75,48.25,48.75,11.9871,567900,0.0,1.0
2000-01-28,49.0,49.94,48.5,48.5,11.9256,703900,0.0,1.0
2000-01-31,48.5,49.69,47.56,49.44,12.1567,571300,0.0,1.0
2000-02-01,49.44,49.75,48.13,49.44,12.1567,338500,0.0,1.0
2000-02-02,49.31,49.88,48.38,48.5,11.9256,387800,0.0,1.0
2000-02-03,49.0,49.0,48.06,48.5,11.9256,540900,0.0,1.0
2000-02-04,48.69,49.0,47.5,47.69,11.7264,739800,0.0,1.0
2000-02-07,47.69,47.88,46.13,46.31,11.3871,408400,0.0,1.0
2000-02-08,47.0,47.38,45.63,46.0,11.3109,501300,0.0,1.0
2000-02-09,45.94,45.94,43.69,44.06,10.8339,594500,0.0,1.0
2000-02-10,44.38,45.25,44.38,45.19,11.1744,581100,0.255,1.0
2000-02-11,45.19,45.25,43.75,44.38,10.9741,388700,0.0,1.0
2000-02-14,44.0,44.44,43.25,43.75,10.8183,270100,0.0,1.0
2000-02-15,43.63,46.0,43.38,45.81,11.3277,439500,0.0,1.0
2000-02-16,45.56,46.69,45.44,46.56,11.5132,346600,0.0,1.0
2000-02-17,46.06,47.25,45.81,47.06,11.6368,370300,0.0,1.0
2000-02-18,48.38,48.94,48.0,48.56,12.0077,604700,0.0,1.0
2000-02-22,48.19,51.25,48.19,51.13,12.6432,682700,0.0,1.0
2000-02-23,50.88,50.88,49.0,49.25,12.1784,988900,0.0,1.0
2000-02-24,49.0,49.19,46.69,47.63,11.7778,577800,0.0,1.0
2000-02-25,48.13,48.38,46.0,46.38,11.4687,614900,0.0,1.0
2000-02-28,46.38,46.44,44.13,45.0,11.1274,403500,0.0,1.0
2000-02-29,44.75,46.75,44.44,45.25,11.1893,468200,0.0,1.0
2000-03-01,45.25,45.5,44.38,45.0,11.1274,667000,0.0,1.0
2000-03-02,44.88,46.5,44.38,45.63,11.2832,1529400,0.0,1.0
2000-03-03,45.75,47.19,45.19,46.81,11.575,282200,0.0,1.0
2000-03-06,45.88,46.88,44.81,45.56,11.2659,540400,0.0,1.0
2000-03-07,45.06,45.06,36.81,40.0,9.8911,1434500,0.0,1.0
