,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,33.81,34.0,33.44,33.44,14.6844,36600,0.0,1.0
2000-01-19,33.44,33.63,33.31,33.44,14.6844,25900,0.0,1.0
2000-01-20,33.31,34.56,33.13,34.56,15.1762,50500,0.0,1.0
2000-01-21,34.56,36.56,34.56,36.5,16.0281,98700,0.0,1.0
2000-01-24,36.5,37.25,36.06,36.19,15.892,150800,0.0,1.0
2000-01-25,36.0,36.25,34.75,34.81,15.286,157600,0.0,1.0
2000-01-26,34.94,36.44,34.94,35.75,15.6988,59300,0.0,1.0
2000-01-27,35.5,35.56,34.56,34.56,15.1762,66800,0.0,1.0
2000-01-28,34.44,35.0,33.75,34.63,15.207,43200,0.0,1.0
2000-01-31,34.44,34.44,32.75,33.56,14.7371,59100,0.0,1.0
2000-02-01,33.56,33.56,32.81,33.44,14.6844,95900,0.0,1.0
2000-02-02,33.62,34.12,33.38,34.12,14.983,33900,0.0,1.0
2000-02-03,34.25,35.75,34.13,35.75,15.6988,72700,0.0,1.0
2000-02-04,36.0,37.38,36.0,36.06,15.8349,97500,0.0,1.0
2000-02-07,35.94,36.44,35.63,35.88,15.7559,32400,0.0,1.0
2000-02-08,35.88,36.31,35.13,35.44,15.5627,54500,0.0,1.0
2000-02-09,35.69,35.69,32.25,33.38,14.6581,270600,0.0,1.0
2000-02-10,33.38,33.5,32.38,33.13,14.5483,244500,0.0,1.0
2000-02-11,33.13,33.19,30.75,31.25,13.7227,119600,0.0,1.0
2000-02-14,31.25,33.31,30.19,33.13,14.5483,182800,0.0,1.0
2000-02-15,33.25,33.25,33.0,33.25,14.601,24700,0.0,1.0
2000-02-16,33.25,33.38,33.13,33.38,14.6581,62700,0.0,1.0
2000-02-17,33.38,33.38,32.63,33.13,14.5483,52300,0.0,1.0
2000-02-18,32.88,32.88,30.94,30.94,13.5866,54900,0.0,1.0
2000-02-22,30.94,30.94,29.88,30.94,13.5866,96400,0.0,1.0
2000-02-23,30.94,31.69,30.94,31.69,13.9159,50200,0.0,1.0
2000-02-24,31.81,31.81,30.63,30.75,13.5031,44700,0.0,1.0
2000-02-25,30.63,30.63,28.75,28.88,12.682,158700,0.0,1.0
2000-02-28,28.88,28.88,26.69,27.44,12.0496,252300,0.0,1.0
2000-02-29,27.31,27.63,27.25,27.25,11.9662,132700,0.0,1.0
2000-03-01,27.0,27.0,25.81,26.63,11.6939,159500,0.0,1.0
2000-03-02,26.81,31.0,26.5,31.0,13.6129,339300,0.0,1.0
2000-03-03,30.81,34.69,30.81,34.06,14.9567,246800,0.0,1.0
2000-03-06,33.81,33.81,31.88,32.31,14.1882,103600,0.0,1.0
2000-03-07,32.19,32.19,31.25,31.44,13.8061,85300,0.0,1.0
2000-03-08,31.31,31.31,30.0,30.75,13.5031,140800,0.0,1.0
2000-03-09,30.75,30.75,30.13,30.44,13.367,48300,0.0,1.0
2000-03-10,30.56,32.0,30.44,31.81,13.9686,26500,0.0,1.0
2000-03-13,31.75,33.5,31.38,32.94,14.4648,116400,0.0,1.0
2000-03-14,32.75,32.81,31.44,31.75,13.9423,50500,0.0,1.0
2000-03-15,31.56,32.19,31.0,32.19,14.1355,54700,0.0,1.0
2000-03-16,32.19,35.0,32.19,35.0,15.3694,54800,0.0,1.0
2000-03-17,35.0,35.06,33.81,34.13,14.9874,63900,0.0,1.0
2000-03-20,33.88,34.06,33.38,33.75,14.8205,38700,0.0,1.0
2000-03-21,33.56,33.94,32.69,33.81,14.8469,87500,0.0,1.0
2000-03-22,33.94,33.94,33.25,33.44,14.6844,87100,0.0,1.0
2000-03-23,33.44,34.13,33.25,33.75,14.8205,69600,0.0,1.0
2000-03-24,33.88,34.12,33.75,33.81,14.8469,43400,0.0,1.0
2000-03-27,33.81,33.81,33.5,33.5,14.7107,33600,0.0,1.0
2000-03-28,33.5,34.75,33.34,34.13,14.9874,100900,0.0,1.0
2000-03-29,33.94,34.0,32.63,33.13,14.5483,106400,0.0,1.0
2000-03-30,33.13,33.88,32.0,33.19,14.5746,60600,0.0,1.0
2000-03-31,33.19,34.13,33.0,33.94,14.904,120600,0.0,1.0
2000-04-03,34.0,34.0,32.44,32.63,14.3287,65100,0.0,1.0
2000-04-04,32.63,32.63,31.13,31.31,13.7491,76200,0.0,1.0
2000-04-05,31.31,31.31,30.0,30.88,13.5602,152200,0.0,1.0
2000-04-06,31.0,31.03,30.13,30.63,13.4505,108700,0.0,1.0
2000-04-07,30.75,30.88,30.06,30.19,13.2572,26400,0.0,1.0
2000-04-10,30.38,30.5,30.0,30.0,13.1738,34800,0.0,1.0
2000-04-11,30.0,31.56,29.94,31.0,13.6129,37100,0.0,1.0
2000-04-12,30.88,30.94,30.0,30.0,13.2045,63100,0.07,1.0
2000-04-13,30.0,30.31,29.69,30.25,13.3146,99800,0.0,1.0
2000-04-14,30.13,30.19,29.63,30.0,13.2045,106500,0.0,1.0
2000-04-17,30.0,30.56,29.56,30.56,13.451,64700,0.0,1.0
2000-04-18,30.44,32.0,30.19,31.31,13.7811,98200,0.0,1.0
2000-04-19,31.13,31.5,30.88,31.5,13.8648,45200,0.0,1.0
2000-04-20,31.75,31.94,31.63,31.88,14.032,36200,0.0,1.0
2000-04-24,31.75,31.75,30.06,30.06,13.231,103200,0.0,1.0
2000-04-25,30.06,30.75,30.06,30.75,13.5347,117000,0.0,1.0
2000-04-26,30.63,31.25,30.19,30.5,13.4246,51200,0.0,1.0
2000-04-27,30.63,31.75,30.5,31.19,13.7283,37500,0.0,1.0
2000-04-28,31.44,31.5,31.13,31.5,13.8648,13100,0.0,1.0
2000-05-01,31.5,33.56,31.19,33.44,14.7187,111900,0.0,1.0
2000-05-02,33.19,33.25,32.75,33.06,14.5514,55000,0.0,1.0
2000-05-03,32.94,33.25,32.94,33.0,14.525,70900,0.0,1.0
2000-05-04,33.0,33.0,32.5,32.94,14.4986,32600,0.0,1.0
2000-05-05,32.94,33.5,32.94,33.44,14.7187,43200,0.0,1.0
