,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,13.56,13.69,12.75,12.81,1.2767,2438900,0.0,1.0
2000-01-19,12.84,12.88,12.0,12.25,1.2209,2940000,0.0,1.0
2000-01-20,12.25,13.25,12.25,13.03,1.2986,2399000,0.0,1.0
2000-01-21,13.5,13.63,13.13,13.44,1.3395,2287300,0.0,1.0
2000-01-24,13.41,13.5,12.38,12.56,1.2518,2400200,0.0,1.0
2000-01-25,12.56,12.69,12.0,12.56,1.2518,2085500,0.0,1.0
2000-01-26,12.38,13.31,12.25,13.19,1.3146,1904500,0.0,1.0
2000-01-27,13.41,13.56,12.63,12.94,1.2896,2116300,0.0,1.0
2000-01-28,12.97,13.13,12.56,12.88,1.2837,779700,0.0,1.0
2000-01-31,12.88,13.06,12.25,12.75,1.2707,941700,0.0,1.0
2000-02-01,13.06,13.13,12.13,12.69,1.2647,858000,0.0,1.0
2000-02-02,12.97,13.0,12.5,12.56,1.2518,1494700,0.0,1.0
2000-02-03,14.13,15.69,14.06,15.5,1.5448,5922700,0.0,1.0
2000-02-04,15.25,15.31,14.75,15.0,1.495,2174100,0.0,1.0
2000-02-07,15.13,15.25,14.88,15.0,1.495,1735100,0.0,1.0
2000-02-08,15.03,15.38,14.94,15.31,1.5258,546800,0.0,1.0
2000-02-09,15.31,15.31,15.06,15.13,1.5079,1615200,0.0,1.0
2000-02-10,15.19,15.25,14.75,14.88,1.483,1772000,0.0,1.0
2000-02-11,14.81,14.88,14.44,14.69,1.4641,1575700,0.0,1.0
2000-02-14,14.78,15.13,14.5,14.69,1.4641,830600,0.0,1.0
2000-02-15,14.63,14.75,14.13,14.13,1.4082,655400,0.0,1.0
2000-02-16,14.13,14.25,13.13,13.56,1.3514,1235900,0.0,1.0
2000-02-17,13.56,13.63,12.56,12.75,1.2707,797600,0.0,1.0
2000-02-18,12.88,13.31,12.88,13.06,1.3016,1762100,0.0,1.0
2000-02-22,13.38,13.75,12.88,13.06,1.3016,799000,0.0,1.0
2000-02-23,13.19,13.31,13.0,13.25,1.3205,1143900,0.0,1.0
2000-02-24,13.13,13.31,12.88,13.13,1.3086,1330400,0.0,1.0
2000-02-25,13.13,14.13,13.06,13.69,1.3644,934100,0.0,1.0
2000-02-28,13.81,15.94,13.75,15.5,1.5448,1386200,0.0,1.0
2000-02-29,15.38,15.5,14.44,14.5,1.4451,1791900,0.0,1.0
2000-03-01,14.38,14.63,13.69,14.56,1.4548,812400,0.0375,1.0
2000-03-02,15.06,17.69,14.75,17.56,1.7546,2214500,0.0,1.0
2000-03-03,17.47,17.63,16.88,16.88,1.6867,1524800,0.0,1.0
2000-03-06,16.88,17.63,16.88,17.5,1.7486,716800,0.0,1.0
2000-03-07,17.53,17.56,16.75,16.94,1.6926,792800,0.0,1.0
2000-03-08,16.81,17.25,16.75,16.81,1.6797,271800,0.0,1.0
2000-03-09,16.75,17.0,16.31,16.63,1.6617,1251900,0.0,1.0
2000-03-10,16.63,16.63,16.13,16.44,1.6427,481400,0.0,1.0
2000-03-13,16.44,16.63,16.38,16.53,1.6517,330900,0.0,1.0
2000-03-14,16.63,17.5,16.5,17.44,1.7426,1499500,0.0,1.0
2000-03-15,17.48,19.0,17.31,18.94,1.8925,2219500,0.0,1.0
2000-03-16,18.88,22.13,18.81,22.06,2.2042,3810400,0.0,1.0
2000-03-17,21.25,21.88,20.5,20.5,2.0484,1395600,0.0,1.0
2000-03-20,20.44,20.75,19.38,19.5,1.9484,446800,0.0,1.0
2000-03-21,19.78,21.38,19.69,21.13,2.1113,651700,0.0,1.0
2000-03-22,21.13,21.25,20.25,20.44,2.0424,710300,0.0,1.0
2000-03-23,20.56,20.75,20.0,20.44,2.0424,829200,0.0,1.0
2000-03-24,20.38,21.0,20.06,20.25,2.0234,527300,0.0,1.0
2000-03-27,20.25,21.13,20.13,21.06,2.1043,798600,0.0,1.0
2000-03-28,20.94,21.94,20.88,21.13,2.1113,908900,0.0,1.0
2000-03-29,21.5,23.75,21.13,23.25,2.3231,1941300,0.0,1.0
2000-03-30,22.63,23.31,21.94,22.19,2.2172,1229600,0.0,1.0
2000-03-31,22.25,24.13,22.19,24.06,2.4041,2051900,0.0,1.0
2000-04-03,23.31,23.44,22.06,22.38,2.2362,1357300,0.0,1.0
2000-04-04,22.5,22.88,21.25,21.88,2.1863,716700,0.0,1.0
2000-04-05,21.63,23.34,20.94,21.63,2.1613,754800,0.0,1.0
2000-04-06,21.69,22.25,20.88,21.88,2.1863,1127000,0.0,1.0
2000-04-07,21.25,22.13,21.25,22.06,2.2042,683200,0.0,1.0
2000-04-10,21.56,22.94,21.38,22.69,2.2672,588200,0.0,1.0
2000-04-11,22.38,24.0,22.38,23.81,2.3791,715100,0.0,1.0
2000-04-12,23.25,24.31,23.25,23.69,2.3671,748000,0.0,1.0
2000-04-13,23.88,23.88,22.38,23.75,2.3731,1286600,0.0,1.0
2000-04-14,23.31,23.38,21.69,22.63,2.2612,964800,0.0,1.0
2000-04-17,22.13,22.5,19.13,21.63,2.1613,1274100,0.0,1.0
2000-04-18,21.63,21.88,20.5,21.31,2.1293,596300,0.0,1.0
2000-04-19,21.38,23.25,21.38,22.38,2.2362,1311900,0.0,1.0
2000-04-20,22.13,22.44,20.75,21.0,2.0983,991300,0.0,1.0
2000-04-24,21.0,21.48,20.63,20.88,2.0863,566600,0.0,1.0
2000-04-25,21.06,21.63,20.81,21.0,2.0983,809800,0.0,1.0
2000-04-26,21.13,21.25,20.69,20.75,2.0733,641900,0.0,1.0
2000-04-27,20.56,20.56,19.81,20.0,1.9984,1208300,0.0,1.0
2000-04-28,19.88,20.81,19.88,20.75,2.0733,303800,0.0,1.0
2000-05-01,20.63,22.13,20.63,21.44,2.1423,1199200,0.0,1.0
2000-05-02,21.41,21.44,20.25,21.0,2.0983,519500,0.0,1.0
2000-05-03,20.13,20.31,19.31,19.63,1.9614,998900,0.0,1.0
2000-05-04,20.25,20.94,20.06,20.5,2.0484,909900,0.0,1.0
2000-05-05,20.44,21.38,20.44,21.06,2.1043,681800,0.0,1.0
2000-05-08,21.0,21.0,20.63,21.0,2.0983,273400,0.0,1.0
2000-05-09,20.94,21.86,20.75,21.75,2.1733,632400,0.0,1.0
2000-05-10,21.5,21.63,21.38,21.38,2.1363,523500,0.0,1.0
2000-05-11,21.75,22.25,21.5,21.69,2.1673,430600,0.0,1.0
2000-05-12,21.69,22.81,21.69,22.25,2.2232,557500,0.0,1.0
2000-05-15,22.34,23.19,22.0,22.94,2.2922,482700,0.0,1.0
2000-05-16,22.88,24.0,22.44,22.56,2.2542,648100,0.0,1.0
2000-05-17,22.88,22.88,20.63,20.75,2.0733,661000,0.0,1.0
2000-05-18,21.09,21.88,20.38,20.81,2.0793,1063100,0.0,1.0
2000-05-19,20.66,21.19,20.38,21.0,2.0983,256200,0.0,1.0
2000-05-22,20.94,21.5,20.63,21.38,2.1363,447600,0.0,1.0
2000-05-23,21.69,21.88,21.38,21.5,2.1483,378200,0.0,1.0
2000-05-24,21.56,21.63,19.5,19.94,1.9924,864100,0.0,1.0
2000-05-25,20.25,21.25,20.25,20.44,2.0424,696800,0.0,1.0
2000-05-26,20.38,20.5,20.13,20.19,2.0174,328600,0.0,1.0
2000-05-30,21.0,21.13,20.5,20.98,2.0963,392900,0.0,1.0
2000-05-31,21.0,21.06,20.75,20.88,2.0863,604600,0.0,1.0
2000-06-01,20.59,20.63,18.06,19.0,1.8985,3553200,0.0,1.0
2000-06-02,19.16,19.5,17.88,18.56,1.8545,871700,0.0,1.0
2000-06-05,18.69,18.75,18.06,18.56,1.8545,933900,0.0,1.0
2000-06-06,18.72,18.75,18.44,18.44,1.8425,635600,0.0,1.0
2000-06-07,18.38,18.5,17.75,17.94,1.7926,859800,0.0,1.0
2000-06-08,18.38,18.41,16.5,16.69,1.6677,1062600,0.0,1.0
2000-06-09,17.31,17.38,16.13,16.75,1.6737,1980800,0.0,1.0
2000-06-12,16.94,17.0,15.88,16.19,1.6177,1254200,0.0,1.0
2000-06-13,16.38,16.56,15.69,15.75,1.5737,1146400,0.0,1.0
2000-06-14,15.94,16.0,14.38,14.94,1.4928,3077200,0.0,1.0
2000-06-15,15.5,16.63,15.13,16.0,1.6025,1885600,0.0375,1.0
2000-06-16,16.0,16.5,15.63,16.38,1.6405,1405300,0.0,1.0
2000-06-19,16.25,16.25,15.38,15.88,1.5905,773600,0.0,1.0
2000-06-20,16.13,16.38,15.69,16.31,1.6335,744100,0.0,1.0
2000-06-21,16.31,16.5,15.56,15.69,1.5714,732200,0.0,1.0
2000-06-22,15.72,16.44,15.63,16.31,1.6335,1023900,0.0,1.0
2000-06-23,16.25,17.06,16.13,16.94,1.6966,907400,0.0,1.0
2000-06-26,17.31,18.06,17.0,17.13,1.7156,1109700,0.0,1.0
2000-06-27,17.25,18.0,17.19,17.94,1.7968,420900,0.0,1.0
2000-06-28,17.69,18.44,17.69,18.31,1.8338,926900,0.0,1.0
2000-06-29,18.25,18.31,17.25,17.44,1.7467,575300,0.0,1.0
2000-06-30,17.38,17.75,16.75,17.06,1.7086,1450400,0.0,1.0
2000-07-03,17.0,17.5,16.75,17.31,1.7337,761200,0.0,1.0
2000-07-05,17.75,18.0,16.69,16.81,1.6836,468200,0.0,1.0
2000-07-06,15.06,15.13,14.25,14.81,1.4833,5570600,0.0,1.0
2000-07-07,14.94,15.0,14.56,14.81,1.4833,2415300,0.0,1.0
2000-07-10,15.0,15.06,14.81,14.94,1.4963,2538900,0.0,1.0
2000-07-11,14.94,15.0,14.81,15.0,1.5023,2132500,0.0,1.0
2000-07-12,14.94,16.13,14.94,16.13,1.6155,3593100,0.0,1.0
2000-07-13,16.19,16.25,15.5,16.0,1.6025,1778900,0.0,1.0
2000-07-14,16.0,17.06,15.97,16.88,1.6906,1084600,0.0,1.0
2000-07-17,16.66,16.69,16.13,16.25,1.6275,688400,0.0,1.0
2000-07-18,15.81,16.13,15.25,15.88,1.5905,687800,0.0,1.0
2000-07-19,15.88,15.88,15.13,15.38,1.5404,356200,0.0,1.0
