,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,23.0,23.0,18.81,19.0,11.1365,8621000,0.0,1.0
2000-01-19,19.0,19.75,18.87,19.69,11.541,8641600,0.0,1.0
2000-01-20,19.94,20.19,18.44,18.75,10.99,6643600,0.0,1.0
2000-01-21,19.0,19.62,18.62,19.62,11.4999,5781400,0.0,1.0
2000-01-24,19.94,20.12,18.19,18.31,10.7321,4579600,0.0,1.0
2000-01-25,19.5,20.25,18.75,20.0,11.7227,3517200,0.0,1.0
2000-01-26,20.5,21.94,20.31,21.5,12.6019,3084700,0.0,1.0
2000-01-27,22.0,23.37,21.94,23.06,13.5162,3148500,0.0,1.0
2000-01-28,23.12,24.56,22.75,24.06,14.1024,1733500,0.0,1.0
2000-01-31,24.12,24.12,22.19,22.81,13.3697,2113800,0.0,1.0
2000-02-01,22.75,22.75,21.44,21.94,12.8598,1889700,0.0,1.0
2000-02-02,21.94,22.56,21.5,22.5,13.188,862600,0.0,1.0
2000-02-03,22.37,22.44,21.44,22.19,13.0063,1382600,0.0,1.0
2000-02-04,22.19,22.19,21.62,22.0,12.8949,1460700,0.0,1.0
2000-02-07,22.75,22.75,21.25,21.62,12.6722,1188000,0.0,1.0
2000-02-08,21.75,22.31,21.25,21.56,12.637,1830900,0.0,1.0
2000-02-09,21.5,22.0,21.12,21.25,12.4553,2175900,0.0,1.0
2000-02-10,21.31,21.5,20.94,20.94,12.2736,994400,0.0,1.0
2000-02-11,20.94,21.0,20.75,20.87,12.2326,589100,0.0,1.0
2000-02-14,20.94,21.0,20.31,20.37,11.9395,1008600,0.0,1.0
2000-02-15,20.5,20.75,20.25,20.25,11.8692,1528400,0.0,1.0
2000-02-16,20.37,20.5,20.0,20.0,11.7227,753800,0.0,1.0
2000-02-17,20.31,20.44,19.87,19.87,11.6465,825100,0.0,1.0
2000-02-18,19.87,20.12,19.44,19.69,11.541,999700,0.0,1.0
2000-02-22,19.5,21.06,19.12,20.94,12.2736,1033700,0.0,1.0
2000-02-23,20.12,20.31,19.12,19.19,11.2479,1171400,0.0,1.0
2000-02-24,19.31,19.62,18.87,19.37,11.3534,1551800,0.0,1.0
2000-02-25,19.37,19.62,19.12,19.31,11.3182,1306800,0.0,1.0
2000-02-28,19.31,19.5,19.0,19.0,11.1365,951300,0.0,1.0
2000-02-29,18.94,18.94,18.37,18.5,10.8435,1970800,0.0,1.0
2000-03-01,18.5,18.69,18.37,18.69,10.9548,926000,0.0,1.0
2000-03-02,18.75,18.75,18.19,18.25,10.6969,1121400,0.0,1.0
2000-03-03,18.12,18.19,17.81,18.0,10.5504,1780500,0.0,1.0
2000-03-06,18.0,18.0,17.62,17.87,10.4742,1451300,0.0,1.0
