,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,23.25,27.94,23.13,27.94,27.8582,270800,0.0,1.0
2000-01-19,27.94,27.94,26.13,26.88,26.8013,114300,0.0,1.0
2000-01-20,26.38,27.0,26.25,26.88,26.8013,276100,0.0,1.0
2000-01-21,27.25,27.5,26.5,26.88,26.8013,539600,0.0,1.0
2000-01-24,26.88,29.94,26.5,28.38,28.2969,165500,0.0,1.0
2000-01-25,28.44,31.38,28.44,30.5,30.4107,226400,0.0,1.0
2000-01-26,31.56,34.0,30.56,31.5,31.4078,244600,0.0,1.0
2000-01-27,32.0,32.25,27.88,28.94,28.8553,289100,0.0,1.0
2000-01-28,26.88,30.38,26.75,30.25,30.1614,3695000,0.0,1.0
2000-01-31,29.75,30.75,28.75,30.31,30.2213,972000,0.0,1.0
2000-02-01,31.97,33.75,31.0,33.13,33.033,675100,0.0,1.0
2000-02-02,33.94,34.0,32.63,34.0,33.9005,974600,0.0,1.0
2000-02-03,34.06,35.0,34.0,35.0,34.8975,889800,0.0,1.0
2000-02-04,35.0,35.0,33.75,34.5,34.399,465100,0.0,1.0
2000-02-07,34.75,36.5,34.75,35.38,35.2764,770400,0.0,1.0
2000-02-08,35.5,35.5,33.38,34.63,34.5286,176200,0.0,1.0
2000-02-09,34.31,34.63,31.25,33.75,33.6512,660500,0.0,1.0
2000-02-10,33.88,35.75,33.63,34.75,34.6483,333700,0.0,1.0
2000-02-11,35.25,35.38,34.75,34.88,34.7779,650300,0.0,1.0
2000-02-14,35.25,35.7,34.13,34.88,34.7779,253000,0.0,1.0
2000-02-15,35.0,35.06,33.69,35.06,34.9574,183000,0.0,1.0
2000-02-16,35.13,35.13,32.44,32.44,32.345,99000,0.0,1.0
2000-02-17,33.0,33.94,31.5,31.63,31.5374,425900,0.0,1.0
2000-02-18,31.78,31.81,27.75,27.75,27.6688,387000,0.0,1.0
2000-02-22,30.0,31.0,29.38,30.13,30.0418,832800,0.0,1.0
2000-02-23,30.31,31.5,30.0,30.88,30.7896,691500,0.0,1.0
