,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,40.56,40.63,38.81,39.0,20.4087,4391800,0.0,1.0
2000-01-19,39.94,41.0,39.31,40.0,20.932,4881067,0.0,1.0
2000-01-20,40.06,40.25,39.06,39.25,20.5395,3130000,0.0,1.0
2000-01-21,39.25,39.25,37.06,38.5,20.1471,4846200,0.0,1.0
2000-01-24,37.88,38.0,36.56,38.0,19.8854,2268800,0.0,1.0
2000-01-25,36.94,37.63,36.25,36.81,19.2627,2625467,0.0,1.0
2000-01-26,36.69,38.38,35.88,38.13,19.9534,3755400,0.0,1.0
2000-01-27,38.06,38.44,36.38,37.31,19.5243,2872067,0.0,1.0
2000-01-28,37.06,38.0,35.06,38.0,19.8854,2569067,0.0,1.0
2000-01-31,35.25,36.13,35.0,35.88,18.776,3139000,0.0,1.0
2000-02-01,36.44,37.0,34.81,35.63,18.6452,2887400,0.0,1.0
2000-02-02,35.5,36.13,33.69,35.75,18.708,5412267,0.0,1.0
2000-02-03,36.0,36.13,34.5,35.63,18.6452,3189000,0.0,1.0
2000-02-04,35.69,38.13,35.69,37.94,19.854,7636200,0.0,1.0
2000-02-07,38.44,40.75,37.63,40.5,21.1937,4644267,0.0,1.0
2000-02-08,40.0,40.0,39.0,39.5,20.6777,4645267,0.014,1.0
2000-02-09,39.25,39.31,37.56,37.75,19.7616,2511200,0.0,1.0
2000-02-10,38.63,38.88,38.0,38.5,20.1542,3035467,0.0,1.0
2000-02-11,38.88,39.88,38.5,39.0,20.4159,3486000,0.0,1.0
2000-02-14,39.94,39.94,37.63,38.19,19.9919,2648467,0.0,1.0
2000-02-15,37.69,38.44,37.06,38.44,20.1228,2308600,0.0,1.0
2000-02-16,38.5,39.25,38.0,38.0,19.8925,2157467,0.0,1.0
2000-02-17,38.5,39.75,38.44,39.44,20.6463,3784200,0.0,1.0
2000-02-18,39.44,39.44,38.0,38.25,20.0233,2485800,0.0,1.0
2000-02-22,38.25,38.5,36.06,37.5,19.6307,3040067,0.0,1.0
2000-02-23,37.69,40.06,37.06,39.56,20.7091,4387200,0.0,1.0
2000-02-24,39.38,39.38,37.69,37.94,19.8611,4222400,0.0,1.0
2000-02-25,38.31,38.31,36.56,38.0,19.8925,2544467,0.0,1.0
2000-02-28,38.5,38.69,37.31,37.31,19.5313,4883600,0.0,1.0
2000-02-29,40.0,42.19,39.0,42.0,21.9864,10078267,0.0,1.0
2000-03-01,43.13,46.5,42.31,46.5,24.3421,9346667,0.0,1.0
2000-03-02,46.38,46.44,43.69,45.13,23.6249,4773800,0.0,1.0
2000-03-03,45.5,48.0,45.25,48.0,25.1273,5188400,0.0,1.0
2000-03-06,48.0,48.5,47.06,47.69,24.965,4166067,0.0,1.0
2000-03-07,47.56,47.94,45.75,46.31,24.2426,3283667,0.0,1.0
2000-03-08,46.38,46.38,43.44,45.0,23.5569,2584867,0.0,1.0
2000-03-09,44.5,47.0,43.81,45.5,23.8186,2299400,0.0,1.0
2000-03-10,47.94,54.19,47.13,53.0,27.7448,10713067,0.0,1.0
2000-03-13,49.56,54.5,48.0,50.88,26.635,5083267,0.0,1.0
2000-03-14,50.38,51.0,48.0,48.63,25.4571,4363600,0.0,1.0
2000-03-15,48.0,49.75,47.13,48.5,25.3891,2534867,0.0,1.0
2000-03-16,48.5,50.25,48.13,50.0,26.1743,5446867,0.0,1.0
2000-03-17,51.25,56.0,51.0,55.25,28.9226,8166600,0.0,1.0
2000-03-20,55.88,57.44,53.81,54.0,28.2682,5321467,0.0,1.0
2000-03-21,54.13,54.44,52.38,54.44,28.4986,4264200,0.0,1.0
2000-03-22,55.94,59.0,55.38,57.56,30.1318,3913200,0.0,1.0
2000-03-23,57.0,62.0,55.69,61.25,32.0635,5707200,0.0,1.0
2000-03-24,62.0,67.12,61.44,65.0,34.0266,8828467,0.0,1.0
2000-03-27,63.81,63.81,59.31,60.0,31.4092,4522867,0.0,1.0
2000-03-28,59.5,61.5,58.5,60.13,31.4772,3390600,0.0,1.0
2000-03-29,61.94,63.0,58.75,59.44,31.116,3782467,0.0,1.0
2000-03-30,58.56,60.38,58.06,59.0,30.8857,4020600,0.0,1.0
2000-03-31,58.25,58.75,55.31,57.0,29.8387,4140800,0.0,1.0
2000-04-03,59.25,60.88,55.38,56.94,29.8073,5924267,0.0,1.0
2000-04-04,57.38,57.38,44.44,50.5,26.436,12551067,0.0,1.0
2000-04-05,47.75,55.75,47.25,53.25,27.8756,7770400,0.0,1.0
2000-04-06,54.5,58.25,53.69,58.13,30.4302,4593400,0.0,1.0
2000-04-07,58.25,58.25,53.75,55.13,28.8598,4375400,0.0,1.0
2000-04-10,54.19,57.19,53.81,55.81,29.2157,3090067,0.0,1.0
2000-04-11,55.81,56.75,53.0,54.13,28.3363,2965200,0.0,1.0
2000-04-12,53.88,55.0,50.0,50.0,26.1743,4380000,0.0,1.0
2000-04-13,50.75,50.75,48.0,49.0,25.6508,3251000,0.0,1.0
2000-04-14,44.25,45.0,38.5,40.5,21.2012,10021000,0.0,1.0
2000-04-17,39.69,43.25,39.13,42.0,21.9864,9016800,0.0,1.0
2000-04-18,40.75,47.75,40.0,44.88,23.494,8008800,0.0,1.0
2000-04-19,45.38,45.5,43.0,43.31,22.6722,4435067,0.0,1.0
2000-04-20,43.0,44.88,43.0,44.0,23.0334,2842267,0.0,1.0
2000-04-24,44.0,44.25,42.38,44.13,23.1014,2747667,0.0,1.0
2000-04-25,44.44,46.81,44.44,46.0,24.0804,3346200,0.0,1.0
2000-04-26,46.25,48.56,44.75,45.0,23.5569,3555667,0.0,1.0
2000-04-27,43.56,45.88,43.5,45.5,23.8186,3175667,0.0,1.0
2000-04-28,46.31,47.38,44.13,44.5,23.2951,3266400,0.0,1.0
2000-05-01,44.63,46.94,44.13,45.63,23.8867,3480400,0.0,1.0
2000-05-02,44.25,45.69,43.69,44.75,23.426,2655067,0.0,1.0
2000-05-03,43.75,47.0,41.13,45.25,23.6877,2781067,0.0,1.0
2000-05-04,45.25,45.25,42.25,44.5,23.2951,2738867,0.0,1.0
2000-05-05,42.88,44.81,42.5,43.75,22.9025,2643467,0.0,1.0
2000-05-08,44.63,44.63,42.25,43.06,22.5486,3358267,0.014,1.0
2000-05-09,43.5,44.0,41.88,42.56,22.2868,3401667,0.0,1.0
2000-05-10,41.75,41.88,38.0,40.31,21.1086,4363467,0.0,1.0
2000-05-11,41.0,41.13,38.56,39.88,20.8834,2735800,0.0,1.0
2000-05-12,39.63,42.25,39.5,41.94,21.9621,3052067,0.0,1.0
2000-05-15,41.19,44.75,41.06,43.38,22.7162,2901600,0.0,1.0
