,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,60.19,60.19,58.25,59.19,22.8274,391800,0.0,1.0
2000-01-19,58.5,58.75,56.88,57.63,22.2258,489800,0.0,1.0
2000-01-20,57.38,57.5,54.5,55.44,21.3812,679300,0.0,1.0
2000-01-21,56.5,56.75,54.81,54.94,21.1883,459200,0.0,1.0
2000-01-24,55.0,55.5,53.5,54.0,20.8258,600500,0.0,1.0
2000-01-25,54.0,54.75,53.0,53.31,20.5597,234500,0.0,1.0
2000-01-26,55.0,57.0,54.75,56.06,21.6203,709400,0.0,1.0
2000-01-27,55.88,57.94,55.88,57.25,22.0792,457800,0.0,1.0
2000-01-28,57.25,58.75,55.88,57.31,22.1024,469600,0.0,1.0
2000-01-31,57.06,57.06,54.25,56.13,21.6473,461500,0.0,1.0
2000-02-01,55.88,56.13,54.75,55.13,21.2616,272100,0.0,1.0
2000-02-02,55.38,56.0,54.19,54.38,20.9724,302100,0.0,1.0
2000-02-03,54.63,55.13,53.0,53.44,20.6098,405400,0.0,1.0
2000-02-04,53.69,53.94,52.0,52.5,20.2473,430000,0.0,1.0
2000-02-07,52.25,52.25,50.5,51.0,19.6688,385200,0.0,1.0
2000-02-08,49.5,51.75,49.5,51.13,19.719,723900,0.0,1.0
2000-02-09,52.13,53.0,51.63,51.81,19.9812,505600,0.0,1.0
2000-02-10,52.06,53.38,51.13,51.81,19.9812,951200,0.0,1.0
2000-02-11,52.0,52.0,50.5,50.69,19.5493,392200,0.0,1.0
2000-02-14,50.38,50.88,49.94,50.0,19.2832,200700,0.0,1.0
2000-02-15,50.63,51.13,49.94,50.75,19.5724,305500,0.0,1.0
2000-02-16,50.5,50.88,48.94,49.0,18.8975,412400,0.0,1.0
2000-02-17,48.75,50.25,48.5,49.19,18.9708,628400,0.0,1.0
2000-02-18,48.94,49.0,46.5,47.75,18.4154,457100,0.0,1.0
2000-02-22,48.25,49.69,48.0,49.44,19.0672,264600,0.0,1.0
2000-02-23,49.44,50.25,49.44,49.94,19.26,271700,0.0,1.0
2000-02-24,49.94,49.94,48.44,48.63,18.7548,506600,0.0,1.0
2000-02-25,48.56,49.63,48.25,48.25,18.6082,242900,0.0,1.0
2000-02-28,47.75,47.88,47.19,47.31,18.2457,303400,0.0,1.0
2000-02-29,47.31,50.31,47.31,49.69,19.1636,618500,0.0,1.0
2000-03-01,50.5,51.81,50.25,51.44,19.8385,573700,0.0,1.0
2000-03-02,51.44,52.13,50.88,51.0,19.6688,559800,0.0,1.0
2000-03-03,50.94,52.13,50.63,51.13,19.719,488400,0.0,1.0
2000-03-06,51.13,51.13,49.19,49.63,19.1405,346000,0.0,1.0
2000-03-07,50.0,50.13,47.69,48.06,18.535,1653200,0.0,1.0
2000-03-08,47.38,47.5,44.25,44.38,17.1157,2345400,0.0,1.0
2000-03-09,45.0,45.63,44.38,44.94,17.3317,812300,0.0,1.0
2000-03-10,44.88,46.0,44.63,44.75,17.2584,509500,0.0,1.0
2000-03-13,43.75,45.63,43.38,45.13,17.405,641800,0.0,1.0
2000-03-14,45.19,46.44,43.94,44.38,17.1157,920400,0.0,1.0
2000-03-15,44.5,46.44,43.44,45.44,17.5245,1068300,0.0,1.0
2000-03-16,46.5,50.0,46.25,49.06,18.9206,916700,0.0,1.0
2000-03-17,49.13,49.5,47.88,48.0,18.5118,441800,0.0,1.0
2000-03-20,48.56,50.0,48.5,48.63,18.7548,425000,0.0,1.0
2000-03-21,48.63,50.25,48.38,50.13,19.3333,667800,0.0,1.0
2000-03-22,50.06,50.19,48.75,48.88,18.8512,1307600,0.0,1.0
2000-03-23,48.75,52.63,48.75,51.56,19.8848,1515900,0.0,1.0
2000-03-24,51.56,52.5,51.0,52.0,20.0545,409200,0.0,1.0
2000-03-27,52.0,52.19,49.38,49.81,19.2099,448300,0.0,1.0
2000-03-28,50.06,51.13,49.5,49.94,19.26,341700,0.0,1.0
2000-03-29,49.94,50.69,48.19,49.63,19.1405,624000,0.0,1.0
2000-03-30,51.0,53.63,50.94,52.69,20.3206,724400,0.0,1.0
2000-03-31,52.44,55.06,52.25,54.31,20.9454,608600,0.0,1.0
2000-04-03,54.56,55.75,54.13,55.25,21.3079,359200,0.0,1.0
2000-04-04,55.5,55.81,53.25,54.75,21.1151,768600,0.0,1.0
2000-04-05,55.5,55.5,53.38,53.69,20.7063,260300,0.0,1.0
2000-04-06,53.88,54.44,53.38,53.56,20.6561,182300,0.0,1.0
2000-04-07,55.13,56.44,53.88,56.19,21.6704,433600,0.0,1.0
2000-04-10,57.44,59.0,57.13,58.69,22.6346,901600,0.0,1.0
2000-04-11,58.44,58.75,57.69,58.63,22.6114,622100,0.0,1.0
2000-04-12,59.0,59.5,57.75,57.81,22.2952,542700,0.0,1.0
2000-04-13,57.94,57.94,56.44,56.94,21.9597,312900,0.0,1.0
2000-04-14,56.19,56.38,54.25,54.81,21.1382,329600,0.0,1.0
2000-04-17,54.56,54.56,52.88,53.38,20.5867,429500,0.0,1.0
2000-04-18,53.38,56.0,52.25,53.94,20.8027,576000,0.0,1.0
2000-04-19,53.81,54.38,53.38,53.94,20.8027,185100,0.0,1.0
2000-04-20,53.31,54.75,53.0,54.69,21.0919,348700,0.0,1.0
2000-04-24,54.44,55.0,54.19,54.75,21.1151,506800,0.0,1.0
2000-04-25,54.5,57.75,54.5,57.38,22.1294,369400,0.0,1.0
2000-04-26,57.38,57.75,55.88,57.06,22.0059,381800,0.0,1.0
2000-04-27,55.69,56.81,53.06,56.44,21.7668,1059800,0.0,1.0
2000-04-28,57.0,57.0,54.94,55.63,21.4544,377900,0.0,1.0
2000-05-01,55.63,56.25,55.31,56.19,21.6704,329200,0.0,1.0
2000-05-02,55.5,56.0,53.56,54.31,20.9454,382800,0.0,1.0
2000-05-03,54.13,54.56,53.5,53.94,20.8027,607200,0.0,1.0
2000-05-04,53.75,54.25,53.56,53.69,20.7063,460100,0.0,1.0
2000-05-05,53.56,54.13,52.69,53.81,20.7525,534400,0.0,1.0
2000-05-08,53.56,54.94,53.5,54.31,20.9454,412600,0.0,1.0
2000-05-09,54.19,55.5,53.44,53.44,20.6098,815700,0.0,1.0
2000-05-10,53.0,53.69,51.13,52.63,20.2975,884300,0.0,1.0
2000-05-11,52.63,55.13,52.63,54.25,20.9222,415200,0.0,1.0
