,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,19.25,19.25,19.12,19.25,11.296,14180,0.0,1.0
2000-01-19,19.25,19.5,19.12,19.5,11.4427,16508,0.0,1.0
2000-01-20,19.5,19.5,19.12,19.25,11.296,12275,0.0,1.0
2000-01-21,19.25,19.25,19.0,19.12,11.2197,13122,0.0,1.0
2000-01-24,19.12,19.12,18.62,18.62,10.9263,11217,0.0,1.0
2000-01-25,18.62,18.75,18.38,18.38,10.7854,8466,0.0,1.0
2000-01-26,18.38,18.62,18.38,18.62,10.9263,11429,0.0,1.0
2000-01-27,18.62,18.62,18.38,18.38,10.7854,9947,0.0,1.0
2000-01-28,18.38,18.5,18.0,18.12,10.6329,15873,0.0,1.0
2000-01-31,18.12,18.12,17.0,17.5,10.2691,107513,0.0,1.0
2000-02-01,17.5,17.62,17.25,17.5,10.2691,29418,0.0,1.0
2000-02-02,17.5,17.62,17.38,17.5,10.2691,10582,0.0,1.0
2000-02-03,17.5,17.62,17.38,17.5,10.2691,12275,0.0,1.0
2000-02-04,17.5,17.88,17.38,17.75,10.4158,8042,0.0,1.0
2000-02-07,17.75,18.12,17.75,18.12,10.6329,10370,0.0,1.0
2000-02-08,18.12,18.12,17.5,18.12,10.6329,24762,0.0,1.0
2000-02-09,18.12,18.5,18.0,18.38,10.7854,12910,0.0,1.0
2000-02-10,18.25,18.25,17.38,17.88,10.492,16296,0.0,1.0
2000-02-11,17.88,17.88,17.25,17.38,10.1986,21799,0.0,1.0
2000-02-14,17.38,17.38,16.88,17.25,10.2104,19471,0.15,1.0
2000-02-15,17.25,17.88,17.25,17.88,10.5833,18413,0.0,1.0
2000-02-16,17.88,18.12,17.88,18.0,10.6543,5291,0.0,1.0
2000-02-17,18.0,18.38,17.62,18.25,10.8023,14180,0.0,1.0
2000-02-18,18.12,18.12,17.25,17.25,10.2104,15873,0.0,1.0
2000-02-22,17.25,17.38,16.75,16.88,9.9914,16296,0.0,1.0
2000-02-23,16.88,17.25,16.62,17.12,10.1334,12275,0.0,1.0
2000-02-24,17.12,17.25,17.0,17.12,10.1334,2540,0.0,1.0
2000-02-25,17.0,17.0,16.88,17.0,10.0624,5079,0.0,1.0
2000-02-28,17.0,17.12,16.62,17.12,10.1334,14603,0.0,1.0
2000-02-29,17.12,17.12,16.88,17.12,10.1334,11217,0.0,1.0
2000-03-01,17.12,17.38,17.0,17.0,10.0624,20529,0.0,1.0
2000-03-02,17.0,17.38,17.0,17.0,10.0624,5714,0.0,1.0
2000-03-03,17.0,17.12,17.0,17.0,10.0624,24339,0.0,1.0
2000-03-06,16.88,16.88,16.38,16.62,9.8375,24127,0.0,1.0
2000-03-07,16.62,16.62,16.25,16.38,9.6954,19259,0.0,1.0
2000-03-08,16.38,16.62,16.12,16.62,9.8375,10582,0.0,1.0
2000-03-09,16.75,17.0,16.75,16.75,9.9144,9947,0.0,1.0
2000-03-10,16.62,16.62,16.25,16.62,9.8375,17143,0.0,1.0
2000-03-13,16.62,16.62,16.5,16.62,9.8375,6772,0.0,1.0
2000-03-14,16.62,16.62,16.62,16.62,9.8375,9312,0.0,1.0
2000-03-15,16.62,16.62,16.62,16.62,9.8375,15873,0.0,1.0
2000-03-16,16.62,16.88,16.62,16.88,9.9914,35556,0.0,1.0
2000-03-17,16.5,16.5,16.25,16.38,9.6954,27513,0.0,1.0
2000-03-20,16.5,16.62,16.5,16.5,9.7665,27090,0.0,1.0
2000-03-21,16.5,16.5,16.25,16.5,9.7665,9312,0.0,1.0
2000-03-22,16.5,16.5,15.88,16.0,9.4705,14180,0.0,1.0
2000-03-23,16.0,16.25,15.62,15.62,9.2456,9101,0.0,1.0
2000-03-24,15.62,15.62,15.12,15.12,8.9496,8889,0.0,1.0
2000-03-27,15.12,15.25,15.0,15.25,9.0266,62222,0.0,1.0
2000-03-28,15.25,15.25,15.0,15.0,8.8786,13545,0.0,1.0
2000-03-29,15.12,15.5,15.12,15.38,9.1035,23704,0.0,1.0
2000-03-30,15.38,17.0,15.38,17.0,10.0624,35344,0.0,1.0
2000-03-31,17.0,18.38,17.0,18.0,10.6543,71958,0.0,1.0
2000-04-03,18.0,18.12,17.5,17.88,10.5833,25397,0.0,1.0
2000-04-04,17.88,18.25,17.75,17.75,10.5063,16508,0.0,1.0
2000-04-05,17.75,17.75,17.12,17.12,10.1334,8254,0.0,1.0
2000-04-06,17.12,17.62,17.0,17.0,10.0624,21587,0.0,1.0
2000-04-07,17.0,17.0,16.88,17.0,10.0624,8889,0.0,1.0
2000-04-10,16.62,16.62,15.75,16.5,9.7665,32381,0.0,1.0
2000-04-11,16.5,16.75,16.38,16.5,9.7665,10370,0.0,1.0
2000-04-12,16.5,17.0,16.5,16.5,9.7665,11429,0.0,1.0
2000-04-13,16.5,16.5,16.12,16.38,9.6954,10370,0.0,1.0
2000-04-14,16.12,16.12,15.88,16.0,9.4705,13968,0.0,1.0
2000-04-17,16.0,16.25,16.0,16.12,9.5415,16085,0.0,1.0
2000-04-18,16.12,16.12,15.5,15.5,9.1745,11005,0.0,1.0
2000-04-19,15.5,16.12,15.5,16.0,9.4705,11640,0.0,1.0
2000-04-20,16.0,16.25,16.0,16.0,9.4705,19683,0.0,1.0
2000-04-24,16.0,16.12,15.88,16.0,9.4705,8889,0.0,1.0
2000-04-25,16.0,16.88,15.5,16.88,9.9914,27937,0.0,1.0
2000-04-26,16.88,16.88,16.12,16.25,9.6185,17778,0.0,1.0
2000-04-27,16.12,16.12,15.5,15.88,9.3995,25608,0.0,1.0
2000-04-28,15.88,16.0,15.5,16.0,9.4705,10370,0.0,1.0
2000-05-01,16.0,16.0,15.75,16.0,9.4705,13545,0.0,1.0
2000-05-02,16.0,16.12,15.88,16.0,9.4705,5926,0.0,1.0
2000-05-03,16.0,16.88,15.88,16.0,9.4705,14603,0.0,1.0
2000-05-04,16.25,17.88,16.25,17.88,10.5833,33439,0.0,1.0
2000-05-05,17.88,18.12,16.5,16.62,9.8375,61799,0.0,1.0
2000-05-08,16.62,16.62,16.0,16.5,9.7665,14603,0.0,1.0
2000-05-09,16.5,16.88,16.5,16.62,9.8375,70053,0.0,1.0
2000-05-10,16.62,17.12,16.5,16.5,9.7665,24127,0.0,1.0
2000-05-11,16.5,16.62,16.38,16.5,9.7665,8254,0.0,1.0
2000-05-12,16.5,16.62,16.25,16.62,9.8375,16720,0.0,1.0
2000-05-15,16.62,17.0,16.38,16.62,9.8375,18201,0.0,1.0
2000-05-16,16.62,17.5,16.38,17.5,10.4531,190265,0.16,1.0
2000-05-17,17.5,17.5,17.0,17.12,10.2261,96720,0.0,1.0
2000-05-18,17.12,17.12,16.88,17.0,10.1544,31958,0.0,1.0
2000-05-19,17.12,17.5,17.12,17.38,10.3814,72804,0.0,1.0
2000-05-22,17.25,17.25,17.0,17.12,10.2261,14392,0.0,1.0
2000-05-23,17.12,17.5,17.12,17.12,10.2261,15873,0.0,1.0
2000-05-24,17.12,18.25,17.0,18.25,10.9011,38730,0.0,1.0
2000-05-25,18.12,18.12,17.75,18.0,10.7517,14815,0.0,1.0
2000-05-26,18.0,18.12,17.62,18.0,10.7517,11640,0.0,1.0
2000-05-30,18.0,18.0,17.75,17.88,10.68,13333,0.0,1.0
2000-05-31,17.88,17.88,17.5,17.62,10.5247,48254,0.0,1.0
2000-06-01,17.75,18.0,17.75,17.88,10.68,28571,0.0,1.0
2000-06-02,18.0,18.12,18.0,18.12,10.8234,13757,0.0,1.0
2000-06-05,18.12,18.25,17.62,17.75,10.6024,10370,0.0,1.0
2000-06-06,17.75,17.75,17.5,17.5,10.4531,15238,0.0,1.0
2000-06-07,17.5,17.88,17.5,17.88,10.68,15450,0.0,1.0
2000-06-08,17.75,17.75,17.62,17.75,10.6024,1905,0.0,1.0
2000-06-09,17.75,17.75,17.38,17.62,10.5247,3386,0.0,1.0
2000-06-12,17.62,17.75,17.5,17.5,10.4531,5714,0.0,1.0
2000-06-13,17.5,17.62,17.38,17.62,10.5247,8042,0.0,1.0
2000-06-14,17.62,17.88,17.38,17.38,10.3814,7831,0.0,1.0
2000-06-15,17.38,17.62,17.38,17.62,10.5247,22222,0.0,1.0
2000-06-16,17.5,17.5,17.25,17.5,10.4531,60529,0.0,1.0
2000-06-19,17.5,17.88,17.25,17.75,10.6024,12063,0.0,1.0
2000-06-20,17.62,17.62,17.38,17.38,10.3814,20317,0.0,1.0
2000-06-21,17.38,17.75,17.38,17.5,10.4531,11852,0.0,1.0
2000-06-22,17.5,17.5,17.38,17.38,10.3814,19683,0.0,1.0
2000-06-23,17.38,17.38,17.25,17.38,10.3814,17566,0.0,1.0
2000-06-26,17.38,17.75,17.38,17.75,10.6024,10582,0.0,1.0
2000-06-27,17.88,18.12,17.88,18.0,10.7517,22646,0.0,1.0
2000-06-28,18.0,18.5,18.0,18.38,10.9787,18201,0.0,1.0
2000-06-29,18.38,18.62,18.38,18.62,11.1221,23280,0.0,1.0
2000-06-30,18.62,19.25,18.5,19.25,11.4984,159788,0.0,1.0
2000-07-03,19.25,19.38,19.25,19.38,11.576,15450,0.0,1.0
2000-07-05,19.38,19.5,19.0,19.25,11.4984,61799,0.0,1.0
2000-07-06,19.25,19.25,18.38,18.38,10.9787,12698,0.0,1.0
2000-07-07,18.38,18.88,18.25,18.75,11.1997,15661,0.0,1.0
2000-07-10,18.75,19.0,18.5,18.75,11.1997,13545,0.0,1.0
2000-07-11,18.62,18.62,18.12,18.38,10.9787,8677,0.0,1.0
2000-07-12,18.38,18.38,17.75,18.38,10.9787,20529,0.0,1.0
2000-07-13,18.38,18.5,18.12,18.12,10.8234,11852,0.0,1.0
2000-07-14,18.12,18.25,18.12,18.12,10.8234,6349,0.0,1.0
2000-07-17,18.12,18.5,18.0,18.12,10.8234,10794,0.0,1.0
2000-07-18,18.12,18.12,18.0,18.12,10.8234,3386,0.0,1.0
2000-07-19,18.12,18.12,17.88,18.0,10.7517,13122,0.0,1.0
2000-07-20,18.0,18.25,18.0,18.25,10.9011,4656,0.0,1.0
2000-07-21,18.25,18.25,17.88,18.0,10.7517,7196,0.0,1.0
2000-07-24,18.0,18.0,17.75,17.88,10.68,9735,0.0,1.0
2000-07-25,17.88,18.12,17.75,17.88,10.68,27302,0.0,1.0
2000-07-26,17.88,18.0,17.75,18.0,10.7517,22011,0.0,1.0
2000-07-27,18.0,18.0,17.75,18.0,10.7517,11429,0.0,1.0
2000-07-28,18.0,18.12,17.62,18.0,10.7517,12698,0.0,1.0
2000-07-31,18.0,18.25,18.0,18.0,10.7517,21587,0.0,1.0
2000-08-01,18.0,18.12,18.0,18.0,10.7517,11005,0.0,1.0
