,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,62.0,66.75,61.75,66.13,22.9426,5107600,0.0,1.0
2000-01-19,66.0,66.5,65.06,65.88,22.8559,3447100,0.0,1.0
2000-01-20,64.81,65.25,63.25,64.56,22.3979,2538400,0.0,1.0
2000-01-21,64.94,67.63,64.88,66.0,22.8975,4489300,0.0,1.0
2000-01-24,66.25,66.94,64.0,64.31,22.3112,2732200,0.0,1.0
2000-01-25,63.31,64.75,62.5,63.5,22.0302,3067800,0.0,1.0
2000-01-26,64.25,65.0,61.56,62.88,21.8151,3399800,0.0,1.0
2000-01-27,62.63,64.5,61.31,62.5,21.6832,4099000,0.0,1.0
2000-01-28,62.13,63.25,59.75,60.0,20.8159,3302100,0.0,1.0
2000-01-31,60.38,61.56,59.75,61.06,21.1837,2401600,0.0,1.0
2000-02-01,61.94,64.06,61.75,63.94,22.1828,1944200,0.0,1.0
2000-02-02,64.5,65.12,61.25,61.5,21.3363,3166500,0.0,1.0
2000-02-03,62.0,62.25,60.75,61.31,21.2704,2372200,0.0,1.0
2000-02-04,59.5,61.31,58.75,59.5,20.6425,3119300,0.0,1.0
2000-02-07,59.13,61.5,59.13,60.69,21.0553,2228000,0.0,1.0
2000-02-08,61.13,61.69,58.75,59.5,20.6425,1609300,0.0,1.0
2000-02-09,59.5,60.31,56.94,57.06,19.7959,2965700,0.0,1.0
2000-02-10,58.0,59.63,57.5,59.06,20.4898,3556400,0.0,1.0
2000-02-11,59.5,60.19,58.31,58.44,20.2747,2522500,0.0,1.0
2000-02-14,58.44,60.5,57.5,60.5,20.9894,2375300,0.0,1.0
2000-02-15,61.5,65.25,61.31,65.0,22.5506,5461100,0.0,1.0
2000-02-16,65.81,66.38,65.06,66.0,22.8975,5753500,0.0,1.0
2000-02-17,65.5,67.69,64.75,66.88,23.2028,5153400,0.0,1.0
2000-02-18,67.19,67.75,65.88,66.5,23.071,2887200,0.0,1.0
2000-02-22,65.88,66.75,64.25,65.31,22.7234,2529500,0.188,1.0
2000-02-23,64.5,65.13,63.75,64.5,22.4415,2017400,0.0,1.0
2000-02-24,64.5,68.69,64.38,68.44,23.8124,6011400,0.0,1.0
2000-02-25,68.25,69.25,66.88,67.0,23.3114,3789900,0.0,1.0
2000-02-28,66.63,70.19,66.56,69.25,24.0942,3770300,0.0,1.0
2000-02-29,70.5,73.88,70.31,73.86,25.6982,4787300,0.0,1.0
2000-03-01,75.81,82.13,75.0,77.06,26.8115,7773900,0.0,1.0
2000-03-02,81.0,84.38,80.63,81.63,28.4016,9986900,0.0,1.0
2000-03-03,80.88,80.94,76.5,78.63,27.3578,6392000,0.0,1.0
2000-03-06,77.75,79.19,77.19,77.38,26.9229,3665400,0.0,1.0
2000-03-07,78.0,84.38,78.0,82.19,28.5964,5074000,0.0,1.0
2000-03-08,77.0,78.88,76.06,77.06,26.8115,4730200,0.0,1.0
2000-03-09,76.0,77.31,74.31,76.63,26.6619,3953500,0.0,1.0
2000-03-10,76.25,80.75,76.13,76.69,26.6828,3333000,0.0,1.0
2000-03-13,76.0,80.44,75.56,77.81,27.0725,3340100,0.0,1.0
2000-03-14,76.88,77.69,74.56,76.25,26.5297,3058700,0.0,1.0
2000-03-15,75.38,76.19,73.38,73.88,25.7051,2821900,0.0,1.0
2000-03-16,73.63,75.94,72.19,75.5,26.2688,4187300,0.0,1.0
2000-03-17,74.75,76.5,74.19,74.31,25.8547,3412700,0.0,1.0
2000-03-20,74.38,74.38,69.44,70.25,24.4421,3998200,0.0,1.0
2000-03-21,70.56,74.19,70.56,72.0,25.051,3411000,0.0,1.0
2000-03-22,73.25,78.63,73.0,76.63,26.6619,4201900,0.0,1.0
2000-03-23,77.5,79.38,75.81,77.31,26.8985,3054900,0.0,1.0
2000-03-24,79.5,80.81,77.44,78.19,27.2047,3007300,0.0,1.0
2000-03-27,77.25,81.31,75.81,79.63,27.7057,3835100,0.0,1.0
2000-03-28,78.25,80.44,76.31,76.88,26.7489,3186200,0.0,1.0
2000-03-29,75.69,81.94,75.56,81.13,28.2276,4024700,0.0,1.0
2000-03-30,82.75,83.88,77.75,77.75,27.0516,3359300,0.0,1.0
2000-03-31,79.0,80.31,76.5,76.5,26.6167,2295800,0.0,1.0
2000-04-03,78.0,81.88,78.0,81.19,28.2485,2879500,0.0,1.0
2000-04-04,81.0,82.75,77.25,79.19,27.5526,5196000,0.0,1.0
2000-04-05,79.0,79.94,73.0,73.75,25.6599,4366800,0.0,1.0
2000-04-06,74.94,76.19,72.5,75.0,26.0948,3518900,0.0,1.0
2000-04-07,75.06,78.0,73.44,73.63,25.6181,3021500,0.0,1.0
2000-04-10,72.13,72.38,70.31,70.31,24.463,3311600,0.0,1.0
2000-04-11,71.06,73.25,70.5,72.94,25.3781,3305600,0.0,1.0
2000-04-12,73.5,74.94,72.31,73.25,25.4859,3062900,0.0,1.0
2000-04-13,73.0,74.44,71.75,71.75,24.964,2315700,0.0,1.0
2000-04-14,71.38,74.63,69.19,70.19,24.4213,2875500,0.0,1.0
2000-04-17,70.19,70.38,66.81,68.31,23.7671,2664200,0.0,1.0
2000-04-18,69.63,73.88,69.5,73.88,25.7051,3179600,0.0,1.0
