,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,22.25,22.62,22.25,22.5,11.8422,39300,0.0,1.0
2000-01-19,22.25,22.25,22.12,22.19,11.679,70800,0.0,1.0
2000-01-20,22.25,22.5,22.19,22.44,11.8106,26000,0.0,1.0
2000-01-21,22.19,22.44,22.19,22.31,11.7422,20000,0.0,1.0
2000-01-24,22.31,22.31,22.0,22.06,11.6106,57900,0.0,1.0
2000-01-25,22.19,22.19,21.94,21.94,11.5474,13400,0.0,1.0
2000-01-26,21.94,22.12,21.94,22.06,11.6106,7400,0.0,1.0
2000-01-27,22.0,22.25,21.75,22.06,11.6106,99300,0.0,1.0
2000-01-28,22.06,22.12,21.88,22.0,11.579,13000,0.0,1.0
2000-01-31,22.0,22.19,21.75,21.75,11.4474,46800,0.0,1.0
2000-02-01,21.88,21.94,21.62,21.81,11.479,12700,0.0,1.0
2000-02-02,21.81,21.81,21.56,21.75,11.4474,19600,0.0,1.0
2000-02-03,21.75,22.12,21.75,22.0,11.579,18000,0.0,1.0
2000-02-04,22.0,22.31,22.0,22.31,11.7422,33600,0.0,1.0
2000-02-07,22.25,22.38,22.0,22.25,11.7106,64800,0.0,1.0
2000-02-08,22.25,22.69,22.25,22.62,11.9053,47300,0.0,1.0
2000-02-09,22.62,22.94,22.62,22.69,11.9422,113500,0.0,1.0
2000-02-10,22.81,22.94,22.44,22.5,11.8422,58800,0.0,1.0
2000-02-11,22.5,22.69,21.94,22.31,11.7422,44700,0.0,1.0
2000-02-14,22.06,22.19,21.62,21.62,11.379,73400,0.0,1.0
2000-02-15,21.62,22.0,21.62,21.81,11.479,103700,0.0,1.0
2000-02-16,21.56,21.75,21.44,21.56,11.3474,46400,0.0,1.0
2000-02-17,21.5,22.06,21.12,22.06,11.6106,91100,0.0,1.0
2000-02-18,22.0,22.38,21.88,22.12,11.6422,31100,0.0,1.0
2000-02-22,22.12,22.62,22.0,22.62,11.9053,200900,0.0,1.0
2000-02-23,22.5,22.62,22.25,22.62,11.9053,51800,0.0,1.0
2000-02-24,22.62,22.94,22.62,22.81,12.0053,153400,0.0,1.0
2000-02-25,22.75,23.25,22.75,23.06,12.1369,156300,0.0,1.0
2000-02-28,22.62,23.19,22.62,23.06,12.1369,77300,0.0,1.0
2000-02-29,23.0,23.25,23.0,23.19,12.2053,99000,0.0,1.0
2000-03-01,23.19,23.44,22.94,23.44,12.3369,57400,0.0,1.0
2000-03-02,23.31,23.38,23.06,23.12,12.1685,58000,0.0,1.0
2000-03-03,23.25,23.25,22.62,23.12,12.1685,75200,0.0,1.0
2000-03-06,23.12,23.19,23.0,23.12,12.1685,60900,0.0,1.0
2000-03-07,23.0,23.0,22.31,22.31,11.7422,341300,0.0,1.0
2000-03-08,22.44,22.56,22.06,22.44,11.8106,32700,0.0,1.0
2000-03-09,22.44,22.44,22.06,22.31,11.7422,28900,0.0,1.0
2000-03-10,22.31,22.38,22.0,22.0,11.579,41600,0.0,1.0
2000-03-13,21.81,22.38,21.81,22.0,11.579,33500,0.0,1.0
