,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,27.25,27.63,27.13,27.5,16.5814,336000,0.0,1.0
2000-01-19,27.69,27.69,27.38,27.38,16.509,371400,0.0,1.0
2000-01-20,27.5,27.56,27.13,27.19,16.3945,212000,0.0,1.0
2000-01-21,27.25,27.31,26.44,26.69,16.093,361200,0.0,1.0
2000-01-24,26.81,26.94,26.31,26.31,15.8639,201000,0.0,1.0
2000-01-25,26.25,26.31,25.5,25.75,15.5262,286300,0.0,1.0
2000-01-26,25.75,25.88,25.06,25.63,15.4538,241800,0.0,1.0
2000-01-27,25.81,26.56,25.81,26.5,15.9784,265100,0.0,1.0
2000-01-28,26.5,26.75,26.38,26.38,15.9061,405700,0.0,1.0
2000-01-31,26.56,27.0,26.44,26.88,16.2075,316100,0.0,1.0
2000-02-01,27.13,27.31,26.19,26.44,15.9422,362200,0.0,1.0
2000-02-02,26.44,26.75,26.44,26.63,16.0568,214100,0.0,1.0
2000-02-03,26.75,27.44,26.75,27.19,16.3945,298800,0.0,1.0
2000-02-04,27.38,27.38,26.88,26.94,16.2437,355900,0.0,1.0
2000-02-07,27.0,27.0,26.25,26.38,15.9061,165900,0.0,1.0
2000-02-08,26.5,26.75,25.69,25.81,15.5624,245000,0.0,1.0
2000-02-09,25.81,25.81,24.75,24.88,15.0016,337200,0.0,1.0
2000-02-10,24.88,24.88,24.0,24.31,14.6579,284400,0.0,1.0
2000-02-11,24.44,24.63,23.81,23.88,14.3987,200800,0.0,1.0
2000-02-14,24.0,24.31,23.75,23.75,14.3203,185100,0.0,1.0
2000-02-15,23.94,24.25,23.31,24.25,14.6218,373300,0.0,1.0
2000-02-16,23.94,24.0,23.44,23.75,14.459,129300,0.23,1.0
2000-02-17,23.56,23.69,23.13,23.69,14.4224,136600,0.0,1.0
2000-02-18,23.44,23.5,22.19,22.56,13.7345,306300,0.0,1.0
2000-02-22,22.75,23.0,22.38,22.94,13.9658,160700,0.0,1.0
2000-02-23,23.0,23.38,22.5,22.5,13.698,131700,0.0,1.0
2000-02-24,22.69,22.69,22.06,22.13,13.4727,143400,0.0,1.0
2000-02-25,22.31,22.5,22.13,22.31,13.5823,482900,0.0,1.0
2000-02-28,22.63,22.63,22.19,22.44,13.6614,179200,0.0,1.0
2000-02-29,22.19,22.63,21.81,21.81,13.2779,349400,0.0,1.0
2000-03-01,22.19,22.63,22.13,22.31,13.5823,190700,0.0,1.0
2000-03-02,22.31,22.94,22.13,22.38,13.6249,165100,0.0,1.0
2000-03-03,23.25,23.81,22.88,22.94,13.9658,358200,0.0,1.0
2000-03-06,23.06,23.25,22.38,22.5,13.698,187000,0.0,1.0
2000-03-07,22.25,22.25,21.06,21.25,12.937,229400,0.0,1.0
2000-03-08,21.13,22.13,20.88,22.13,13.4727,274200,0.0,1.0
2000-03-09,22.63,23.31,22.13,23.31,14.1911,479700,0.0,1.0
2000-03-10,23.56,24.75,23.31,24.31,14.7999,669100,0.0,1.0
2000-03-13,23.94,24.44,23.31,24.06,14.6477,390000,0.0,1.0
2000-03-14,24.06,24.81,23.31,23.38,14.2337,317400,0.0,1.0
2000-03-15,23.56,24.56,23.56,24.5,14.9156,230800,0.0,1.0
2000-03-16,24.69,26.25,24.69,26.25,15.981,298400,0.0,1.0
2000-03-17,26.44,26.81,25.94,25.94,15.7922,340400,0.0,1.0
2000-03-20,25.75,27.13,25.69,26.69,16.2488,285500,0.0,1.0
2000-03-21,26.44,26.5,25.38,25.81,15.7131,253500,0.0,1.0
2000-03-22,25.94,26.13,25.56,25.69,15.64,262500,0.0,1.0
2000-03-23,25.75,26.25,25.31,26.13,15.9079,449300,0.0,1.0
2000-03-24,25.75,26.13,25.13,26.06,15.8653,231700,0.0,1.0
2000-03-27,26.63,26.81,25.13,25.13,15.2991,195900,0.0,1.0
2000-03-28,25.0,25.31,24.75,25.13,15.2991,213300,0.0,1.0
2000-03-29,25.06,25.44,24.88,25.25,15.3722,157900,0.0,1.0
2000-03-30,25.19,26.5,25.13,25.75,15.6766,272500,0.0,1.0
2000-03-31,25.56,26.31,25.25,26.19,15.9444,223800,0.0,1.0
2000-04-03,26.06,26.63,25.25,25.88,15.7557,180900,0.0,1.0
2000-04-04,26.0,26.13,25.44,26.13,15.9079,257500,0.0,1.0
2000-04-05,26.13,26.25,25.25,25.5,15.5244,267500,0.0,1.0
2000-04-06,25.63,26.25,25.19,25.81,15.7131,419900,0.0,1.0
2000-04-07,25.81,26.31,25.63,25.88,15.7557,157400,0.0,1.0
2000-04-10,25.75,26.13,25.0,25.19,15.3356,189200,0.0,1.0
2000-04-11,25.44,26.38,25.38,25.69,15.64,232400,0.0,1.0
2000-04-12,25.69,27.38,25.69,26.63,16.2123,223100,0.0,1.0
2000-04-13,26.75,27.25,26.13,26.38,16.0601,209000,0.0,1.0
2000-04-14,26.19,26.19,24.75,24.88,15.1469,242800,0.0,1.0
2000-04-17,24.88,26.19,24.88,26.13,15.9079,191300,0.0,1.0
2000-04-18,25.88,26.5,25.81,26.31,16.0175,235200,0.0,1.0
2000-04-19,26.19,26.25,25.75,25.88,15.7557,99200,0.0,1.0
2000-04-20,25.63,26.0,25.44,25.94,15.7922,81000,0.0,1.0
2000-04-24,25.75,25.94,25.19,25.94,15.7922,169100,0.0,1.0
2000-04-25,26.0,27.75,25.75,27.63,16.8211,266300,0.0,1.0
2000-04-26,27.38,27.44,26.31,27.25,16.5898,216500,0.0,1.0
2000-04-27,26.88,27.25,26.81,26.88,16.3645,210600,0.0,1.0
2000-04-28,26.88,26.88,26.19,26.44,16.0966,128000,0.0,1.0
2000-05-01,26.31,27.06,26.0,26.88,16.3645,101200,0.0,1.0
2000-05-02,26.69,26.81,26.13,26.5,16.1332,152100,0.0,1.0
2000-05-03,26.31,26.5,25.5,25.88,15.7557,216800,0.0,1.0
2000-05-04,25.75,25.88,25.0,25.0,15.22,329200,0.0,1.0
2000-05-05,25.0,25.25,24.81,25.19,15.3356,220100,0.0,1.0
2000-05-08,24.88,26.63,24.88,25.19,15.3356,204400,0.0,1.0
2000-05-09,25.06,25.63,25.06,25.31,15.4087,188500,0.0,1.0
2000-05-10,25.19,25.25,24.38,24.5,14.9156,167100,0.0,1.0
2000-05-11,24.69,27.25,24.63,27.0,16.4376,574600,0.0,1.0
2000-05-12,27.0,27.13,25.81,26.13,15.9079,133600,0.0,1.0
2000-05-15,26.19,26.81,25.88,26.5,16.1332,125300,0.0,1.0
2000-05-16,26.5,27.31,26.44,27.0,16.4376,150400,0.0,1.0
2000-05-17,26.63,26.75,25.75,26.25,16.121,119500,0.23,1.0
2000-05-18,26.38,26.5,26.0,26.25,16.121,324200,0.0,1.0
2000-05-19,26.06,26.25,25.56,26.25,16.121,228200,0.0,1.0
2000-05-22,26.38,26.5,25.69,26.13,16.0473,209300,0.0,1.0
2000-05-23,26.13,26.56,26.06,26.31,16.1578,197900,0.0,1.0
2000-05-24,26.31,26.75,25.75,26.5,16.2745,141300,0.0,1.0
2000-05-25,26.63,27.0,26.0,26.63,16.3543,238600,0.0,1.0
2000-05-26,26.75,26.88,25.88,26.0,15.9674,288900,0.0,1.0
2000-05-30,26.06,26.5,26.06,26.25,16.121,256800,0.0,1.0
2000-05-31,26.25,26.5,25.94,26.06,16.0043,244600,0.0,1.0
2000-06-01,25.69,26.13,25.5,26.0,15.9674,154000,0.0,1.0
2000-06-02,26.0,26.94,26.0,26.88,16.5079,147200,0.0,1.0
2000-06-05,26.63,27.25,26.63,26.81,16.4649,161000,0.0,1.0
2000-06-06,26.94,27.19,26.75,27.19,16.6983,319400,0.0,1.0
2000-06-07,27.19,27.44,26.38,26.75,16.428,253300,0.0,1.0
2000-06-08,26.63,26.94,26.5,26.63,16.3543,179700,0.0,1.0
2000-06-09,26.81,26.88,26.06,26.63,16.3543,192800,0.0,1.0
2000-06-12,26.63,26.88,26.63,26.69,16.3912,138700,0.0,1.0
2000-06-13,26.69,28.75,26.69,28.5,17.5028,432800,0.0,1.0
2000-06-14,28.5,29.56,28.25,28.81,17.6932,367400,0.0,1.0
2000-06-15,28.81,29.13,28.56,28.94,17.773,317600,0.0,1.0
