,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,23.69,23.81,23.38,23.38,3.7077,1491800,0.0,1.0
2000-01-19,23.31,24.13,23.31,23.94,3.7965,1401200,0.0,1.0
2000-01-20,23.63,23.94,23.5,23.81,3.7759,1964300,0.0,1.0
2000-01-21,24.13,24.75,23.94,24.5,3.8853,2524700,0.0,1.0
2000-01-24,24.63,25.25,24.63,25.13,3.9852,2533800,0.0,1.0
2000-01-25,25.06,25.38,24.75,25.38,4.0249,3512600,0.0,1.0
2000-01-26,25.38,25.63,25.25,25.5,4.0439,2411300,0.0,1.0
2000-01-27,25.5,25.88,25.5,25.56,4.0534,1922900,0.0,1.0
2000-01-28,25.56,25.75,25.13,25.31,4.0138,3141400,0.0,1.0
2000-01-31,25.31,25.75,25.25,25.69,4.074,2079800,0.0,1.0
2000-02-01,25.63,25.88,25.38,25.38,4.0249,2268700,0.0,1.0
2000-02-02,25.25,25.38,25.13,25.19,3.9947,3479700,0.0,1.0
2000-02-03,24.63,25.31,24.63,24.88,3.9987,3331900,0.335,1.0
2000-02-04,25.13,25.13,24.31,24.31,3.9071,2711000,0.0,1.0
2000-02-07,24.19,24.44,24.19,24.31,3.9071,1264600,0.0,1.0
2000-02-08,24.25,24.94,24.25,24.44,3.928,1238100,0.0,1.0
2000-02-09,24.38,24.63,24.19,24.25,3.8975,2417900,0.0,1.0
2000-02-10,24.25,24.69,24.25,24.5,3.9376,2449800,0.0,1.0
2000-02-11,24.56,24.56,24.25,24.38,3.9183,2425200,0.0,1.0
2000-02-14,24.38,24.69,24.25,24.38,3.9183,1210600,0.0,1.0
2000-02-15,24.38,24.5,24.19,24.31,3.9071,2031500,0.0,1.0
2000-02-16,24.31,24.31,23.81,23.88,3.838,4646000,0.0,1.0
2000-02-17,23.88,23.94,23.38,23.5,3.7769,5012700,0.0,1.0
2000-02-18,23.38,23.56,23.0,23.06,3.7062,2217700,0.0,1.0
2000-02-22,23.13,23.44,23.06,23.06,3.7062,3036800,0.0,1.0
2000-02-23,23.0,23.19,22.75,22.75,3.6564,3116000,0.0,1.0
2000-02-24,22.69,22.88,22.0,22.06,3.5455,3596900,0.0,1.0
2000-02-25,22.06,22.44,21.75,21.75,3.4957,3526100,0.0,1.0
2000-02-28,21.81,22.81,21.63,22.69,3.6467,2455300,0.0,1.0
2000-02-29,22.63,22.63,21.94,22.19,3.5664,2303400,0.0,1.0
2000-03-01,21.94,22.06,21.56,21.94,3.5262,3444000,0.0,1.0
2000-03-02,21.94,22.25,21.75,22.06,3.5455,3120900,0.0,1.0
2000-03-03,22.38,22.38,22.0,22.06,3.5455,2521600,0.0,1.0
2000-03-06,21.88,21.88,21.0,21.19,3.4057,3024300,0.0,1.0
2000-03-07,21.25,21.38,21.0,21.31,3.4249,3958500,0.0,1.0
2000-03-08,21.0,21.5,21.0,21.13,3.396,3221600,0.0,1.0
2000-03-09,21.06,21.19,20.75,21.06,3.3848,3707600,0.0,1.0
2000-03-10,21.06,21.25,20.88,21.13,3.396,3002200,0.0,1.0
2000-03-13,21.06,21.31,20.81,21.31,3.4249,2263500,0.0,1.0
2000-03-14,20.88,20.94,20.38,20.56,3.3044,2583700,0.0,1.0
2000-03-15,20.63,21.94,20.63,21.81,3.5053,3210500,0.0,1.0
2000-03-16,22.0,23.31,21.75,22.75,3.6564,4046600,0.0,1.0
2000-03-17,22.75,22.75,21.81,21.94,3.5262,3396600,0.0,1.0
