,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,24.69,24.94,24.5,24.81,9.3287,386350,0.0,1.0
2000-01-19,24.75,25.0,24.69,24.94,9.3776,241774,0.0,1.0
2000-01-20,25.0,25.06,24.81,25.06,9.4227,169877,0.0,1.0
2000-01-21,24.94,25.38,24.94,25.38,9.543,343466,0.0,1.0
2000-01-24,25.25,25.5,24.94,25.13,9.449,223214,0.0,1.0
2000-01-25,25.13,25.25,24.81,24.88,9.355,288468,0.0,1.0
2000-01-26,24.81,24.94,24.75,24.94,9.3776,185507,0.0,1.0
2000-01-27,25.06,25.13,24.88,25.06,9.4227,244314,0.0,1.0
2000-01-28,25.06,25.06,24.81,24.94,9.3776,115270,0.0,1.0
2000-01-31,25.0,25.06,24.63,24.69,9.2836,134319,0.0,1.0
2000-02-01,24.81,25.0,24.63,24.81,9.3287,368962,0.0,1.0
2000-02-02,24.25,24.44,24.06,24.25,9.308,419368,0.505,1.0
2000-02-03,24.38,24.63,24.0,24.63,9.4539,485600,0.0,1.0
2000-02-04,24.56,24.75,24.5,24.75,9.4999,353918,0.0,1.0
2000-02-07,24.75,24.81,24.5,24.63,9.4539,254180,0.0,1.0
2000-02-08,24.44,24.69,24.13,24.38,9.3579,441738,0.0,1.0
2000-02-09,24.31,24.44,24.06,24.31,9.331,281435,0.0,1.0
2000-02-10,24.5,24.94,24.06,24.19,9.285,187949,0.0,1.0
2000-02-11,24.06,24.19,23.88,23.94,9.189,251250,0.0,1.0
2000-02-14,23.88,23.88,23.38,23.56,9.0431,233764,0.0,1.0
2000-02-15,23.5,23.5,23.25,23.31,8.9472,311034,0.0,1.0
2000-02-16,23.06,23.38,22.88,23.06,8.8512,301070,0.0,1.0
2000-02-17,23.13,23.38,23.0,23.25,8.9242,317872,0.0,1.0
2000-02-18,23.25,23.38,23.0,23.06,8.8512,171244,0.0,1.0
2000-02-22,23.38,23.5,23.0,23.0,8.8282,251250,0.0,1.0
2000-02-23,23.06,23.38,22.81,23.19,8.9011,250370,0.0,1.0
2000-02-24,23.44,23.44,23.0,23.19,8.9011,98175,0.0,1.0
2000-02-25,23.38,23.44,23.19,23.44,8.9971,183846,0.0,1.0
2000-02-28,23.5,23.63,23.31,23.5,9.0201,295209,0.0,1.0
2000-02-29,23.31,23.5,23.25,23.38,8.9741,363882,0.0,1.0
2000-03-01,23.44,23.5,23.31,23.38,8.9741,187753,0.0,1.0
2000-03-02,23.13,23.38,23.13,23.31,8.9472,123378,0.0,1.0
2000-03-03,23.31,23.63,23.31,23.5,9.0201,125625,0.0,1.0
2000-03-06,23.25,23.56,23.25,23.44,8.9971,123280,0.0,1.0
2000-03-07,23.38,23.5,22.88,23.13,8.8781,233080,0.0,1.0
2000-03-08,23.38,23.5,22.75,23.19,8.9011,111070,0.0,1.0
2000-03-09,22.94,23.25,22.63,22.94,8.8052,278993,0.0,1.0
