,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,145.3437,146.625,145.1875,145.8125,100.2184,6488500,0.0,1.0
2000-01-19,145.3125,147.0,145.0,147.0,101.0346,6157900,0.0,1.0
2000-01-20,146.9687,146.9687,143.8125,144.75,99.4882,5800100,0.0,1.0
2000-01-21,145.5,145.5,144.0625,144.4375,99.2734,6244800,0.0,1.0
2000-01-24,145.6562,145.8437,139.4062,140.3437,96.4597,7896900,0.0,1.0
2000-01-25,140.5156,141.9375,139.0,141.9375,97.5551,9942500,0.0,1.0
2000-01-26,141.0,141.5468,140.0937,140.8125,96.7819,5158100,0.0,1.0
2000-01-27,141.8437,142.2187,138.125,140.25,96.3953,10922700,0.0,1.0
2000-01-28,139.4375,140.0625,135.5312,135.875,93.3883,11916200,0.0,1.0
2000-01-31,135.8125,139.6718,135.0,139.5625,95.9227,10768700,0.0,1.0
2000-02-01,139.75,141.6875,138.5312,140.9375,96.8678,8419900,0.0,1.0
2000-02-02,141.2812,142.25,140.375,141.0625,96.9537,6205900,0.0,1.0
2000-02-03,140.875,143.25,140.0,143.1875,98.4142,7997500,0.0,1.0
2000-02-04,143.1875,144.0,142.125,142.5937,98.0061,4925400,0.0,1.0
2000-02-07,142.5625,142.7812,141.4375,142.375,97.8558,5845800,0.0,1.0
2000-02-08,143.9687,144.5625,143.625,144.3125,99.1875,4936400,0.0,1.0
2000-02-09,144.4687,144.4687,141.2656,141.2812,97.104,8511500,0.0,1.0
2000-02-10,141.625,142.5625,140.875,141.5625,97.2974,6690600,0.0,1.0
2000-02-11,141.8437,141.9375,138.0312,138.6875,95.3213,9849800,0.0,1.0
2000-02-14,139.7812,139.7812,138.3125,139.5,95.8798,8528800,0.0,1.0
2000-02-15,139.25,141.2187,137.7968,141.0781,96.9644,11078300,0.0,1.0
2000-02-16,140.375,140.9375,138.7968,139.0,95.5361,8845400,0.0,1.0
2000-02-17,140.4375,140.4375,138.2187,138.2812,95.0421,7584200,0.0,1.0
2000-02-18,138.875,138.875,134.625,135.3125,93.0017,9409200,0.0,1.0
2000-02-22,135.1875,136.3437,133.5312,134.9687,92.7654,16415400,0.0,1.0
2000-02-23,135.625,137.4687,134.5,136.5625,93.8608,12119000,0.0,1.0
2000-02-24,136.6875,137.0312,133.0937,133.8125,91.9707,17375000,0.0,1.0
2000-02-25,135.1875,136.7187,133.125,133.3281,91.6378,10559900,0.0,1.0
