,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,17.31,17.44,17.06,17.31,9.0794,699000,0.0,1.0
2000-01-19,17.38,17.38,17.0,17.25,9.048,2051500,0.0,1.0
2000-01-20,17.06,17.19,17.06,17.19,9.0165,545900,0.0,1.0
2000-01-21,17.19,17.44,17.0,17.44,9.1476,824500,0.0,1.0
2000-01-24,17.19,17.38,17.13,17.19,9.0165,559400,0.0,1.0
2000-01-25,17.13,17.44,16.94,17.25,9.048,570200,0.0,1.0
2000-01-26,18.81,19.13,18.0,18.63,9.7718,4601100,0.0,1.0
2000-01-27,18.5,18.5,18.06,18.31,9.6039,1234600,0.0,1.0
2000-01-28,18.25,18.31,17.94,18.13,9.5095,899100,0.0,1.0
2000-01-31,18.13,18.69,18.06,18.56,9.7351,636700,0.0,1.0
2000-02-01,18.44,18.69,18.44,18.69,9.8033,484400,0.0,1.0
2000-02-02,18.56,18.94,18.56,18.75,9.8347,657700,0.0,1.0
2000-02-03,18.88,19.25,18.81,19.0,9.9659,838600,0.0,1.0
2000-02-04,19.0,19.0,18.88,19.0,9.9659,956100,0.0,1.0
2000-02-07,19.0,19.19,18.94,19.06,9.9973,967300,0.0,1.0
2000-02-08,19.0,19.13,19.0,19.06,9.9973,886200,0.0,1.0
2000-02-09,19.06,19.19,18.75,18.75,9.8347,840600,0.0,1.0
2000-02-10,18.88,19.0,18.63,18.75,9.8347,1013500,0.0,1.0
2000-02-11,18.75,18.88,18.63,18.81,9.8662,536000,0.0,1.0
2000-02-14,18.81,19.0,18.75,18.81,9.8662,2229700,0.0,1.0
2000-02-15,18.81,18.94,18.75,18.88,9.9029,684900,0.0,1.0
2000-02-16,18.81,19.0,18.81,18.94,9.9344,1193600,0.0,1.0
2000-02-17,18.94,19.06,18.75,18.75,9.8347,1382500,0.0,1.0
2000-02-18,18.75,18.94,18.63,18.73,9.8242,1003600,0.0,1.0
2000-02-22,18.63,18.75,18.5,18.56,9.7351,1211300,0.0,1.0
2000-02-23,18.5,18.56,18.38,18.38,9.6407,1479500,0.0,1.0
2000-02-24,18.38,18.5,18.13,18.25,9.5725,2563500,0.0,1.0
2000-02-25,18.19,18.75,18.13,18.75,9.8347,2577900,0.0,1.0
2000-02-28,18.69,18.69,17.75,18.13,9.5095,2517600,0.0,1.0
2000-02-29,18.0,18.06,17.81,18.0,9.4413,853100,0.0,1.0
2000-03-01,18.0,18.0,17.56,18.0,9.4413,779500,0.0,1.0
2000-03-02,17.88,17.88,17.31,17.56,9.2106,482400,0.0,1.0
2000-03-03,17.63,17.75,17.5,17.63,9.2473,853900,0.0,1.0
2000-03-06,17.63,17.69,17.06,17.38,9.1161,483200,0.0,1.0
2000-03-07,17.25,17.44,17.13,17.25,9.048,748700,0.0,1.0
2000-03-08,17.0,17.31,16.94,17.0,8.9168,824800,0.0,1.0
2000-03-09,17.06,17.25,17.0,17.06,8.9483,755300,0.0,1.0
2000-03-10,17.38,17.69,17.25,17.44,9.1476,991200,0.0,1.0
2000-03-13,17.25,17.5,17.19,17.25,9.048,559900,0.0,1.0
2000-03-14,17.06,17.25,16.88,17.0,8.9168,917200,0.0,1.0
2000-03-15,17.0,17.81,17.0,17.81,9.3417,3784100,0.0,1.0
2000-03-16,17.56,18.5,17.56,18.44,9.8033,1589400,0.25,1.0
2000-03-17,18.25,18.31,17.56,17.63,9.3726,1188000,0.0,1.0
2000-03-20,17.81,17.94,17.19,17.38,9.2397,637200,0.0,1.0
2000-03-21,17.44,17.44,17.0,17.38,9.2397,504200,0.0,1.0
2000-03-22,17.19,17.25,16.81,17.0,9.0377,505900,0.0,1.0
2000-03-23,16.75,17.38,16.75,17.18,9.1334,336500,0.0,1.0
2000-03-24,17.19,17.44,17.0,17.38,9.2397,529100,0.0,1.0
2000-03-27,17.38,17.69,17.25,17.44,9.2716,566600,0.0,1.0
2000-03-28,17.13,17.44,17.0,17.13,9.1068,420600,0.0,1.0
2000-03-29,16.88,17.56,16.81,17.5,9.3035,573100,0.0,1.0
2000-03-30,17.63,17.63,17.0,17.31,9.2025,381900,0.0,1.0
2000-03-31,17.19,17.19,16.69,16.75,8.9048,469400,0.0,1.0
2000-04-03,16.94,16.94,16.19,16.63,8.841,442400,0.0,1.0
2000-04-04,16.81,17.19,16.5,16.63,8.841,666100,0.0,1.0
2000-04-05,16.63,17.25,16.56,17.0,9.0377,541500,0.0,1.0
2000-04-06,17.25,17.25,16.88,17.0,9.0377,302300,0.0,1.0
2000-04-07,17.25,17.31,16.81,17.13,9.1068,302400,0.0,1.0
2000-04-10,17.38,17.56,17.0,17.31,9.2025,424100,0.0,1.0
2000-04-11,17.5,17.75,17.25,17.69,9.4045,1235300,0.0,1.0
2000-04-12,17.69,18.44,17.69,18.31,9.7341,1157400,0.0,1.0
2000-04-13,18.25,19.0,18.06,18.69,9.9362,812400,0.0,1.0
2000-04-14,18.44,19.19,18.19,18.44,9.8033,655400,0.0,1.0
2000-04-17,18.31,18.88,17.75,18.88,10.0372,715800,0.0,1.0
2000-04-18,18.75,18.94,18.38,18.56,9.8671,596700,0.0,1.0
2000-04-19,18.5,18.69,17.94,18.56,9.8671,358000,0.0,1.0
2000-04-20,18.63,18.63,18.13,18.44,9.8033,398200,0.0,1.0
2000-04-24,18.25,19.19,18.25,18.44,9.8033,655000,0.0,1.0
2000-04-25,18.38,18.75,18.13,18.75,9.9681,651900,0.0,1.0
2000-04-26,18.69,19.0,18.5,18.88,10.0372,375800,0.0,1.0
2000-04-27,18.5,18.75,17.94,18.13,9.6385,279300,0.0,1.0
2000-04-28,18.0,19.0,17.88,18.56,9.8671,827300,0.0,1.0
2000-05-01,18.0,18.44,18.0,18.13,9.6385,334500,0.0,1.0
2000-05-02,17.88,18.19,17.0,17.0,9.0377,499500,0.0,1.0
2000-05-03,17.25,18.19,17.13,18.13,9.6385,727500,0.0,1.0
2000-05-04,17.88,19.0,17.75,18.88,10.0372,626400,0.0,1.0
2000-05-05,18.0,19.0,18.0,18.94,10.0691,441900,0.0,1.0
2000-05-08,18.38,19.06,18.31,18.5,9.8352,408400,0.0,1.0
2000-05-09,18.25,18.94,18.25,18.69,9.9362,514200,0.0,1.0
2000-05-10,18.44,18.88,18.31,18.31,9.7341,323800,0.0,1.0
2000-05-11,18.06,18.63,18.06,18.63,9.9043,315000,0.0,1.0
2000-05-12,18.75,18.88,18.06,18.19,9.6704,195400,0.0,1.0
2000-05-15,18.0,19.06,18.0,18.94,10.0691,395800,0.0,1.0
2000-05-16,18.81,18.81,18.31,18.31,9.7341,257500,0.0,1.0
2000-05-17,18.25,18.5,18.06,18.44,9.8033,510700,0.0,1.0
2000-05-18,18.31,19.06,18.31,18.38,9.7714,337600,0.0,1.0
2000-05-19,18.38,18.63,18.19,18.31,9.7341,205100,0.0,1.0
2000-05-22,18.38,18.88,18.31,18.75,9.9681,219000,0.0,1.0
2000-05-23,18.75,19.0,18.25,18.81,10.0,388700,0.0,1.0
