,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,11.56,11.69,11.0,11.12,8.5225,216600,0.0,1.0
2000-01-19,11.0,11.0,10.62,10.62,8.1393,232600,0.0,1.0
2000-01-20,10.62,10.75,10.31,10.56,8.0933,233200,0.0,1.0
2000-01-21,10.56,10.62,10.25,10.31,7.9017,272200,0.0,1.0
2000-01-24,10.19,10.44,10.0,10.0,7.6641,268300,0.0,1.0
2000-01-25,10.0,10.19,9.81,10.0,7.6641,274700,0.0,1.0
2000-01-26,10.12,10.94,9.94,10.75,8.2389,648500,0.0,1.0
2000-01-27,10.5,10.62,10.25,10.5,8.0473,274600,0.0,1.0
2000-01-28,10.56,10.56,10.19,10.19,7.8097,321200,0.0,1.0
2000-01-31,10.06,10.56,10.0,10.5,8.0473,309100,0.0,1.0
2000-02-01,10.56,11.38,10.56,11.12,8.5225,347900,0.0,1.0
2000-02-02,11.25,12.12,11.25,11.75,9.0053,908500,0.0,1.0
2000-02-03,11.81,12.0,11.12,11.25,8.6221,553600,0.0,1.0
2000-02-04,11.5,11.62,11.0,11.38,8.7217,348700,0.0,1.0
2000-02-07,11.25,11.31,10.94,11.0,8.4305,292300,0.0,1.0
2000-02-08,11.12,11.25,10.94,11.19,8.5761,196500,0.0,1.0
2000-02-09,11.19,11.25,11.06,11.19,8.5761,326700,0.0,1.0
2000-02-10,11.19,11.5,10.94,11.31,8.6681,943200,0.0,1.0
2000-02-11,11.38,11.5,11.12,11.12,8.5225,1692500,0.0,1.0
2000-02-14,11.0,11.06,10.75,10.88,8.3385,242400,0.0,1.0
2000-02-15,10.81,11.0,10.62,10.81,8.2849,405200,0.0,1.0
2000-02-16,10.94,10.94,10.62,10.75,8.2389,277300,0.0,1.0
2000-02-17,10.75,10.81,10.5,10.5,8.0473,197600,0.0,1.0
2000-02-18,10.69,10.75,10.38,10.5,8.0473,176000,0.0,1.0
2000-02-22,10.69,10.81,10.25,10.38,7.9553,355000,0.0,1.0
2000-02-23,10.38,10.38,10.19,10.31,7.9017,242400,0.0,1.0
2000-02-24,10.38,10.38,10.0,10.19,7.8097,187700,0.0,1.0
2000-02-25,10.31,10.38,10.0,10.06,7.7101,187100,0.0,1.0
2000-02-28,10.06,10.06,9.88,9.88,7.5721,171700,0.0,1.0
2000-02-29,10.0,10.06,9.69,9.69,7.4265,264700,0.0,1.0
2000-03-01,9.69,9.81,9.5,9.75,7.4725,273400,0.0,1.0
2000-03-02,9.75,10.31,9.44,9.69,7.4265,337300,0.0,1.0
2000-03-03,9.62,10.19,9.62,10.12,7.7561,261300,0.0,1.0
2000-03-06,10.0,10.12,9.81,9.81,7.5185,170000,0.0,1.0
2000-03-07,9.81,10.12,9.72,9.75,7.4725,733100,0.0,1.0
2000-03-08,9.69,9.88,9.31,9.5,7.2809,273800,0.0,1.0
2000-03-09,9.5,9.62,9.31,9.5,7.2809,242300,0.0,1.0
2000-03-10,9.44,10.44,9.44,10.44,8.0013,404800,0.0,1.0
2000-03-13,10.0,10.25,9.69,10.25,7.8557,270700,0.0,1.0
2000-03-14,10.19,10.25,9.88,10.0,7.6641,242000,0.0,1.0
2000-03-15,9.94,10.31,9.81,10.0,7.6641,279600,0.0,1.0
2000-03-16,10.0,10.12,9.88,10.06,7.7101,921200,0.0,1.0
2000-03-17,10.0,10.0,9.81,9.94,7.6181,451100,0.0,1.0
2000-03-20,9.94,10.12,9.75,9.94,7.6181,342200,0.0,1.0
2000-03-21,10.0,10.0,9.38,9.5,7.2809,538000,0.0,1.0
2000-03-22,9.62,10.44,9.56,10.44,8.0013,2229400,0.0,1.0
