,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,78.88,78.88,75.0,76.5,28.4463,987500,0.0,1.0
2000-01-19,76.5,77.5,75.88,76.38,28.4016,541000,0.0,1.0
2000-01-20,76.38,76.38,74.5,75.94,28.238,533600,0.0,1.0
2000-01-21,76.44,77.25,75.19,76.94,28.6099,659100,0.0,1.0
2000-01-24,77.0,77.38,74.75,75.19,27.9591,476400,0.0,1.0
2000-01-25,75.19,78.0,75.06,77.94,28.9817,583600,0.0,1.0
2000-01-26,77.5,80.81,77.06,80.81,30.0489,404400,0.0,1.0
2000-01-27,81.44,82.75,80.75,82.75,30.7703,631500,0.0,1.0
2000-01-28,80.88,81.13,78.38,78.75,29.2829,638000,0.0,1.0
2000-01-31,77.88,80.5,77.5,80.19,29.8184,742800,0.0,1.0
2000-02-01,80.0,82.44,79.06,82.13,30.5397,527500,0.0,1.0
2000-02-02,81.88,82.5,80.31,82.25,30.5844,604000,0.0,1.0
2000-02-03,82.25,83.69,80.56,83.69,31.1198,509400,0.0,1.0
2000-02-04,80.81,84.44,80.06,80.81,30.0489,570000,0.0,1.0
2000-02-07,81.06,81.25,79.69,80.06,29.77,238700,0.0,1.0
2000-02-08,81.0,84.19,80.63,84.19,31.3057,613500,0.0,1.0
2000-02-09,82.75,82.75,80.38,80.5,29.9336,322200,0.0,1.0
2000-02-10,80.25,80.69,78.25,79.13,29.4242,372300,0.0,1.0
2000-02-11,79.38,80.75,78.13,78.56,29.2123,296800,0.0,1.0
2000-02-14,78.31,79.0,76.88,78.75,29.2829,460800,0.0,1.0
2000-02-15,79.0,80.44,78.13,80.19,29.8184,483100,0.0,1.0
2000-02-16,79.5,80.0,78.75,79.31,29.4911,286700,0.0,1.0
2000-02-17,79.63,80.19,76.81,77.69,28.8887,323300,0.0,1.0
2000-02-18,77.0,77.19,73.5,74.06,27.5389,700300,0.0,1.0
2000-02-22,74.0,76.75,73.75,76.63,28.4946,687900,0.0,1.0
2000-02-23,75.5,75.69,74.13,74.13,27.565,503400,0.0,1.0
2000-02-24,73.0,73.5,71.0,72.63,27.0072,693200,0.0,1.0
2000-02-25,72.63,74.5,71.0,71.75,26.68,812900,0.0,1.0
2000-02-28,71.75,75.44,71.75,73.69,27.4014,674700,0.0,1.0
2000-02-29,73.44,74.0,71.75,72.88,27.1002,484500,0.0,1.0
2000-03-01,72.63,72.75,71.25,72.25,26.8659,419900,0.0,1.0
2000-03-02,72.38,72.63,71.44,72.19,26.8436,208900,0.0,1.0
2000-03-03,73.38,73.94,72.06,72.13,26.8213,502600,0.0,1.0
2000-03-06,70.5,72.13,70.25,70.44,26.1929,403600,0.0,1.0
2000-03-07,69.25,69.63,65.88,65.88,24.4972,803500,0.0,1.0
2000-03-08,65.63,65.69,62.44,63.38,23.5676,1360500,0.0,1.0
2000-03-09,63.38,66.69,63.38,66.63,24.7761,527900,0.0,1.0
2000-03-10,67.13,68.0,66.19,67.63,25.148,594700,0.0,1.0
2000-03-13,65.88,70.25,65.56,67.31,25.029,623000,0.0,1.0
2000-03-14,67.13,68.44,65.69,66.31,24.6571,300400,0.0,1.0
2000-03-15,67.25,74.63,67.25,72.81,27.0741,1303600,0.0,1.0
2000-03-16,75.0,86.0,74.94,85.81,31.9081,2437700,0.0,1.0
