,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,51.94,52.44,51.56,52.25,6.1721,63600,0.0,1.0
2000-01-19,52.31,53.56,52.31,53.44,6.3127,85100,0.0,1.0
2000-01-20,53.25,54.13,52.75,53.69,6.3422,58400,0.0,1.0
2000-01-21,53.5,53.56,51.63,52.13,6.1579,26900,0.0,1.0
2000-01-24,52.38,52.88,50.56,50.69,5.9878,75600,0.0,1.0
2000-01-25,50.75,51.0,50.5,51.0,6.0245,87200,0.0,1.0
2000-01-26,51.25,52.94,51.25,52.0,6.1426,54000,0.0,1.0
2000-01-27,52.06,52.06,50.63,51.5,6.0835,41200,0.0,1.0
2000-01-28,51.25,51.44,50.56,50.94,6.0174,41700,0.0,1.0
2000-01-31,50.94,52.25,50.38,51.88,6.1284,55400,0.0,1.0
2000-02-01,51.94,53.0,51.63,52.75,6.2312,101500,0.0,1.0
2000-02-02,52.75,53.5,52.75,52.94,6.2536,59000,0.0,1.0
2000-02-03,52.75,53.38,52.75,52.88,6.2465,42300,0.0,1.0
2000-02-04,52.94,52.94,50.75,51.0,6.0245,58800,0.0,1.0
2000-02-07,51.13,53.25,51.13,52.63,6.217,48300,0.0,1.0
2000-02-08,52.63,52.94,51.5,51.5,6.0835,27400,0.0,1.0
2000-02-09,51.56,53.0,51.38,52.63,6.217,54600,0.0,1.0
2000-02-10,52.69,54.69,52.5,53.5,6.3198,110100,0.0,1.0
2000-02-11,53.25,53.75,52.5,52.56,6.2087,95500,0.0,1.0
2000-02-14,52.63,54.0,52.56,53.44,6.3127,54100,0.0,1.0
2000-02-15,53.44,54.63,53.0,53.19,6.2832,96300,0.0,1.0
2000-02-16,52.94,53.13,51.13,52.06,6.1497,107800,0.0,1.0
2000-02-17,52.25,52.63,51.69,51.69,6.106,107000,0.0,1.0
2000-02-18,51.63,51.69,49.81,50.06,5.9134,49400,0.0,1.0
2000-02-22,50.0,52.38,49.13,52.19,6.165,98400,0.0,1.0
2000-02-23,51.94,52.0,49.75,49.75,5.8768,86000,0.0,1.0
2000-02-24,49.63,50.25,48.31,49.63,5.8626,48800,0.0,1.0
2000-02-25,49.63,49.81,48.63,48.69,5.7516,48100,0.0,1.0
2000-02-28,48.94,49.13,47.75,49.13,5.8036,63600,0.0,1.0
2000-02-29,51.38,51.63,48.44,49.0,5.7882,104300,0.0,1.0
2000-03-01,48.75,49.88,48.63,49.69,5.8697,39200,0.0,1.0
2000-03-02,49.75,49.75,48.19,48.25,5.6996,36700,0.0,1.0
2000-03-03,48.06,50.06,47.88,49.81,5.8839,49900,0.0,1.0
2000-03-06,50.06,50.13,49.81,49.81,5.8839,37600,0.0,1.0
2000-03-07,49.56,49.56,46.75,46.75,5.5224,62500,0.0,1.0
2000-03-08,46.75,46.75,44.75,44.75,5.2862,94900,0.0,1.0
2000-03-09,45.0,45.0,42.63,44.56,5.2637,96400,0.0,1.0
2000-03-10,44.38,44.38,42.44,42.94,5.0724,73200,0.0,1.0
2000-03-13,42.94,44.81,42.31,44.19,5.22,111900,0.0,1.0
2000-03-14,44.06,44.5,42.56,42.56,5.0275,26400,0.0,1.0
2000-03-15,42.81,45.75,40.38,45.56,5.3819,223100,0.0,1.0
2000-03-16,45.38,50.0,45.31,49.69,5.8697,163900,0.0,1.0
2000-03-17,49.38,49.5,46.56,46.69,5.5153,81800,0.0,1.0
2000-03-20,46.94,47.0,45.5,45.69,5.3972,24300,0.0,1.0
2000-03-21,45.75,47.63,45.75,47.13,5.5673,93900,0.0,1.0
2000-03-22,47.13,47.75,47.06,47.75,5.6406,25800,0.0,1.0
2000-03-23,47.56,49.44,47.13,49.31,5.8248,72700,0.0,1.0
2000-03-24,49.56,49.56,48.13,48.38,5.715,111800,0.0,1.0
2000-03-27,49.0,49.19,46.63,48.25,5.6996,165100,0.0,1.0
2000-03-28,48.13,49.13,48.0,48.75,5.7587,57500,0.0,1.0
2000-03-29,48.5,48.56,46.94,47.94,5.663,38000,0.0,1.0
2000-03-30,47.69,49.44,47.69,48.75,5.7587,97800,0.0,1.0
2000-03-31,49.0,51.0,49.0,51.0,6.0245,55800,0.0,1.0
2000-04-03,50.81,52.25,50.75,51.5,6.0835,113200,0.0,1.0
2000-04-04,51.5,52.0,50.0,50.81,6.002,109900,0.0,1.0
2000-04-05,50.81,52.0,50.56,52.0,6.1426,69600,0.0,1.0
2000-04-06,52.13,52.5,50.56,51.5,6.0835,114000,0.0,1.0
2000-04-07,51.63,52.13,50.84,52.06,6.1497,75400,0.0,1.0
2000-04-10,52.06,52.5,49.63,50.13,5.9217,72400,0.0,1.0
2000-04-11,50.38,51.5,50.19,50.75,5.9949,61700,0.0,1.0
2000-04-12,51.0,54.94,51.0,54.06,6.3859,124800,0.0,1.0
2000-04-13,55.13,55.75,52.38,52.38,6.1875,86700,0.0,1.0
