,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,42.13,43.06,40.88,41.13,13.9082,9824500,0.0,1.0
2000-01-19,41.0,41.0,40.0,40.56,13.7155,10212300,0.0,1.0
2000-01-20,40.81,41.56,40.06,41.0,13.8643,10080400,0.0,1.0
2000-01-21,42.88,43.38,42.0,43.0,14.5406,15950400,0.0,1.0
2000-01-24,43.44,43.5,40.94,42.0,14.2024,9980400,0.0,1.0
2000-01-25,41.0,41.13,38.56,40.0,13.5261,15943100,0.0,1.0
2000-01-26,40.5,40.5,39.69,40.0,13.5261,7662100,0.0,1.0
2000-01-27,40.06,40.31,39.0,39.0,13.188,6920100,0.0,1.0
2000-01-28,39.31,40.44,39.0,39.25,13.2725,8650600,0.0,1.0
2000-01-31,39.5,43.5,39.06,42.88,14.5,11255300,0.0,1.0
2000-02-01,43.0,43.0,41.75,42.38,14.3309,8949600,0.0,1.0
2000-02-02,43.0,43.13,42.5,42.5,14.3715,6675100,0.0,1.0
2000-02-03,43.0,43.19,41.31,42.0,14.2024,7703800,0.0,1.0
2000-02-04,42.0,42.38,41.56,42.0,14.2024,6773000,0.0,1.0
2000-02-07,41.38,42.31,41.06,41.88,14.1618,5804500,0.0,1.0
2000-02-08,42.5,43.0,42.0,42.06,14.2227,5669800,0.0,1.0
2000-02-09,42.31,42.81,42.0,42.63,14.4155,6809500,0.0,1.0
2000-02-10,42.38,42.44,41.94,42.13,14.2464,5151200,0.0,1.0
2000-02-11,42.0,42.06,39.75,40.44,13.6749,5575700,0.0,1.0
2000-02-14,39.5,41.5,39.44,40.88,13.8237,8459100,0.0,1.0
2000-02-15,40.0,41.0,39.56,40.69,13.7594,8191900,0.0,1.0
2000-02-16,40.38,40.69,38.75,39.06,13.2083,8475100,0.0,1.0
2000-02-17,38.94,40.0,38.0,40.0,13.5261,9273600,0.0,1.0
2000-02-18,38.06,38.25,36.0,38.25,12.9343,13922400,0.0,1.0
2000-02-22,37.25,37.31,35.56,36.5,12.3426,14056000,0.0,1.0
2000-02-23,36.0,36.5,34.81,35.75,12.089,12876300,0.0,1.0
2000-02-24,35.44,35.88,34.81,35.5,12.0044,12888000,0.0,1.0
2000-02-25,36.0,36.69,34.94,35.44,11.9841,11357400,0.0,1.0
2000-02-28,35.75,37.5,35.75,37.0,12.5117,11264900,0.0,1.0
2000-02-29,37.19,38.13,37.13,37.75,12.7653,8579000,0.0,1.0
