,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,50.94,50.94,49.31,49.63,16.5122,163600,0.0,1.0
2000-01-19,49.88,51.44,49.88,50.25,16.7184,102300,0.0,1.0
2000-01-20,50.19,50.44,49.5,49.81,16.5721,72000,0.0,1.0
2000-01-21,50.13,50.13,48.38,48.75,16.2194,122000,0.0,1.0
2000-01-24,48.81,49.31,47.13,47.5,15.8035,122800,0.0,1.0
2000-01-25,47.75,48.38,47.13,47.13,15.6804,91800,0.0,1.0
2000-01-26,47.13,47.19,45.75,46.56,15.4908,170100,0.0,1.0
2000-01-27,46.5,47.19,46.38,47.06,15.6571,102600,0.0,1.0
2000-01-28,47.06,47.5,46.88,46.88,15.5972,147100,0.0,1.0
2000-01-31,46.81,48.63,46.69,48.5,16.1362,107000,0.0,1.0
2000-02-01,48.31,48.75,48.13,48.63,16.1795,96100,0.0,1.0
2000-02-02,48.75,49.13,48.5,48.5,16.1362,119800,0.0,1.0
2000-02-03,48.5,50.13,48.5,49.31,16.4057,238900,0.0,1.0
2000-02-04,49.19,49.19,47.0,47.5,15.8035,205500,0.0,1.0
2000-02-07,47.5,50.0,47.5,49.25,16.3857,191200,0.0,1.0
2000-02-08,49.25,49.69,46.56,46.81,15.5739,93700,0.0,1.0
2000-02-09,47.88,48.56,47.5,47.69,15.8667,160400,0.0,1.0
2000-02-10,47.94,49.25,47.31,49.13,16.3458,250900,0.0,1.0
2000-02-11,49.13,49.44,48.5,49.19,16.3658,151700,0.0,1.0
2000-02-14,50.0,51.13,49.38,49.69,16.5321,190000,0.0,1.0
2000-02-15,49.69,50.56,48.75,50.5,16.8016,180000,0.0,1.0
2000-02-16,50.38,50.44,48.56,48.63,16.1795,169500,0.0,1.0
2000-02-17,48.75,49.5,47.38,47.38,15.7636,107700,0.0,1.0
2000-02-18,47.38,47.5,46.0,46.19,15.3677,155900,0.0,1.0
2000-02-22,46.19,46.19,44.81,45.94,15.2845,192400,0.0,1.0
2000-02-23,46.31,46.38,44.88,45.5,15.1381,129700,0.0,1.0
2000-02-24,45.25,45.25,42.0,42.44,14.12,238700,0.0,1.0
2000-02-25,42.25,42.75,41.44,41.94,14.0086,223000,0.165,1.0
2000-02-28,42.31,43.63,42.0,43.06,14.3827,119800,0.0,1.0
2000-02-29,43.5,44.63,43.5,43.88,14.6565,204300,0.0,1.0
2000-03-01,44.19,44.69,43.38,43.5,14.5296,115600,0.0,1.0
2000-03-02,43.31,43.38,42.06,42.38,14.1555,134300,0.0,1.0
