,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2007-06-14,37.0,39.26,37.0,38.85,26.4795,662600,0.0,1.0
2007-06-15,39.1,39.1,38.25,38.8,26.4454,1150000,0.0,1.0
2007-06-18,39.05,39.1,37.15,37.15,25.3208,853600,0.0,1.0
2007-06-19,37.15,37.7,36.1,36.7,25.0141,951000,0.0,1.0
2007-06-20,36.83,36.83,35.33,35.95,24.5029,1721800,0.0,1.0
2007-06-21,36.0,36.7,35.75,36.7,25.0141,537700,0.0,1.0
2007-06-22,37.0,39.5,36.8,38.95,26.5476,250300,0.0,1.0
2007-06-25,39.1,40.0,38.25,39.25,26.7521,203200,0.0,1.0
2007-06-26,39.31,39.8,39.2,39.5,26.9225,119600,0.0,1.0
2007-06-27,39.5,39.8,39.0,39.75,27.0929,270700,0.0,1.0
2007-06-28,39.75,39.95,39.5,39.6,26.9906,151200,0.0,1.0
2007-06-29,39.83,39.9,38.75,39.06,26.6226,1701900,0.0,1.0
2007-07-02,39.2,40.63,38.98,39.97,27.2428,2000500,0.0,1.0
2007-07-03,39.98,40.61,39.08,39.66,27.0315,3752400,0.0,1.0
2007-07-05,39.6,41.28,39.24,39.45,26.8884,4277800,0.0,1.0
2007-07-06,39.4,39.92,38.8,39.82,27.1406,3950700,0.0,1.0
2007-07-09,39.55,40.4,38.48,40.3,27.4677,5369500,0.0,1.0
2007-07-10,39.5,39.5,38.48,39.0,26.5817,5483200,0.0,1.0
2007-07-11,39.0,39.25,38.7,39.06,26.6226,5964800,0.0,1.0
2007-07-12,38.95,39.06,38.31,39.01,26.5885,4094400,0.0,1.0
2007-07-13,38.3,39.89,38.0,39.47,26.902,2064600,0.0,1.0
2007-07-16,38.0,39.85,37.07,39.3,26.7862,2514800,0.0,1.0
2007-07-17,39.02,39.5,38.27,38.86,26.4863,3913400,0.0,1.0
2007-07-18,36.95,38.86,36.6,37.94,25.8592,4909400,0.0,1.0
2007-07-19,38.04,38.45,37.63,38.1,25.9683,2078400,0.0,1.0
2007-07-20,38.1,38.18,37.87,38.03,25.9206,3406800,0.0,1.0
2007-07-23,35.1,39.0,35.1,38.91,26.5203,2164400,0.0,1.0
2007-07-24,38.72,39.22,38.13,38.4,26.1727,2119000,0.0,1.0
2007-07-25,38.25,38.57,38.0,38.47,26.2205,2421500,0.0,1.0
2007-07-26,38.0,38.3,36.72,37.56,25.6002,3610800,0.0,1.0
2007-07-27,36.0,38.13,35.73,36.95,25.1844,2912600,0.0,1.0
2007-07-30,36.4,36.45,35.58,36.05,24.571,2915500,0.0,1.0
2007-07-31,36.05,36.08,35.7,35.82,24.4143,2148800,0.0,1.0
2007-08-01,34.92,36.0,34.76,35.22,24.0053,3771700,0.0,1.0
2007-08-02,34.61,35.5,34.09,35.27,24.0394,2519100,0.0,1.0
2007-08-03,35.1,35.43,35.0,35.09,23.9167,2445000,0.0,1.0
2007-08-06,35.2,35.32,34.98,35.15,23.9576,3896600,0.0,1.0
2007-08-07,34.85,35.38,34.0,34.85,23.7531,2624200,0.0,1.0
2007-08-08,32.09,35.47,32.09,34.74,23.6782,3355800,0.0,1.0
2007-08-09,34.3,34.77,33.62,33.73,22.9898,2058600,0.0,1.0
2007-08-10,33.73,33.73,32.38,32.81,22.3627,6034600,0.0,1.0
2007-08-13,33.0,33.25,32.39,32.99,22.4854,3860000,0.0,1.0
2007-08-14,33.13,33.25,32.12,32.45,22.1173,6021900,0.0,1.0
2007-08-15,32.53,33.24,32.5,32.96,22.4649,4280500,0.0,1.0
2007-08-16,32.06,33.25,32.0,33.04,22.5195,4133300,0.0,1.0
2007-08-17,33.9,35.23,33.5,35.1,23.9235,3026600,0.0,1.0
2007-08-20,34.87,35.98,34.6,34.95,23.8213,1948800,0.0,1.0
2007-08-21,33.9,34.97,33.85,34.67,23.6304,2257600,0.0,1.0
2007-08-22,34.75,35.34,34.3,34.86,23.7599,2233000,0.0,1.0
2007-08-23,35.25,35.53,34.87,35.36,24.1007,3054100,0.0,1.0
2007-08-24,35.28,37.0,35.1,36.27,24.721,2105000,0.0,1.0
2007-08-27,36.2,36.56,35.4,35.47,24.1757,1431200,0.0,1.0
2007-08-28,34.95,35.63,34.9,35.12,23.9372,2243100,0.0,1.0
2007-08-29,35.32,35.5,34.81,35.36,24.1007,1615900,0.0,1.0
2007-08-30,35.08,35.97,34.63,34.96,23.8281,1590000,0.0,1.0
2007-08-31,34.53,35.55,34.0,34.87,23.7668,2286900,0.0,1.0
2007-09-04,34.87,35.02,34.3,34.91,23.794,1909800,0.0,1.0
2007-09-05,34.5,34.77,33.95,34.69,23.6441,2133000,0.0,1.0
2007-09-06,32.0,36.69,32.0,35.23,24.0121,3414500,0.0,1.0
2007-09-07,34.8,34.81,33.15,33.5,22.833,1869400,0.0,1.0
2007-09-10,33.41,33.95,33.17,33.2,22.6285,2339000,0.0,1.0
2007-09-11,33.27,33.46,32.6,33.04,22.5195,1921100,0.0,1.0
2007-09-12,32.82,33.19,32.4,32.56,22.1923,2867900,0.0,1.0
2007-09-13,33.01,33.22,32.65,32.89,22.4172,2351800,0.0,1.0
2007-09-14,32.68,33.69,32.63,33.06,22.5331,2744500,0.0,1.0
2007-09-17,32.8,33.31,32.59,33.14,22.5876,2246100,0.0,1.0
2007-09-18,33.03,34.99,32.62,33.59,22.8943,2236900,0.0,1.0
2007-09-19,33.95,34.59,32.54,33.07,22.5399,13839200,0.0,1.0
2007-09-20,33.07,33.66,32.8,33.46,22.8057,1813000,0.0,1.0
2007-09-21,33.86,33.97,33.18,33.45,22.7989,2627700,0.0,1.0
2007-09-24,33.53,33.71,33.03,33.39,22.758,1549200,0.0,1.0
2007-09-25,33.33,33.77,33.14,33.77,23.017,1516500,0.0,1.0
2007-09-26,34.25,35.35,34.22,34.54,23.5418,3838100,0.0,1.0
2007-09-27,34.74,35.75,34.54,35.18,23.978,2099800,0.0,1.0
2007-09-28,35.02,35.53,34.85,35.43,24.2439,1689100,0.14,1.0
2007-10-01,35.7,36.64,34.93,36.28,24.8255,2717400,0.0,1.0
2007-10-02,36.0,36.25,35.72,35.95,24.5997,3089200,0.0,1.0
2007-10-03,35.96,36.0,35.25,35.66,24.4012,2326900,0.0,1.0
2007-10-04,35.66,36.47,34.92,35.9,24.5655,3080200,0.0,1.0
2007-10-05,35.85,36.89,35.81,36.05,24.6681,2334300,0.0,1.0
2007-10-08,36.23,37.33,36.18,37.12,25.4003,1454000,0.0,1.0
2007-10-09,37.12,37.33,36.57,36.73,25.1334,1705100,0.0,1.0
2007-10-10,36.39,37.12,36.33,36.84,25.2087,5578300,0.0,1.0
2007-10-11,37.0,37.24,36.35,36.65,25.0787,2205100,0.0,1.0
2007-10-12,36.49,37.09,36.37,37.0,25.3182,1053800,0.0,1.0
2007-10-15,37.15,37.43,36.81,36.97,25.2976,1559500,0.0,1.0
2007-10-16,37.0,37.2,36.58,36.99,25.3113,1651000,0.0,1.0
2007-10-17,37.1,37.5,36.6,36.9,25.2497,3160400,0.0,1.0
2007-10-18,36.77,36.93,36.65,36.88,25.2361,1985200,0.0,1.0
2007-10-19,36.82,36.92,36.06,36.24,24.7981,2755100,0.0,1.0
2007-10-22,35.89,36.3,35.27,35.68,24.4149,2174900,0.0,1.0
2007-10-23,35.9,36.1,35.0,35.12,24.0317,1272900,0.0,1.0
2007-10-24,35.1,35.1,33.89,34.56,23.6485,1403600,0.0,1.0
2007-10-25,34.64,34.65,33.77,34.04,23.2927,1674200,0.0,1.0
2007-10-26,34.28,34.49,33.48,33.7,23.0601,1261800,0.0,1.0
2007-10-29,33.94,34.6,33.87,34.38,23.5254,1365500,0.0,1.0
2007-10-30,34.25,35.54,34.08,35.0,23.9496,1200900,0.0,1.0
2007-10-31,34.95,35.76,34.73,35.67,24.4081,1849800,0.0,1.0
2007-11-01,35.62,36.0,35.02,35.17,24.066,1795700,0.0,1.0
2007-11-02,34.75,35.74,34.75,35.37,24.2028,1401800,0.0,1.0
2007-11-05,35.23,35.23,33.54,33.76,23.1011,1598700,0.0,1.0
2007-11-06,33.76,33.77,32.65,33.77,23.108,1189300,0.0,1.0
2007-11-07,33.36,33.48,32.55,32.99,22.5742,3030400,0.0,1.0
2007-11-08,33.02,33.38,32.85,33.14,22.6769,3261500,0.0,1.0
2007-11-09,32.64,33.22,31.77,32.57,22.2868,3085100,0.0,1.0
2007-11-12,32.45,32.61,31.31,31.36,21.4589,1948100,0.0,1.0
2007-11-13,31.38,33.41,31.36,32.35,22.1363,1823200,0.0,1.0
2007-11-14,32.61,33.06,32.47,32.5,22.2389,2809200,0.0,1.0
2007-11-15,32.31,33.15,31.98,33.1,22.6495,2679700,0.0,1.0
