,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,29.0,29.0,27.69,27.88,14.1088,1078700,0.0,1.0
2000-01-19,28.37,28.5,27.31,27.5,13.9165,573600,0.0,1.0
2000-01-20,27.5,27.62,26.38,26.5,13.4104,431300,0.0,1.0
2000-01-21,27.19,27.19,26.44,26.75,13.5369,502800,0.0,1.0
2000-01-24,26.75,26.75,25.75,26.0,13.1574,407500,0.0,1.0
2000-01-25,25.88,26.44,25.63,26.0,13.1574,456600,0.0,1.0
2000-01-26,26.06,27.62,25.94,27.62,13.9772,695100,0.0,1.0
2000-01-27,28.5,28.69,27.62,28.0,14.1695,667200,0.0,1.0
2000-01-28,27.75,27.75,26.87,27.62,13.9772,684300,0.0,1.0
2000-01-31,27.38,28.12,27.0,28.12,14.2302,831700,0.0,1.0
2000-02-01,28.12,28.75,27.62,28.5,14.4225,635100,0.0,1.0
2000-02-02,29.12,29.12,28.0,28.19,14.2656,614000,0.0,1.0
2000-02-03,28.12,28.63,27.81,28.5,14.4225,819600,0.0,1.0
2000-02-04,28.44,28.44,27.38,27.5,13.9165,394100,0.0,1.0
2000-02-07,25.06,26.25,25.06,26.25,13.2839,2087800,0.0,1.0
2000-02-08,26.19,26.38,25.94,26.06,13.1877,970000,0.0,1.0
2000-02-09,26.19,26.19,25.69,25.94,13.127,1075600,0.0,1.0
2000-02-10,25.75,25.94,25.0,25.25,12.7778,376800,0.0,1.0
2000-02-11,25.25,25.88,25.0,25.37,12.8386,603600,0.0,1.0
2000-02-14,25.44,25.5,24.69,25.0,12.6513,680400,0.0,1.0
2000-02-15,25.0,25.88,24.81,25.75,13.0309,779500,0.0,1.0
2000-02-16,25.63,25.75,24.94,25.0,12.6513,491500,0.0,1.0
2000-02-17,25.0,25.12,23.69,24.06,12.1756,642800,0.0,1.0
2000-02-18,24.13,24.25,23.38,23.56,11.9226,655500,0.0,1.0
2000-02-22,23.75,24.13,23.38,23.94,12.1149,422700,0.0,1.0
2000-02-23,23.94,23.94,23.06,23.06,11.6696,430000,0.0,1.0
2000-02-24,23.19,23.38,22.06,22.63,11.452,794900,0.0,1.0
2000-02-25,23.12,23.25,22.5,22.69,11.4823,505000,0.0,1.0
2000-02-28,22.81,23.62,22.69,23.31,11.7961,509100,0.0,1.0
2000-02-29,23.06,23.5,22.56,23.5,11.8922,574800,0.0,1.0
2000-03-01,23.44,23.5,22.63,23.12,11.6999,432100,0.0,1.0
2000-03-02,22.94,23.0,22.37,23.0,11.6392,549600,0.0,1.0
2000-03-03,22.5,23.56,22.5,23.38,11.8315,564500,0.0,1.0
2000-03-06,23.25,23.25,22.19,22.63,11.452,471200,0.0,1.0
2000-03-07,22.75,22.75,22.0,22.0,11.1332,491700,0.0,1.0
2000-03-08,21.75,22.31,21.69,22.12,11.1939,455000,0.0,1.0
2000-03-09,22.12,22.94,22.0,22.94,11.6089,519400,0.0,1.0
