,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,35.5,36.19,34.69,35.81,25.9617,112900,0.0,1.0
2000-01-19,35.69,36.12,35.38,35.5,25.737,74900,0.0,1.0
2000-01-20,35.62,35.69,34.31,34.62,25.099,106700,0.0,1.0
2000-01-21,34.56,34.62,33.38,33.5,24.287,123100,0.0,1.0
2000-01-24,33.44,33.44,32.0,32.31,23.4243,179500,0.0,1.0
2000-01-25,32.31,33.06,32.31,32.94,23.881,110900,0.0,1.0
2000-01-26,33.0,33.06,31.88,32.19,23.3373,98000,0.0,1.0
2000-01-27,32.0,32.81,32.0,32.12,23.2865,179500,0.0,1.0
2000-01-28,32.12,32.25,31.69,32.0,23.1995,189100,0.0,1.0
2000-01-31,31.88,32.0,31.25,31.75,23.0183,80700,0.0,1.0
2000-02-01,31.75,31.81,31.06,31.19,22.6123,177400,0.0,1.0
2000-02-02,30.69,30.69,28.94,30.12,21.8366,504700,0.0,1.0
2000-02-03,30.5,30.94,30.25,30.62,22.1991,175100,0.0,1.0
2000-02-04,30.75,30.81,29.88,30.0,21.7496,82900,0.0,1.0
2000-02-07,30.12,30.31,29.25,29.56,21.4306,162200,0.0,1.0
2000-02-08,29.5,29.94,29.25,29.38,21.3001,95200,0.0,1.0
2000-02-09,29.88,29.94,29.06,29.38,21.3001,90200,0.0,1.0
2000-02-10,29.62,30.19,29.31,29.56,21.4306,141000,0.0,1.0
2000-02-11,29.44,29.69,28.44,28.62,20.7491,97700,0.0,1.0
2000-02-14,28.81,29.88,28.69,29.5,21.3871,159400,0.0,1.0
2000-02-15,29.5,29.56,28.5,28.62,20.7491,80200,0.0,1.0
2000-02-16,28.5,29.44,28.38,28.81,20.8868,123900,0.0,1.0
2000-02-17,29.06,29.19,28.25,28.56,20.7056,131800,0.0,1.0
2000-02-18,28.56,28.62,28.19,28.5,20.6621,216900,0.0,1.0
2000-02-22,28.75,29.0,28.06,28.25,20.4808,155900,0.0,1.0
2000-02-23,27.94,28.31,27.06,27.75,20.2126,235300,0.13,1.0
2000-02-24,27.62,27.62,26.12,26.94,19.6226,135400,0.0,1.0
2000-02-25,26.81,27.81,26.44,27.19,19.8047,107800,0.0,1.0
2000-02-28,27.44,27.75,26.62,27.12,19.7537,119000,0.0,1.0
2000-02-29,27.06,28.25,27.06,28.25,20.5768,188200,0.0,1.0
2000-03-01,28.0,30.19,28.0,29.44,21.4436,223500,0.0,1.0
2000-03-02,29.44,29.75,28.62,28.75,20.941,110100,0.0,1.0
2000-03-03,29.12,29.19,28.38,28.44,20.7152,126600,0.0,1.0
2000-03-06,28.19,28.38,27.62,27.88,20.3073,147500,0.0,1.0
2000-03-07,27.75,27.75,27.44,27.56,20.0742,137400,0.0,1.0
2000-03-08,27.62,28.31,27.56,27.88,20.3073,65600,0.0,1.0
2000-03-09,27.75,28.94,27.75,28.62,20.8463,63600,0.0,1.0
2000-03-10,28.56,29.0,28.12,28.75,20.941,100700,0.0,1.0
2000-03-13,28.88,29.19,27.62,28.62,20.8463,224100,0.0,1.0
2000-03-14,28.62,28.69,27.75,27.88,20.3073,105700,0.0,1.0
