,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,67.5,68.5,67.25,68.0,23.5062,969600,0.0,1.0
2000-01-19,68.06,71.81,67.0,69.94,24.1768,1708500,0.0,1.0
2000-01-20,69.94,70.19,67.0,67.69,23.399,1502700,0.0,1.0
2000-01-21,68.75,69.0,64.5,64.81,22.4034,2685100,0.0,1.0
2000-01-24,65.5,66.25,63.25,63.5,21.9506,2814700,0.0,1.0
2000-01-25,64.5,65.44,62.88,65.12,22.5106,2380700,0.0,1.0
2000-01-26,65.0,68.5,65.0,68.12,23.5476,2543500,0.0,1.0
2000-01-27,67.94,68.0,65.81,67.31,23.2676,2348600,0.0,1.0
2000-01-28,67.44,67.44,63.0,63.38,21.9091,2333400,0.0,1.0
2000-01-31,63.75,66.25,63.38,65.88,22.7733,1542400,0.0,1.0
2000-02-01,66.0,68.12,65.12,67.44,23.3126,1366600,0.0,1.0
2000-02-02,67.5,69.12,66.06,68.0,23.5062,1547900,0.0,1.0
2000-02-03,67.75,67.75,65.62,66.06,22.8355,2374400,0.0,1.0
2000-02-04,66.94,67.5,63.75,64.62,22.3378,2271800,0.0,1.0
2000-02-07,65.0,66.5,64.62,65.69,22.7076,1409700,0.0,1.0
2000-02-08,65.69,68.75,65.62,68.69,23.7447,1756100,0.0,1.0
2000-02-09,68.69,68.69,67.0,67.19,23.2262,1042700,0.0,1.0
2000-02-10,67.31,68.25,66.12,66.44,22.9669,950000,0.0,1.0
2000-02-11,66.56,66.88,66.06,66.06,22.8355,1051200,0.0,1.0
2000-02-14,66.12,66.12,64.38,65.25,22.5555,938400,0.0,1.0
2000-02-15,65.0,65.0,62.88,63.94,22.1027,1405700,0.0,1.0
2000-02-16,63.75,65.25,61.44,61.81,21.401,1958500,0.1,1.0
2000-02-17,61.81,62.25,58.5,59.88,20.7327,2849300,0.0,1.0
2000-02-18,59.88,60.75,58.19,59.0,20.428,2660800,0.0,1.0
2000-02-22,58.81,59.81,55.44,57.75,19.9952,2824600,0.0,1.0
2000-02-23,58.25,58.31,56.69,56.81,19.6698,1851100,0.0,1.0
2000-02-24,56.81,56.81,53.75,55.88,19.3478,2063700,0.0,1.0
2000-02-25,56.06,56.75,54.88,55.88,19.3478,2403300,0.0,1.0
2000-02-28,57.25,59.06,56.62,58.88,20.3865,1967500,0.0,1.0
2000-02-29,58.88,60.5,58.12,59.0,20.428,1852200,0.0,1.0
2000-03-01,58.94,60.0,58.5,59.25,20.5146,2013700,0.0,1.0
2000-03-02,59.38,62.38,59.38,60.25,20.8608,2021300,0.0,1.0
2000-03-03,61.0,62.75,59.88,61.75,21.3802,1264000,0.0,1.0
2000-03-06,61.94,62.19,59.94,60.75,21.034,1323000,0.0,1.0
2000-03-07,60.0,60.06,57.56,58.0,20.0818,1893600,0.0,1.0
2000-03-08,56.88,58.19,56.88,58.19,20.1476,2772400,0.0,1.0
2000-03-09,58.25,60.5,56.62,60.06,20.7951,1423200,0.0,1.0
2000-03-10,60.5,62.0,60.44,60.81,21.0547,1313300,0.0,1.0
2000-03-13,59.5,61.75,58.5,61.44,21.2729,1732200,0.0,1.0
2000-03-14,61.44,62.94,60.38,60.94,21.0997,1198400,0.0,1.0
2000-03-15,61.0,64.62,60.25,64.0,22.1592,1518100,0.0,1.0
2000-03-16,65.0,71.25,65.0,71.12,24.6245,2797500,0.0,1.0
2000-03-17,70.0,71.25,69.06,69.5,24.0635,3117600,0.0,1.0
2000-03-20,69.12,69.25,66.0,66.38,22.9833,2664100,0.0,1.0
2000-03-21,66.25,67.88,65.31,66.94,23.1772,2413200,0.0,1.0
2000-03-22,66.38,67.38,64.94,66.69,23.0906,1515300,0.0,1.0
2000-03-23,66.25,68.75,65.31,68.0,23.5442,1430700,0.0,1.0
2000-03-24,68.25,70.0,68.25,69.12,23.932,1248100,0.0,1.0
2000-03-27,68.88,69.38,67.62,68.44,23.6965,1109600,0.0,1.0
2000-03-28,67.25,69.25,67.25,68.88,23.8489,2649000,0.0,1.0
2000-03-29,69.0,73.0,68.88,72.62,25.1438,2243100,0.0,1.0
2000-03-30,72.69,77.25,72.25,77.19,26.7261,3548900,0.0,1.0
2000-03-31,77.25,77.25,74.62,74.75,25.8813,2948400,0.0,1.0
2000-04-03,74.56,78.12,73.12,77.0,26.6603,2736900,0.0,1.0
2000-04-04,77.0,78.38,73.25,75.31,26.0752,2741000,0.0,1.0
2000-04-05,75.0,75.62,73.25,74.19,25.6874,1189300,0.0,1.0
2000-04-06,72.0,75.06,71.31,74.0,25.6216,2685800,0.0,1.0
2000-04-07,73.75,75.12,73.25,74.25,25.7082,941400,0.0,1.0
2000-04-10,74.25,76.06,73.31,75.19,26.0336,1066200,0.0,1.0
2000-04-11,74.0,74.75,72.12,72.88,25.2338,2251900,0.0,1.0
2000-04-12,72.88,73.62,71.69,72.31,25.0365,1779900,0.0,1.0
2000-04-13,72.06,72.06,70.62,70.62,24.4513,1468000,0.0,1.0
2000-04-14,70.0,70.0,66.0,68.31,23.6515,1420200,0.0,1.0
2000-04-17,66.81,67.44,63.25,65.31,22.6128,1600700,0.0,1.0
2000-04-18,64.38,69.75,64.38,69.38,24.022,2636800,0.0,1.0
2000-04-19,69.38,69.44,67.75,68.5,23.7173,1405000,0.0,1.0
2000-04-20,68.44,69.31,68.12,69.25,23.977,1149500,0.0,1.0
2000-04-24,69.25,71.12,68.75,70.25,24.3232,1063400,0.0,1.0
2000-04-25,70.06,71.88,69.38,71.5,24.756,925100,0.0,1.0
2000-04-26,71.38,72.25,70.75,70.81,24.5171,1391600,0.0,1.0
2000-04-27,69.62,70.19,67.69,68.0,23.5442,1246400,0.0,1.0
2000-04-28,68.25,68.31,66.25,66.56,23.0456,919800,0.0,1.0
2000-05-01,67.0,69.44,66.88,68.25,23.6307,1635700,0.0,1.0
2000-05-02,68.0,69.38,67.19,68.88,23.8489,1720800,0.0,1.0
2000-05-03,65.5,66.0,63.06,63.75,22.0727,2846100,0.0,1.0
2000-05-04,64.12,67.0,63.25,66.12,22.8933,3538200,0.0,1.0
2000-05-05,65.88,70.38,65.75,68.08,23.5719,2101400,0.0,1.0
2000-05-08,67.75,68.81,66.5,68.25,23.6307,1663500,0.0,1.0
2000-05-09,68.44,69.94,68.06,69.44,24.0428,1988800,0.0,1.0
2000-05-10,69.5,70.75,69.44,70.38,24.3682,1667400,0.0,1.0
2000-05-11,71.0,71.06,68.62,69.88,24.1951,850000,0.0,1.0
2000-05-12,69.25,70.62,68.56,70.28,24.3336,772200,0.0,1.0
2000-05-15,69.88,71.62,69.38,71.0,24.5829,860700,0.0,1.0
2000-05-16,71.5,73.44,71.25,71.44,24.7352,1737100,0.0,1.0
2000-05-17,70.88,70.94,68.88,69.62,24.1397,1770400,0.1,1.0
2000-05-18,69.5,71.88,69.38,70.91,24.587,2289100,0.0,1.0
2000-05-19,70.62,71.56,69.94,70.19,24.3374,1360600,0.0,1.0
2000-05-22,70.38,70.75,69.75,70.12,24.3131,1141400,0.0,1.0
2000-05-23,69.38,69.38,67.0,67.0,23.2313,3094200,0.0,1.0
2000-05-24,64.88,65.62,63.31,64.5,22.3644,3484900,0.0,1.0
2000-05-25,65.5,65.56,64.69,64.94,22.517,1550400,0.0,1.0
2000-05-26,64.69,65.25,64.06,64.44,22.3436,1378300,0.0,1.0
2000-05-30,63.75,63.75,61.75,61.81,21.4317,1981000,0.0,1.0
2000-05-31,62.5,62.94,61.25,62.69,21.7368,3518000,0.0,1.0
2000-06-01,62.0,63.5,61.19,63.0,21.8443,2412600,0.0,1.0
2000-06-02,64.0,66.19,64.0,66.0,22.8845,2557200,0.0,1.0
2000-06-05,65.88,66.06,64.19,64.31,22.2986,923100,0.0,1.0
2000-06-06,63.12,63.12,57.44,57.56,19.9581,4532900,0.0,1.0
2000-06-07,58.75,60.5,58.75,59.69,20.6966,3432000,0.0,1.0
2000-06-08,59.5,60.12,58.38,59.75,20.7174,2088100,0.0,1.0
2000-06-09,59.75,59.81,55.94,56.25,19.5039,3165700,0.0,1.0
2000-06-12,55.94,56.12,54.06,54.5,18.8971,2796100,0.0,1.0
2000-06-13,55.62,56.88,54.38,56.62,19.6322,2364700,0.0,1.0
2000-06-14,57.12,59.12,56.06,58.0,20.1107,2530700,0.0,1.0
2000-06-15,59.12,60.06,58.56,60.06,20.8249,2425700,0.0,1.0
2000-06-16,60.0,60.0,58.12,58.5,20.284,3130800,0.0,1.0
2000-06-19,59.19,59.94,55.12,57.19,19.8298,4062300,0.0,1.0
2000-06-20,56.5,56.56,54.69,55.0,19.0704,4962400,0.0,1.0
2000-06-21,55.0,55.0,51.88,52.44,18.1828,4654100,0.0,1.0
2000-06-22,52.69,54.25,52.25,53.62,18.592,3788000,0.0,1.0
2000-06-23,54.12,54.62,53.31,54.06,18.7445,2085100,0.0,1.0
2000-06-26,55.0,56.06,54.88,55.44,19.223,2065700,0.0,1.0
2000-06-27,54.38,57.38,54.0,55.81,19.3513,3166300,0.0,1.0
2000-06-28,55.81,57.75,54.5,54.67,18.956,2589800,0.0,1.0
2000-06-29,55.38,56.5,54.12,55.5,19.2438,3183200,0.0,1.0
2000-06-30,55.44,58.11,55.06,58.0,20.1107,2312300,0.0,1.0
2000-07-03,57.38,58.0,56.31,57.81,20.0448,1130600,0.0,1.0
2000-07-05,58.62,59.25,56.88,57.69,20.0032,2286100,0.0,1.0
2000-07-06,57.69,58.81,56.31,56.44,19.5697,2360400,0.0,1.0
2000-07-07,57.0,59.25,56.62,58.88,20.4158,3512100,0.0,1.0
2000-07-10,60.25,61.81,59.88,61.19,21.2167,3828300,0.0,1.0
2000-07-11,61.88,63.5,61.81,63.0,21.8443,3972700,0.0,1.0
2000-07-12,63.5,63.88,62.75,62.81,21.7784,2912500,0.0,1.0
2000-07-13,63.25,63.25,61.5,62.12,21.5392,2037600,0.0,1.0
2000-07-14,62.0,62.5,61.75,62.12,21.5392,1882900,0.0,1.0
2000-07-17,62.38,62.38,60.12,60.91,21.1197,1938700,0.0,1.0
2000-07-18,59.75,60.5,59.0,59.31,20.5649,2605600,0.0,1.0
2000-07-19,59.12,60.0,59.0,59.06,20.4782,2127700,0.0,1.0
2000-07-20,29.5,30.56,29.31,30.5,21.1509,2147850,0.0,2.0
2000-07-21,30.38,30.44,29.88,29.94,20.7625,2853000,0.0,1.0
2000-07-24,29.75,30.06,29.19,29.31,20.3256,3360600,0.0,1.0
2000-07-25,30.0,30.75,29.94,30.12,20.8873,3458600,0.0,1.0
2000-07-26,30.88,31.75,30.62,31.25,21.671,3628600,0.0,1.0
2000-07-27,31.31,31.94,30.75,31.19,21.6294,1476800,0.0,1.0
2000-07-28,31.25,31.25,30.06,30.44,21.1093,1815800,0.0,1.0
2000-07-31,30.5,30.62,28.25,29.0,20.1107,2874100,0.0,1.0
