,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,86.63,88.13,85.63,87.19,32.4158,309700,0.0,1.0
2000-01-19,86.75,87.38,86.19,86.5,32.1593,214800,0.0,1.0
2000-01-20,86.75,86.81,81.5,82.94,30.8357,570900,0.0,1.0
2000-01-21,82.94,82.94,77.5,79.5,29.5568,785200,0.0,1.0
2000-01-24,79.5,80.5,71.0,74.5,27.6979,1235900,0.0,1.0
2000-01-25,74.5,76.25,72.75,75.0,27.8837,579100,0.0,1.0
2000-01-26,75.75,77.88,75.75,76.69,28.5121,526100,0.0,1.0
2000-01-27,76.69,77.75,74.06,75.0,27.8837,319800,0.0,1.0
2000-01-28,73.38,73.44,71.88,72.38,26.9097,414700,0.0,1.0
2000-01-31,72.5,74.38,70.31,74.0,27.512,369600,0.0,1.0
2000-02-01,72.38,73.38,71.44,72.19,26.839,1081700,0.0,1.0
2000-02-02,71.94,72.5,69.13,69.13,25.7014,793400,0.0,1.0
2000-02-03,69.88,72.25,69.5,71.75,26.6755,830400,0.0,1.0
2000-02-04,73.63,73.63,71.0,71.63,26.6308,379200,0.0,1.0
2000-02-07,70.94,70.94,67.56,69.94,26.0025,454200,0.0,1.0
2000-02-08,70.75,71.13,67.94,68.75,25.5601,492400,0.0,1.0
2000-02-09,69.25,69.38,66.06,66.31,24.653,323900,0.0,1.0
2000-02-10,66.5,68.63,66.38,67.44,25.0731,562300,0.0,1.0
2000-02-11,68.13,68.44,64.06,64.88,24.1213,694600,0.0,1.0
2000-02-14,65.5,67.75,63.25,66.75,24.8165,445200,0.0,1.0
2000-02-15,66.75,66.75,65.0,65.81,24.4671,192300,0.0,1.0
2000-02-16,65.81,65.81,59.94,61.94,23.0283,565100,0.0,1.0
2000-02-17,63.0,63.5,60.94,61.25,22.7717,585600,0.0,1.0
2000-02-18,61.56,62.0,55.06,56.44,20.9835,1067300,0.0,1.0
2000-02-22,58.0,58.75,54.5,56.73,21.0913,874700,0.0,1.0
2000-02-23,60.38,60.5,58.13,59.31,22.0505,819100,0.0,1.0
2000-02-24,60.38,61.0,57.06,58.81,21.8646,1085500,0.0,1.0
2000-02-25,58.94,60.44,58.94,59.25,22.0282,461900,0.0,1.0
2000-02-28,59.19,64.19,57.94,63.5,23.6082,962300,0.0,1.0
2000-02-29,65.13,65.5,62.63,64.0,23.7941,1088000,0.0,1.0
2000-03-01,65.0,69.0,63.0,68.69,25.5378,1283300,0.0,1.0
2000-03-02,68.69,68.69,66.5,67.38,25.0508,679800,0.0,1.0
2000-03-03,67.88,68.94,67.25,68.5,25.4672,392300,0.0,1.0
2000-03-06,68.5,68.5,64.5,65.44,24.3295,373300,0.0,1.0
2000-03-07,66.0,66.94,60.63,61.94,23.0283,742500,0.0,1.0
2000-03-08,61.94,63.44,61.44,62.56,23.2588,396000,0.0,1.0
2000-03-09,63.0,65.94,62.5,65.25,24.2589,518100,0.0,1.0
2000-03-10,66.25,67.94,65.5,67.14,24.9615,765200,0.0,1.0
2000-03-13,63.0,65.75,62.5,64.88,24.1213,382100,0.0,1.0
2000-03-14,65.69,65.75,64.25,64.38,23.9354,213800,0.0,1.0
2000-03-15,64.81,70.44,63.44,69.75,25.9319,729000,0.0,1.0
2000-03-16,72.25,80.25,72.19,79.56,29.6014,1130300,0.06,1.0
2000-03-17,79.38,79.69,75.5,78.19,29.0917,533700,0.0,1.0
2000-03-20,77.38,77.94,75.25,76.0,28.2768,233600,0.0,1.0
2000-03-21,75.13,76.0,73.5,75.31,28.0201,419300,0.0,1.0
2000-03-22,72.0,72.94,70.75,71.88,26.7439,1858300,0.0,1.0
2000-03-23,72.0,74.31,70.69,74.06,27.555,473300,0.0,1.0
2000-03-24,74.19,78.0,74.19,78.0,29.021,367300,0.0,1.0
2000-03-27,79.5,82.0,78.81,80.75,30.0441,666500,0.0,1.0
2000-03-28,79.75,85.0,79.63,82.56,30.7176,591300,0.0,1.0
2000-03-29,82.63,83.38,77.5,79.31,29.5084,745900,0.0,1.0
2000-03-30,80.31,83.0,78.75,82.31,30.6246,702000,0.0,1.0
2000-03-31,82.31,85.5,81.0,83.63,31.1157,588900,0.0,1.0
2000-04-03,84.13,85.0,83.0,83.0,30.8813,436300,0.0,1.0
2000-04-04,85.0,85.0,76.31,81.0,30.1372,860200,0.0,1.0
2000-04-05,79.88,79.88,74.19,75.88,28.2322,681100,0.0,1.0
2000-04-06,75.88,77.38,72.13,77.19,28.7196,747600,0.0,1.0
2000-04-07,76.5,76.94,73.5,76.69,28.5336,479600,0.0,1.0
2000-04-10,76.94,77.88,75.31,77.13,28.6973,323400,0.0,1.0
2000-04-11,76.56,76.63,74.0,75.69,28.1615,216000,0.0,1.0
2000-04-12,75.75,78.13,75.13,77.19,28.7196,559600,0.0,1.0
2000-04-13,77.44,77.44,72.56,73.0,27.1606,367000,0.0,1.0
2000-04-14,65.0,67.19,62.56,63.56,23.6484,661300,0.0,1.0
2000-04-17,62.0,66.0,60.56,65.5,24.3702,1145000,0.0,1.0
2000-04-18,69.25,73.06,69.0,71.0,26.4165,1153700,0.0,1.0
2000-04-19,71.5,72.25,69.31,70.06,26.0668,448500,0.0,1.0
2000-04-20,70.06,71.75,69.75,71.69,26.6732,241400,0.0,1.0
2000-04-24,71.13,73.38,70.63,72.31,26.9039,284400,0.0,1.0
2000-04-25,74.13,75.5,73.0,74.0,27.5327,419300,0.0,1.0
2000-04-26,74.63,77.0,74.5,74.63,27.7671,282800,0.0,1.0
2000-04-27,73.0,74.0,71.31,73.56,27.369,289500,0.0,1.0
2000-04-28,74.5,74.5,72.5,72.69,27.0453,156600,0.0,1.0
2000-05-01,72.88,76.63,72.88,75.06,27.9271,444200,0.0,1.0
2000-05-02,75.06,75.06,73.0,73.0,27.1606,269300,0.0,1.0
2000-05-03,70.0,70.06,66.5,68.56,25.5087,728400,0.0,1.0
2000-05-04,69.25,69.5,66.75,67.63,25.1627,868900,0.0,1.0
2000-05-05,67.63,68.69,65.38,67.56,25.1366,543000,0.0,1.0
2000-05-08,68.5,70.5,65.31,70.25,26.1375,834200,0.0,1.0
2000-05-09,70.19,71.63,68.13,71.0,26.4165,740500,0.0,1.0
2000-05-10,70.0,71.0,69.5,70.13,26.0928,494200,0.0,1.0
2000-05-11,70.31,73.0,68.06,71.63,26.6509,297300,0.0,1.0
2000-05-12,72.13,74.5,72.13,74.31,27.6481,621400,0.0,1.0
2000-05-15,75.0,76.44,73.31,75.19,27.9755,681500,0.0,1.0
2000-05-16,76.13,76.69,72.13,72.94,27.1383,947400,0.0,1.0
2000-05-17,72.94,72.94,69.75,70.44,26.2082,403400,0.0,1.0
2000-05-18,70.69,72.38,67.31,67.88,25.2557,950500,0.0,1.0
2000-05-19,66.75,68.06,66.5,67.75,25.2073,411200,0.0,1.0
2000-05-22,67.63,67.63,64.0,65.0,24.1841,409600,0.0,1.0
2000-05-23,64.0,64.69,61.0,61.5,22.8819,776400,0.0,1.0
2000-05-24,59.75,59.75,54.19,58.81,21.8811,1633900,0.0,1.0
2000-05-25,60.0,60.56,56.56,56.94,21.1853,1055900,0.0,1.0
2000-05-26,57.19,57.19,54.5,55.06,20.4858,497400,0.0,1.0
2000-05-30,56.81,57.38,55.06,55.88,20.7909,572900,0.0,1.0
2000-05-31,57.38,60.0,57.38,58.44,21.7434,930900,0.0,1.0
2000-06-01,61.19,62.75,59.06,62.44,23.2317,560000,0.0,1.0
2000-06-02,66.25,66.5,65.0,65.63,24.4185,434700,0.0,1.0
2000-06-05,65.63,66.5,62.81,62.88,23.3954,343800,0.0,1.0
2000-06-06,62.94,62.94,59.5,60.94,22.6736,407200,0.0,1.0
2000-06-07,60.5,62.75,59.06,62.75,23.347,314100,0.0,1.0
2000-06-08,61.31,61.88,57.75,58.94,21.9294,354400,0.0,1.0
2000-06-09,59.81,61.56,59.69,60.63,22.5582,253300,0.0,1.0
2000-06-12,59.0,59.06,56.31,57.5,21.3937,611900,0.0,1.0
2000-06-13,57.38,60.63,57.38,60.63,22.5582,388700,0.0,1.0
2000-06-14,63.94,64.13,61.25,61.63,22.9303,1244500,0.0,1.0
2000-06-15,61.75,63.44,60.5,63.25,23.533,602600,0.0,1.0
2000-06-16,62.0,62.88,61.81,62.06,23.12,402200,0.08,1.0
2000-06-19,61.81,63.38,61.25,63.38,23.6118,403200,0.0,1.0
2000-06-20,64.38,65.25,62.69,64.5,24.029,8377200,0.0,1.0
2000-06-21,64.75,65.0,63.31,64.75,24.1222,770300,0.0,1.0
2000-06-22,65.38,256.6,63.38,64.38,23.9843,583100,0.0,1.0
2000-06-23,64.25,64.25,63.13,63.63,23.7049,274000,0.0,1.0
2000-06-26,63.63,64.56,61.13,61.13,22.7736,569800,0.0,1.0
2000-06-27,62.0,65.13,61.75,64.94,24.193,548800,0.0,1.0
2000-06-28,65.19,65.63,64.25,64.87,24.1669,321600,0.0,1.0
2000-06-29,64.5,66.69,63.06,66.38,24.7294,581400,0.0,1.0
2000-06-30,66.63,69.69,66.38,67.5,25.1467,577200,0.0,1.0
2000-07-03,67.5,68.0,66.88,68.0,25.3329,148600,0.0,1.0
2000-07-05,69.0,69.0,65.44,66.0,24.5879,501300,0.0,1.0
2000-07-06,66.38,66.44,65.0,66.06,24.6102,550900,0.0,1.0
2000-07-07,66.38,75.0,66.06,72.63,27.0578,955100,0.0,1.0
2000-07-10,73.13,75.5,71.69,72.81,27.1249,593500,0.0,1.0
2000-07-11,73.31,74.38,72.44,74.0,27.5682,427400,0.0,1.0
2000-07-12,75.5,77.13,74.63,76.88,28.6411,828700,0.0,1.0
2000-07-13,76.0,76.0,74.5,75.0,27.9407,475700,0.0,1.0
2000-07-14,75.25,75.44,74.38,74.88,27.896,283300,0.0,1.0
2000-07-17,75.5,77.38,75.19,77.06,28.7082,365400,0.0,1.0
2000-07-18,77.06,77.5,75.56,76.0,28.3133,341600,0.0,1.0
2000-07-19,76.0,77.31,73.94,74.25,27.6613,273200,0.0,1.0
2000-07-20,75.75,76.0,74.44,74.88,27.896,446200,0.0,1.0
2000-07-21,36.88,37.0,36.0,36.44,27.151,318600,0.0,2.0
2000-07-24,35.0,36.31,34.75,35.75,26.6368,816400,0.0,1.0
2000-07-25,35.25,35.94,35.25,35.63,26.5474,582900,0.0,1.0
2000-07-26,35.63,35.63,34.75,35.25,26.2643,1019800,0.0,1.0
2000-07-27,35.31,38.75,35.25,37.81,28.1717,1019200,0.0,1.0
2000-07-28,37.81,37.94,36.38,36.94,27.5235,791000,0.0,1.0
2000-07-31,37.69,37.69,34.25,34.25,25.5192,842700,0.0,1.0
2000-08-01,35.25,37.81,34.88,37.75,28.127,720700,0.0,1.0
2000-08-02,37.5,37.63,36.5,37.5,27.9407,625300,0.0,1.0
2000-08-03,37.5,38.94,37.5,38.81,28.9168,728200,0.0,1.0
2000-08-04,38.06,39.0,38.06,39.0,29.0584,607700,0.0,1.0
2000-08-07,39.13,42.13,39.13,41.88,31.2042,978800,0.0,1.0
2000-08-08,43.0,45.38,42.44,45.38,33.812,1320500,0.0,1.0
2000-08-09,44.5,44.75,41.5,42.5,31.6662,1040600,0.0,1.0
2000-08-10,42.5,42.5,40.75,41.56,30.9658,849300,0.0,1.0
2000-08-11,41.25,43.5,40.88,43.06,32.0834,855000,0.0,1.0
2000-08-14,43.06,44.44,42.56,43.63,32.5081,509100,0.0,1.0
2000-08-15,43.69,43.75,39.5,40.38,30.0866,884700,0.0,1.0
2000-08-16,40.25,40.31,38.25,39.63,29.5278,1815200,0.0,1.0
2000-08-17,38.56,41.5,38.56,40.5,30.176,1528600,0.0,1.0
2000-08-18,40.75,41.56,40.63,41.25,30.7348,1074600,0.0,1.0
2000-08-21,41.0,41.0,39.13,40.5,30.176,740500,0.0,1.0
2000-08-22,40.5,41.75,40.25,41.44,30.8764,1032600,0.0,1.0
2000-08-23,41.5,44.25,41.44,43.0,32.0387,836200,0.0,1.0
2000-08-24,43.13,43.88,42.13,42.88,31.9493,632900,0.0,1.0
2000-08-25,42.94,43.38,41.5,42.06,31.3383,515500,0.0,1.0
2000-08-28,42.31,42.31,40.94,41.0,30.5486,723400,0.0,1.0
2000-08-29,41.44,42.5,41.0,42.06,31.3383,313800,0.0,1.0
2000-08-30,42.25,42.5,40.25,40.75,30.3623,427400,0.0,1.0
2000-08-31,40.63,42.56,40.5,41.63,31.018,1951800,0.0,1.0
2000-09-01,42.25,42.44,41.63,42.31,31.5246,641700,0.0,1.0
2000-09-05,42.0,43.69,42.0,43.5,32.4113,1215800,0.0,1.0
2000-09-06,43.75,44.56,43.69,43.69,32.5528,1371400,0.0,1.0
2000-09-07,44.25,44.25,41.5,42.5,31.6662,790200,0.0,1.0
2000-09-08,42.75,44.0,42.31,43.0,32.0387,1045900,0.0,1.0
2000-09-11,42.5,43.94,42.47,42.75,31.8525,798600,0.0,1.0
2000-09-12,42.94,43.19,41.88,42.06,31.3383,684800,0.0,1.0
2000-09-13,42.06,43.44,41.81,43.0,32.0387,683200,0.0,1.0
2000-09-14,43.13,44.44,42.69,43.0,32.0387,749400,0.0,1.0
2000-09-15,42.5,42.5,41.31,41.69,31.0627,811400,0.0,1.0
2000-09-18,41.75,41.75,39.31,39.63,29.5576,755900,0.04,1.0
2000-09-19,39.63,39.81,37.88,39.5,29.4606,888200,0.0,1.0
2000-09-20,39.44,39.44,38.63,38.69,28.8565,1010500,0.0,1.0
2000-09-21,38.94,41.0,38.94,40.94,30.5346,937300,0.0,1.0
2000-09-22,41.13,41.19,39.19,40.06,29.8783,637200,0.0,1.0
2000-09-25,41.0,41.0,39.13,39.63,29.5576,690800,0.0,1.0
2000-09-26,39.63,40.19,38.5,38.69,28.8565,486500,0.0,1.0
2000-09-27,38.69,40.38,38.31,38.5,28.7148,877800,0.0,1.0
2000-09-28,38.75,39.38,38.5,39.31,29.3189,314400,0.0,1.0
2000-09-29,39.5,39.81,38.0,38.56,28.7595,493500,0.0,1.0
2000-10-02,38.13,38.69,37.0,37.06,27.6408,600800,0.0,1.0
2000-10-03,37.25,38.19,37.13,37.5,27.969,593800,0.0,1.0
2000-10-04,37.25,39.25,37.25,37.63,28.0659,684200,0.0,1.0
2000-10-05,37.75,38.38,37.56,37.75,28.1554,353300,0.0,1.0
2000-10-06,37.56,37.88,35.19,35.94,26.8054,1365900,0.0,1.0
2000-10-09,36.0,36.0,34.94,35.19,26.2461,423500,0.0,1.0
2000-10-10,35.19,36.06,34.5,35.5,26.4773,876100,0.0,1.0
2000-10-11,35.5,38.0,34.19,35.88,26.7607,1663900,0.0,1.0
2000-10-12,36.0,36.0,33.25,33.38,24.8961,1729200,0.0,1.0
2000-10-13,33.31,34.0,32.0,33.13,24.7096,2053800,0.0,1.0
2000-10-16,33.13,37.31,33.06,37.13,27.693,1531800,0.0,1.0
2000-10-17,37.13,37.13,34.56,35.06,26.1491,1380400,0.0,1.0
2000-10-18,34.81,37.38,33.5,37.13,27.693,1328700,0.0,1.0
2000-10-19,37.0,40.0,37.0,39.5,29.4606,1131700,0.0,1.0
2000-10-20,39.5,39.56,37.88,38.44,28.67,469500,0.0,1.0
2000-10-23,38.25,39.69,37.63,39.25,29.2742,547200,0.0,1.0
2000-10-24,39.75,39.81,38.88,39.38,29.3711,484800,0.0,1.0
2000-10-25,39.44,39.44,37.31,37.5,27.969,454300,0.0,1.0
2000-10-26,37.75,38.44,35.81,37.0,27.596,1035900,0.0,1.0
2000-10-27,36.75,39.0,36.63,38.25,28.5283,591600,0.0,1.0
2000-10-30,38.38,40.81,38.25,40.56,30.2512,527000,0.0,1.0
2000-10-31,40.56,43.38,40.56,42.69,31.8399,847100,0.0,1.0
