,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,14.75,14.75,14.31,14.44,11.931,520300,0.0,1.0
2000-01-19,14.31,14.56,14.19,14.25,11.774,660200,0.0,1.0
2000-01-20,14.31,14.63,14.31,14.5,11.9806,556000,0.0,1.0
2000-01-21,14.5,14.75,14.38,14.44,11.931,1097200,0.0,1.0
2000-01-24,14.5,14.81,14.44,14.63,12.088,658900,0.0,1.0
2000-01-25,14.56,15.38,14.5,14.75,12.1872,878400,0.0,1.0
2000-01-26,14.75,16.13,14.69,15.56,12.8564,1525400,0.0,1.0
2000-01-27,16.25,17.0,16.19,16.5,13.6331,1427900,0.0,1.0
2000-01-28,16.13,16.44,15.75,16.25,13.4265,723000,0.0,1.0
2000-01-31,16.38,17.81,16.31,17.31,14.3024,1685700,0.0,1.0
2000-02-01,17.75,17.75,17.06,17.69,14.6163,1874500,0.0,1.0
2000-02-02,17.5,17.56,17.19,17.38,14.3602,750500,0.0,1.0
2000-02-03,17.44,17.63,17.38,17.56,14.5089,629100,0.0,1.0
2000-02-04,17.5,17.63,17.44,17.44,14.4098,841400,0.0,1.0
2000-02-07,17.38,17.88,17.38,17.44,14.4098,778700,0.0,1.0
2000-02-08,17.5,17.63,16.75,16.88,13.9471,684200,0.0,1.0
2000-02-09,16.75,16.81,16.25,16.56,13.6827,482700,0.0,1.0
2000-02-10,16.31,16.63,16.06,16.25,13.4265,320800,0.0,1.0
2000-02-11,16.5,16.5,16.0,16.13,13.3274,314100,0.0,1.0
2000-02-14,16.0,16.63,15.94,16.38,13.534,455700,0.0,1.0
2000-02-15,16.38,16.81,16.25,16.63,13.7405,400600,0.0,1.0
2000-02-16,16.38,16.63,16.25,16.44,13.5835,207400,0.0,1.0
2000-02-17,16.31,16.69,15.94,15.94,13.1704,301600,0.0,1.0
2000-02-18,16.06,16.19,15.44,15.69,12.9638,427300,0.0,1.0
2000-02-22,15.5,16.69,15.5,16.5,13.6331,381100,0.0,1.0
2000-02-23,16.38,16.56,16.13,16.38,13.534,279900,0.0,1.0
2000-02-24,16.31,16.31,15.56,16.06,13.2696,366700,0.0,1.0
2000-02-25,16.0,16.19,15.25,15.56,12.8564,328400,0.0,1.0
2000-02-28,15.75,15.81,15.38,15.63,12.9143,251900,0.0,1.0
2000-02-29,15.44,15.69,15.31,15.63,12.9143,397900,0.0,1.0
2000-03-01,15.44,17.25,15.31,17.25,14.2528,1992700,0.0,1.0
2000-03-02,17.5,20.75,17.44,20.13,16.6324,3375200,0.0,1.0
2000-03-03,20.75,22.13,20.44,21.94,18.1279,2213800,0.0,1.0
2000-03-06,21.94,22.13,21.31,21.56,17.8139,1332600,0.0,1.0
2000-03-07,22.25,24.31,22.19,24.0,19.83,3750500,0.0,1.0
2000-03-08,24.88,26.88,24.56,26.25,21.689,4482700,0.0,1.0
