,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,33.75,33.75,32.5,32.75,19.5543,945900,0.0,1.0
2000-01-19,32.5,33.25,32.38,32.81,19.5901,988100,0.0,1.0
2000-01-20,32.75,32.81,32.25,32.63,19.4827,943400,0.0,1.0
2000-01-21,32.0,32.06,31.0,31.5,18.808,1000300,0.0,1.0
2000-01-24,31.63,32.44,31.31,32.13,19.1841,586500,0.0,1.0
2000-01-25,32.13,32.81,31.25,31.38,18.7363,609700,0.0,1.0
2000-01-26,31.44,32.44,31.19,32.38,19.3334,503300,0.0,1.0
2000-01-27,32.0,32.38,29.81,30.56,18.2467,1316500,0.0,1.0
2000-01-28,30.06,30.19,29.31,30.0,17.9124,814900,0.0,1.0
2000-01-31,29.81,30.19,29.13,30.19,18.0258,612200,0.0,1.0
2000-02-01,30.0,30.0,27.5,29.31,17.5004,1023000,0.0,1.0
2000-02-02,29.38,29.38,27.5,27.88,16.6466,1416900,0.0,1.0
2000-02-03,27.88,27.88,26.38,26.63,15.9002,1374600,0.0,1.0
2000-02-04,26.75,27.19,25.75,26.75,15.9719,1507200,0.0,1.0
2000-02-07,26.75,27.0,26.25,26.63,15.9002,1126800,0.0,1.0
2000-02-08,26.75,26.81,26.13,26.31,15.7091,1073900,0.0,1.0
2000-02-09,26.25,26.44,25.31,25.44,15.1897,1127900,0.0,1.0
2000-02-10,25.0,25.25,24.19,24.5,14.6284,3271100,0.0,1.0
2000-02-11,24.56,24.75,23.75,24.38,14.5568,680900,0.0,1.0
2000-02-14,24.25,24.56,24.06,24.25,14.4792,436300,0.0,1.0
2000-02-15,24.5,24.63,24.19,24.31,14.515,689700,0.0,1.0
2000-02-16,24.31,24.94,24.31,24.5,14.6284,1297000,0.0,1.0
2000-02-17,24.88,25.13,24.25,24.63,14.706,562200,0.0,1.0
2000-02-18,24.56,24.69,23.13,23.63,14.109,529900,0.0,1.0
2000-02-22,23.63,24.5,23.06,23.88,14.2582,966400,0.0,1.0
2000-02-23,23.75,24.13,23.5,23.75,14.1806,1101500,0.0,1.0
2000-02-24,23.63,23.75,22.25,22.75,13.5835,803000,0.0,1.0
2000-02-25,23.5,23.75,22.81,22.88,13.6612,545200,0.0,1.0
2000-02-28,23.19,23.63,23.06,23.06,13.7686,971800,0.0,1.0
2000-02-29,23.13,23.56,22.25,22.38,13.3626,1211500,0.0,1.0
2000-03-01,22.5,23.25,21.75,22.56,13.4701,1397000,0.0,1.0
2000-03-02,22.56,23.06,22.06,22.63,13.5119,1166300,0.0,1.0
2000-03-03,22.56,23.44,22.31,22.56,13.4701,668600,0.0,1.0
2000-03-06,22.31,22.69,22.19,22.44,13.3984,793900,0.0,1.0
2000-03-07,22.44,22.69,22.06,22.06,13.1716,885100,0.0,1.0
2000-03-08,22.13,22.5,21.38,21.75,12.9865,661200,0.0,1.0
2000-03-09,21.38,23.19,21.31,22.75,13.5835,1607800,0.0,1.0
2000-03-10,22.75,23.25,22.63,23.0,13.7328,634300,0.0,1.0
2000-03-13,22.75,22.75,22.25,22.5,13.4343,1183300,0.0,1.0
2000-03-14,22.5,23.5,22.13,22.31,13.3208,1030100,0.0,1.0
2000-03-15,22.75,24.5,22.69,23.88,14.2582,853100,0.0,1.0
2000-03-16,24.5,27.38,24.5,27.19,16.2346,1798200,0.0,1.0
2000-03-17,27.19,27.75,26.13,26.63,15.9002,1410200,0.0,1.0
2000-03-20,26.75,27.0,26.13,26.31,15.7091,720700,0.0,1.0
2000-03-21,26.06,27.75,26.06,27.56,16.4555,934700,0.0,1.0
2000-03-22,27.13,27.88,26.88,27.38,16.348,794500,0.0,1.0
2000-03-23,27.06,29.25,27.06,28.25,16.8675,1290000,0.0,1.0
2000-03-24,28.88,29.94,28.62,29.5,17.6138,754100,0.0,1.0
2000-03-27,29.25,29.56,29.06,29.5,17.6138,1205100,0.0,1.0
2000-03-28,29.44,30.81,29.44,30.0,17.9124,1754800,0.0,1.0
2000-03-29,29.63,30.0,29.56,29.94,18.0377,775000,0.27,1.0
2000-03-30,30.5,33.0,30.31,32.63,19.6584,1717400,0.0,1.0
2000-03-31,32.69,34.31,32.63,34.13,20.5621,2262800,0.0,1.0
2000-04-03,34.0,34.38,33.44,34.0,20.4837,1440600,0.0,1.0
2000-04-04,34.88,35.0,32.81,33.0,19.8813,1644700,0.0,1.0
2000-04-05,33.13,33.5,32.69,32.69,19.6945,754000,0.0,1.0
2000-04-06,32.94,33.0,31.75,32.25,19.4294,1125800,0.0,1.0
2000-04-07,33.0,33.13,31.63,31.88,19.2065,626200,0.0,1.0
2000-04-10,32.0,32.31,31.5,32.13,19.3571,512100,0.0,1.0
2000-04-11,31.88,32.44,31.63,32.31,19.4656,557300,0.0,1.0
2000-04-12,33.0,33.25,32.5,32.5,19.58,1086300,0.0,1.0
2000-04-13,32.75,32.94,32.13,32.88,19.809,729200,0.0,1.0
2000-04-14,32.25,32.25,29.88,30.0,18.0739,756600,0.0,1.0
2000-04-17,31.0,31.0,29.63,30.06,18.11,996200,0.0,1.0
2000-04-18,30.0,31.0,29.69,30.88,18.6041,622600,0.0,1.0
2000-04-19,30.56,30.63,29.63,29.88,18.0016,678400,0.0,1.0
2000-04-20,29.75,30.88,29.31,30.69,18.4896,1593500,0.0,1.0
2000-04-24,30.88,31.25,30.25,31.13,18.7547,1222800,0.0,1.0
2000-04-25,31.13,33.13,31.13,33.0,19.8813,1421500,0.0,1.0
2000-04-26,33.5,33.5,32.5,32.75,19.7307,976300,0.0,1.0
2000-04-27,32.25,33.5,31.63,33.25,20.0319,1988700,0.0,1.0
2000-04-28,33.5,36.38,33.06,35.63,21.4658,1365100,0.0,1.0
2000-05-01,35.69,36.88,34.81,35.25,21.2368,1281500,0.0,1.0
2000-05-02,35.56,35.75,34.88,35.44,21.3513,1008000,0.0,1.0
2000-05-03,35.44,35.5,33.56,33.63,20.2608,567800,0.0,1.0
2000-05-04,33.88,34.31,32.88,33.88,20.4114,741800,0.0,1.0
2000-05-05,34.0,34.0,32.75,33.69,20.297,385500,0.0,1.0
2000-05-08,33.69,34.75,33.63,33.81,20.3693,552700,0.0,1.0
2000-05-09,34.25,34.5,33.44,34.0,20.4837,733000,0.0,1.0
2000-05-10,34.13,34.63,33.5,34.25,20.6344,460700,0.0,1.0
2000-05-11,34.25,35.38,33.63,35.25,21.2368,764000,0.0,1.0
2000-05-12,35.44,35.5,34.5,35.5,21.3874,706000,0.0,1.0
2000-05-15,35.56,37.25,35.5,37.06,22.3273,1472000,0.0,1.0
2000-05-16,37.13,38.13,36.75,37.75,22.743,1424900,0.0,1.0
2000-05-17,37.75,37.75,36.63,36.75,22.1405,1012400,0.0,1.0
2000-05-18,36.75,37.69,36.75,37.19,22.4056,761900,0.0,1.0
2000-05-19,37.25,37.38,35.88,36.38,21.9176,687200,0.0,1.0
2000-05-22,36.63,37.75,36.19,37.63,22.6707,941300,0.0,1.0
2000-05-23,37.5,37.88,36.81,37.81,22.7791,919900,0.0,1.0
2000-05-24,37.63,38.75,37.63,38.5,23.1948,1314600,0.0,1.0
2000-05-25,38.31,38.44,37.25,37.88,22.8213,1094300,0.0,1.0
2000-05-26,37.63,37.63,36.88,37.13,22.3695,669200,0.0,1.0
2000-05-30,37.0,38.19,36.94,37.81,22.7791,626700,0.0,1.0
2000-05-31,37.88,37.88,37.06,37.13,22.3695,860200,0.0,1.0
2000-06-01,37.25,38.56,36.94,38.38,23.1225,1107800,0.0,1.0
2000-06-02,38.63,39.19,38.5,39.19,23.6105,572100,0.0,1.0
2000-06-05,39.0,39.25,38.25,38.75,23.3454,1033800,0.0,1.0
2000-06-06,38.38,38.75,37.94,38.63,23.2731,930900,0.0,1.0
2000-06-07,38.63,39.38,38.63,38.88,23.4238,914800,0.0,1.0
2000-06-08,38.0,38.63,37.13,37.88,22.8213,1054300,0.0,1.0
2000-06-09,37.81,38.44,37.81,38.31,23.0804,388100,0.0,1.0
2000-06-12,38.5,38.63,37.25,37.4,22.5321,449200,0.0,1.0
2000-06-13,37.5,38.06,37.31,37.94,22.8574,489900,0.0,1.0
2000-06-14,37.94,37.94,36.94,37.5,22.5924,685200,0.0,1.0
2000-06-15,37.44,37.81,36.56,37.75,22.743,788700,0.0,1.0
2000-06-16,37.88,38.19,37.19,37.44,22.5562,1792400,0.0,1.0
2000-06-19,36.88,38.69,36.5,37.94,22.8574,902700,0.0,1.0
2000-06-20,37.69,37.69,35.38,35.38,21.3151,855300,0.0,1.0
2000-06-21,35.88,36.06,34.75,34.94,21.0501,683800,0.0,1.0
2000-06-22,35.06,35.13,33.75,34.19,20.5982,1187300,0.0,1.0
2000-06-23,34.69,35.75,34.56,35.0,21.0862,569500,0.0,1.0
2000-06-26,34.75,35.5,34.38,34.94,21.0501,558200,0.0,1.0
2000-06-27,35.13,35.56,34.94,35.06,21.1224,1018900,0.0,1.0
2000-06-28,35.0,36.19,34.88,35.59,21.6043,1245100,0.27,1.0
2000-06-29,35.63,36.5,35.31,36.38,22.0839,749300,0.0,1.0
2000-06-30,36.13,36.13,33.75,34.13,20.7181,969700,0.0,1.0
2000-07-03,34.0,35.0,34.0,34.63,21.0216,376800,0.0,1.0
2000-07-05,34.38,36.0,34.38,35.75,21.7015,837800,0.0,1.0
2000-07-06,36.0,36.13,34.88,35.56,21.5861,435600,0.0,1.0
2000-07-07,35.38,36.56,35.25,36.5,22.1567,380900,0.0,1.0
2000-07-10,36.5,37.06,36.5,36.63,22.2356,380600,0.0,1.0
2000-07-11,37.0,37.25,36.69,37.19,22.5756,492600,0.0,1.0
2000-07-12,37.5,39.06,37.44,38.75,23.5226,891600,0.0,1.0
2000-07-13,38.63,38.88,37.06,37.31,22.6484,611000,0.0,1.0
2000-07-14,37.5,38.06,36.88,37.44,22.7273,961900,0.0,1.0
2000-07-17,37.44,37.56,36.56,37.44,22.7273,738800,0.0,1.0
2000-07-18,37.63,37.94,37.31,37.94,23.0309,608900,0.0,1.0
2000-07-19,38.13,38.25,37.31,37.38,22.6909,510700,0.0,1.0
2000-07-20,37.44,37.81,37.38,37.75,22.9155,1209000,0.0,1.0
2000-07-21,37.75,37.81,37.06,37.44,22.7273,386200,0.0,1.0
2000-07-24,37.19,37.56,36.94,37.5,22.7638,324300,0.0,1.0
2000-07-25,37.5,40.5,37.5,40.13,24.3603,1617000,0.0,1.0
2000-07-26,40.0,43.5,39.88,42.52,25.8111,3500300,0.0,1.0
2000-07-27,42.5,44.88,42.5,44.63,27.0919,2379100,0.0,1.0
2000-07-28,44.63,45.75,44.38,44.75,27.1648,1823900,0.0,1.0
2000-07-31,44.75,45.31,44.19,44.44,26.9766,1577600,0.0,1.0
2000-08-01,44.13,44.5,43.75,44.25,26.8612,847800,0.0,1.0
2000-08-02,43.88,44.19,43.63,44.06,26.7459,1154700,0.0,1.0
2000-08-03,44.0,45.31,43.63,45.06,27.3529,1259100,0.0,1.0
2000-08-04,45.0,47.69,44.88,47.25,28.6823,1594900,0.0,1.0
2000-08-07,46.75,49.56,46.75,48.25,29.2894,1592200,0.0,1.0
2000-08-08,48.25,48.5,47.31,48.38,29.3683,1416200,0.0,1.0
2000-08-09,48.0,48.13,46.13,47.5,28.8341,1199100,0.0,1.0
2000-08-10,46.75,48.0,46.75,47.31,28.7188,1155000,0.0,1.0
2000-08-11,47.56,47.81,47.0,47.75,28.9859,581700,0.0,1.0
2000-08-14,47.5,47.94,47.06,47.69,28.9494,1072700,0.0,1.0
2000-08-15,47.44,47.75,46.5,47.0,28.5306,785900,0.0,1.0
2000-08-16,46.88,46.94,46.31,46.38,28.1542,617100,0.0,1.0
2000-08-17,45.5,47.19,45.5,46.94,28.4942,686000,0.0,1.0
2000-08-18,46.5,47.38,46.38,47.13,28.6095,567900,0.0,1.0
2000-08-21,47.75,48.06,47.63,47.88,29.0648,904800,0.0,1.0
2000-08-22,47.63,48.19,47.31,47.81,29.0223,637100,0.0,1.0
2000-08-23,47.63,48.31,46.13,46.69,28.3424,820400,0.0,1.0
