,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,16.13,16.25,15.94,16.06,0.9022,9800,0.0,1.0
2000-01-19,16.06,16.06,15.19,15.34,0.8618,15100,0.0,1.0
2000-01-20,15.19,16.13,15.19,15.75,0.8848,18800,0.0,1.0
2000-01-21,15.69,15.75,15.19,15.25,0.8567,17200,0.0,1.0
2000-01-24,15.25,15.75,14.81,14.81,0.832,20400,0.0,1.0
2000-01-25,15.63,15.63,14.63,14.63,0.8219,161700,0.0,1.0
2000-01-26,14.88,15.0,14.88,15.0,0.8427,14600,0.0,1.0
2000-01-27,15.34,17.5,15.19,17.06,0.9584,51100,0.0,1.0
2000-01-28,17.25,17.25,16.13,16.5,0.9269,31500,0.0,1.0
2000-01-31,16.88,18.75,16.75,18.0,1.0112,61400,0.0,1.0
2000-02-01,17.38,17.75,17.38,17.63,0.9904,6100,0.0,1.0
2000-02-02,17.69,17.75,15.19,16.13,0.9061,67100,0.0,1.0
2000-02-03,16.0,16.25,15.56,15.88,0.8921,35800,0.0,1.0
2000-02-04,16.25,16.25,16.06,16.25,0.9129,24300,0.0,1.0
2000-02-07,16.25,17.13,15.88,17.13,0.9623,7900,0.0,1.0
2000-02-08,16.81,17.63,16.38,17.19,0.9657,4700,0.0,1.0
2000-02-09,17.63,17.63,16.75,17.13,0.9623,9200,0.0,1.0
2000-02-10,18.06,18.25,17.5,17.5,0.9831,28400,0.0,1.0
2000-02-11,17.5,18.5,17.31,17.75,0.9971,20700,0.0,1.0
2000-02-14,18.0,18.0,16.5,16.75,0.941,13800,0.0,1.0
2000-02-15,16.63,17.25,16.63,16.63,0.9342,62900,0.0,1.0
2000-02-16,16.75,17.25,16.69,16.72,0.9393,127600,0.0,1.0
2000-02-17,16.5,17.0,16.38,16.75,0.941,41400,0.0,1.0
2000-02-18,16.38,17.38,16.38,16.5,0.9269,49600,0.0,1.0
2000-02-22,16.38,16.69,16.38,16.5,0.9269,12600,0.0,1.0
2000-02-23,16.5,16.56,16.13,16.25,0.9129,12800,0.0,1.0
2000-02-24,16.0,16.75,16.0,16.38,0.9202,29800,0.0,1.0
2000-02-25,16.63,16.88,16.25,16.88,0.9483,23400,0.0,1.0
2000-02-28,17.38,17.75,16.5,17.38,0.9764,7600,0.0,1.0
2000-02-29,17.38,18.0,17.38,18.0,1.0112,15300,0.0,1.0
2000-03-01,18.0,19.5,17.75,18.88,1.0606,20600,0.0,1.0
2000-03-02,18.38,18.88,18.0,18.0,1.0112,3000,0.0,1.0
2000-03-03,18.88,19.0,17.75,17.75,0.9971,19200,0.0,1.0
2000-03-06,18.0,18.63,17.75,18.25,1.0252,3300,0.0,1.0
2000-03-07,18.0,18.25,17.56,17.56,0.9865,7800,0.0,1.0
2000-03-08,17.63,18.0,17.5,17.75,0.9971,28100,0.0,1.0
2000-03-09,17.75,18.0,17.0,17.38,0.9764,25100,0.0,1.0
2000-03-10,16.88,17.75,16.88,17.75,0.9971,2900,0.0,1.0
2000-03-13,16.69,18.06,16.69,18.06,1.0146,2300,0.0,1.0
2000-03-14,16.69,17.81,16.5,17.13,0.9623,7700,0.0,1.0
2000-03-15,17.13,19.0,16.0,18.0,1.0112,62400,0.0,1.0
2000-03-16,18.63,19.38,17.88,19.31,1.0848,20600,0.0,1.0
2000-03-17,18.81,19.25,18.0,18.75,1.0533,8600,0.0,1.0
2000-03-20,18.75,19.25,18.44,19.25,1.0814,25500,0.0,1.0
2000-03-21,18.75,19.88,18.56,19.75,1.1095,7000,0.0,1.0
2000-03-22,19.25,20.31,19.25,20.0,1.1235,19600,0.0,1.0
2000-03-23,19.94,20.44,19.75,20.44,1.1483,4400,0.0,1.0
2000-03-24,19.84,20.38,19.13,19.38,1.0887,48500,0.0,1.0
2000-03-27,19.13,20.5,19.13,19.38,1.0887,24600,0.0,1.0
2000-03-28,19.5,20.25,19.13,19.69,1.1061,7400,0.0,1.0
2000-03-29,19.31,19.5,19.0,19.5,1.0955,44400,0.0,1.0
2000-03-30,19.66,20.5,19.38,20.0,1.1235,10600,0.0,1.0
2000-03-31,20.25,21.0,20.13,20.5,1.1516,13600,0.0,1.0
2000-04-03,20.75,21.5,20.5,20.5,1.1516,5200,0.0,1.0
2000-04-04,21.25,21.25,20.38,20.56,1.155,51700,0.0,1.0
2000-04-05,21.0,21.06,20.13,20.63,1.1589,22000,0.0,1.0
2000-04-06,21.0,21.0,19.75,20.75,1.1657,33400,0.0,1.0
2000-04-07,20.75,21.38,20.75,21.38,1.2011,15500,0.0,1.0
2000-04-10,21.0,21.0,20.44,20.56,1.155,3400,0.0,1.0
2000-04-11,21.13,21.75,20.88,21.75,1.2219,20300,0.0,1.0
