,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,16.31,16.38,15.94,16.0,12.5296,228600,0.0,1.0
2000-01-19,16.0,16.06,15.75,15.75,12.3339,199800,0.0,1.0
2000-01-20,15.88,15.94,15.63,15.63,12.2399,215600,0.0,1.0
2000-01-21,15.69,15.69,15.38,15.44,12.0911,152800,0.0,1.0
2000-01-24,15.38,15.5,14.81,14.81,11.5977,293500,0.0,1.0
2000-01-25,14.88,14.88,13.63,14.25,11.1592,723800,0.0,1.0
2000-01-26,14.25,14.56,13.88,14.0,10.9634,262000,0.0,1.0
2000-01-27,14.0,14.25,13.81,14.19,11.1122,239100,0.0,1.0
2000-01-28,14.25,14.31,13.88,14.25,11.1592,251700,0.0,1.0
2000-01-31,14.38,14.38,13.56,13.69,10.7207,506400,0.0,1.0
2000-02-01,13.69,14.0,13.69,13.88,10.8695,348800,0.0,1.0
2000-02-02,14.0,14.13,13.5,13.56,10.6189,717300,0.0,1.0
2000-02-03,13.63,13.75,13.13,13.25,10.3761,486700,0.0,1.0
2000-02-04,13.13,13.25,12.94,13.0,10.1803,442700,0.0,1.0
2000-02-07,13.0,13.0,12.56,12.88,10.0863,217400,0.0,1.0
2000-02-08,12.88,12.88,12.56,12.81,10.0315,539500,0.0,1.0
2000-02-09,12.88,12.94,12.44,12.5,9.7888,280900,0.0,1.0
2000-02-10,12.38,12.56,11.75,11.94,9.3502,414400,0.0,1.0
2000-02-11,11.94,12.0,11.0,11.25,8.8099,826500,0.0,1.0
2000-02-14,11.25,11.44,10.75,11.0,8.6141,605600,0.0,1.0
2000-02-15,11.0,11.13,10.75,10.81,8.4653,714100,0.0,1.0
2000-02-16,10.94,11.0,10.75,10.75,8.4183,423500,0.0,1.0
2000-02-17,10.94,11.06,10.63,10.75,8.4183,518300,0.0,1.0
2000-02-18,10.75,10.81,10.56,10.69,8.3714,353300,0.0,1.0
2000-02-22,10.81,10.94,10.5,10.63,8.3244,443700,0.0,1.0
2000-02-23,10.63,10.63,9.813,9.938,7.7825,455300,0.0,1.0
2000-02-24,10.0,10.06,9.75,9.938,7.7825,769400,0.0,1.0
2000-02-25,10.13,11.56,10.13,10.94,8.5671,720700,0.0,1.0
2000-02-28,11.63,11.75,10.75,10.88,8.5515,394900,0.04,1.0
2000-02-29,10.88,11.25,10.31,10.31,8.1035,688900,0.0,1.0
2000-03-01,10.44,11.0,10.25,10.56,8.3,377800,0.0,1.0
2000-03-02,10.63,10.81,10.31,10.44,8.2056,395000,0.0,1.0
2000-03-03,10.56,10.75,10.19,10.44,8.2056,321000,0.0,1.0
2000-03-06,10.44,10.63,10.06,10.06,7.907,361700,0.0,1.0
2000-03-07,10.06,10.31,9.75,9.875,7.7616,443200,0.0,1.0
2000-03-08,9.938,10.19,9.875,10.0,7.8598,665400,0.0,1.0
2000-03-09,10.13,10.63,10.0,10.13,7.962,532400,0.0,1.0
2000-03-10,10.0,10.13,9.125,9.375,7.3686,837900,0.0,1.0
2000-03-13,9.5,9.875,9.313,9.375,7.3686,304400,0.0,1.0
2000-03-14,9.563,9.75,9.25,9.313,7.3198,421300,0.0,1.0
2000-03-15,9.0,9.0,8.5,9.0,7.0738,1607400,0.0,1.0
2000-03-16,9.0,10.5,8.875,10.13,7.962,970200,0.0,1.0
2000-03-17,9.875,10.38,9.75,9.75,7.6633,657400,0.0,1.0
2000-03-20,10.0,10.5,9.875,10.06,7.907,436500,0.0,1.0
2000-03-21,10.19,10.5,10.0,10.44,8.2056,424100,0.0,1.0
2000-03-22,10.5,10.56,10.38,10.5,8.2528,578700,0.0,1.0
2000-03-23,10.75,11.0,10.56,10.88,8.5515,459900,0.0,1.0
2000-03-24,10.88,10.88,10.44,10.63,8.355,799700,0.0,1.0
2000-03-27,10.63,10.75,10.0,10.13,7.962,409200,0.0,1.0
