,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,67.13,67.5,66.75,67.13,26.1591,399800,0.0,1.0
2000-01-19,63.0,65.5,62.88,63.25,24.6471,1855600,0.0,1.0
2000-01-20,63.25,63.38,57.0,57.88,22.5545,3139000,0.0,1.0
2000-01-21,57.94,61.5,57.88,60.38,23.5287,1740800,0.0,1.0
2000-01-24,61.88,62.25,60.31,60.88,23.7236,1187800,0.0,1.0
2000-01-25,60.13,61.5,59.75,60.25,23.4781,907700,0.0,1.0
2000-01-26,59.94,60.81,59.94,60.25,23.4781,450100,0.0,1.0
2000-01-27,60.75,62.19,59.75,60.75,23.6729,631600,0.0,1.0
2000-01-28,59.63,60.19,58.88,59.0,22.991,1001400,0.0,1.0
2000-01-31,59.25,60.06,59.25,59.69,23.2599,465700,0.0,1.0
2000-02-01,59.56,60.31,59.38,60.0,23.3807,779000,0.0,1.0
2000-02-02,59.75,61.75,59.75,61.69,24.0392,903900,0.0,1.0
2000-02-03,61.69,62.56,61.0,61.69,24.0392,714600,0.0,1.0
2000-02-04,61.75,61.88,61.56,61.75,24.0626,465700,0.0,1.0
2000-02-07,62.0,62.0,60.38,61.13,23.821,484400,0.0,1.0
2000-02-08,61.13,62.44,60.94,61.5,23.9652,711200,0.0,1.0
2000-02-09,61.25,61.25,60.31,61.13,23.821,632000,0.0,1.0
2000-02-10,60.63,61.75,60.56,60.94,23.7469,609600,0.0,1.0
2000-02-11,60.94,61.06,59.69,59.88,23.3339,486000,0.0,1.0
2000-02-14,59.81,60.13,59.44,59.69,23.2599,298400,0.0,1.0
2000-02-15,60.63,60.88,58.5,60.38,23.5287,383900,0.0,1.0
2000-02-16,60.25,60.38,58.5,59.94,23.3573,300200,0.0,1.0
2000-02-17,59.38,60.13,58.0,59.31,23.1118,298000,0.0,1.0
2000-02-18,58.81,59.88,58.81,59.44,23.1624,504700,0.0,1.0
2000-02-22,59.0,59.81,58.5,59.5,23.1858,462900,0.0,1.0
2000-02-23,59.5,62.0,59.0,59.81,23.3066,558600,0.0,1.0
2000-02-24,59.56,61.13,59.0,60.38,23.5287,1449000,0.0,1.0
2000-02-25,60.38,61.38,59.56,59.56,23.2092,730900,0.0,1.0
2000-02-28,59.81,61.69,59.81,60.94,23.7469,461400,0.0,1.0
2000-02-29,60.5,61.69,60.5,61.0,23.7703,605900,0.0,1.0
2000-03-01,60.13,60.31,57.5,59.13,23.0416,602700,0.0,1.0
2000-03-02,59.56,59.63,57.63,57.63,22.4571,492700,0.0,1.0
2000-03-03,57.63,60.31,57.63,59.0,22.991,827300,0.0,1.0
2000-03-06,59.13,59.19,57.63,57.69,22.4805,529800,0.0,1.0
2000-03-07,57.69,58.0,56.06,56.31,21.9427,404700,0.0,1.0
2000-03-08,55.19,56.63,54.88,55.88,21.9018,779400,0.325,1.0
2000-03-09,54.25,54.88,53.25,53.88,21.1179,755100,0.0,1.0
2000-03-10,53.38,53.81,51.0,52.56,20.6006,1066900,0.0,1.0
2000-03-13,51.0,54.25,51.0,52.69,20.6515,878100,0.0,1.0
2000-03-14,52.75,53.5,51.44,51.5,20.1851,600400,0.0,1.0
2000-03-15,51.63,54.81,51.44,54.81,21.4824,728800,0.0,1.0
2000-03-16,58.0,59.63,55.5,59.31,23.2462,1385000,0.0,1.0
2000-03-17,59.5,60.69,59.25,60.0,23.5166,806500,0.0,1.0
2000-03-20,61.75,62.0,59.31,60.38,23.6656,796100,0.0,1.0
2000-03-21,60.63,61.0,58.88,59.94,23.4931,610800,0.0,1.0
2000-03-22,60.0,60.19,59.13,59.88,23.4696,796200,0.0,1.0
2000-03-23,59.88,62.88,59.0,61.63,24.1555,731500,0.0,1.0
2000-03-24,60.13,61.88,59.06,59.44,23.2971,535300,0.0,1.0
2000-03-27,59.31,59.75,57.81,57.88,22.6857,520500,0.0,1.0
2000-03-28,58.06,59.94,58.06,58.38,22.8817,407200,0.0,1.0
2000-03-29,57.88,58.75,57.81,58.44,22.9052,310400,0.0,1.0
2000-03-30,58.44,61.38,58.44,60.0,23.5166,633400,0.0,1.0
2000-03-31,60.5,62.31,59.94,60.88,23.8615,578500,0.0,1.0
2000-04-03,60.88,64.06,60.88,64.0,25.0844,569700,0.0,1.0
2000-04-04,65.5,65.75,63.56,64.38,25.2333,614700,0.0,1.0
2000-04-05,64.5,64.81,61.5,62.0,24.3005,486200,0.0,1.0
2000-04-06,62.0,62.69,61.81,62.0,24.3005,279500,0.0,1.0
2000-04-07,62.0,62.19,60.88,60.94,23.8851,386700,0.0,1.0
2000-04-10,60.94,61.25,60.44,61.13,23.9595,759000,0.0,1.0
2000-04-11,61.13,63.06,60.75,61.0,23.9086,708900,0.0,1.0
2000-04-12,61.25,65.0,61.0,63.88,25.0374,800700,0.0,1.0
2000-04-13,64.5,64.5,61.81,62.19,24.375,328500,0.0,1.0
2000-04-14,62.19,62.38,59.0,59.38,23.2736,400100,0.0,1.0
2000-04-17,59.38,60.5,59.06,59.88,23.4696,396600,0.0,1.0
2000-04-18,59.25,59.5,57.88,58.56,22.9522,346300,0.0,1.0
2000-04-19,58.56,59.5,57.88,58.0,22.7327,598000,0.0,1.0
2000-04-20,59.75,60.38,58.75,58.81,23.0502,739700,0.0,1.0
2000-04-24,58.75,61.88,58.75,61.38,24.0575,896200,0.0,1.0
2000-04-25,61.25,65.0,60.75,64.06,25.1079,857600,0.0,1.0
2000-04-26,63.94,64.5,62.38,63.0,24.6925,596700,0.0,1.0
2000-04-27,62.13,63.19,61.94,62.56,24.52,410600,0.0,1.0
2000-04-28,62.0,63.13,60.81,61.94,24.277,380400,0.0,1.0
2000-05-01,61.5,63.94,61.25,63.44,24.8649,504900,0.0,1.0
2000-05-02,62.88,64.0,61.81,63.13,24.7434,480200,0.0,1.0
2000-05-03,62.0,62.94,61.75,62.13,24.3515,386900,0.0,1.0
2000-05-04,62.0,62.69,61.0,61.31,24.0301,356200,0.0,1.0
2000-05-05,61.06,62.94,60.69,62.25,24.3985,383700,0.0,1.0
2000-05-08,62.0,63.63,61.75,61.88,24.2535,362000,0.0,1.0
2000-05-09,60.63,61.44,60.44,61.06,23.9321,576100,0.0,1.0
2000-05-10,61.19,62.63,60.81,60.88,23.8615,364900,0.0,1.0
2000-05-11,62.0,64.19,61.81,63.25,24.7905,287800,0.0,1.0
2000-05-12,63.5,65.88,63.25,65.25,25.5743,548200,0.0,1.0
2000-05-15,64.88,66.25,64.63,65.0,25.4764,474700,0.0,1.0
