,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,9.88,9.94,9.56,9.69,3.3154,301500,0.0,1.0
2000-01-19,9.75,10.0,9.69,9.94,3.4009,366800,0.0,1.0
2000-01-20,9.94,10.06,9.94,9.94,3.4009,211100,0.0,1.0
2000-01-21,10.0,10.5,10.0,10.44,3.572,607200,0.0,1.0
2000-01-24,10.5,10.5,10.25,10.25,3.507,194700,0.0,1.0
2000-01-25,10.31,10.38,10.25,10.25,3.507,135100,0.0,1.0
2000-01-26,10.25,10.5,10.06,10.12,3.4625,217500,0.0,1.0
2000-01-27,10.0,10.19,9.94,9.94,3.4009,166700,0.0,1.0
2000-01-28,9.94,10.06,9.88,9.88,3.3804,125500,0.0,1.0
2000-01-31,9.81,9.88,9.62,9.62,3.2914,213000,0.0,1.0
2000-02-01,9.62,9.94,9.56,9.94,3.4009,245700,0.0,1.0
2000-02-02,9.88,10.06,9.81,10.06,3.442,158200,0.0,1.0
2000-02-03,9.94,10.19,9.94,10.19,3.4865,261300,0.0,1.0
2000-02-04,10.06,10.38,10.06,10.38,3.5515,322500,0.0,1.0
2000-02-07,10.25,10.31,10.12,10.12,3.4625,147600,0.0,1.0
2000-02-08,10.12,10.31,10.0,10.06,3.442,165400,0.0,1.0
2000-02-09,10.06,10.12,10.0,10.06,3.442,135800,0.0,1.0
2000-02-10,10.06,10.19,10.0,10.06,3.442,468400,0.0,1.0
2000-02-11,10.06,10.19,10.0,10.0,3.4214,156400,0.0,1.0
2000-02-14,10.0,10.12,10.0,10.06,3.442,158200,0.0,1.0
2000-02-15,10.0,10.12,9.94,10.0,3.4214,284200,0.0,1.0
2000-02-16,10.06,10.06,9.81,9.81,3.3564,180800,0.0,1.0
2000-02-17,9.81,9.94,9.81,9.94,3.4009,185500,0.0,1.0
2000-02-18,10.0,10.0,9.75,9.81,3.3564,183400,0.0,1.0
2000-02-22,9.75,9.81,9.62,9.75,3.3359,247200,0.0,1.0
2000-02-23,9.75,9.94,9.75,9.94,3.4009,210900,0.0,1.0
2000-02-24,9.88,9.94,9.81,9.81,3.3564,133300,0.0,1.0
