,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,46.06,46.5,45.63,45.75,10.4979,57600,0.0,1.0
2000-01-19,45.63,45.69,43.5,44.56,10.2248,195700,0.0,1.0
2000-01-20,48.0,48.56,47.5,48.0,11.0142,305200,0.0,1.0
2000-01-21,48.06,49.13,47.88,48.0,11.0142,420900,0.0,1.0
2000-01-24,47.88,48.19,47.75,48.0,11.0142,277600,0.0,1.0
2000-01-25,48.06,49.0,47.38,47.44,10.8857,249600,0.0,1.0
2000-01-26,47.44,47.94,46.56,46.56,10.6837,193800,0.0,1.0
2000-01-27,46.56,47.5,46.0,46.0,10.5552,203300,0.0,1.0
2000-01-28,46.0,46.56,44.75,45.0,10.3258,131700,0.0,1.0
2000-01-31,45.13,45.56,44.25,44.69,10.2547,94400,0.0,1.0
2000-02-01,44.81,45.19,43.75,45.06,10.3396,143700,0.0,1.0
2000-02-02,45.06,46.38,44.88,46.0,10.5552,134500,0.0,1.0
2000-02-03,46.0,48.38,46.0,48.06,11.0279,203000,0.0,1.0
2000-02-04,47.94,49.44,47.94,48.5,11.1289,202200,0.0,1.0
2000-02-07,48.5,48.5,47.5,47.75,10.9568,59500,0.0,1.0
2000-02-08,47.75,48.94,47.06,47.13,10.8145,106600,0.0,1.0
2000-02-09,47.25,47.94,45.88,46.0,10.5552,92900,0.0,1.0
2000-02-10,45.75,45.75,43.31,45.56,10.4543,191700,0.0,1.0
2000-02-11,45.44,46.06,45.0,45.25,10.3832,85600,0.0,1.0
2000-02-14,44.88,45.0,44.06,44.19,10.1399,75200,0.0,1.0
2000-02-15,44.0,47.0,43.63,46.25,10.6126,257300,0.0,1.0
2000-02-16,46.19,46.19,43.13,43.13,9.8967,141400,0.0,1.0
2000-02-17,43.38,43.38,42.19,42.5,9.7521,193500,0.0,1.0
2000-02-18,42.5,42.5,40.56,40.88,9.3804,239600,0.0,1.0
2000-02-22,40.88,40.88,39.25,40.31,9.2496,276400,0.0,1.0
2000-02-23,40.31,40.31,39.25,39.88,9.1509,192500,0.0,1.0
2000-02-24,40.0,40.0,38.19,38.88,8.9215,173600,0.0,1.0
2000-02-25,39.0,39.5,38.5,39.5,9.0637,142100,0.0,1.0
2000-02-28,39.38,39.44,38.31,38.31,8.7907,218600,0.0,1.0
2000-02-29,38.31,39.5,38.25,38.88,8.9215,142100,0.0,1.0
2000-03-01,38.94,40.25,38.94,40.06,9.1922,113200,0.0,1.0
2000-03-02,40.31,41.94,40.31,41.75,9.58,130200,0.0,1.0
2000-03-03,41.88,41.88,41.19,41.38,9.4951,146200,0.0,1.0
2000-03-06,41.25,41.38,40.19,40.31,9.2496,98000,0.0,1.0
2000-03-07,40.44,40.44,39.13,39.13,8.9788,110800,0.0,1.0
2000-03-08,39.25,39.25,38.38,39.13,8.9788,127700,0.0,1.0
2000-03-09,39.38,40.25,38.94,40.13,9.2083,136300,0.0,1.0
2000-03-10,40.0,40.0,39.38,39.5,9.0637,62700,0.0,1.0
2000-03-13,39.63,39.63,39.13,39.44,9.05,103400,0.0,1.0
2000-03-14,39.5,40.25,39.5,39.69,9.1073,86400,0.0,1.0
2000-03-15,39.75,39.88,39.31,39.81,9.1349,118800,0.0,1.0
2000-03-16,40.06,42.0,40.06,41.75,9.58,366600,0.0,1.0
2000-03-17,41.75,42.31,40.94,41.69,9.5663,108300,0.0,1.0
2000-03-20,41.69,42.13,41.38,41.88,9.6099,102100,0.0,1.0
2000-03-21,42.38,42.94,42.19,42.75,9.8095,49500,0.0,1.0
2000-03-22,43.0,44.63,43.0,44.19,10.1399,197000,0.0,1.0
2000-03-23,44.13,44.13,43.75,43.88,10.0688,55200,0.0,1.0
