,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,60.25,61.0,58.25,59.0,6.3061,689300,0.0,1.0
2000-01-19,58.5,60.44,58.5,59.5,6.3596,966300,0.0,1.0
2000-01-20,59.5,61.0,58.5,61.0,6.5199,1057200,0.0,1.0
2000-01-21,61.0,61.0,57.75,58.38,6.2398,1610100,0.0,1.0
2000-01-24,57.38,58.06,54.56,55.19,5.8989,1187900,0.0,1.0
2000-01-25,55.5,56.19,54.56,55.19,5.8989,1052000,0.0,1.0
2000-01-26,54.5,56.31,54.5,55.06,5.885,1099700,0.0,1.0
2000-01-27,55.06,55.31,53.88,54.19,5.792,1131700,0.0,1.0
2000-01-28,52.25,54.62,52.25,52.62,5.6242,1594300,0.0,1.0
2000-01-31,52.62,55.25,52.56,53.0,5.6648,598800,0.0,1.0
2000-02-01,53.5,55.44,53.12,54.44,5.8187,498000,0.0,1.0
2000-02-02,54.88,56.5,54.88,55.88,5.9726,832500,0.0,1.0
2000-02-03,55.38,56.0,55.06,55.38,5.9192,1715100,0.0,1.0
2000-02-04,55.62,56.81,55.62,56.75,6.0656,899900,0.0,1.0
2000-02-07,56.0,58.5,55.81,58.19,6.2195,1452100,0.0,1.0
2000-02-08,56.0,57.12,55.75,56.0,5.9855,1040700,0.0,1.0
2000-02-09,56.5,56.69,53.75,53.94,5.7653,940800,0.0,1.0
2000-02-10,57.88,60.44,57.06,57.88,6.1864,2611000,0.0,1.0
2000-02-11,57.12,59.12,55.88,56.0,5.9855,2362000,0.0,1.0
2000-02-14,56.62,57.5,56.38,56.88,6.0795,909500,0.0,1.0
2000-02-15,58.38,61.44,58.25,59.38,6.3467,2110700,0.0,1.0
2000-02-16,59.69,62.5,59.31,61.31,6.553,2051600,0.0,1.0
2000-02-17,62.0,64.69,61.88,62.88,6.7208,1552400,0.0,1.0
2000-02-18,62.12,62.5,57.25,57.88,6.1864,1896300,0.0,1.0
2000-02-22,58.0,59.62,57.69,58.81,6.2858,728600,0.0,1.0
2000-02-23,58.25,58.5,56.88,57.25,6.1191,1225800,0.0,1.0
2000-02-24,56.62,56.75,51.94,52.62,5.6242,1626500,0.0,1.0
2000-02-25,52.62,52.88,50.56,51.25,5.4778,1207300,0.0,1.0
2000-02-28,51.0,52.44,50.5,51.44,5.4981,1066700,0.0,1.0
2000-02-29,51.19,51.94,51.0,51.12,5.4639,963900,0.0,1.0
2000-03-01,51.12,55.38,49.81,54.62,5.838,1570600,0.0,1.0
2000-03-02,54.75,55.0,52.0,52.5,5.6114,942300,0.0,1.0
2000-03-03,52.44,55.31,52.06,54.44,5.8187,474300,0.0,1.0
2000-03-06,54.31,54.31,52.25,52.5,5.6114,511300,0.0,1.0
2000-03-07,51.5,51.62,48.88,49.0,5.2373,1076300,0.0,1.0
2000-03-08,48.88,49.44,46.38,47.62,5.0898,1295400,0.0,1.0
2000-03-09,47.62,49.62,47.12,49.06,5.2437,837500,0.0,1.0
2000-03-10,49.0,51.0,48.56,50.88,5.4382,838800,0.0,1.0
2000-03-13,49.0,50.5,49.0,50.06,5.3506,785300,0.0,1.0
2000-03-14,49.88,50.44,49.06,50.06,5.3506,493700,0.0,1.0
2000-03-15,49.69,51.75,49.5,51.44,5.4981,1609500,0.0,1.0
2000-03-16,50.62,53.19,49.75,52.12,5.5708,1395500,0.0,1.0
2000-03-17,53.0,54.0,51.19,51.62,5.5173,1208900,0.0,1.0
2000-03-20,51.88,53.38,51.69,53.0,5.6648,683600,0.0,1.0
2000-03-21,53.0,54.38,53.0,54.0,5.7717,521100,0.0,1.0
2000-03-22,53.75,54.94,52.0,52.94,5.6584,737200,0.0,1.0
2000-03-23,52.5,54.62,52.25,54.62,5.838,750400,0.0,1.0
2000-03-24,54.56,57.56,54.44,57.44,6.1394,1085900,0.0,1.0
2000-03-27,56.81,56.88,55.38,55.75,5.9587,583100,0.0,1.0
2000-03-28,55.0,56.19,54.94,55.38,5.9192,475100,0.0,1.0
2000-03-29,55.44,55.94,54.5,55.69,5.9523,449300,0.0,1.0
2000-03-30,55.62,57.88,55.56,57.25,6.1223,654700,0.03,1.0
2000-03-31,57.25,59.69,56.44,59.62,6.3757,879100,0.0,1.0
2000-04-03,59.38,62.5,59.31,62.06,6.6367,928800,0.0,1.0
2000-04-04,62.0,62.0,57.75,60.75,6.4966,1031700,0.0,1.0
2000-04-05,59.94,60.94,59.06,60.0,6.4164,625800,0.0,1.0
2000-04-06,59.94,62.0,59.62,61.69,6.5971,689500,0.0,1.0
2000-04-07,61.56,61.81,60.25,61.75,6.6035,682900,0.0,1.0
2000-04-10,62.62,64.25,62.56,63.88,6.8313,938900,0.0,1.0
2000-04-11,63.0,65.44,62.06,65.44,6.9981,1299900,0.0,1.0
2000-04-12,65.0,68.88,64.75,67.88,7.259,1266700,0.0,1.0
2000-04-13,68.19,68.56,63.31,66.38,7.0986,1723000,0.0,1.0
2000-04-14,65.75,65.75,61.88,63.94,6.8377,644400,0.0,1.0
2000-04-17,63.38,64.56,61.75,63.75,6.8174,640100,0.0,1.0
2000-04-18,63.0,65.19,62.44,64.88,6.9382,588500,0.0,1.0
2000-04-19,63.5,65.75,63.38,64.69,6.9179,632800,0.0,1.0
2000-04-20,63.44,68.31,63.44,67.12,7.1778,1192800,0.0,1.0
2000-04-24,67.5,69.75,67.44,69.44,7.4259,697500,0.0,1.0
2000-04-25,69.38,69.38,67.5,68.25,7.2986,1612000,0.0,1.0
2000-04-26,68.5,69.19,67.0,67.31,7.1981,1053900,0.0,1.0
2000-04-27,67.75,68.5,66.88,67.06,7.1713,901600,0.0,1.0
2000-04-28,68.0,68.0,66.19,66.69,7.1318,721900,0.0,1.0
2000-05-01,66.06,66.5,64.5,64.56,6.904,790100,0.0,1.0
2000-05-02,65.0,65.12,62.69,63.0,6.7372,1517400,0.0,1.0
2000-05-03,62.5,62.62,60.25,61.25,6.55,1890900,0.0,1.0
2000-05-04,64.44,64.44,62.0,62.44,6.6773,2213500,0.0,1.0
2000-05-05,63.44,63.88,62.81,63.06,6.7436,1433400,0.0,1.0
2000-05-08,63.06,66.25,62.62,66.0,7.058,1034500,0.0,1.0
2000-05-09,65.25,68.25,65.0,67.88,7.259,1050300,0.0,1.0
2000-05-10,68.25,70.0,67.75,68.38,7.3125,1347900,0.0,1.0
2000-05-11,69.06,70.62,68.75,69.19,7.3991,1582500,0.0,1.0
2000-05-12,70.06,71.69,69.19,71.38,7.6333,1545500,0.0,1.0
2000-05-15,72.0,75.0,72.0,74.62,7.9798,1737800,0.0,1.0
2000-05-16,77.5,77.5,74.56,75.62,8.0867,1600800,0.0,1.0
2000-05-17,74.88,75.75,74.25,74.62,7.9798,1106200,0.0,1.0
2000-05-18,74.75,78.56,74.69,77.5,8.2878,1695900,0.0,1.0
2000-05-19,76.88,77.44,75.62,76.38,8.168,1072900,0.0,1.0
2000-05-22,76.88,77.56,74.56,76.31,8.1605,903800,0.0,1.0
2000-05-23,76.0,76.69,75.12,75.44,8.0675,844900,0.0,1.0
2000-05-24,76.5,79.25,76.5,77.88,8.3284,2432500,0.0,1.0
2000-05-25,78.0,78.81,76.31,76.56,8.1873,2791900,0.0,1.0
2000-05-26,76.0,77.56,75.19,75.88,8.1146,803900,0.0,1.0
2000-05-30,76.62,78.44,75.88,75.94,8.121,887600,0.0,1.0
2000-05-31,76.06,76.5,74.5,74.56,7.9734,967300,0.0,1.0
2000-06-01,74.44,77.06,74.12,76.0,8.1274,1150800,0.0,1.0
2000-06-02,75.75,76.31,74.56,74.88,8.0076,921600,0.0,1.0
2000-06-05,74.88,76.25,74.69,74.94,8.014,695100,0.0,1.0
2000-06-06,74.75,75.62,72.5,73.38,7.8472,1095400,0.0,1.0
2000-06-07,73.38,74.69,73.12,73.62,7.8729,921400,0.0,1.0
2000-06-08,73.94,75.12,73.81,74.0,7.9135,836700,0.0,1.0
2000-06-09,74.12,77.75,74.12,76.94,8.2279,555300,0.0,1.0
2000-06-12,76.94,80.38,76.0,79.91,8.5455,1416000,0.0,1.0
2000-06-13,80.0,83.0,80.0,80.75,8.6353,2327200,0.0,1.0
2000-06-14,80.75,83.31,80.25,82.0,8.769,1121500,0.0,1.0
2000-06-15,82.06,83.12,82.0,82.0,8.769,1254700,0.0,1.0
2000-06-16,81.88,82.38,80.25,80.75,8.6353,1181500,0.0,1.0
2000-06-19,81.56,81.88,79.94,80.0,8.5551,1112900,0.0,1.0
2000-06-20,80.25,81.88,80.06,80.19,8.5755,653600,0.0,1.0
2000-06-21,79.88,81.5,79.38,81.06,8.6685,486400,0.0,1.0
2000-06-22,80.81,82.88,79.94,80.38,8.5958,1101100,0.0,1.0
2000-06-23,80.5,80.88,79.44,79.88,8.5423,723800,0.0,1.0
2000-06-26,80.0,81.5,79.75,79.75,8.5284,1043400,0.0,1.0
2000-06-27,80.5,80.69,79.25,80.19,8.5755,1059000,0.0,1.0
2000-06-28,80.38,83.31,77.88,82.52,8.8246,1092000,0.0,1.0
2000-06-29,83.0,89.0,82.62,86.0,9.1968,2493300,0.0,1.0
2000-06-30,86.0,88.0,85.62,85.75,9.17,1065500,0.0,1.0
2000-07-03,85.44,88.06,85.31,88.06,9.4171,519800,0.0,1.0
2000-07-05,88.31,89.94,87.5,89.0,9.5176,875600,0.0,1.0
2000-07-06,87.25,91.94,87.06,91.75,9.8117,1637800,0.0,1.0
2000-07-07,91.0,91.44,88.62,89.75,9.5978,1593500,0.0,1.0
2000-07-10,89.0,89.19,86.25,87.38,9.3444,781600,0.0,1.0
2000-07-11,87.38,89.25,87.25,87.69,9.3775,1056500,0.0,1.0
2000-07-12,87.69,90.31,87.44,89.25,9.5443,1698800,0.0,1.0
2000-07-13,88.25,89.12,85.25,85.75,9.17,1125500,0.0,1.0
2000-07-14,85.75,86.5,83.25,84.5,9.0364,1437300,0.0,1.0
2000-07-17,84.5,87.56,83.88,86.94,9.2973,1006700,0.0,1.0
2000-07-18,83.0,84.31,81.62,83.25,8.9027,2285500,0.0,1.0
2000-07-19,84.5,85.25,83.75,83.94,8.9765,713100,0.0,1.0
2000-07-20,84.0,85.31,82.62,84.88,9.077,552900,0.0,1.0
2000-07-21,85.88,86.0,84.12,85.0,9.0898,466800,0.0,1.0
2000-07-24,84.5,85.06,81.81,82.31,8.8022,702400,0.0,1.0
2000-07-25,82.31,82.44,78.75,78.75,8.4215,1319300,0.0,1.0
2000-07-26,78.75,79.94,78.12,78.19,8.3616,1487600,0.0,1.0
