,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,29.69,29.69,29.13,29.38,19.5605,510600,0.0,1.0
2000-01-19,29.13,29.31,28.88,29.06,19.3474,653400,0.0,1.0
2000-01-20,29.19,29.19,27.56,27.63,18.3954,915100,0.0,1.0
2000-01-21,27.69,27.69,26.56,26.75,17.8095,1120600,0.0,1.0
2000-01-24,27.0,27.31,26.63,26.69,17.7696,772200,0.0,1.0
2000-01-25,26.69,27.13,26.44,26.63,17.7296,524800,0.0,1.0
2000-01-26,26.38,27.75,26.06,27.5,18.3088,842500,0.0,1.0
2000-01-27,27.44,27.44,25.69,26.44,17.7013,809400,0.1475,1.0
2000-01-28,26.69,26.69,25.63,25.94,17.3666,513700,0.0,1.0
2000-01-31,25.88,26.75,25.63,26.75,17.9089,590200,0.0,1.0
2000-02-01,26.5,26.75,26.19,26.31,17.6143,672200,0.0,1.0
2000-02-02,26.5,26.81,25.75,25.94,17.3666,574700,0.0,1.0
2000-02-03,26.06,26.94,25.97,26.44,17.7013,814800,0.0,1.0
2000-02-04,26.5,26.75,26.19,26.5,17.7415,549000,0.0,1.0
2000-02-07,26.5,26.56,26.19,26.31,17.6143,367000,0.0,1.0
2000-02-08,26.44,26.63,25.75,25.81,17.2795,719400,0.0,1.0
2000-02-09,26.06,26.13,25.69,25.69,17.1992,767300,0.0,1.0
2000-02-10,17.0,17.44,15.13,16.25,10.8792,18414900,0.0,1.0
2000-02-11,15.69,15.75,13.75,15.0,10.0424,11680000,0.0,1.0
2000-02-14,14.94,14.94,13.5,14.19,9.5001,7098500,0.0,1.0
2000-02-15,13.81,14.13,13.0,13.44,8.9979,6253900,0.0,1.0
2000-02-16,13.44,13.75,13.13,13.25,8.8707,4333100,0.0,1.0
2000-02-17,13.56,15.25,13.44,15.06,10.0825,8587100,0.0,1.0
2000-02-18,14.94,15.19,14.13,14.25,9.5402,3060100,0.0,1.0
2000-02-22,14.13,14.63,14.06,14.38,9.6273,2121600,0.0,1.0
2000-02-23,14.56,14.69,13.88,13.88,9.2925,2048800,0.0,1.0
2000-02-24,14.06,14.25,13.44,13.5,9.0381,2369200,0.0,1.0
2000-02-25,13.5,14.06,13.38,13.94,9.3327,2141600,0.0,1.0
2000-02-28,13.94,14.63,13.75,13.94,9.3327,1312700,0.0,1.0
2000-02-29,14.13,14.13,13.38,13.38,8.9578,2367700,0.0,1.0
2000-03-01,13.31,15.13,13.13,15.13,10.1294,3220400,0.0,1.0
2000-03-02,14.44,14.63,14.0,14.0,9.3729,2084400,0.0,1.0
2000-03-03,14.25,14.38,13.69,13.94,9.3327,1360600,0.0,1.0
2000-03-06,14.06,14.06,13.44,13.56,9.0783,1560600,0.0,1.0
2000-03-07,13.69,13.81,13.25,13.38,8.9578,1465300,0.0,1.0
2000-03-08,13.38,13.44,13.0,13.06,8.7435,1653700,0.0,1.0
2000-03-09,13.06,13.13,12.63,12.81,8.5762,1128300,0.0,1.0
2000-03-10,12.63,12.63,12.06,12.31,8.2414,2045900,0.0,1.0
2000-03-13,12.19,12.44,11.94,12.19,8.1611,1838200,0.0,1.0
2000-03-14,12.13,12.44,11.94,12.06,8.0741,2024700,0.0,1.0
2000-03-15,12.0,13.63,12.0,13.5,9.0381,2156100,0.0,1.0
2000-03-16,13.75,14.25,13.75,14.0,9.3729,3109300,0.0,1.0
2000-03-17,14.19,14.63,13.94,13.94,9.3327,1716500,0.0,1.0
2000-03-20,13.88,14.0,13.63,13.75,9.2055,1197600,0.0,1.0
2000-03-21,13.63,14.06,13.56,13.69,9.1653,1776200,0.0,1.0
2000-03-22,13.88,13.88,13.06,13.25,8.8707,2026200,0.0,1.0
