,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,69.0,69.0,67.38,68.69,42.1025,980500,0.0,1.0
2000-01-19,68.5,68.56,67.44,68.25,41.8328,1087300,0.0,1.0
2000-01-20,68.13,69.13,68.13,68.88,42.219,1972000,0.0,1.0
2000-01-21,68.88,68.88,66.69,67.25,41.2199,1270100,0.0,1.0
2000-01-24,67.88,68.25,66.0,66.0,40.4537,831400,0.0,1.0
2000-01-25,65.63,66.63,64.75,65.88,40.3801,1263000,0.0,1.0
2000-01-26,65.25,65.63,64.5,65.13,39.9204,933400,0.0,1.0
2000-01-27,65.31,65.38,64.0,65.13,39.9204,1128400,0.0,1.0
2000-01-28,65.13,65.88,64.0,64.94,39.804,1324700,0.0,1.0
2000-01-31,63.0,64.0,59.0,60.0,36.7761,5745800,0.0,1.0
2000-02-01,59.69,61.5,58.31,61.38,37.6219,4761000,0.0,1.0
2000-02-02,59.75,59.94,57.19,58.25,35.7035,4740600,0.0,1.0
2000-02-03,59.25,59.5,57.38,57.63,35.3234,1951900,0.0,1.0
2000-02-04,58.19,58.19,56.06,56.38,34.5573,1745200,0.0,1.0
2000-02-07,56.63,56.81,55.5,55.75,34.1711,1480200,0.0,1.0
2000-02-08,56.25,59.38,55.75,59.38,36.3961,2055100,0.0,1.0
2000-02-09,59.5,59.63,58.0,58.0,35.5502,1209400,0.0,1.0
2000-02-10,58.06,58.5,56.5,57.06,34.9741,995700,0.0,1.0
2000-02-11,56.81,57.0,55.13,55.13,33.7911,1013900,0.0,1.0
2000-02-14,55.31,55.5,54.13,54.38,33.3314,2052800,0.0,1.0
2000-02-15,54.44,55.0,53.56,54.94,33.6746,1182900,0.0,1.0
2000-02-16,55.19,56.44,54.5,56.0,34.3244,1530000,0.0,1.0
2000-02-17,56.5,58.25,56.13,58.0,35.5502,1036000,0.0,1.0
2000-02-18,58.0,59.44,55.25,56.94,34.9005,1529200,0.0,1.0
