,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,22.62,22.87,21.87,22.12,9.1768,2529300,0.0,1.0
2000-01-19,22.06,22.94,21.62,21.81,9.0482,4464000,0.0,1.0
2000-01-20,21.87,21.87,21.0,21.36,8.8615,3345400,0.0,1.0
2000-01-21,21.37,21.37,20.5,20.87,8.6582,7066900,0.0,1.0
2000-01-24,20.87,21.12,20.5,20.62,8.5545,2732400,0.0,1.0
2000-01-25,20.25,21.12,20.19,20.81,8.6334,2321400,0.0,1.0
2000-01-26,20.94,21.75,20.87,21.56,8.9445,1641400,0.0,1.0
2000-01-27,21.81,22.56,21.81,22.12,9.1768,2945600,0.0,1.0
2000-01-28,22.12,22.12,21.0,21.0,8.7122,2103000,0.0,1.0
2000-01-31,21.0,22.25,20.94,22.19,9.2059,3286500,0.0,1.0
2000-02-01,22.19,22.69,21.87,22.25,9.2308,2368900,0.0,1.0
2000-02-02,22.0,22.56,21.75,22.0,9.127,1557000,0.0,1.0
2000-02-03,22.19,22.44,21.75,21.94,9.1022,1863700,0.0,1.0
2000-02-04,22.06,22.37,21.19,21.31,8.8408,1811400,0.0,1.0
2000-02-07,21.25,21.44,20.87,21.31,8.8408,1581200,0.0,1.0
2000-02-08,21.37,22.25,21.37,21.69,8.9984,2272100,0.0,1.0
2000-02-09,21.44,21.5,20.5,21.06,8.7371,2094200,0.0,1.0
2000-02-10,20.75,21.0,20.06,20.19,8.3761,2128300,0.0,1.0
2000-02-11,20.5,20.75,19.87,19.94,8.2724,3388400,0.0,1.0
2000-02-14,20.12,20.12,19.06,19.25,7.9862,2796700,0.0,1.0
2000-02-15,19.19,19.56,18.94,19.31,8.0111,6960000,0.0,1.0
2000-02-16,19.56,20.0,18.94,20.0,8.2973,2288700,0.0,1.0
2000-02-17,19.87,19.94,19.0,19.06,7.9073,4150000,0.0,1.0
2000-02-18,18.94,19.12,18.0,18.37,7.6211,5318600,0.0,1.0
2000-02-22,18.5,18.94,18.19,18.19,7.5464,4713300,0.0,1.0
2000-02-23,18.5,18.5,17.75,17.81,7.3888,4387700,0.0,1.0
2000-02-24,18.0,18.06,17.62,17.75,7.3639,3454800,0.0,1.0
2000-02-25,17.94,18.75,17.81,18.31,7.5962,3634500,0.0,1.0
2000-02-28,18.25,18.56,18.12,18.37,7.6916,6795300,0.17,1.0
2000-02-29,18.37,18.62,18.31,18.31,7.6665,4866700,0.0,1.0
2000-03-01,18.31,18.31,17.62,17.62,7.3776,3941800,0.0,1.0
2000-03-02,17.69,17.75,16.87,17.12,7.1682,8742700,0.0,1.0
2000-03-03,17.0,17.69,17.0,17.44,7.3022,3270100,0.0,1.0
2000-03-06,17.69,18.06,17.62,17.75,7.432,3873000,0.0,1.0
2000-03-07,17.87,18.0,17.56,17.62,7.3776,3077200,0.0,1.0
