,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,63.0,63.44,60.19,62.75,20.9345,2437300,0.0,1.0
2000-01-19,62.38,63.5,60.44,60.69,20.2472,1810600,0.0,1.0
2000-01-20,61.06,61.31,58.06,59.31,19.7868,1920100,0.0,1.0
2000-01-21,59.5,61.0,58.06,60.63,20.2272,2266200,0.0,1.0
2000-01-24,62.5,63.75,59.5,60.0,20.017,2722200,0.0,1.0
2000-01-25,59.38,59.63,56.0,56.88,18.9761,2589100,0.0,1.0
2000-01-26,56.88,58.0,55.38,57.0,19.0162,2205600,0.0,1.0
2000-01-27,57.0,57.38,54.0,55.19,18.4123,1936900,0.0,1.0
2000-01-28,54.94,55.13,51.5,52.25,17.4315,3582700,0.0,1.0
2000-01-31,52.63,53.75,52.31,52.94,17.6617,2047400,0.0,1.0
2000-02-01,53.5,54.0,52.56,53.69,17.9119,2634800,0.0,1.0
2000-02-02,53.88,54.31,53.19,53.75,17.9319,1532100,0.0,1.0
2000-02-03,54.25,54.38,51.5,52.94,17.6617,2221000,0.0,1.0
2000-02-04,53.0,53.5,50.0,51.38,17.1412,3376400,0.0,1.0
2000-02-07,51.19,52.0,50.31,51.19,17.0778,3696200,0.0,1.0
2000-02-08,51.0,51.63,49.94,51.0,17.0145,2409800,0.0,1.0
2000-02-09,51.88,52.56,50.5,50.63,16.891,2759300,0.0,1.0
2000-02-10,50.75,51.69,49.75,50.13,16.7242,1741800,0.0,1.0
2000-02-11,50.13,51.06,47.56,48.38,16.1404,1994000,0.0,1.0
2000-02-14,48.81,51.5,48.81,50.31,16.7843,2336200,0.0,1.0
2000-02-15,50.63,52.88,49.63,52.44,17.4949,3246000,0.0,1.0
2000-02-16,52.69,53.88,52.0,52.13,17.4582,1933100,0.2,1.0
2000-02-17,54.0,54.63,52.0,54.13,18.128,1993100,0.0,1.0
2000-02-18,54.25,54.5,51.88,52.38,17.5419,1468500,0.0,1.0
2000-02-22,53.63,54.44,51.31,53.5,17.917,1443900,0.0,1.0
2000-02-23,53.5,54.38,52.75,52.75,17.6658,1819500,0.0,1.0
2000-02-24,52.88,53.13,50.19,50.88,17.0395,2425000,0.0,1.0
2000-02-25,50.5,51.13,49.88,50.06,16.7649,2174800,0.0,1.0
2000-02-28,50.75,51.75,50.0,51.06,17.0998,3538800,0.0,1.0
2000-02-29,52.0,52.0,50.5,50.94,17.0596,1620800,0.0,1.0
2000-03-01,50.94,51.13,48.75,50.81,17.0161,1831400,0.0,1.0
2000-03-02,50.75,51.38,49.63,50.81,17.0161,1655800,0.0,1.0
2000-03-03,50.56,52.94,50.0,51.81,17.351,1598000,0.0,1.0
2000-03-06,52.31,52.69,49.25,50.0,16.7448,1653100,0.0,1.0
2000-03-07,50.13,51.56,48.75,50.5,16.9123,1660800,0.0,1.0
2000-03-08,50.5,50.5,49.0,49.25,16.4937,1670700,0.0,1.0
2000-03-09,48.5,49.0,46.5,48.06,16.0951,2221100,0.0,1.0
2000-03-10,47.81,49.5,46.94,48.88,16.3697,2015800,0.0,1.0
2000-03-13,48.5,49.44,48.19,49.0,16.4099,1488900,0.0,1.0
2000-03-14,49.56,50.63,49.56,49.94,16.7247,2409500,0.0,1.0
2000-03-15,50.06,55.5,49.38,53.88,18.0442,3096800,0.0,1.0
2000-03-16,54.88,57.94,54.25,57.0,19.0891,3333200,0.0,1.0
2000-03-17,56.0,58.38,54.19,54.63,18.2954,2693700,0.0,1.0
2000-03-20,54.63,57.81,53.94,56.13,18.7978,1754100,0.0,1.0
2000-03-21,55.75,57.81,55.25,56.75,19.0054,1721000,0.0,1.0
2000-03-22,57.5,58.25,55.38,55.81,18.6906,2630500,0.0,1.0
2000-03-23,55.88,58.38,55.0,58.38,19.5513,1749800,0.0,1.0
2000-03-24,57.5,59.0,56.5,57.06,19.1092,1649100,0.0,1.0
2000-03-27,58.88,58.88,57.0,57.44,19.2365,1489800,0.0,1.0
2000-03-28,57.0,58.25,57.0,57.81,19.3604,1204400,0.0,1.0
2000-03-29,57.38,58.25,56.31,57.63,19.3001,1150600,0.0,1.0
2000-03-30,57.5,62.0,57.5,61.38,20.556,2079700,0.0,1.0
2000-03-31,60.0,64.5,59.75,63.19,21.1621,2788700,0.0,1.0
2000-04-03,63.19,63.88,59.75,61.88,20.7234,2141200,0.0,1.0
