,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,20.25,21.38,20.13,21.38,3.3559,234000,0.0,1.0
2000-01-19,21.25,21.56,21.19,21.38,3.3559,149875,0.0,1.0
2000-01-20,21.5,22.25,21.38,22.19,3.4831,190550,0.0,1.0
2000-01-21,22.19,22.88,22.13,22.75,3.571,759225,0.0,1.0
2000-01-24,22.75,22.75,21.25,21.31,3.3449,321950,0.0,1.0
2000-01-25,21.5,21.69,21.06,21.06,3.3057,326000,0.0,1.0
2000-01-26,21.5,23.13,21.5,22.5,3.5317,501575,0.0,1.0
2000-01-27,22.38,22.44,21.75,22.13,3.4737,446225,0.0,1.0
2000-01-28,22.0,22.38,21.88,22.13,3.4737,416025,0.0,1.0
2000-01-31,22.25,22.88,22.0,22.75,3.571,635275,0.0,1.0
2000-02-01,22.69,22.94,22.5,22.81,3.5804,371075,0.0,1.0
2000-02-02,22.81,23.5,22.81,23.38,3.6699,673775,0.0,1.0
2000-02-03,23.31,23.63,23.0,23.25,3.6495,478075,0.0,1.0
2000-02-04,23.44,23.69,22.88,23.0,3.6102,305425,0.0,1.0
2000-02-07,23.0,23.88,23.0,23.25,3.6495,279725,0.0,1.0
2000-02-08,23.25,23.31,22.69,23.0,3.6102,774000,0.0,1.0
2000-02-09,23.13,23.13,22.5,22.5,3.5317,374350,0.0,1.0
2000-02-10,22.5,23.44,22.38,23.13,3.6306,730900,0.0,1.0
2000-02-11,23.06,23.25,22.88,23.25,3.6495,364500,0.0,1.0
2000-02-14,23.13,23.13,22.56,22.63,3.5647,626625,0.08,1.0
2000-02-15,22.63,23.5,22.38,23.5,3.7017,588350,0.0,1.0
2000-02-16,23.44,25.0,23.31,24.31,3.8293,1528750,0.0,1.0
2000-02-17,24.5,24.56,23.88,24.06,3.7899,547650,0.0,1.0
2000-02-18,24.31,24.5,23.75,23.88,3.7616,194600,0.0,1.0
2000-02-22,24.13,24.56,23.88,24.25,3.8199,598075,0.0,1.0
2000-02-23,24.25,24.25,23.69,24.0,3.7805,252050,0.0,1.0
2000-02-24,24.0,24.25,23.75,24.19,3.8104,484400,0.0,1.0
2000-02-25,24.5,24.69,23.94,24.0,3.7805,148775,0.0,1.0
2000-02-28,24.0,24.63,23.88,24.63,3.8797,262550,0.0,1.0
2000-02-29,24.56,25.5,24.56,25.5,4.0168,584725,0.0,1.0
2000-03-01,26.0,26.94,26.0,26.38,4.1554,1268700,0.0,1.0
2000-03-02,26.38,27.44,26.25,27.0,4.2531,639550,0.0,1.0
2000-03-03,27.5,27.63,26.25,26.44,4.1648,1017725,0.0,1.0
2000-03-06,26.5,27.13,26.25,27.0,4.2531,697075,0.0,1.0
2000-03-07,27.5,29.0,27.44,28.94,4.5586,875950,0.0,1.0
2000-03-08,28.81,28.81,27.69,28.5,4.4893,775625,0.0,1.0
2000-03-09,29.0,29.0,27.38,27.5,4.3318,413525,0.0,1.0
2000-03-10,27.88,29.63,27.88,28.75,4.5287,693900,0.0,1.0
2000-03-13,28.81,29.75,28.75,29.13,4.5886,359475,0.0,1.0
2000-03-14,29.25,29.38,28.06,28.13,4.4311,263200,0.0,1.0
2000-03-15,28.38,29.13,28.13,28.63,4.5098,261125,0.0,1.0
2000-03-16,28.75,30.19,28.75,30.0,4.7256,834175,0.0,1.0
2000-03-17,29.75,29.81,29.0,29.38,4.628,691725,0.0,1.0
2000-03-20,29.88,30.69,29.44,30.31,4.7745,747400,0.0,1.0
2000-03-21,30.75,31.0,30.0,30.13,4.7461,497750,0.0,1.0
2000-03-22,30.25,31.38,30.19,31.38,4.943,375450,0.0,1.0
2000-03-23,31.5,32.0,31.44,31.94,5.0312,425225,0.0,1.0
2000-03-24,31.94,31.94,30.94,31.0,4.8831,471075,0.0,1.0
2000-03-27,31.13,31.25,30.0,30.5,4.8044,452900,0.0,1.0
2000-03-28,30.5,30.5,30.0,30.25,4.765,291325,0.0,1.0
2000-03-29,30.31,30.44,29.63,29.69,4.6768,703550,0.0,1.0
2000-03-30,29.63,31.0,29.56,31.0,4.8831,862600,0.0,1.0
2000-03-31,30.88,31.0,30.25,30.69,4.8343,906050,0.0,1.0
2000-04-03,30.94,32.13,30.5,31.88,5.0218,715675,0.0,1.0
2000-04-04,31.63,31.69,30.19,30.19,4.7556,460350,0.0,1.0
2000-04-05,30.19,30.19,28.38,28.94,4.5586,797850,0.0,1.0
2000-04-06,29.0,29.06,28.63,28.75,4.5287,563500,0.0,1.0
2000-04-07,28.75,30.0,28.5,29.63,4.6673,772250,0.0,1.0
2000-04-10,29.13,29.38,28.88,29.06,4.5776,460350,0.0,1.0
2000-04-11,29.31,29.63,29.0,29.5,4.6469,522800,0.0,1.0
2000-04-12,30.13,31.38,30.0,31.25,4.9225,1130750,0.0,1.0
2000-04-13,31.0,31.25,30.5,30.81,4.8532,308275,0.0,1.0
2000-04-14,30.69,30.69,28.5,28.94,4.5586,312875,0.0,1.0
2000-04-17,29.19,29.19,27.44,28.38,4.4704,685275,0.0,1.0
2000-04-18,28.38,29.88,28.25,29.88,4.7067,551700,0.0,1.0
2000-04-19,30.0,31.44,29.75,31.25,4.9225,439000,0.0,1.0
2000-04-20,31.38,31.63,29.69,30.13,4.7461,721050,0.0,1.0
2000-04-24,30.5,30.81,30.19,30.19,4.7556,218900,0.0,1.0
2000-04-25,30.38,30.75,29.88,30.75,4.8438,216500,0.0,1.0
2000-04-26,30.75,30.75,28.5,28.5,4.4893,603550,0.0,1.0
2000-04-27,28.75,29.5,28.75,29.44,4.6374,284750,0.0,1.0
2000-04-28,29.5,29.63,28.75,29.0,4.5681,242200,0.0,1.0
2000-05-01,29.0,29.5,28.88,28.88,4.5492,407600,0.0,1.0
2000-05-02,28.75,29.38,28.56,28.63,4.5098,417900,0.0,1.0
2000-05-03,28.88,29.0,27.88,27.94,4.4011,721700,0.0,1.0
2000-05-04,27.94,28.25,27.75,28.06,4.42,392175,0.0,1.0
