,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,43.0,44.44,42.06,44.19,32.2076,224300,0.0,1.0
2000-01-19,42.75,44.56,42.75,44.13,32.1639,249600,0.0,1.0
2000-01-20,44.13,44.38,43.25,43.56,31.7484,241000,0.0,1.0
2000-01-21,44.0,44.0,42.56,42.75,31.1581,233200,0.0,1.0
2000-01-24,43.0,43.25,42.0,42.19,30.7499,170600,0.0,1.0
2000-01-25,44.13,47.75,41.88,42.06,30.6552,773000,0.0,1.0
2000-01-26,42.13,42.88,42.0,42.88,31.2528,483000,0.0,1.0
2000-01-27,42.63,43.63,42.63,43.06,31.384,279400,0.0,1.0
2000-01-28,43.0,43.0,41.63,41.94,30.5677,215100,0.0,1.0
2000-01-31,41.81,42.88,41.81,42.31,30.8374,182000,0.0,1.0
2000-02-01,42.13,42.38,41.94,42.31,30.8374,154400,0.0,1.0
2000-02-02,42.19,42.75,42.19,42.25,30.7936,87100,0.0,1.0
2000-02-03,42.63,43.0,41.5,42.88,31.2528,142400,0.0,1.0
2000-02-04,42.63,43.13,42.38,42.56,31.0196,139100,0.0,1.0
2000-02-07,42.5,42.75,42.0,42.06,30.6552,115100,0.0,1.0
2000-02-08,42.06,42.31,42.0,42.13,30.7062,195800,0.0,1.0
2000-02-09,42.06,42.25,41.88,41.88,30.524,232400,0.0,1.0
2000-02-10,42.0,42.75,41.94,42.06,30.6552,123500,0.0,1.0
2000-02-11,42.06,42.25,40.94,41.13,29.9773,311600,0.0,1.0
2000-02-14,41.13,41.38,40.5,41.25,30.0648,178400,0.0,1.0
2000-02-15,41.31,42.38,41.25,42.06,30.6552,182900,0.0,1.0
2000-02-16,42.19,42.25,42.0,42.0,30.6114,160200,0.0,1.0
2000-02-17,42.0,43.0,42.0,42.44,30.9321,140400,0.0,1.0
2000-02-18,42.19,42.44,41.75,42.0,30.6114,319200,0.0,1.0
2000-02-22,42.0,42.75,41.88,42.25,30.7936,127600,0.0,1.0
2000-02-23,41.81,41.81,40.38,40.63,29.766,193800,0.21,1.0
2000-02-24,40.63,40.69,39.25,39.31,28.7989,266500,0.0,1.0
2000-02-25,39.44,40.38,39.38,40.13,29.3997,269700,0.0,1.0
2000-02-28,40.13,40.44,39.25,40.0,29.3044,210000,0.0,1.0
2000-02-29,40.0,40.13,39.25,40.0,29.3044,175300,0.0,1.0
2000-03-01,39.81,40.25,39.31,40.25,29.4876,113900,0.0,1.0
2000-03-02,40.0,40.13,39.0,39.25,28.755,169600,0.0,1.0
2000-03-03,39.38,40.75,39.13,40.5,29.6707,175000,0.0,1.0
2000-03-06,40.38,40.44,39.25,39.38,28.8502,142500,0.0,1.0
2000-03-07,39.38,39.38,38.13,38.19,27.9784,244800,0.0,1.0
2000-03-08,38.0,38.75,37.69,38.44,28.1616,138000,0.0,1.0
2000-03-09,39.0,39.0,38.56,38.88,28.4839,110600,0.0,1.0
2000-03-10,38.75,39.38,38.56,38.69,28.3447,113900,0.0,1.0
2000-03-13,38.5,39.81,38.0,39.44,28.8942,200700,0.0,1.0
2000-03-14,39.06,39.94,39.0,39.38,28.8502,154900,0.0,1.0
2000-03-15,39.13,41.19,39.13,40.69,29.8099,197000,0.0,1.0
2000-03-16,40.88,44.25,40.63,44.19,32.3741,271100,0.0,1.0
2000-03-17,44.0,44.13,42.5,43.75,32.0517,295200,0.0,1.0
2000-03-20,43.88,44.44,42.81,42.94,31.4583,148300,0.0,1.0
2000-03-21,42.88,44.19,42.75,43.94,32.1909,163200,0.0,1.0
2000-03-22,43.94,44.56,42.19,42.94,31.4583,263100,0.0,1.0
2000-03-23,43.06,45.25,43.0,45.13,33.0627,277000,0.0,1.0
2000-03-24,45.0,45.5,44.0,44.38,32.5133,264600,0.0,1.0
