,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,33.75,34.63,33.75,34.31,10.5388,92467,0.0,1.0
2000-01-19,34.31,34.38,34.0,34.13,10.4835,128945,0.0,1.0
2000-01-20,34.0,34.13,33.75,33.81,10.3852,58638,0.0,1.0
2000-01-21,33.88,33.94,33.56,33.56,10.3084,147281,0.0,1.0
2000-01-24,33.31,33.5,32.19,32.44,9.9644,346434,0.0,1.0
2000-01-25,32.44,32.44,31.88,32.0,9.8292,465573,0.0,1.0
2000-01-26,32.0,32.13,31.38,32.06,9.8477,125415,0.0,1.0
2000-01-27,31.81,32.13,31.63,31.94,9.8108,115805,0.0,1.0
2000-01-28,31.94,31.94,31.69,31.94,9.8108,82368,0.0,1.0
2000-01-31,31.94,32.0,31.31,31.31,9.6173,219353,0.0,1.0
2000-02-01,31.56,31.94,31.38,31.75,9.7524,519799,0.0,1.0
2000-02-02,31.75,31.81,31.5,31.75,9.7524,351631,0.0,1.0
2000-02-03,31.25,31.25,31.06,31.25,9.7067,167873,0.3512,1.0
2000-02-04,31.25,31.31,30.5,30.63,9.5141,1634900,0.0,1.0
2000-02-07,30.5,31.0,30.5,31.0,9.6291,147379,0.0,1.0
2000-02-08,31.0,31.0,30.75,30.94,9.6104,178365,0.0,1.0
2000-02-09,30.94,31.0,30.75,30.94,9.6104,245828,0.0,1.0
2000-02-10,31.0,31.0,30.69,30.75,9.5514,164735,0.0,1.0
2000-02-11,30.75,31.0,30.69,30.75,9.5514,100312,0.0,1.0
2000-02-14,30.75,30.75,30.5,30.56,9.4924,276912,0.0,1.0
2000-02-15,30.69,31.13,30.5,31.0,9.6291,165814,0.0,1.0
2000-02-16,30.81,30.88,30.56,30.63,9.5141,130710,0.0,1.0
2000-02-17,30.69,30.88,30.56,30.88,9.5918,73641,0.0,1.0
2000-02-18,30.88,31.0,30.5,30.63,9.5141,114628,0.0,1.0
2000-02-22,30.38,30.81,30.38,30.69,9.5328,227001,0.0,1.0
2000-02-23,30.75,30.88,30.13,30.5,9.4738,239160,0.0,1.0
2000-02-24,30.75,30.75,30.25,30.38,9.4365,111785,0.0,1.0
2000-02-25,30.25,30.38,30.13,30.13,9.3588,56775,0.0,1.0
2000-02-28,30.13,30.38,30.0,30.31,9.4147,128650,0.0,1.0
2000-02-29,30.44,30.63,30.25,30.59,9.5017,103646,0.0,1.0
2000-03-01,30.38,30.94,30.31,30.81,9.5701,99626,0.0,1.0
2000-03-02,30.69,31.06,30.5,30.88,9.5918,78838,0.0,1.0
2000-03-03,30.69,30.88,30.63,30.69,9.5328,139731,0.0,1.0
2000-03-06,30.81,31.25,30.69,30.94,9.6104,92762,0.0,1.0
2000-03-07,30.94,31.19,30.81,31.0,9.6291,271323,0.0,1.0
2000-03-08,30.88,31.0,30.56,30.81,9.5701,86290,0.0,1.0
2000-03-09,30.81,30.81,30.44,30.5,9.4738,121296,0.0,1.0
2000-03-10,30.5,30.56,30.44,30.5,9.4738,145320,0.0,1.0
2000-03-13,30.69,30.69,29.88,29.88,9.2812,85898,0.0,1.0
2000-03-14,30.0,30.5,29.94,30.38,9.4365,165716,0.0,1.0
2000-03-15,30.44,30.75,30.38,30.75,9.5514,378009,0.0,1.0
2000-03-16,30.63,32.0,30.63,31.81,9.8807,248476,0.0,1.0
2000-03-17,31.94,32.13,31.0,31.81,9.8807,591674,0.0,1.0
2000-03-20,32.19,32.5,31.38,32.0,9.9397,639134,0.0,1.0
2000-03-21,31.94,32.38,31.69,32.38,10.0577,75111,0.0,1.0
2000-03-22,32.63,32.69,32.25,32.69,10.154,87663,0.0,1.0
2000-03-23,32.69,33.69,32.63,33.25,10.328,322509,0.0,1.0
2000-03-24,33.25,33.25,32.25,32.38,10.0577,92467,0.0,1.0
2000-03-27,32.63,33.38,32.56,32.94,10.2317,580888,0.0,1.0
2000-03-28,32.94,33.25,32.5,33.0,10.2503,92467,0.0,1.0
2000-03-29,33.13,33.25,32.69,33.13,10.2907,34810,0.0,1.0
2000-03-30,33.38,33.63,33.13,33.56,10.4242,149929,0.0,1.0
2000-03-31,33.63,34.0,33.5,33.5,10.4056,214744,0.0,1.0
2000-04-03,33.5,33.88,33.5,33.69,10.4646,57952,0.0,1.0
2000-04-04,33.63,33.88,33.25,33.75,10.4833,84133,0.0,1.0
2000-04-05,33.5,34.38,32.63,34.13,10.6013,124924,0.0,1.0
2000-04-06,34.25,34.5,33.75,34.06,10.5796,107862,0.0,1.0
2000-04-07,34.19,34.63,33.81,34.38,10.679,117080,0.0,1.0
2000-04-10,34.38,35.0,34.38,34.5,10.7162,45694,0.0,1.0
2000-04-11,34.5,35.63,34.5,35.25,10.9492,215431,0.0,1.0
2000-04-12,35.0,35.69,35.0,35.63,11.0672,459788,0.0,1.0
2000-04-13,35.38,35.38,33.81,34.63,10.7566,396149,0.0,1.0
2000-04-14,34.38,34.69,33.5,34.69,10.7752,436254,0.0,1.0
2000-04-17,34.69,34.69,33.75,34.5,10.7162,113550,0.0,1.0
2000-04-18,34.5,34.5,34.19,34.5,10.7162,99528,0.0,1.0
2000-04-19,34.56,34.63,34.44,34.5,10.7162,127180,0.0,1.0
2000-04-20,34.63,34.69,34.5,34.56,10.7349,87074,0.0,1.0
2000-04-24,34.69,35.13,34.69,34.88,10.8343,101685,0.0,1.0
2000-04-25,34.88,34.88,34.13,34.56,10.7349,194545,0.0,1.0
2000-04-26,34.69,35.31,34.56,35.0,10.8715,334864,0.0,1.0
2000-04-27,34.88,34.88,34.5,34.81,10.8125,138848,0.0,1.0
2000-04-28,34.75,34.88,34.5,34.5,10.7162,267008,0.0,1.0
2000-05-01,34.63,35.5,34.56,35.44,11.0082,216117,0.0,1.0
2000-05-02,35.69,36.88,35.44,36.5,11.3375,393894,0.0,1.0
2000-05-03,36.31,36.5,35.94,36.38,11.3002,396639,0.0,1.0
2000-05-04,35.69,36.0,35.63,36.0,11.2912,118453,0.3512,1.0
2000-05-05,36.0,36.19,35.69,35.69,11.194,197584,0.0,1.0
2000-05-08,35.88,36.13,35.69,35.81,11.2316,80995,0.0,1.0
2000-05-09,35.75,35.94,35.63,35.88,11.2536,78740,0.0,1.0
2000-05-10,35.63,35.94,35.5,35.88,11.2536,122473,0.0,1.0
2000-05-11,35.88,36.13,35.88,35.94,11.2724,266224,0.0,1.0
2000-05-12,35.81,35.94,35.63,35.94,11.2724,57167,0.0,1.0
2000-05-15,35.94,35.94,35.5,35.88,11.2536,86486,0.0,1.0
