,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,57.0,59.94,56.81,58.75,21.3526,4861700,0.0,1.0
2000-01-19,57.5,58.5,57.5,57.63,20.9455,2962300,0.0,1.0
2000-01-20,58.06,59.25,57.81,57.81,21.011,2711000,0.0,1.0
2000-01-21,59.88,61.31,59.0,60.06,21.8287,5706500,0.0,1.0
2000-01-24,60.31,60.81,59.94,60.13,21.8542,3908300,0.0,1.0
2000-01-25,60.06,60.25,58.19,58.5,21.2617,4420200,0.0,1.0
2000-01-26,58.75,58.94,57.56,57.75,20.9892,4054100,0.0,1.0
2000-01-27,58.0,58.75,57.13,58.25,21.1709,3124900,0.0,1.0
2000-01-28,57.94,58.88,57.06,57.63,20.9455,3357400,0.0,1.0
2000-01-31,57.56,63.0,57.06,61.94,22.512,5373000,0.0,1.0
2000-02-01,60.75,61.38,59.25,59.56,21.647,4674000,0.0,1.0
2000-02-02,60.06,60.13,59.13,59.31,21.5561,2948400,0.0,1.0
2000-02-03,59.75,60.13,58.0,58.44,21.2399,2589900,0.0,1.0
2000-02-04,58.75,59.69,58.31,58.56,21.2836,3401800,0.0,1.0
2000-02-07,58.56,59.94,57.94,59.75,21.7161,3313900,0.0,1.0
2000-02-08,59.81,60.5,58.69,59.0,21.4435,3069200,0.0,1.0
2000-02-09,59.0,59.19,57.5,57.81,21.011,3224600,0.0,1.0
2000-02-10,57.69,57.75,56.88,57.06,20.7384,2851600,0.0,1.0
2000-02-11,56.94,57.0,54.44,56.0,20.3531,3436700,0.0,1.0
2000-02-14,56.0,56.31,54.88,55.31,20.1023,2905400,0.0,1.0
2000-02-15,55.13,55.13,54.0,54.25,19.7171,3995700,0.0,1.0
2000-02-16,54.06,55.31,54.06,55.06,20.0115,3747200,0.0,1.0
2000-02-17,55.81,55.94,53.5,53.75,19.5354,3358400,0.0,1.0
2000-02-18,53.56,53.81,51.56,51.88,18.8557,4291100,0.0,1.0
2000-02-22,52.5,52.81,51.19,52.25,18.9902,3589500,0.0,1.0
2000-02-23,51.13,52.06,50.06,50.25,18.2633,4013600,0.0,1.0
2000-02-24,50.06,50.5,47.88,48.0,17.4455,6266600,0.0,1.0
2000-02-25,47.5,49.38,47.38,47.56,17.2856,5269300,0.0,1.0
2000-02-28,47.81,50.94,47.69,49.88,18.1288,4322400,0.0,1.0
2000-02-29,50.0,50.13,48.19,48.94,17.7872,5199300,0.0,1.0
2000-03-01,53.13,55.0,52.13,54.94,19.9679,7936600,0.0,1.0
2000-03-02,54.13,55.38,54.06,55.25,20.0805,4752100,0.0,1.0
2000-03-03,55.38,56.13,55.13,55.31,20.1023,4411300,0.0,1.0
2000-03-06,56.19,57.0,54.69,57.0,20.7166,4410300,0.0,1.0
2000-03-07,57.0,57.75,55.56,55.63,20.2186,3890400,0.0,1.0
2000-03-08,54.81,57.06,54.81,56.5,20.5348,3478000,0.0,1.0
2000-03-09,56.38,58.63,55.81,58.63,21.309,4054300,0.0,1.0
2000-03-10,58.44,58.44,56.81,57.31,20.8292,3984000,0.0,1.0
2000-03-13,56.63,57.31,55.94,57.19,20.7856,3737700,0.0,1.0
2000-03-14,56.38,56.69,55.88,56.06,20.3749,3694200,0.0,1.0
2000-03-15,56.13,56.56,55.0,56.06,20.3749,4239700,0.0,1.0
2000-03-16,56.06,58.13,55.31,57.88,21.0364,5223100,0.0,1.0
2000-03-17,58.06,59.81,57.75,59.19,21.5125,5038500,0.0,1.0
2000-03-20,59.0,59.94,58.25,59.13,21.4907,3379700,0.0,1.0
2000-03-21,59.13,59.69,58.25,58.88,21.3999,3240700,0.0,1.0
2000-03-22,58.38,58.81,57.25,57.88,21.0364,4342100,0.0,1.0
2000-03-23,58.75,60.13,58.25,59.63,21.6724,6167200,0.0,1.0
2000-03-24,59.75,60.44,59.06,59.5,21.6252,3602100,0.0,1.0
2000-03-27,59.5,60.88,59.13,60.63,22.0359,3862800,0.0,1.0
2000-03-28,60.56,60.94,59.69,60.5,21.9886,3661300,0.0,1.0
2000-03-29,60.5,62.0,60.25,62.0,22.5338,3688700,0.0,1.0
2000-03-30,61.88,62.38,61.25,61.25,22.2612,4356600,0.0,1.0
2000-03-31,62.5,63.19,61.13,61.13,22.2176,5141000,0.0,1.0
2000-04-03,61.75,63.06,61.06,63.06,22.9191,3683600,0.0,1.0
2000-04-04,64.94,66.0,62.44,63.75,23.1699,7770100,0.0,1.0
2000-04-05,63.88,64.75,63.0,63.19,22.9663,3569000,0.0,1.0
2000-04-06,63.5,65.25,63.31,65.19,23.8331,3068300,0.385,1.0
2000-04-07,64.5,64.94,64.12,64.62,23.6248,4906200,0.0,1.0
2000-04-10,63.63,64.19,62.75,63.19,23.102,3733900,0.0,1.0
2000-04-11,64.0,64.69,63.75,64.06,23.42,3090500,0.0,1.0
2000-04-12,64.25,65.25,63.81,64.37,23.5334,4545500,0.0,1.0
2000-04-13,64.25,64.25,63.06,63.06,23.0544,3273200,0.0,1.0
2000-04-14,62.81,63.75,60.44,61.13,22.3488,4372400,0.0,1.0
2000-04-17,61.06,61.5,59.19,60.63,22.166,3963300,0.0,1.0
2000-04-18,60.38,61.63,60.25,60.69,22.188,3324700,0.0,1.0
2000-04-19,60.88,61.88,60.63,61.75,22.5755,2446100,0.0,1.0
2000-04-20,61.25,61.38,59.81,60.25,22.0271,2282700,0.0,1.0
2000-04-24,60.5,61.94,60.31,61.94,22.645,2671800,0.0,1.0
2000-04-25,62.19,62.94,60.94,62.94,23.0106,3411400,0.0,1.0
2000-04-26,61.63,62.45,60.75,61.5,22.4841,3387100,0.0,1.0
2000-04-27,61.06,61.19,59.88,60.0,21.9357,3754200,0.0,1.0
2000-04-28,60.38,60.44,58.5,60.0,21.9357,4946900,0.0,1.0
2000-05-01,59.25,59.63,58.0,58.0,21.2045,6393700,0.0,1.0
2000-05-02,57.5,57.63,53.88,55.0,20.1077,7476600,0.0,1.0
2000-05-03,54.94,55.69,54.69,55.44,20.2686,6879100,0.0,1.0
2000-05-04,55.38,55.38,53.81,53.81,19.6727,4768300,0.0,1.0
2000-05-05,53.56,54.31,53.5,53.94,19.7202,2548300,0.0,1.0
2000-05-08,54.06,54.75,53.19,54.47,19.914,4120900,0.0,1.0
2000-05-09,53.88,55.0,53.63,53.97,19.7312,4703200,0.0,1.0
2000-05-10,53.75,54.88,53.13,53.63,19.6069,3991600,0.0,1.0
2000-05-11,54.63,55.13,53.94,54.73,20.009,3808800,0.0,1.0
2000-05-12,54.13,54.25,52.63,53.0,19.3765,6211500,0.0,1.0
2000-05-15,53.38,55.06,52.88,55.06,20.1297,4175500,0.0,1.0
2000-05-16,55.88,55.88,54.88,55.25,20.1991,3051500,0.0,1.0
2000-05-17,54.25,54.44,53.94,54.25,19.8335,2806500,0.0,1.0
