,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,13.69,13.75,13.38,13.75,6.5018,215900,0.0,1.0
2000-01-19,13.75,14.19,13.75,14.0,6.62,130900,0.0,1.0
2000-01-20,14.06,14.56,13.88,14.0,6.62,262900,0.0,1.0
2000-01-21,13.81,14.0,13.75,13.81,6.5301,383800,0.0,1.0
2000-01-24,13.88,14.0,13.5,13.56,6.4119,129100,0.0,1.0
2000-01-25,13.38,13.38,12.12,12.44,5.8823,327000,0.0,1.0
2000-01-26,12.38,12.38,11.56,11.75,5.5561,260600,0.0,1.0
2000-01-27,11.75,11.94,11.56,11.56,5.4662,136200,0.0,1.0
2000-01-28,11.56,11.62,11.25,11.31,5.348,49200,0.0,1.0
2000-01-31,11.19,11.38,11.06,11.12,5.2582,151700,0.0,1.0
2000-02-01,11.25,11.31,10.88,11.12,5.2582,145100,0.0,1.0
2000-02-02,11.31,11.56,11.25,11.44,5.4095,91300,0.0,1.0
2000-02-03,11.44,11.62,11.44,11.5,5.4378,98100,0.0,1.0
2000-02-04,11.56,11.69,11.5,11.56,5.4662,205700,0.0,1.0
2000-02-07,11.62,12.12,11.5,11.75,5.5561,61500,0.0,1.0
2000-02-08,12.06,12.06,11.56,11.62,5.4946,85400,0.0,1.0
2000-02-09,11.75,12.19,11.5,11.88,5.6175,138100,0.0,1.0
2000-02-10,12.0,12.75,11.88,12.62,5.9674,65200,0.0,1.0
2000-02-11,12.5,13.06,12.19,12.88,6.0951,69200,0.01,1.0
2000-02-14,12.88,12.88,12.12,12.44,5.8869,97000,0.0,1.0
2000-02-15,12.0,12.06,11.56,11.56,5.4705,115700,0.0,1.0
2000-02-16,11.69,11.75,11.12,11.38,5.3853,188400,0.0,1.0
2000-02-17,11.5,12.12,11.31,11.5,5.4421,148400,0.0,1.0
2000-02-18,11.5,11.56,11.25,11.25,5.3238,184000,0.0,1.0
2000-02-22,11.19,11.25,11.12,11.19,5.2954,64800,0.0,1.0
2000-02-23,11.31,11.38,10.81,10.94,5.1771,84100,0.0,1.0
2000-02-24,10.88,10.94,10.5,10.5,4.9688,123900,0.0,1.0
2000-02-25,10.44,10.44,9.0,9.5,4.4956,553400,0.0,1.0
2000-02-28,9.5,9.69,9.19,9.31,4.4057,327600,0.0,1.0
2000-02-29,9.44,9.5,9.31,9.5,4.4956,303600,0.0,1.0
2000-03-01,9.62,9.94,9.62,9.75,4.6139,203100,0.0,1.0
2000-03-02,9.88,9.88,9.62,9.75,4.6139,153900,0.0,1.0
2000-03-03,9.69,9.75,9.56,9.62,4.5524,114900,0.0,1.0
2000-03-06,9.5,9.5,8.75,8.81,4.1691,282500,0.0,1.0
2000-03-07,8.81,8.88,8.44,8.88,4.2022,441700,0.0,1.0
2000-03-08,8.75,9.06,8.69,8.88,4.2022,269000,0.0,1.0
2000-03-09,8.88,9.25,8.88,9.25,4.3773,551600,0.0,1.0
2000-03-10,9.0,9.25,9.0,9.12,4.3158,198900,0.0,1.0
2000-03-13,9.0,9.62,9.0,9.31,4.4057,118500,0.0,1.0
2000-03-14,9.69,10.5,9.56,9.94,4.7038,250500,0.0,1.0
2000-03-15,10.38,11.06,10.31,10.94,5.1771,225200,0.0,1.0
2000-03-16,10.94,11.5,10.69,11.5,5.4421,98300,0.0,1.0
2000-03-17,11.25,11.5,10.94,11.0,5.2054,56400,0.0,1.0
2000-03-20,11.0,11.0,10.56,10.69,5.0587,48900,0.0,1.0
2000-03-21,10.81,10.81,10.25,10.5,4.9688,81100,0.0,1.0
2000-03-22,10.31,12.0,10.06,10.5,4.9688,341300,0.0,1.0
2000-03-23,10.5,10.62,10.19,10.19,4.8221,250000,0.0,1.0
2000-03-24,10.25,10.62,10.19,10.31,4.8789,183600,0.0,1.0
2000-03-27,10.31,10.5,10.25,10.38,4.912,55000,0.0,1.0
2000-03-28,10.38,10.5,10.25,10.25,4.8505,72000,0.0,1.0
2000-03-29,10.25,10.56,10.25,10.31,4.8789,46400,0.0,1.0
2000-03-30,10.44,10.88,10.31,10.62,5.0256,75100,0.0,1.0
2000-03-31,10.75,11.69,10.56,10.62,5.0256,187200,0.0,1.0
2000-04-03,10.56,11.38,10.56,11.25,5.3238,73900,0.0,1.0
2000-04-04,11.12,11.12,10.75,10.88,5.1487,97600,0.0,1.0
2000-04-05,10.94,10.94,10.75,10.94,5.1771,65800,0.0,1.0
2000-04-06,11.0,11.56,11.0,11.0,5.2054,42400,0.0,1.0
2000-04-07,11.44,11.44,11.25,11.31,5.3521,77700,0.0,1.0
2000-04-10,11.19,11.19,10.62,10.62,5.0256,164000,0.0,1.0
2000-04-11,10.62,10.88,10.62,10.81,5.1155,117900,0.0,1.0
2000-04-12,10.81,11.75,10.69,11.44,5.4137,140100,0.0,1.0
2000-04-13,11.19,11.38,11.0,11.06,5.2338,89400,0.0,1.0
2000-04-14,11.0,11.31,10.81,11.19,5.2954,135400,0.0,1.0
2000-04-17,11.06,11.56,10.88,11.56,5.4705,64100,0.0,1.0
2000-04-18,11.5,12.25,11.5,12.25,5.797,88500,0.0,1.0
2000-04-19,12.19,12.19,11.75,12.0,5.6787,200900,0.0,1.0
2000-04-20,12.0,12.0,10.62,10.69,5.0587,175400,0.0,1.0
2000-04-24,10.62,11.06,10.12,10.88,5.1487,157300,0.0,1.0
2000-04-25,11.12,11.62,11.12,11.56,5.4705,109300,0.0,1.0
2000-04-26,11.44,11.44,11.12,11.31,5.3521,24600,0.0,1.0
2000-04-27,10.62,10.94,10.62,10.94,5.1771,132700,0.0,1.0
2000-04-28,10.75,11.31,10.62,11.31,5.3521,132900,0.0,1.0
2000-05-01,11.19,11.88,11.19,11.88,5.6219,37000,0.0,1.0
2000-05-02,11.75,11.88,11.62,11.69,5.532,85400,0.0,1.0
2000-05-03,11.69,11.88,11.69,11.88,5.6219,37900,0.0,1.0
2000-05-04,11.88,12.5,11.88,12.5,5.9153,73700,0.0,1.0
2000-05-05,12.56,12.75,12.5,12.56,5.9437,26600,0.0,1.0
2000-05-08,12.44,12.44,11.75,12.0,5.6787,68900,0.0,1.0
2000-05-09,11.88,12.12,11.25,12.0,5.6787,51600,0.0,1.0
2000-05-10,11.88,12.12,11.69,12.06,5.7071,86700,0.0,1.0
2000-05-11,12.0,12.62,11.94,12.12,5.7402,78300,0.01,1.0
2000-05-12,12.12,12.19,11.62,11.62,5.5034,64700,0.0,1.0
2000-05-15,11.62,12.0,11.25,12.0,5.6834,108600,0.0,1.0
2000-05-16,12.0,12.38,11.88,11.94,5.6549,28300,0.0,1.0
2000-05-17,11.94,12.0,11.0,11.0,5.2097,70700,0.0,1.0
2000-05-18,11.12,11.31,11.0,11.12,5.2666,61000,0.0,1.0
2000-05-19,11.0,11.25,11.0,11.25,5.3281,18300,0.0,1.0
2000-05-22,11.19,11.25,10.94,11.06,5.2382,64100,0.0,1.0
2000-05-23,11.06,11.19,10.94,10.94,5.1813,46900,0.0,1.0
2000-05-24,10.94,11.19,10.94,11.12,5.2666,55900,0.0,1.0
2000-05-25,11.12,11.12,11.0,11.0,5.2097,36700,0.0,1.0
2000-05-26,11.0,11.19,11.0,11.19,5.2997,71100,0.0,1.0
2000-05-30,11.31,11.31,11.06,11.19,5.2997,36600,0.0,1.0
2000-05-31,11.06,11.25,11.06,11.08,5.2476,47600,0.0,1.0
2000-06-01,11.38,11.44,11.27,11.27,5.3376,22300,0.0,1.0
2000-06-02,11.5,11.5,11.36,11.44,5.4181,82600,0.0,1.0
2000-06-05,11.38,11.44,11.25,11.28,5.3424,262000,0.0,1.0
2000-06-06,11.19,11.38,11.19,11.25,5.3281,78900,0.0,1.0
2000-06-07,11.12,11.38,11.12,11.38,5.3897,28100,0.0,1.0
2000-06-08,11.38,11.38,11.06,11.25,5.3281,47600,0.0,1.0
2000-06-09,11.31,11.62,11.31,11.56,5.475,58700,0.0,1.0
2000-06-12,11.5,11.56,11.42,11.5,5.4465,43800,0.0,1.0
2000-06-13,11.5,11.56,11.44,11.44,5.4181,51600,0.0,1.0
2000-06-14,11.38,11.56,10.94,11.0,5.2097,55800,0.0,1.0
2000-06-15,11.0,11.12,10.75,10.88,5.1529,41800,0.0,1.0
2000-06-16,11.0,11.25,10.88,10.94,5.1813,81500,0.0,1.0
2000-06-19,10.94,11.0,10.75,10.94,5.1813,44200,0.0,1.0
2000-06-20,10.94,10.94,10.5,10.5,4.9729,34100,0.0,1.0
2000-06-21,10.5,10.69,10.38,10.44,4.9445,29700,0.0,1.0
2000-06-22,10.44,10.56,10.38,10.56,5.0014,43900,0.0,1.0
2000-06-23,10.44,10.5,9.75,9.88,4.6793,130300,0.0,1.0
2000-06-26,9.94,10.0,9.75,9.75,4.6177,47700,0.0,1.0
2000-06-27,9.69,10.06,9.69,9.75,4.6177,57400,0.0,1.0
2000-06-28,9.56,9.69,9.5,9.56,4.5277,58700,0.0,1.0
2000-06-29,9.5,9.56,9.44,9.5,4.4993,76700,0.0,1.0
2000-06-30,9.44,10.38,9.25,10.38,4.9161,190400,0.0,1.0
2000-07-03,10.25,10.25,10.03,10.12,4.793,20700,0.0,1.0
2000-07-05,10.25,10.31,9.88,9.88,4.6793,29800,0.0,1.0
2000-07-06,9.88,10.0,9.69,10.0,4.7361,27400,0.0,1.0
2000-07-07,10.0,10.12,9.91,10.12,4.793,28500,0.0,1.0
2000-07-10,10.0,10.06,10.0,10.06,4.7645,45300,0.0,1.0
2000-07-11,10.06,10.19,10.0,10.0,4.7361,26300,0.0,1.0
2000-07-12,10.0,10.69,10.0,10.69,5.0629,77100,0.0,1.0
2000-07-13,10.62,10.88,10.62,10.81,5.1198,26500,0.0,1.0
2000-07-14,10.94,10.94,10.19,10.44,4.9445,82500,0.0,1.0
2000-07-17,10.44,10.56,10.38,10.44,4.9445,23100,0.0,1.0
2000-07-18,10.31,10.69,10.31,10.69,5.0629,35300,0.0,1.0
2000-07-19,10.56,10.62,10.31,10.5,4.9729,14500,0.0,1.0
2000-07-20,9.88,10.06,9.88,9.94,4.7077,21300,0.0,1.0
2000-07-21,9.94,10.12,9.75,10.12,4.793,39800,0.0,1.0
2000-07-24,10.19,10.19,9.56,9.56,4.5277,165700,0.0,1.0
2000-07-25,9.62,9.69,9.56,9.62,4.5562,123500,0.0,1.0
2000-07-26,9.62,9.75,9.62,9.69,4.5893,144400,0.0,1.0
2000-07-27,9.62,9.75,9.62,9.75,4.6177,195000,0.0,1.0
2000-07-28,9.69,9.75,9.62,9.62,4.5562,26700,0.0,1.0
2000-07-31,9.62,10.12,9.62,10.06,4.7645,148700,0.0,1.0
2000-08-01,10.12,10.44,9.88,9.88,4.6793,296800,0.0,1.0
2000-08-02,10.0,10.12,9.94,10.0,4.7361,224200,0.0,1.0
2000-08-03,9.88,10.19,9.88,10.12,4.793,10200,0.0,1.0
2000-08-04,10.12,10.25,10.06,10.19,4.8261,25400,0.0,1.0
2000-08-07,10.19,10.5,10.19,10.31,4.8829,33800,0.0,1.0
2000-08-08,10.25,10.62,10.25,10.62,5.0298,33600,0.0,1.0
