,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,4.875,5.25,4.563,5.125,4.1615,4523500,0.0,1.0
2000-01-19,5.063,6.688,5.0,6.688,5.4307,7651500,0.0,1.0
2000-01-20,6.375,6.375,5.313,5.563,4.5172,8872700,0.0,1.0
2000-01-21,5.5,5.563,5.0,5.125,4.1615,3447300,0.0,1.0
2000-01-24,5.313,5.375,4.75,4.75,3.857,3333300,0.0,1.0
2000-01-25,4.875,5.5,4.75,5.5,4.466,3379800,0.0,1.0
2000-01-26,5.25,5.75,4.938,5.75,4.669,2750500,0.0,1.0
2000-01-27,5.125,5.375,4.625,4.625,3.7555,3692800,0.0,1.0
2000-01-28,4.75,5.125,4.688,5.0,4.06,2153600,0.0,1.0
2000-01-31,4.938,4.938,4.625,4.75,3.857,1273400,0.0,1.0
2000-02-01,4.75,4.813,4.563,4.688,3.8067,1669000,0.0,1.0
2000-02-02,4.625,4.75,4.563,4.75,3.857,1297000,0.0,1.0
2000-02-03,4.688,5.188,4.625,5.063,4.1112,3049900,0.0,1.0
2000-02-04,5.188,5.25,4.875,5.063,4.1112,2031000,0.0,1.0
2000-02-07,5.063,5.5,5.0,5.25,4.263,2992100,0.0,1.0
2000-02-08,5.25,5.563,5.0,5.125,4.1615,3046000,0.0,1.0
2000-02-09,5.125,5.188,4.875,5.0,4.06,1744700,0.0,1.0
2000-02-10,5.0,5.0,4.75,4.813,3.9082,2456600,0.0,1.0
2000-02-11,4.813,4.938,4.25,4.938,4.0097,2678600,0.0,1.0
2000-02-14,4.688,4.75,4.625,4.688,3.8067,1473100,0.0,1.0
2000-02-15,4.625,4.688,4.5,4.5,3.654,1696700,0.0,1.0
2000-02-16,4.625,4.625,4.5,4.5,3.654,1352600,0.0,1.0
2000-02-17,4.563,4.688,4.5,4.5,3.654,1742400,0.0,1.0
2000-02-18,4.563,4.563,4.313,4.313,3.5022,1762300,0.0,1.0
2000-02-22,4.313,4.5,4.25,4.25,3.451,1633300,0.0,1.0
2000-02-23,4.313,4.313,4.125,4.313,3.5022,1791000,0.0,1.0
2000-02-24,4.188,4.375,4.188,4.25,3.451,1769100,0.0,1.0
2000-02-25,4.125,4.25,3.938,3.938,3.1977,2750700,0.0,1.0
2000-02-28,4.0,4.125,3.938,3.938,3.1977,1907300,0.0,1.0
2000-02-29,4.063,4.75,4.063,4.5,3.654,3057800,0.0,1.0
2000-03-01,4.5,4.688,4.313,4.688,3.8067,2455600,0.0,1.0
2000-03-02,4.563,4.75,4.5,4.75,3.857,2013300,0.0,1.0
2000-03-03,4.875,4.875,4.375,4.5,3.654,1960600,0.0,1.0
2000-03-06,4.625,5.125,4.5,4.813,3.9082,4475000,0.0,1.0
2000-03-07,4.75,4.875,4.438,4.563,3.7052,2089500,0.0,1.0
2000-03-08,4.563,4.688,4.438,4.563,3.7052,1306300,0.0,1.0
2000-03-09,4.563,6.0,4.5,6.0,4.872,8568400,0.0,1.0
2000-03-10,5.625,5.75,5.188,5.188,4.2127,4687500,0.0,1.0
2000-03-13,5.5,7.25,5.375,7.25,5.887,18814600,0.0,1.0
2000-03-14,7.25,7.75,6.5,6.5,5.278,10510000,0.0,1.0
2000-03-15,6.938,6.938,6.375,6.5,5.278,4792900,0.0,1.0
2000-03-16,7.438,7.688,7.0,7.625,6.1915,8804600,0.0,1.0
2000-03-17,7.5,7.938,6.0,7.5,6.09,3706000,0.0,1.0
2000-03-20,7.5,7.563,6.75,6.938,5.6337,2666400,0.0,1.0
2000-03-21,6.813,7.125,6.563,7.125,5.7855,2091000,0.0,1.0
2000-03-22,7.25,8.5,7.125,8.0,6.496,6757900,0.0,1.0
2000-03-23,8.0,8.813,8.0,8.75,7.105,6106000,0.0,1.0
2000-03-24,8.25,8.81,8.25,8.62,6.9995,3399800,0.0,1.0
2000-03-27,8.625,8.688,8.125,8.25,6.699,1644400,0.0,1.0
2000-03-28,8.125,8.188,7.563,7.688,6.2427,2174100,0.0,1.0
