,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,19.88,19.94,19.31,19.5,5.0884,302600,0.0,1.0
2000-01-19,19.63,20.0,19.5,20.0,5.2189,191000,0.0,1.0
2000-01-20,19.88,20.0,19.75,19.88,5.1876,237600,0.0,1.0
2000-01-21,19.94,20.44,19.88,20.31,5.2998,310400,0.0,1.0
2000-01-24,20.38,20.63,20.31,20.31,5.2998,440400,0.0,1.0
2000-01-25,20.31,20.44,20.06,20.19,5.2685,376200,0.0,1.0
2000-01-26,20.13,20.31,20.06,20.13,5.2528,234300,0.0,1.0
2000-01-27,20.19,20.25,19.81,20.0,5.2189,283300,0.0,1.0
2000-01-28,20.25,20.25,19.56,19.81,5.1693,426100,0.0,1.0
2000-01-31,19.88,19.94,19.75,19.75,5.1537,393400,0.0,1.0
2000-02-01,19.88,20.0,19.69,19.88,5.1876,233700,0.0,1.0
2000-02-02,20.13,20.31,20.0,20.19,5.2685,250600,0.0,1.0
2000-02-03,20.25,21.19,20.19,20.94,5.4642,397900,0.0,1.0
2000-02-04,20.75,20.81,20.13,20.38,5.3181,237100,0.0,1.0
2000-02-07,20.38,20.38,19.75,19.75,5.1537,421000,0.0,1.0
2000-02-08,20.13,20.44,20.0,20.06,5.2346,210400,0.0,1.0
2000-02-09,20.0,20.25,19.94,20.06,5.2346,2794400,0.0,1.0
2000-02-10,19.63,19.94,19.13,19.31,5.1406,537900,0.39,1.0
2000-02-11,19.38,19.5,18.81,18.88,5.0262,446100,0.0,1.0
2000-02-14,18.94,19.0,18.88,19.0,5.0581,303900,0.0,1.0
2000-02-15,19.0,19.0,18.88,18.88,5.0262,291000,0.0,1.0
2000-02-16,18.81,18.88,18.75,18.81,5.0075,197400,0.0,1.0
2000-02-17,18.88,18.94,18.69,18.88,5.0262,222200,0.0,1.0
2000-02-18,18.75,18.88,18.44,18.69,4.9756,171900,0.0,1.0
2000-02-22,18.81,18.81,18.56,18.56,4.941,248700,0.0,1.0
2000-02-23,18.63,18.63,18.25,18.44,4.909,259500,0.0,1.0
2000-02-24,18.44,18.5,17.44,17.63,4.6934,440300,0.0,1.0
2000-02-25,17.5,17.69,17.38,17.5,4.6588,592800,0.0,1.0
