,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,39.75,40.25,38.5,38.88,11.1664,6372000,0.0,1.0
2000-01-19,38.38,38.94,36.5,36.75,10.5547,8570300,0.0,1.0
2000-01-20,36.81,37.31,35.81,36.38,10.4484,7482600,0.0,1.0
2000-01-21,36.5,37.63,36.06,36.63,10.5202,7008300,0.0,1.0
2000-01-24,37.0,37.44,35.44,35.88,10.3048,4770000,0.0,1.0
2000-01-25,35.81,38.0,35.81,37.63,10.8074,5350500,0.0,1.0
2000-01-26,37.44,38.5,37.0,38.0,10.9137,7293600,0.0,1.0
2000-01-27,38.63,39.75,38.19,39.0,11.2009,5127500,0.0,1.0
2000-01-28,38.88,39.13,38.19,38.75,11.1291,4044500,0.0,1.0
2000-01-31,38.31,40.0,38.31,40.0,11.4881,4633700,0.0,1.0
2000-02-01,40.0,40.69,39.81,40.44,11.6145,4764400,0.0,1.0
2000-02-02,40.44,40.5,39.0,39.0,11.2641,3318800,0.22,1.0
2000-02-03,39.31,39.63,38.06,38.88,11.2294,5402800,0.0,1.0
2000-02-04,39.13,39.13,38.44,38.56,11.137,3573400,0.0,1.0
2000-02-07,38.25,38.63,38.0,38.19,11.0301,4436600,0.0,1.0
2000-02-08,38.31,39.56,38.31,38.94,11.2468,4222500,0.0,1.0
2000-02-09,38.44,38.63,37.75,37.88,10.9406,4501800,0.0,1.0
2000-02-10,37.88,38.06,36.69,36.75,10.6142,7125400,0.0,1.0
2000-02-11,37.69,38.63,37.13,37.88,10.9406,5587400,0.0,1.0
2000-02-14,38.38,38.63,37.63,37.81,10.9204,4151900,0.0,1.0
2000-02-15,37.38,37.94,36.75,37.69,10.8857,3787300,0.0,1.0
2000-02-16,37.75,37.75,36.0,36.0,10.3976,3930500,0.0,1.0
2000-02-17,37.06,37.13,34.38,34.94,10.0915,4814500,0.0,1.0
2000-02-18,34.75,34.75,32.75,33.5,9.6756,10309600,0.0,1.0
2000-02-22,33.75,35.0,32.75,35.0,10.1088,5273000,0.0,1.0
2000-02-23,34.25,34.69,32.75,34.0,9.82,4393100,0.0,1.0
2000-02-24,33.13,33.56,32.0,32.88,9.4965,4898600,0.0,1.0
2000-02-25,33.19,33.88,32.25,32.69,9.4416,4013400,0.0,1.0
2000-02-28,33.38,34.56,33.0,34.13,9.8575,4331800,0.0,1.0
2000-02-29,34.13,34.19,32.63,33.06,9.5485,5566700,0.0,1.0
2000-03-01,33.06,34.94,33.06,34.69,10.0193,5652900,0.0,1.0
2000-03-02,35.56,35.69,33.44,33.94,9.8026,5278100,0.0,1.0
2000-03-03,34.63,35.0,34.06,34.69,10.0193,4415700,0.0,1.0
2000-03-06,34.69,35.5,34.44,34.44,9.9471,3772700,0.0,1.0
2000-03-07,34.69,34.69,32.63,33.06,9.5485,4391300,0.0,1.0
2000-03-08,32.81,33.94,31.0,31.0,8.9535,4655200,0.0,1.0
2000-03-09,34.31,34.31,32.25,32.81,9.4763,4573300,0.0,1.0
2000-03-10,33.0,33.25,32.0,32.19,9.2972,4277000,0.0,1.0
2000-03-13,31.75,32.94,31.38,32.63,9.4243,4271200,0.0,1.0
2000-03-14,32.44,32.56,31.81,31.88,9.2077,3951900,0.0,1.0
2000-03-15,32.0,36.0,32.0,36.0,10.3976,7644300,0.0,1.0
2000-03-16,35.88,38.75,35.5,38.5,11.1197,9810800,0.0,1.0
2000-03-17,38.13,39.56,38.06,38.5,11.1197,7097700,0.0,1.0
2000-03-20,38.5,38.56,37.38,37.94,10.9579,5411100,0.0,1.0
2000-03-21,37.69,39.94,37.69,39.56,11.4258,6204600,0.0,1.0
2000-03-22,39.44,40.25,39.19,40.0,11.5529,5166900,0.0,1.0
2000-03-23,39.88,41.94,39.75,41.44,11.9688,6296600,0.0,1.0
2000-03-24,41.38,42.62,40.75,41.0,11.8417,6364500,0.0,1.0
2000-03-27,40.88,41.81,40.25,40.91,11.8157,7106700,0.0,1.0
2000-03-28,40.5,41.25,40.25,40.69,11.7522,5627900,0.0,1.0
