,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,16.88,17.06,16.69,16.75,7.5189,1922400,0.0,1.0
2000-01-19,16.94,17.25,16.81,17.13,7.6895,1665300,0.0,1.0
2000-01-20,17.06,17.13,16.56,16.75,7.5189,1770300,0.0,1.0
2000-01-21,17.06,17.06,16.56,16.63,7.4651,2491100,0.0,1.0
2000-01-24,16.75,16.88,16.19,16.31,7.3214,1929700,0.0,1.0
2000-01-25,16.13,16.5,15.75,16.06,7.2092,2462900,0.0,1.0
2000-01-26,16.5,17.0,16.31,16.56,7.4336,2689000,0.0,1.0
2000-01-27,17.06,17.81,16.81,17.31,7.7703,3919100,0.0,1.0
2000-01-28,17.63,18.06,17.38,17.69,7.9409,4148000,0.0,1.0
2000-01-31,17.75,18.0,17.38,17.5,7.8556,4220800,0.0,1.0
2000-02-01,17.5,17.69,17.13,17.5,7.8556,2508200,0.0,1.0
2000-02-02,17.5,17.63,17.25,17.38,7.8017,3076400,0.0,1.0
2000-02-03,17.63,18.5,17.38,18.13,8.1384,3936100,0.0,1.0
2000-02-04,18.25,18.31,17.5,17.81,7.9948,2430000,0.0,1.0
2000-02-07,17.81,17.81,17.38,17.38,7.8017,1812700,0.0,1.0
2000-02-08,17.56,17.63,16.5,16.75,7.5189,2746800,0.0,1.0
2000-02-09,17.0,17.0,16.0,16.31,7.3214,2866300,0.0,1.0
2000-02-10,16.31,16.31,14.63,15.0,6.7334,8920800,0.0,1.0
2000-02-11,15.13,15.31,13.88,14.5,6.5089,7279600,0.0,1.0
2000-02-14,14.56,15.13,14.13,14.69,6.5942,1886600,0.0,1.0
2000-02-15,14.88,14.94,14.13,14.56,6.5359,3668100,0.0,1.0
2000-02-16,14.5,15.25,14.19,14.5,6.5089,3947000,0.0,1.0
2000-02-17,15.44,15.94,14.94,15.88,7.1284,2847000,0.0,1.0
2000-02-18,15.75,15.81,15.44,15.5,6.9578,2752600,0.0,1.0
2000-02-22,15.75,16.25,15.75,16.13,7.2406,4359300,0.0,1.0
2000-02-23,16.13,16.25,15.75,15.75,7.07,4033200,0.0,1.0
2000-02-24,15.94,16.0,15.5,15.75,7.07,3297300,0.0,1.0
2000-02-25,15.31,15.69,15.19,15.25,6.8456,2252500,0.0,1.0
2000-02-28,15.31,15.44,14.81,15.0,6.7334,1811500,0.0,1.0
2000-02-29,15.13,15.19,14.75,15.0,6.7334,2533900,0.0,1.0
2000-03-01,15.13,15.25,14.63,14.75,6.6212,2881500,0.0,1.0
2000-03-02,15.0,15.0,14.38,14.5,6.5089,2083600,0.0,1.0
2000-03-03,14.81,14.81,14.5,14.63,6.5673,2996500,0.0,1.0
2000-03-06,14.63,14.69,14.13,14.19,6.3698,2744400,0.0,1.0
2000-03-07,14.31,14.38,13.88,13.94,6.2575,3043900,0.0,1.0
2000-03-08,13.94,14.19,13.75,13.94,6.2575,2411500,0.0,1.0
2000-03-09,13.94,14.06,13.69,13.94,6.2575,2159000,0.0,1.0
2000-03-10,13.94,14.19,13.63,14.0,6.2845,3602400,0.0,1.0
2000-03-13,13.94,14.06,13.75,13.94,6.2575,2257200,0.0,1.0
2000-03-14,13.81,13.94,13.0,13.25,5.9478,2965900,0.0,1.0
2000-03-15,13.25,13.44,13.06,13.25,5.9478,2452900,0.0,1.0
2000-03-16,13.56,13.56,13.0,13.44,6.0331,4848300,0.0,1.0
2000-03-17,13.75,14.75,13.44,14.25,6.3967,6011700,0.0,1.0
2000-03-20,14.0,14.44,13.63,14.38,6.4551,1771000,0.0,1.0
2000-03-21,14.38,14.44,13.88,13.94,6.2575,2576000,0.0,1.0
2000-03-22,13.69,14.06,13.63,14.0,6.2845,3040500,0.0,1.0
2000-03-23,13.94,14.38,13.94,14.0,6.2845,2885500,0.0,1.0
2000-03-24,13.88,14.0,13.31,13.56,6.087,3613400,0.0,1.0
2000-03-27,13.5,14.38,13.5,14.25,6.3967,3566100,0.0,1.0
2000-03-28,14.25,14.25,13.06,13.06,5.8625,3799700,0.0,1.0
2000-03-29,13.81,14.25,13.38,14.13,6.3428,4698100,0.0,1.0
2000-03-30,14.19,14.19,13.75,13.81,6.1992,4463300,0.0,1.0
2000-03-31,13.81,13.88,13.56,13.69,6.1453,3595100,0.0,1.0
2000-04-03,13.88,14.25,13.5,14.19,6.3698,2803700,0.0,1.0
2000-04-04,14.19,14.69,13.75,14.25,6.3967,3690700,0.0,1.0
2000-04-05,14.0,14.25,13.75,13.81,6.1992,1772500,0.0,1.0
2000-04-06,13.88,14.69,13.81,14.31,6.4236,1981700,0.0,1.0
2000-04-07,14.44,15.19,14.44,14.94,6.7064,2653100,0.0,1.0
2000-04-10,15.06,15.69,15.06,15.56,6.9848,3091200,0.0,1.0
2000-04-11,15.44,15.5,14.88,15.31,6.8725,1919800,0.0,1.0
2000-04-12,15.31,15.38,14.69,15.25,6.8456,2009700,0.0,1.0
2000-04-13,15.13,15.19,14.56,14.56,6.5359,1606200,0.0,1.0
2000-04-14,14.31,14.5,13.75,13.81,6.1992,3181500,0.0,1.0
2000-04-17,13.81,13.88,13.31,13.5,6.06,2824700,0.0,1.0
2000-04-18,13.63,14.31,13.63,14.31,6.4236,2441300,0.0,1.0
2000-04-19,14.31,14.31,13.81,13.88,6.2306,1697700,0.0,1.0
2000-04-20,13.94,14.06,13.81,14.0,6.2845,2278500,0.0,1.0
2000-04-24,14.0,14.88,13.94,14.81,6.6481,2983400,0.0,1.0
2000-04-25,15.0,15.44,14.38,15.06,6.7603,2445600,0.0,1.0
2000-04-26,15.19,15.44,15.06,15.06,6.7603,1640400,0.0,1.0
2000-04-27,15.13,15.13,14.56,14.94,6.7064,2388100,0.0,1.0
2000-04-28,15.06,16.31,15.06,16.0,7.1823,3653300,0.0,1.0
2000-05-01,16.06,16.5,15.81,15.81,7.097,1969600,0.0,1.0
2000-05-02,15.81,15.81,15.44,15.44,6.9309,1386900,0.0,1.0
2000-05-03,15.38,15.44,14.69,14.81,6.6481,1306000,0.0,1.0
2000-05-04,14.94,15.13,14.69,14.94,6.7064,1577200,0.0,1.0
2000-05-05,15.0,16.06,14.88,15.75,7.07,2290800,0.0,1.0
2000-05-08,15.63,15.94,15.44,15.5,6.9578,1894300,0.0,1.0
2000-05-09,15.44,15.56,14.75,15.0,6.7334,1278100,0.0,1.0
2000-05-10,15.0,15.25,14.81,15.0,6.7334,1137600,0.0,1.0
2000-05-11,16.69,19.0,15.75,18.94,8.502,12046700,0.0,1.0
2000-05-12,18.81,19.44,18.13,19.19,8.6142,4319500,0.0,1.0
2000-05-15,18.94,19.44,18.56,18.81,8.4437,2361800,0.0,1.0
