,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,35.81,36.75,35.19,36.56,14.5792,2556000,0.0,1.0
2000-01-19,36.44,36.44,35.69,35.81,14.2801,2138900,0.0,1.0
2000-01-20,35.81,38.25,35.81,38.0,15.1535,2515400,0.0,1.0
2000-01-21,40.5,40.75,38.56,39.19,15.628,4951000,0.0,1.0
2000-01-24,40.0,40.0,37.13,37.56,14.978,2783200,0.0,1.0
2000-01-25,37.56,37.56,36.5,37.0,14.7547,2112800,0.0,1.0
2000-01-26,37.0,41.0,36.94,40.63,16.2022,5487700,0.0,1.0
2000-01-27,40.5,40.56,38.06,38.81,15.4765,2717200,0.0,1.0
2000-01-28,38.75,38.94,36.63,37.81,15.0777,2277100,0.0,1.0
2000-01-31,38.06,39.0,36.81,38.06,15.1774,2711400,0.0,1.0
2000-02-01,38.81,39.0,37.75,38.0,15.1535,3587300,0.0,1.0
2000-02-02,37.69,38.81,37.5,38.63,15.4047,2302700,0.0,1.0
2000-02-03,38.13,38.88,37.94,38.19,15.2292,1977400,0.0,1.0
2000-02-04,37.56,38.38,37.38,37.56,14.978,2406400,0.0,1.0
2000-02-07,37.56,39.0,37.56,38.44,15.3289,1858000,0.0,1.0
2000-02-08,40.0,41.75,39.25,41.5,16.5492,4547900,0.0,1.0
2000-02-09,41.94,42.0,39.56,40.94,16.3259,3414700,0.0,1.0
2000-02-10,41.88,42.88,40.88,42.25,16.8483,4474600,0.0,1.0
2000-02-11,42.94,43.0,41.31,42.0,16.7486,3936900,0.0,1.0
2000-02-14,42.25,43.0,41.69,41.94,16.7246,1993800,0.0,1.0
2000-02-15,41.94,43.5,41.94,43.13,17.1992,4551100,0.0,1.0
2000-02-16,44.75,45.19,43.63,45.0,17.9449,4315900,0.0,1.0
2000-02-17,44.56,44.69,42.88,43.44,17.3228,2144800,0.0,1.0
2000-02-18,43.19,43.56,40.88,42.0,16.7486,3043700,0.0,1.0
2000-02-22,42.0,42.19,40.75,41.13,16.4016,1979000,0.0,1.0
2000-02-23,41.75,43.25,40.69,40.75,16.2501,2283400,0.0,1.0
2000-02-24,40.75,40.75,39.13,40.19,16.0268,1665200,0.0,1.0
2000-02-25,39.94,40.13,38.38,39.25,15.6519,1375100,0.0,1.0
2000-02-28,39.88,41.25,39.63,41.0,16.3498,2554800,0.0,1.0
2000-02-29,41.0,42.56,40.31,41.81,16.6728,1933800,0.0,1.0
2000-03-01,42.25,44.88,42.13,44.69,17.8213,3182100,0.0,1.0
2000-03-02,45.0,47.88,44.69,45.06,17.9688,3121300,0.0,1.0
2000-03-03,45.31,47.44,45.25,47.19,18.8182,3876500,0.0,1.0
2000-03-06,46.94,48.63,46.25,48.0,19.1412,3712700,0.0,1.0
2000-03-07,48.0,49.75,47.94,48.69,19.4164,3718200,0.0,1.0
2000-03-08,48.69,48.94,44.94,46.13,18.4553,4353600,0.15,1.0
2000-03-09,46.0,46.0,44.19,45.56,18.2273,2355300,0.0,1.0
2000-03-10,46.0,49.0,46.0,48.69,19.4795,5945900,0.0,1.0
2000-03-13,46.94,47.31,45.69,46.31,18.5273,1969000,0.0,1.0
2000-03-14,46.13,46.31,45.06,45.88,18.3553,2563500,0.0,1.0
2000-03-15,46.13,46.63,44.5,45.44,18.1793,2103000,0.0,1.0
