,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,63.19,66.44,63.06,65.56,45.5312,6442200,0.0,1.0
2000-01-19,65.25,65.81,64.0,64.06,44.4894,4819900,0.0,1.0
2000-01-20,64.44,64.5,62.5,63.38,44.0172,5738100,0.0,1.0
2000-01-21,63.94,63.94,62.06,62.44,43.3644,6952500,0.0,1.0
2000-01-24,63.44,63.44,57.5,59.38,41.2392,7799900,0.0,1.0
2000-01-25,59.81,61.19,59.5,61.13,42.4546,6403800,0.0,1.0
2000-01-26,61.13,62.06,60.0,61.94,43.0171,4538400,0.0,1.0
2000-01-27,61.31,61.5,57.88,59.13,41.0656,7323300,0.0,1.0
2000-01-28,58.88,58.88,53.5,55.13,38.2876,14029400,0.0,1.0
2000-01-31,54.56,55.5,54.13,54.75,38.0237,7972700,0.0,1.0
2000-02-01,55.0,59.5,54.94,58.69,40.76,8359000,0.0,1.0
2000-02-02,58.88,59.69,57.94,58.38,40.5447,6034600,0.0,1.0
2000-02-03,58.38,58.81,56.25,58.38,40.5447,6999000,0.0,1.0
2000-02-04,57.94,57.94,56.0,56.31,39.1071,6549700,0.0,1.0
2000-02-07,56.63,56.63,54.63,55.75,38.7182,6043700,0.0,1.0
2000-02-08,57.31,59.69,56.88,59.5,41.3225,8576100,0.0,1.0
2000-02-09,60.0,60.13,57.31,57.81,40.1488,8216600,0.0,1.0
2000-02-10,57.63,58.38,56.81,57.0,39.5863,4591600,0.0,1.0
2000-02-11,57.44,57.5,55.63,56.06,38.9335,4816700,0.0,1.0
2000-02-14,56.69,58.88,56.5,58.88,40.8919,5803600,0.0,1.0
2000-02-15,56.94,58.0,55.0,58.0,40.2808,9712100,0.0,1.0
2000-02-16,56.5,56.5,52.69,52.75,36.6347,13585800,0.0,1.0
2000-02-17,52.94,53.5,48.0,48.38,33.5997,24766700,0.0,1.0
2000-02-18,48.5,49.5,47.25,47.75,33.1622,19394400,0.0,1.0
2000-02-22,49.25,49.31,46.75,48.13,33.4261,12342600,0.0,1.0
2000-02-23,48.44,48.5,46.75,47.0,32.6413,12874400,0.0,1.0
2000-02-24,47.0,47.88,43.44,47.88,33.2525,19431900,0.0,1.0
2000-02-25,44.31,45.31,43.63,44.5,30.9051,16908500,0.0,1.0
2000-02-28,44.56,46.94,44.56,46.19,32.0788,17836100,0.0,1.0
2000-02-29,47.94,49.75,47.94,48.75,33.8567,17197200,0.0,1.0
