,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,19.13,19.72,19.13,19.44,1.9147,42844,0.0,1.0
2000-01-19,19.75,20.13,19.31,19.62,1.9325,51990,0.0,1.0
2000-01-20,19.62,19.62,18.25,18.56,1.8281,74667,0.0,1.0
2000-01-21,18.88,19.0,18.0,18.13,1.7857,93175,0.0,1.0
2000-01-24,18.38,18.62,17.87,18.5,1.8222,35990,0.0,1.0
2000-01-25,18.5,18.5,17.0,17.0,1.6744,114785,0.0,1.0
2000-01-26,17.19,18.62,17.19,17.94,1.767,47467,0.0,1.0
2000-01-27,17.87,18.62,17.87,18.25,1.7975,96553,0.0,1.0
2000-01-28,18.38,18.5,17.25,17.56,1.7296,114252,0.0,1.0
2000-01-31,17.25,17.44,16.5,17.38,1.7118,149353,0.0,1.0
2000-02-01,16.75,17.25,16.62,17.25,1.699,92444,0.0,1.0
2000-02-02,17.13,17.5,17.0,17.25,1.699,53867,0.0,1.0
2000-02-03,17.5,17.94,17.06,17.19,1.6931,81620,0.0,1.0
2000-02-04,17.38,17.38,16.75,17.0,1.6744,39644,0.0,1.0
2000-02-07,17.5,17.5,16.5,16.75,1.6498,100267,0.0,1.0
2000-02-08,16.5,16.69,16.13,16.56,1.6311,45867,0.0,1.0
2000-02-09,16.5,16.5,15.81,15.81,1.5572,94835,0.0,1.0
2000-02-10,15.75,15.94,15.25,15.5,1.5267,64652,0.0,1.0
2000-02-11,15.12,16.13,15.12,15.31,1.508,87052,0.0,1.0
2000-02-14,16.0,16.06,15.12,15.25,1.5021,209244,0.0,1.0
2000-02-15,15.63,15.63,15.0,15.0,1.4774,274844,0.0,1.0
2000-02-16,15.38,15.38,15.0,15.0,1.4774,72435,0.0,1.0
2000-02-17,15.38,15.38,14.81,15.25,1.5021,506390,0.0,1.0
2000-02-18,15.19,15.5,15.0,15.31,1.508,56435,0.0,1.0
2000-02-22,15.25,16.75,15.06,16.06,1.5818,109867,0.0,1.0
2000-02-23,16.38,16.44,15.56,15.75,1.5513,154785,0.0,1.0
2000-02-24,15.69,15.94,15.63,15.75,1.5513,45452,0.0,1.0
2000-02-25,15.81,16.75,15.69,16.38,1.6134,76978,0.0,1.0
2000-02-28,16.44,16.44,15.69,16.06,1.5818,77452,0.0,1.0
2000-02-29,16.25,16.25,15.69,16.06,1.5818,71230,0.0,1.0
2000-03-01,16.0,16.06,15.44,15.63,1.5395,357867,0.0,1.0
2000-03-02,15.5,16.0,15.5,15.63,1.5395,43990,0.0,1.0
2000-03-03,15.44,15.69,15.0,15.38,1.5149,33244,0.0,1.0
2000-03-06,15.5,15.5,15.25,15.38,1.5149,36820,0.0,1.0
2000-03-07,15.0,15.63,14.75,14.97,1.4745,121363,0.0,1.0
2000-03-08,14.94,15.0,14.25,14.63,1.441,94420,0.0,1.0
2000-03-09,14.75,15.0,14.25,14.75,1.4528,123378,0.0,1.0
2000-03-10,15.25,15.38,14.69,15.0,1.4774,160435,0.0,1.0
2000-03-13,14.69,15.0,14.0,14.75,1.4528,187042,0.0,1.0
2000-03-14,15.12,15.25,14.75,14.87,1.4646,45867,0.0,1.0
2000-03-15,14.69,15.12,14.63,14.94,1.4715,174420,0.0,1.0
2000-03-16,14.81,16.25,14.75,16.0,1.5759,82785,0.0,1.0
2000-03-17,15.75,16.0,15.75,15.75,1.5641,234844,0.13,1.0
2000-03-20,15.75,16.0,15.75,15.94,1.583,51457,0.0,1.0
2000-03-21,15.75,16.75,15.63,16.38,1.6267,114430,0.0,1.0
2000-03-22,15.75,16.75,15.75,16.38,1.6267,64830,0.0,1.0
2000-03-23,16.75,17.25,16.13,16.87,1.6753,102163,0.0,1.0
2000-03-24,17.5,18.13,17.0,17.69,1.7568,194785,0.0,1.0
2000-03-27,18.0,18.5,17.5,17.87,1.7746,297185,0.0,1.0
2000-03-28,17.62,18.25,17.62,17.87,1.7746,136000,0.0,1.0
2000-03-29,18.75,19.62,18.0,19.19,1.9057,263368,0.0,1.0
2000-03-30,18.88,22.75,18.88,22.25,2.2096,227200,0.0,1.0
2000-03-31,22.63,23.48,21.75,23.06,2.29,713185,0.0,1.0
2000-04-03,22.25,23.12,22.25,23.0,2.2841,271190,0.0,1.0
2000-04-04,23.19,23.19,21.37,22.63,2.2473,205452,0.0,1.0
2000-04-05,22.12,22.12,21.5,22.0,2.1848,36267,0.0,1.0
2000-04-06,22.06,22.25,21.88,22.06,2.1907,194252,0.0,1.0
2000-04-07,22.0,22.56,21.88,22.3,2.2146,67990,0.0,1.0
2000-04-10,21.69,22.37,21.62,22.12,2.1967,51635,0.0,1.0
2000-04-11,21.75,22.39,21.75,22.06,2.1907,13353,0.0,1.0
2000-04-12,22.0,22.12,21.62,21.69,2.154,249442,0.0,1.0
2000-04-13,21.81,22.0,21.56,21.62,2.147,121778,0.0,1.0
2000-04-14,21.5,21.5,20.0,20.56,2.0418,30044,0.0,1.0
2000-04-17,21.0,21.56,19.88,21.06,2.0914,17185,0.0,1.0
2000-04-18,20.75,21.13,20.69,21.0,2.0855,58785,0.0,1.0
2000-04-19,20.78,21.0,20.56,20.75,2.0606,29235,0.0,1.0
2000-04-20,20.75,21.13,20.5,20.81,2.0666,132820,0.0,1.0
2000-04-24,20.5,21.0,20.5,20.88,2.0736,204563,0.0,1.0
2000-04-25,21.13,21.75,20.62,21.5,2.1351,96178,0.0,1.0
2000-04-26,21.5,21.88,21.19,21.19,2.1043,82252,0.0,1.0
2000-04-27,21.37,21.37,20.75,21.0,2.0855,44444,0.0,1.0
2000-04-28,20.88,21.37,20.88,21.13,2.0984,54835,0.0,1.0
2000-05-01,21.13,22.12,21.13,22.0,2.1848,116267,0.0,1.0
2000-05-02,21.81,22.94,21.5,22.19,2.2037,54242,0.0,1.0
2000-05-03,22.12,22.37,21.0,22.06,2.1907,69353,0.0,1.0
2000-05-04,21.25,22.06,21.19,21.88,2.1729,70953,0.0,1.0
2000-05-05,21.62,22.31,21.62,22.12,2.1967,34785,0.0,1.0
2000-05-08,22.0,22.0,21.56,21.56,2.1411,48968,0.0,1.0
2000-05-09,21.81,21.81,21.37,21.56,2.1411,53057,0.0,1.0
2000-05-10,21.5,21.5,21.0,21.0,2.0855,24968,0.0,1.0
2000-05-11,21.25,21.5,21.0,21.44,2.1292,56178,0.0,1.0
2000-05-12,21.75,22.63,21.5,22.0,2.1848,62044,0.0,1.0
2000-05-15,21.94,22.69,21.37,22.63,2.2473,21630,0.0,1.0
2000-05-16,22.31,22.69,21.88,22.31,2.2156,26667,0.0,1.0
2000-05-17,21.75,22.31,20.75,21.56,2.1411,290963,0.0,1.0
2000-05-18,21.5,21.81,21.37,21.44,2.1292,150163,0.0,1.0
2000-05-19,21.5,21.5,21.0,21.25,2.1103,210844,0.0,1.0
2000-05-22,21.19,21.62,20.62,21.62,2.147,20444,0.0,1.0
2000-05-23,21.62,21.75,21.31,21.62,2.147,8020,0.0,1.0
2000-05-24,21.41,21.62,21.25,21.56,2.1411,18667,0.0,1.0
2000-05-25,21.62,21.62,21.37,21.37,2.1222,12642,0.0,1.0
2000-05-26,21.37,21.88,21.13,21.75,2.16,54242,0.0,1.0
2000-05-30,21.88,22.0,21.75,21.88,2.1729,18844,0.0,1.0
2000-05-31,22.0,22.12,21.75,22.06,2.1907,25067,0.0,1.0
2000-06-01,21.94,22.25,21.94,22.06,2.1907,535190,0.0,1.0
2000-06-02,22.25,22.37,21.75,22.06,2.1907,118835,0.0,1.0
2000-06-05,22.25,22.25,21.88,22.0,2.1848,58390,0.0,1.0
2000-06-06,22.06,22.12,21.37,21.56,2.1411,26667,0.0,1.0
2000-06-07,21.69,21.88,21.37,21.5,2.1351,17778,0.0,1.0
2000-06-08,21.62,21.62,21.31,21.37,2.1222,12444,0.0,1.0
2000-06-09,21.44,21.5,21.0,21.19,2.1043,48020,0.0,1.0
2000-06-12,20.75,21.31,20.75,21.19,2.1043,20978,0.0,1.0
2000-06-13,21.19,21.44,21.19,21.31,2.1163,20820,0.0,1.0
2000-06-14,21.44,21.56,21.37,21.37,2.1351,101057,0.13,1.0
2000-06-15,21.37,21.5,21.25,21.25,2.1231,321244,0.0,1.0
2000-06-16,21.31,21.37,21.0,21.13,2.1111,90785,0.0,1.0
2000-06-19,21.0,21.13,20.75,20.75,2.0732,38578,0.0,1.0
2000-06-20,20.62,21.06,20.13,20.13,2.0112,75575,0.0,1.0
2000-06-21,20.13,20.37,20.13,20.13,2.0112,26785,0.0,1.0
2000-06-22,20.13,20.19,19.75,19.75,1.9733,126242,0.0,1.0
2000-06-23,19.75,20.13,19.62,19.69,1.9673,87467,0.0,1.0
2000-06-26,19.69,19.75,19.37,19.75,1.9733,18568,0.0,1.0
2000-06-27,19.69,20.06,19.37,19.44,1.9423,85590,0.0,1.0
2000-06-28,19.37,19.56,19.0,19.37,1.9353,44030,0.0,1.0
2000-06-29,19.37,19.37,18.81,18.94,1.8923,37985,0.0,1.0
2000-06-30,19.0,19.0,18.13,18.75,1.8734,96020,0.0,1.0
2000-07-03,19.0,19.0,18.5,18.75,1.8734,47842,0.0,1.0
2000-07-05,18.88,19.13,18.38,18.38,1.8364,75378,0.0,1.0
2000-07-06,18.75,19.13,18.75,18.94,1.8923,32968,0.0,1.0
2000-07-07,19.0,19.37,19.0,19.25,1.9233,234252,0.0,1.0
2000-07-10,19.13,19.88,19.13,19.56,1.9543,24020,0.0,1.0
2000-07-11,19.44,19.88,19.37,19.56,1.9543,49442,0.0,1.0
2000-07-12,19.56,20.25,19.56,20.0,1.9982,57778,0.0,1.0
2000-07-13,20.25,20.25,19.75,19.88,1.9863,20444,0.0,1.0
2000-07-14,19.75,20.06,19.75,20.0,1.9982,47842,0.0,1.0
2000-07-17,19.94,20.5,19.94,20.19,2.0172,220800,0.0,1.0
2000-07-18,20.13,20.25,19.88,20.13,2.0112,138252,0.0,1.0
2000-07-19,20.06,20.13,19.62,20.06,2.0042,73975,0.0,1.0
2000-07-20,19.75,20.13,19.75,19.88,1.9863,35220,0.0,1.0
