,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,68.53,68.71,65.36,66.1,13.2782,825700,0.0,1.0
2000-01-19,61.57,63.62,61.26,63.06,12.6675,3095500,0.0,1.0
2000-01-20,63.06,64.74,62.38,64.55,12.9668,2979700,0.0,1.0
2000-01-21,64.55,64.55,62.26,63.44,12.7438,1481300,0.0,1.0
2000-01-24,63.44,63.93,58.66,60.58,12.1693,1534700,0.0,1.0
2000-01-25,59.09,59.65,55.74,57.79,11.6089,1838000,0.0,1.0
2000-01-26,58.0,60.0,57.5,57.88,11.6598,2560000,0.1637,1.0
2000-01-27,58.0,58.81,56.5,57.06,11.4946,1335000,0.0,1.0
2000-01-28,56.69,59.5,56.0,59.06,11.8975,2502800,0.0,1.0
2000-01-31,58.69,58.69,55.31,57.38,11.5591,1089600,0.0,1.0
2000-02-01,57.38,58.88,56.31,57.25,11.5329,1447500,0.0,1.0
2000-02-02,57.25,57.5,55.25,56.5,11.3818,2137500,0.0,1.0
2000-02-03,56.0,56.38,54.56,54.62,11.0031,1339000,0.0,1.0
2000-02-04,55.25,55.75,54.0,55.0,11.0797,1950800,0.0,1.0
2000-02-07,54.25,54.5,51.88,52.63,10.6022,1817800,0.0,1.0
2000-02-08,53.19,54.19,52.5,53.69,10.8158,2538300,0.0,1.0
2000-02-09,53.06,54.5,51.56,51.94,10.4632,1426700,0.0,1.0
2000-02-10,51.81,52.31,50.31,52.0,10.4753,5724400,0.0,1.0
2000-02-11,52.0,52.75,48.88,51.31,10.3363,2307200,0.0,1.0
2000-02-14,50.69,52.37,49.25,52.12,10.4995,1491200,0.0,1.0
2000-02-15,52.0,54.31,51.06,53.62,10.8017,1670200,0.0,1.0
2000-02-16,52.88,53.94,51.56,53.5,10.7775,1392300,0.0,1.0
2000-02-17,54.75,55.12,51.5,52.81,10.6385,1266200,0.0,1.0
2000-02-18,51.62,52.0,47.44,48.75,9.8206,1843800,0.0,1.0
2000-02-22,49.19,51.62,48.0,51.62,10.3988,1660900,0.0,1.0
2000-02-23,52.0,52.0,49.31,50.0,10.0724,994300,0.0,1.0
2000-02-24,49.75,49.81,48.13,49.69,10.01,1987000,0.0,1.0
2000-02-25,49.63,50.19,48.44,49.31,9.9334,1077300,0.0,1.0
2000-02-28,49.37,51.25,49.12,50.25,10.1228,1599600,0.0,1.0
2000-02-29,49.25,51.88,48.06,51.31,10.3363,1345600,0.0,1.0
2000-03-01,53.5,53.94,51.38,53.44,10.7654,2072100,0.0,1.0
2000-03-02,53.19,53.31,51.31,52.56,10.5881,816000,0.0,1.0
2000-03-03,52.81,55.44,52.44,53.44,10.7654,1520200,0.0,1.0
2000-03-06,54.19,54.19,51.62,52.44,10.5639,1171700,0.0,1.0
2000-03-07,52.37,52.69,50.0,50.38,10.149,1522600,0.0,1.0
2000-03-08,50.12,53.94,49.88,52.12,10.4995,1189800,0.0,1.0
2000-03-09,51.25,51.88,50.62,51.75,10.4249,1442200,0.0,1.0
