,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,20.31,20.31,19.69,19.81,8.2563,843200,0.0,1.0
2000-01-19,19.75,19.88,19.69,19.81,8.2563,578200,0.0,1.0
2000-01-20,19.81,19.88,19.56,19.63,8.1813,566200,0.0,1.0
2000-01-21,19.63,19.94,19.63,19.75,8.2313,1021700,0.0,1.0
2000-01-24,19.75,19.81,19.63,19.69,8.2063,649100,0.0,1.0
2000-01-25,19.69,19.69,19.31,19.5,8.1271,344900,0.0,1.0
2000-01-26,19.63,19.63,19.0,19.13,7.9729,1137000,0.0,1.0
2000-01-27,19.25,19.5,19.19,19.31,8.0479,493400,0.0,1.0
2000-01-28,19.31,19.5,19.25,19.25,8.0229,289700,0.0,1.0
2000-01-31,19.25,19.38,19.13,19.25,8.0229,526700,0.0,1.0
2000-02-01,19.38,19.38,19.13,19.25,8.0229,446600,0.0,1.0
2000-02-02,19.38,19.44,19.06,19.06,7.9437,313200,0.0,1.0
2000-02-03,19.19,19.69,19.19,19.63,8.1813,483400,0.0,1.0
2000-02-04,19.63,19.63,19.13,19.31,8.0479,336400,0.0,1.0
2000-02-07,19.31,19.31,19.0,19.06,7.9437,348300,0.0,1.0
2000-02-08,19.06,19.19,19.0,19.06,7.9437,364900,0.0,1.0
2000-02-09,19.13,19.5,19.06,19.19,7.9979,595500,0.0,1.0
2000-02-10,19.19,19.31,18.56,18.81,7.8395,503600,0.0,1.0
2000-02-11,18.94,18.94,18.5,18.88,7.8687,554500,0.0,1.0
2000-02-14,18.81,18.94,18.63,18.75,7.8145,374500,0.0,1.0
2000-02-15,18.5,18.69,18.38,18.44,7.6853,627400,0.0,1.0
2000-02-16,18.56,18.75,18.5,18.56,7.7353,284800,0.0,1.0
2000-02-17,18.69,18.69,18.31,18.56,7.7353,202600,0.0,1.0
2000-02-18,18.44,18.5,18.13,18.19,7.5811,469100,0.0,1.0
2000-02-22,18.31,18.56,18.25,18.31,7.6311,477300,0.0,1.0
2000-02-23,18.25,18.31,18.0,18.06,7.5269,306300,0.0,1.0
2000-02-24,18.06,18.13,17.69,17.81,7.4227,367700,0.0,1.0
2000-02-25,17.88,17.88,17.38,17.56,7.3186,477600,0.0,1.0
2000-02-28,17.81,18.13,17.56,18.0,7.5019,505400,0.0,1.0
2000-02-29,17.81,17.94,17.5,17.56,7.3186,535900,0.0,1.0
2000-03-01,17.63,17.69,17.06,17.19,7.1643,512300,0.0,1.0
2000-03-02,17.06,17.25,17.0,17.06,7.1102,642200,0.0,1.0
2000-03-03,17.13,17.56,17.13,17.5,7.2935,405500,0.0,1.0
2000-03-06,17.38,17.38,16.25,16.44,6.8518,967400,0.0,1.0
2000-03-07,16.69,16.75,16.31,16.44,6.8518,1814900,0.0,1.0
2000-03-08,16.56,16.81,16.31,16.38,6.8268,1498300,0.0,1.0
2000-03-09,16.5,16.63,16.13,16.25,6.7726,1129600,0.0,1.0
2000-03-10,16.31,16.75,16.25,16.63,6.931,635300,0.0,1.0
2000-03-13,16.69,16.94,16.56,16.94,7.0602,636700,0.0,1.0
2000-03-14,17.19,17.5,17.13,17.5,7.2935,873700,0.0,1.0
2000-03-15,17.5,18.63,17.5,18.63,7.7645,898300,0.0,1.0
2000-03-16,18.88,19.94,18.75,19.94,8.3105,894300,0.0,1.0
2000-03-17,19.94,20.19,19.63,19.88,8.2855,1242200,0.0,1.0
2000-03-20,19.88,19.94,19.38,19.5,8.1271,1416800,0.0,1.0
2000-03-21,19.44,19.44,18.81,19.0,7.9187,639000,0.0,1.0
2000-03-22,18.88,18.94,18.25,18.56,7.7353,367700,0.0,1.0
2000-03-23,18.56,18.88,18.56,18.81,7.8395,500300,0.0,1.0
2000-03-24,18.69,18.94,18.56,18.88,7.8687,648100,0.0,1.0
2000-03-27,18.88,19.13,18.81,18.88,7.8687,888400,0.0,1.0
2000-03-28,18.81,19.13,18.81,18.88,7.8687,269400,0.0,1.0
2000-03-29,18.88,19.19,18.81,19.13,7.9729,764900,0.0,1.0
2000-03-30,19.25,20.0,19.25,19.88,8.2855,1726400,0.0,1.0
2000-03-31,19.81,19.94,19.63,19.88,8.2855,566900,0.0,1.0
2000-04-03,19.88,19.94,19.5,19.75,8.2313,208100,0.0,1.0
2000-04-04,19.75,20.44,19.75,20.31,8.4647,844900,0.0,1.0
2000-04-05,20.38,21.19,20.31,20.56,8.5689,495900,0.0,1.0
2000-04-06,20.5,20.81,20.13,20.25,8.4397,391900,0.0,1.0
2000-04-07,20.19,20.25,19.88,20.06,8.3605,701300,0.0,1.0
2000-04-10,20.0,20.88,19.94,20.81,8.6731,2409100,0.0,1.0
2000-04-11,20.31,20.88,20.31,20.69,8.7741,469300,0.3625,1.0
2000-04-12,20.75,21.19,20.31,20.31,8.613,645400,0.0,1.0
2000-04-13,20.31,21.06,20.25,21.06,8.931,492500,0.0,1.0
2000-04-14,21.0,21.06,20.5,20.63,8.7487,536600,0.0,1.0
2000-04-17,20.63,20.69,19.88,20.31,8.613,782800,0.0,1.0
2000-04-18,20.25,20.69,20.06,20.25,8.5875,482100,0.0,1.0
2000-04-19,20.5,20.5,19.81,19.94,8.4561,533000,0.0,1.0
2000-04-20,20.19,20.5,20.0,20.44,8.6681,578100,0.0,1.0
2000-04-24,20.88,21.25,20.75,21.25,9.0116,657300,0.0,1.0
2000-04-25,21.25,21.94,21.25,21.88,9.2788,783700,0.0,1.0
2000-04-26,21.81,22.31,21.75,22.25,9.4357,589200,0.0,1.0
2000-04-27,22.13,22.31,21.88,22.06,9.3551,1041400,0.0,1.0
2000-04-28,22.06,22.19,21.56,21.81,9.2491,678100,0.0,1.0
2000-05-01,21.44,22.19,21.44,22.13,9.3848,615100,0.0,1.0
2000-05-02,22.38,22.44,21.94,22.06,9.3551,805200,0.0,1.0
2000-05-03,22.06,22.38,21.75,22.25,9.4357,778500,0.0,1.0
2000-05-04,22.44,22.5,21.88,22.44,9.5163,771400,0.0,1.0
2000-05-05,22.19,22.25,21.75,21.94,9.3042,521500,0.0,1.0
2000-05-08,21.88,22.94,21.75,21.94,9.3042,840200,0.0,1.0
2000-05-09,22.06,22.06,21.81,22.0,9.3297,248800,0.0,1.0
2000-05-10,22.0,22.38,21.94,22.31,9.4611,591100,0.0,1.0
2000-05-11,22.31,22.69,22.25,22.63,9.5968,262600,0.0,1.0
2000-05-12,22.63,22.63,22.31,22.44,9.5163,339500,0.0,1.0
2000-05-15,22.44,23.0,22.44,22.69,9.6223,271000,0.0,1.0
2000-05-16,22.69,22.75,22.0,22.44,9.5163,402100,0.0,1.0
2000-05-17,22.44,22.5,21.94,22.06,9.3551,364800,0.0,1.0
2000-05-18,22.06,23.06,22.0,22.5,9.5417,289900,0.0,1.0
2000-05-19,22.13,22.5,22.13,22.31,9.4611,250600,0.0,1.0
2000-05-22,22.38,23.19,22.19,23.06,9.7792,352300,0.0,1.0
2000-05-23,23.0,23.19,22.63,23.13,9.8089,533300,0.0,1.0
2000-05-24,23.13,23.81,23.06,23.69,10.0464,569000,0.0,1.0
2000-05-25,23.63,23.63,22.06,22.25,9.4357,1557500,0.0,1.0
2000-05-26,22.38,22.75,22.38,22.56,9.5672,339600,0.0,1.0
2000-05-30,22.56,22.56,21.94,22.25,9.4357,331100,0.0,1.0
2000-05-31,22.13,22.44,22.13,22.19,9.4103,520000,0.0,1.0
2000-06-01,22.06,22.13,21.75,21.81,9.2491,598100,0.0,1.0
2000-06-02,22.06,22.19,21.31,21.44,9.0922,350700,0.0,1.0
2000-06-05,21.5,21.5,20.94,21.0,8.9056,323700,0.0,1.0
2000-06-06,21.06,21.44,20.94,21.0,8.9056,307800,0.0,1.0
2000-06-07,21.25,21.38,21.13,21.31,9.0371,196000,0.0,1.0
2000-06-08,21.13,21.19,20.81,21.06,8.931,327400,0.0,1.0
2000-06-09,21.06,21.5,20.94,21.44,9.0922,272400,0.0,1.0
2000-06-12,21.44,21.63,21.38,21.52,9.1261,277200,0.0,1.0
2000-06-13,21.44,21.75,21.44,21.69,9.1982,238400,0.0,1.0
2000-06-14,21.69,21.69,21.25,21.31,9.0371,345400,0.0,1.0
2000-06-15,21.38,21.75,21.31,21.75,9.2237,268500,0.0,1.0
2000-06-16,21.75,21.75,21.47,21.5,9.1176,272100,0.0,1.0
2000-06-19,21.56,21.69,21.25,21.63,9.1728,226800,0.0,1.0
2000-06-20,21.5,21.56,20.88,21.25,9.0116,341300,0.0,1.0
2000-06-21,21.31,21.31,20.94,21.0,8.9056,436000,0.0,1.0
2000-06-22,21.06,21.06,20.5,20.69,8.7741,434500,0.0,1.0
2000-06-23,20.69,21.13,20.69,21.0,8.9056,284800,0.0,1.0
2000-06-26,21.25,21.31,20.94,21.25,9.0116,165600,0.0,1.0
2000-06-27,21.13,21.38,20.25,20.31,8.613,337500,0.0,1.0
2000-06-28,20.5,21.13,19.97,20.95,8.8844,388000,0.0,1.0
2000-06-29,20.94,21.25,20.5,20.5,8.6936,257800,0.0,1.0
2000-06-30,20.56,21.13,20.06,20.19,8.5621,560200,0.0,1.0
2000-07-03,20.31,20.75,20.19,20.5,8.6936,243300,0.0,1.0
2000-07-05,20.5,21.0,20.13,20.31,8.613,516700,0.0,1.0
2000-07-06,20.5,20.88,20.44,20.81,8.825,502800,0.0,1.0
2000-07-07,20.88,21.13,20.88,21.0,8.9056,329000,0.0,1.0
2000-07-10,21.13,21.5,21.06,21.25,9.0116,2762500,0.0,1.0
2000-07-11,21.13,21.25,20.81,21.25,9.1675,1073500,0.3675,1.0
2000-07-12,21.25,21.25,20.88,21.0,9.0596,251800,0.0,1.0
2000-07-13,21.0,21.06,20.75,21.0,9.0596,295800,0.0,1.0
2000-07-14,20.94,21.31,20.75,20.81,8.9776,595900,0.0,1.0
2000-07-17,20.81,21.06,20.78,20.78,8.9647,497200,0.0,1.0
2000-07-18,21.06,21.06,20.56,20.63,8.9,877900,0.0,1.0
2000-07-19,20.88,21.81,20.81,21.69,9.3573,1225400,0.0,1.0
2000-07-20,22.25,22.31,21.94,22.06,9.5169,809700,0.0,1.0
2000-07-21,22.31,22.31,21.88,21.88,9.4393,495700,0.0,1.0
2000-07-24,21.88,22.0,21.5,21.69,9.3573,267900,0.0,1.0
2000-07-25,21.94,22.44,21.75,22.06,9.5169,324600,0.0,1.0
2000-07-26,22.0,22.25,21.94,21.94,9.4651,423900,0.0,1.0
2000-07-27,22.06,22.44,22.06,22.31,9.6248,403000,0.0,1.0
2000-07-28,22.25,22.5,22.06,22.06,9.5169,426300,0.0,1.0
2000-07-31,22.25,22.44,22.0,22.06,9.5169,458000,0.0,1.0
2000-08-01,22.25,22.81,22.13,22.81,9.8405,359200,0.0,1.0
2000-08-02,22.81,23.69,22.63,23.5,10.1381,1879400,0.0,1.0
2000-08-03,23.56,24.63,23.56,24.06,10.3797,2185100,0.0,1.0
2000-08-04,24.06,24.25,23.63,24.25,10.4617,667300,0.0,1.0
2000-08-07,24.13,24.88,24.13,24.77,10.686,1279300,0.0,1.0
2000-08-08,26.0,26.0,25.0,25.5,11.001,1063900,0.0,1.0
2000-08-09,25.38,25.44,25.06,25.44,10.9751,878900,0.0,1.0
2000-08-10,25.25,25.83,25.19,25.83,11.1433,436700,0.0,1.0
2000-08-11,25.81,26.63,25.69,26.27,11.3331,966900,0.0,1.0
2000-08-14,25.88,26.44,25.88,26.38,11.3806,826500,0.0,1.0
2000-08-15,26.13,26.69,26.0,26.63,11.4885,943400,0.0,1.0
2000-08-16,26.63,26.69,26.38,26.63,11.4885,764400,0.0,1.0
2000-08-17,26.63,26.63,26.13,26.19,11.2986,752300,0.0,1.0
