,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,82.75,85.5,82.38,84.75,24.64,5964700,0.0,1.0
2000-01-19,84.25,85.88,83.69,85.56,24.8755,6544400,0.0,1.0
2000-01-20,85.19,85.25,82.69,83.69,24.3318,4806700,0.0,1.0
2000-01-21,84.0,85.19,83.31,85.0,24.7126,7171800,0.0,1.0
2000-01-24,85.44,86.31,83.0,84.25,24.4946,6229700,0.0,1.0
2000-01-25,84.0,86.13,83.81,84.06,24.4394,5960800,0.0,1.0
2000-01-26,84.06,84.56,82.69,83.5,24.2765,4649000,0.0,1.0
2000-01-27,83.31,83.31,79.75,81.0,23.5497,5274200,0.0,1.0
2000-01-28,80.0,81.0,78.88,78.88,22.9333,5180500,0.0,1.0
2000-01-31,78.63,83.56,77.88,82.88,24.0963,7306100,0.0,1.0
2000-02-01,83.31,83.44,81.38,83.19,24.1864,5332700,0.0,1.0
2000-02-02,83.25,84.88,83.25,83.81,24.3667,5781400,0.0,1.0
2000-02-03,83.44,84.0,80.06,82.38,23.9509,5805400,0.0,1.0
2000-02-04,83.5,83.5,80.06,80.88,23.5148,5718100,0.0,1.0
2000-02-07,79.5,81.25,79.5,80.75,23.477,3550600,0.0,1.0
2000-02-08,81.0,81.88,78.69,78.94,22.9508,4686000,0.0,1.0
2000-02-09,76.75,77.31,76.0,76.25,22.2966,6204100,0.44,1.0
2000-02-10,76.25,77.69,75.31,75.88,22.1884,6737800,0.0,1.0
2000-02-11,76.0,76.69,72.69,73.88,21.6036,6232900,0.0,1.0
2000-02-14,74.5,76.94,74.44,76.44,22.3522,4876800,0.0,1.0
2000-02-15,77.75,80.56,77.44,79.31,23.1914,5391800,0.0,1.0
2000-02-16,79.0,80.38,78.38,80.0,23.3932,5132100,0.0,1.0
2000-02-17,79.0,79.0,77.31,77.88,22.7733,5839200,0.0,1.0
2000-02-18,77.31,77.38,75.0,75.0,21.9311,6900300,0.0,1.0
2000-02-22,76.25,76.94,74.5,75.44,22.0598,5427400,0.0,1.0
2000-02-23,74.13,75.81,73.13,74.63,21.8229,4440800,0.0,1.0
2000-02-24,72.69,73.44,71.5,72.81,21.2907,5393200,0.0,1.0
2000-02-25,72.56,74.38,70.0,71.06,20.779,5900300,0.0,1.0
2000-02-28,71.0,75.31,69.88,73.5,21.4925,5937600,0.0,1.0
2000-02-29,73.5,75.63,72.94,75.31,22.0217,5234600,0.0,1.0
2000-03-01,75.38,76.25,73.19,76.06,22.2411,4942300,0.0,1.0
2000-03-02,76.0,77.69,75.56,77.0,22.5159,4901100,0.0,1.0
2000-03-03,76.5,76.5,74.25,75.69,22.1329,5103900,0.0,1.0
2000-03-06,74.0,75.0,72.0,72.94,21.3287,5248700,0.0,1.0
2000-03-07,72.13,81.0,72.0,80.0,23.3932,11405800,0.0,1.0
2000-03-08,77.5,82.0,77.5,79.63,23.285,9990700,0.0,1.0
2000-03-09,78.0,80.56,77.44,80.44,23.5218,5453100,0.0,1.0
2000-03-10,80.0,80.19,76.31,77.03,22.5247,4715000,0.0,1.0
2000-03-13,76.5,77.94,74.38,75.88,22.1884,4733700,0.0,1.0
2000-03-14,75.13,78.0,74.63,77.25,22.589,4523800,0.0,1.0
2000-03-15,77.19,78.0,74.69,77.75,22.7352,5939900,0.0,1.0
2000-03-16,78.0,79.94,75.88,79.75,23.3201,5800400,0.0,1.0
2000-03-17,79.31,79.69,77.0,77.13,22.5539,7464600,0.0,1.0
2000-03-20,76.19,77.31,74.31,74.88,21.896,5342800,0.0,1.0
2000-03-21,75.75,77.75,75.63,77.0,22.5159,5440300,0.0,1.0
