,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,24.25,24.44,24.06,24.13,7.1758,180000,0.0,1.0
2000-01-19,24.0,24.25,23.94,24.0,7.1372,207400,0.0,1.0
2000-01-20,24.0,24.38,23.31,23.31,6.932,387800,0.0,1.0
2000-01-21,23.5,24.06,23.38,23.89,7.1044,647600,0.0,1.0
2000-01-24,23.94,24.5,23.88,24.38,7.2502,533267,0.0,1.0
2000-01-25,24.63,24.63,23.88,24.13,7.1758,493400,0.0,1.0
2000-01-26,24.0,24.38,23.88,24.38,7.2502,198200,0.0,1.0
2000-01-27,24.38,24.94,24.19,24.44,7.268,238400,0.0,1.0
2000-01-28,24.44,25.0,24.44,24.81,7.378,302600,0.0,1.0
2000-01-31,24.94,25.0,24.44,24.75,7.3602,451800,0.0,1.0
2000-02-01,24.75,25.13,24.38,25.0,7.4345,922400,0.0,1.0
2000-02-02,25.13,25.81,25.0,25.81,7.6754,432867,0.0,1.0
2000-02-03,25.69,26.0,25.55,25.94,7.7141,686267,0.0,1.0
2000-02-04,26.0,26.38,25.75,26.31,7.8241,348000,0.0,1.0
2000-02-07,26.5,26.63,26.31,26.5,7.8806,502800,0.0,1.0
2000-02-08,26.44,26.56,26.0,26.44,7.8628,140600,0.0,1.0
2000-02-09,26.56,26.63,25.88,26.13,7.7706,376667,0.0,1.0
2000-02-10,26.0,26.13,25.56,25.63,7.6219,341867,0.0,1.0
2000-02-11,25.5,25.63,25.0,25.38,7.5475,344067,0.0,1.0
2000-02-14,25.25,25.44,25.0,25.06,7.4524,251200,0.0,1.0
2000-02-15,25.19,25.25,24.63,24.88,7.3989,525400,0.0,1.0
2000-02-16,25.0,26.3,24.75,25.38,7.5475,516200,0.0,1.0
2000-02-17,25.81,26.13,24.56,24.97,7.4256,317667,0.0,1.0
2000-02-18,24.94,25.0,24.81,25.0,7.4345,371400,0.0,1.0
2000-02-22,25.06,25.38,24.75,25.25,7.5089,218667,0.0,1.0
2000-02-23,25.25,25.88,25.13,25.69,7.6397,255067,0.0,1.0
2000-02-24,25.75,25.81,25.06,25.19,7.491,399467,0.0,1.0
2000-02-25,25.02,25.63,25.0,25.5,7.5832,293267,0.0,1.0
