,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2011-10-13,23.5,24.27,23.0,24.25,21.5501,396800,0.0,1.0
2011-10-14,24.36,25.49,24.36,25.35,22.5276,402600,0.0,1.0
2011-10-17,25.5,25.8,25.16,25.16,22.3588,583400,0.0,1.0
2011-10-18,25.06,25.36,24.9,25.24,22.4299,423500,0.0,1.0
2011-10-19,25.25,25.35,24.75,24.75,21.9944,722200,0.0,1.0
2011-10-20,24.8,25.03,24.33,24.75,21.9944,549700,0.0,1.0
2011-10-21,25.0,25.75,24.95,25.54,22.6965,1764500,0.0,1.0
2011-10-24,25.5,25.85,25.5,25.77,22.9009,371300,0.0,1.0
2011-10-25,25.88,26.08,25.0,25.75,22.8831,546800,0.0,1.0
2011-10-26,26.09,26.09,24.86,25.02,22.2344,657300,0.0,1.0
2011-10-27,25.25,25.95,25.25,25.62,22.7676,405400,0.0,1.0
2011-10-28,25.5,25.82,25.25,25.82,22.9453,584700,0.0,1.0
2011-10-31,26.25,26.74,25.25,26.74,23.7629,15106000,0.0,1.0
2011-11-01,25.6,28.28,25.15,27.31,24.2694,6095200,0.0,1.0
2011-11-02,27.4,27.4,25.79,26.62,23.6562,2476700,0.0,1.0
2011-11-03,26.94,27.07,26.38,26.39,23.4518,1615000,0.0,1.0
2011-11-04,26.17,26.59,24.88,25.19,22.3854,1923300,0.0,1.0
2011-11-07,24.91,25.48,24.37,24.6,21.8611,2703500,0.0,1.0
2011-11-08,25.1,25.345,24.76,24.94,22.1633,2024100,0.0,1.0
2011-11-09,24.35,25.0,23.84,23.89,21.2302,1570900,0.0,1.0
2011-11-10,24.48,24.71,23.52,23.65,21.0169,1166000,0.0,1.0
2011-11-11,23.88,24.09,23.63,23.79,21.1413,1266200,0.0,1.0
2011-11-14,23.58,24.1,23.49,23.93,21.3556,1339000,0.1012,1.0
2011-11-15,23.94,24.365,23.82,23.99,21.4092,1657700,0.0,1.0
2011-11-16,23.95,24.6,23.78,24.12,21.5252,1804600,0.0,1.0
2011-11-17,24.0,24.19,23.66,23.85,21.2843,1279200,0.0,1.0
2011-11-18,23.88,24.14,23.72,23.93,21.3556,1426200,0.0,1.0
2011-11-21,23.7,23.81,23.34,23.62,21.079,1282100,0.0,1.0
2011-11-22,25.02,26.14,22.67,23.63,21.0879,2126400,0.0,1.0
2011-11-23,23.27,23.75,22.88,23.68,21.1325,1009700,0.0,1.0
2011-11-25,23.45,23.45,22.88,23.0,20.5257,991100,0.0,1.0
2011-11-28,23.66,24.181,23.14,23.49,20.963,1567300,0.0,1.0
2011-11-29,23.51,23.6,23.1666,23.27,20.7666,1222400,0.0,1.0
2011-11-30,24.06,24.195,23.33,23.9,21.3289,2320800,0.0,1.0
2011-12-01,23.81,24.36,23.65,24.27,21.6591,1046700,0.0,1.0
2011-12-02,25.48,25.48,24.22,24.25,21.6412,1208900,0.0,1.0
2011-12-05,24.57,25.15,24.41,25.09,22.3909,930900,0.0,1.0
2011-12-06,25.02,25.07,24.51,24.83,22.1588,662800,0.0,1.0
