,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,35.5,35.75,34.63,34.94,4.4345,1347500,0.0,1.0
2000-01-19,34.69,34.75,33.38,33.63,4.2683,1749400,0.0,1.0
2000-01-20,33.44,33.44,31.69,31.81,4.0373,1624600,0.0,1.0
2000-01-21,31.81,32.19,31.75,31.88,4.0462,1289900,0.0,1.0
2000-01-24,32.13,32.38,31.06,31.19,3.9586,1003100,0.0,1.0
2000-01-25,31.19,31.19,29.63,30.38,3.8558,1308600,0.0,1.0
2000-01-26,30.38,30.56,30.0,30.06,3.8152,817600,0.0,1.0
2000-01-27,30.13,30.56,30.0,30.13,3.824,975500,0.0,1.0
2000-01-28,30.38,30.38,28.75,28.88,3.6654,708600,0.0,1.0
2000-01-31,29.25,29.38,28.5,28.63,3.6337,508100,0.0,1.0
2000-02-01,29.38,32.25,29.38,30.75,3.9027,2220900,0.0,1.0
2000-02-02,30.0,30.44,28.44,28.94,3.673,1844200,0.0,1.0
2000-02-03,29.31,29.88,29.13,29.69,3.7682,744400,0.0,1.0
2000-02-04,29.69,29.75,29.31,29.63,3.7606,783800,0.0,1.0
2000-02-07,29.44,30.0,29.0,29.44,3.7365,759900,0.0,1.0
2000-02-08,29.44,29.94,29.38,29.88,3.7923,782700,0.0,1.0
2000-02-09,29.56,31.0,29.06,30.0,3.8075,968000,0.0,1.0
2000-02-10,30.0,30.69,26.94,28.5,3.6172,3407700,0.0,1.0
2000-02-11,27.13,28.38,26.88,27.94,3.5461,1376100,0.0,1.0
2000-02-14,28.38,28.38,27.5,28.06,3.5613,923600,0.0,1.0
2000-02-15,27.88,28.56,27.06,28.38,3.6019,860800,0.0,1.0
2000-02-16,28.25,28.63,27.69,27.94,3.5461,359400,0.0,1.0
2000-02-17,28.25,29.94,27.75,29.38,3.7289,944700,0.0,1.0
2000-02-18,29.0,29.0,27.94,28.0,3.5537,775100,0.0,1.0
2000-02-22,28.19,28.19,26.25,27.0,3.4268,860500,0.0,1.0
2000-02-23,27.13,27.5,26.81,26.81,3.4027,317100,0.0,1.0
2000-02-24,26.56,26.56,25.81,26.0,3.2999,768000,0.0,1.0
2000-02-25,26.0,26.19,25.75,25.88,3.2846,624900,0.0,1.0
2000-02-28,25.94,26.63,25.25,25.69,3.2605,586600,0.0,1.0
2000-02-29,26.06,27.0,26.0,26.63,3.3798,737800,0.0,1.0
2000-03-01,26.56,28.44,26.56,28.19,3.5778,915600,0.0,1.0
2000-03-02,28.06,28.13,27.31,27.69,3.5144,512200,0.0,1.0
2000-03-03,28.19,28.19,26.0,26.13,3.3164,859700,0.0,1.0
2000-03-06,26.63,27.94,26.13,27.69,3.5144,572200,0.0,1.0
2000-03-07,27.0,27.19,26.25,26.44,3.3557,665200,0.0,1.0
2000-03-08,26.5,26.88,26.0,26.44,3.3557,488700,0.0,1.0
2000-03-09,26.69,28.13,26.5,27.94,3.5461,626000,0.0,1.0
2000-03-10,27.88,28.25,27.5,27.75,3.522,448600,0.0,1.0
2000-03-13,27.31,28.13,27.25,27.5,3.4903,466600,0.0,1.0
2000-03-14,27.56,27.56,26.31,26.5,3.3633,811000,0.0,1.0
2000-03-15,26.75,29.0,26.44,28.5,3.6172,1724700,0.0,1.0
2000-03-16,27.75,33.0,27.56,32.88,4.1731,2112900,0.0,1.0
2000-03-17,32.88,32.88,31.25,31.25,3.9662,1386100,0.0,1.0
2000-03-20,30.75,31.25,29.81,30.13,3.824,679000,0.0,1.0
2000-03-21,30.13,31.06,30.13,30.69,3.8951,504300,0.0,1.0
2000-03-22,29.75,30.5,29.06,29.19,3.7047,563200,0.0,1.0
2000-03-23,28.94,29.31,28.19,29.19,3.7047,719000,0.0,1.0
2000-03-24,29.5,30.13,29.06,29.81,3.7834,520700,0.0,1.0
2000-03-27,29.94,30.31,29.69,29.69,3.7682,998900,0.0,1.0
2000-03-28,29.69,29.75,28.75,29.5,3.7441,634700,0.0,1.0
2000-03-29,29.31,29.63,29.0,29.0,3.6806,680000,0.0,1.0
2000-03-30,28.5,31.44,28.44,31.31,3.9738,1242800,0.0,1.0
2000-03-31,31.06,32.0,30.06,31.06,3.9421,689400,0.0,1.0
2000-04-03,31.19,31.44,29.5,30.31,3.8469,698300,0.0,1.0
2000-04-04,30.81,32.63,30.31,31.19,3.9586,1217200,0.0,1.0
2000-04-05,30.94,32.75,30.94,32.25,4.0931,1020400,0.0,1.0
2000-04-06,32.25,32.25,31.25,31.56,4.0055,1244900,0.0,1.0
2000-04-07,31.75,31.81,31.44,31.63,4.0144,497100,0.0,1.0
2000-04-10,31.38,32.19,31.31,31.56,4.0055,458200,0.0,1.0
2000-04-11,31.5,32.75,31.5,32.5,4.1248,408300,0.0,1.0
2000-04-12,32.75,34.25,32.63,32.88,4.1731,762100,0.0,1.0
2000-04-13,33.31,33.38,31.75,31.75,4.0297,583500,0.0,1.0
2000-04-14,31.5,31.5,28.75,30.5,3.871,1225200,0.0,1.0
2000-04-17,29.63,31.88,29.63,30.31,3.8469,754300,0.0,1.0
2000-04-18,30.13,30.75,30.0,30.25,3.8393,279600,0.0,1.0
2000-04-19,30.06,30.63,29.56,29.63,3.7606,375300,0.0,1.0
2000-04-20,29.38,32.38,29.38,32.06,4.069,654900,0.0,1.0
2000-04-24,31.19,33.13,31.19,33.06,4.1959,905900,0.0,1.0
2000-04-25,32.94,33.31,32.06,33.25,4.22,600900,0.0,1.0
2000-04-26,33.13,35.13,33.0,34.44,4.3711,1235500,0.0,1.0
2000-04-27,33.44,35.56,32.38,35.56,4.5132,1931600,0.0,1.0
2000-04-28,35.56,35.56,33.19,33.88,4.3,788800,0.0,1.0
2000-05-01,33.94,34.19,33.56,33.69,4.2759,671600,0.0,1.0
2000-05-02,33.63,34.38,33.63,33.81,4.2911,685500,0.0,1.0
2000-05-03,33.44,33.94,32.06,33.19,4.2124,441100,0.0,1.0
2000-05-04,33.0,33.5,30.25,31.06,3.9421,885700,0.0,1.0
2000-05-05,31.56,32.75,31.06,32.31,4.1007,485400,0.0,1.0
2000-05-08,32.0,32.19,31.13,31.38,3.9827,406700,0.0,1.0
2000-05-09,31.38,31.56,30.69,31.56,4.0055,675600,0.0,1.0
2000-05-10,31.44,31.88,31.38,31.63,4.0144,517200,0.0,1.0
2000-05-11,31.88,32.88,31.88,32.38,4.1096,433700,0.0,1.0
2000-05-12,32.31,32.44,31.0,31.25,3.9662,467900,0.0,1.0
2000-05-15,31.25,31.88,30.81,30.88,3.9192,374800,0.0,1.0
2000-05-16,31.0,33.38,30.94,32.38,4.1096,754500,0.0,1.0
2000-05-17,32.0,32.81,31.5,32.19,4.0855,335200,0.0,1.0
2000-05-18,32.25,33.0,32.13,32.38,4.1096,446700,0.0,1.0
2000-05-19,32.75,32.75,30.75,30.88,3.9192,653100,0.0,1.0
2000-05-22,31.0,31.06,30.5,30.88,3.9192,553700,0.0,1.0
2000-05-23,31.0,32.0,30.94,31.69,4.022,628300,0.0,1.0
2000-05-24,31.75,32.81,31.75,32.75,4.1566,710000,0.0,1.0
2000-05-25,32.5,33.25,31.19,31.25,3.9662,875700,0.0,1.0
2000-05-26,31.13,31.94,30.5,30.69,3.8951,772100,0.0,1.0
2000-05-30,30.5,30.63,29.06,29.88,3.7923,1109900,0.0,1.0
2000-05-31,30.0,30.0,29.25,29.31,3.72,1293700,0.0,1.0
2000-06-01,29.25,30.0,29.25,29.88,3.7923,365400,0.0,1.0
