,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,55.63,56.13,52.75,52.81,39.2733,476800,0.0,1.0
2000-01-19,52.75,54.63,52.63,53.38,39.6972,310400,0.0,1.0
2000-01-20,54.13,54.13,51.94,52.44,38.9981,368200,0.0,1.0
2000-01-21,53.13,53.31,50.28,52.88,39.3253,448900,0.0,1.0
2000-01-24,53.5,54.25,51.38,52.0,38.6709,573000,0.0,1.0
2000-01-25,51.81,53.88,51.38,53.69,39.9277,497200,0.0,1.0
2000-01-26,54.0,54.22,52.56,53.56,39.831,541500,0.0,1.0
2000-01-27,53.75,58.63,53.63,57.75,43.1627,967300,0.29,1.0
2000-01-28,57.25,57.25,54.88,56.13,41.9519,801400,0.0,1.0
2000-01-31,56.19,59.31,56.13,59.13,44.1941,440500,0.0,1.0
2000-02-01,58.88,60.0,58.56,59.75,44.6575,730800,0.0,1.0
2000-02-02,59.5,59.56,58.63,58.63,43.8204,655400,0.0,1.0
2000-02-03,58.56,59.5,57.13,57.94,43.3047,297300,0.0,1.0
2000-02-04,57.88,58.13,55.0,55.31,41.339,240400,0.0,1.0
2000-02-07,55.38,55.75,53.88,55.25,41.2942,384300,0.0,1.0
2000-02-08,55.06,58.44,55.0,58.06,43.3944,366000,0.0,1.0
2000-02-09,58.56,58.69,54.0,55.13,41.2045,935800,0.0,1.0
2000-02-10,55.44,56.5,54.75,54.94,41.0625,362500,0.0,1.0
2000-02-11,55.44,56.0,54.5,54.69,40.8756,448800,0.0,1.0
2000-02-14,54.69,55.23,54.06,54.13,40.4571,199400,0.0,1.0
2000-02-15,54.38,55.5,53.56,54.81,40.9653,412600,0.0,1.0
2000-02-16,54.75,54.81,54.25,54.44,40.6888,233900,0.0,1.0
2000-02-17,54.75,55.75,54.06,55.03,41.1297,439500,0.0,1.0
2000-02-18,55.0,55.12,49.62,49.88,37.2806,1174700,0.0,1.0
2000-02-22,50.06,51.19,48.88,51.13,38.2148,706100,0.0,1.0
2000-02-23,51.06,51.25,49.31,50.63,37.8411,433000,0.0,1.0
2000-02-24,50.78,51.56,50.44,50.88,38.028,821900,0.0,1.0
2000-02-25,50.88,50.88,49.88,50.0,37.3703,338300,0.0,1.0
2000-02-28,49.97,52.66,49.69,51.5,38.4914,1029200,0.0,1.0
2000-02-29,51.75,53.25,51.0,53.06,39.6573,415700,0.0,1.0
2000-03-01,53.0,53.19,50.5,50.69,37.886,786900,0.0,1.0
2000-03-02,50.69,52.25,50.69,51.44,38.4465,423300,0.0,1.0
2000-03-03,51.25,51.41,32.0,38.81,29.0068,14244100,0.0,1.0
2000-03-06,39.25,42.38,37.13,41.56,31.0622,3842200,0.0,1.0
2000-03-07,41.88,41.88,39.13,39.81,29.7542,1162600,0.0,1.0
2000-03-08,40.56,40.56,36.5,37.44,27.9829,1449300,0.0,1.0
2000-03-09,37.19,37.63,36.38,36.88,27.5643,862200,0.0,1.0
2000-03-10,36.94,39.75,36.06,37.25,27.8409,822100,0.0,1.0
2000-03-13,37.88,38.94,37.63,37.97,28.379,1970600,0.0,1.0
2000-03-14,38.34,38.63,36.0,36.44,27.2355,536200,0.0,1.0
2000-03-15,36.75,39.5,36.69,38.75,28.962,832300,0.0,1.0
2000-03-16,39.63,41.88,39.56,41.38,30.9276,1168300,0.0,1.0
2000-03-17,40.5,42.94,40.38,40.94,30.5988,1010300,0.0,1.0
2000-03-20,41.0,41.25,39.31,39.31,29.3805,542200,0.0,1.0
2000-03-21,39.25,42.63,38.63,42.25,31.5779,511800,0.0,1.0
2000-03-22,42.0,44.34,42.0,42.06,31.4359,529200,0.0,1.0
2000-03-23,41.75,44.0,41.5,44.0,32.8858,673600,0.0,1.0
2000-03-24,43.75,44.0,42.0,42.56,31.8096,579300,0.0,1.0
2000-03-27,42.59,42.69,38.81,39.44,29.4777,900300,0.0,1.0
2000-03-28,39.38,41.31,38.88,39.75,29.7094,796100,0.0,1.0
2000-03-29,39.69,40.88,38.88,39.52,29.5375,876000,0.0,1.0
2000-03-30,39.56,41.06,38.31,38.31,28.6331,1151400,0.0,1.0
2000-03-31,38.88,43.0,38.63,41.63,31.1145,1414100,0.0,1.0
2000-04-03,44.13,44.25,38.56,40.0,29.8962,3809900,0.0,1.0
2000-04-04,41.5,43.75,40.75,41.63,31.1145,2188000,0.0,1.0
2000-04-05,41.06,41.69,40.95,41.13,30.7408,668100,0.0,1.0
2000-04-06,41.56,42.81,41.38,42.5,31.7647,1571600,0.0,1.0
2000-04-07,42.5,42.63,40.25,40.63,30.3671,848400,0.0,1.0
2000-04-10,40.63,42.88,40.56,42.38,31.675,1062400,0.0,1.0
2000-04-11,42.06,46.0,42.0,45.13,33.7304,993300,0.0,1.0
2000-04-12,45.13,49.25,45.0,45.63,34.1041,1448900,0.0,1.0
2000-04-13,46.5,48.25,45.75,47.5,35.5018,2637700,0.0,1.0
2000-04-14,47.38,47.44,45.13,45.19,33.7753,1453900,0.0,1.0
2000-04-17,45.0,45.06,43.56,44.94,33.5884,1156300,0.0,1.0
2000-04-18,45.0,45.13,42.25,43.69,32.6541,485300,0.0,1.0
2000-04-19,43.81,43.81,39.88,40.88,30.5539,588900,0.0,1.0
2000-04-20,41.13,43.25,40.75,43.0,32.1384,1204700,0.0,1.0
2000-04-24,42.69,44.88,41.44,43.5,32.5121,373600,0.0,1.0
2000-04-25,43.69,46.5,43.5,44.63,33.3567,235200,0.0,1.0
2000-04-26,45.0,45.0,42.38,42.94,32.0936,309900,0.0,1.0
2000-04-27,42.38,42.5,40.88,41.44,30.9725,308400,0.0,1.0
2000-04-28,41.88,42.25,40.75,41.5,31.0173,224700,0.0,1.0
2000-05-01,41.44,42.44,41.13,41.75,31.2042,325500,0.0,1.0
2000-05-02,41.88,43.0,41.13,42.94,32.0936,605100,0.0,1.0
2000-05-03,42.88,43.0,40.5,40.69,30.4119,336100,0.0,1.0
2000-05-04,40.88,41.88,39.44,40.63,30.3671,533600,0.0,1.0
2000-05-05,40.44,41.0,40.0,40.75,30.4568,331300,0.0,1.0
2000-05-08,40.44,42.25,40.0,42.0,31.391,664400,0.0,1.0
2000-05-09,42.19,43.38,41.31,42.0,31.391,553000,0.0,1.0
2000-05-10,41.5,41.75,39.06,39.94,29.8514,312300,0.0,1.0
2000-05-11,40.19,42.0,40.13,41.25,30.98,654400,0.2,1.0
2000-05-12,41.06,42.38,40.56,41.88,31.4531,347700,0.0,1.0
2000-05-15,42.13,42.63,41.75,42.38,31.8286,415200,0.0,1.0
2000-05-16,43.0,43.06,41.69,41.94,31.4982,252800,0.0,1.0
2000-05-17,41.69,41.81,40.5,41.31,31.025,255600,0.0,1.0
2000-05-18,40.88,42.25,40.81,41.38,31.0776,230300,0.0,1.0
2000-05-19,40.88,42.0,40.75,41.41,31.1001,433000,0.0,1.0
