,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2013-02-01,31.5,31.74,30.47,31.01,29.4282,66789100,0.0,1.0
2013-02-04,31.09,31.99,30.76,31.02,29.4377,7695400,0.0,1.0
2013-02-05,31.25,31.98,30.85,31.04,29.4567,5013200,0.0,1.0
2013-02-06,30.98,31.43,30.75,31.03,29.4472,2126100,0.0,1.0
2013-02-07,31.0,32.73,31.0,32.0,30.3677,3800800,0.0,1.0
2013-02-08,32.31,33.48,32.3,33.05,31.3642,2599300,0.0,1.0
2013-02-11,33.06,33.5,32.88,33.26,31.5634,1487200,0.0,1.0
2013-02-12,33.4,34.0,33.15,33.74,32.019,1637300,0.0,1.0
2013-02-13,33.8,33.8,33.0,33.55,31.8386,1269700,0.0,1.0
2013-02-14,33.39,33.45,32.77,33.27,31.5729,2954500,0.0,1.0
2013-02-15,33.31,34.09,33.0,33.98,32.2467,5415400,0.0,1.0
2013-02-19,34.02,34.07,33.57,33.84,32.1139,1206900,0.0,1.0
2013-02-20,33.84,33.88,32.6,32.72,31.051,1842900,0.0,1.0
2013-02-21,32.5,32.8,31.86,32.56,30.8991,3242300,0.0,1.0
2013-02-22,32.78,32.93,32.5,32.59,30.9276,954500,0.0,1.0
2013-02-25,32.68,32.69,32.0,32.07,30.4341,818900,0.0,1.0
2013-02-26,32.05,32.4,31.99,32.04,30.4057,1048700,0.0,1.0
2013-02-27,32.0,33.05,32.0,32.32,30.6714,1343600,0.0,1.0
2013-02-28,32.56,33.55,32.56,33.45,31.7438,2991400,0.0,1.0
2013-03-01,33.36,34.7,33.15,34.6,32.8351,2334000,0.0,1.0
2013-03-04,34.8,34.89,34.235,34.35,32.5978,865400,0.0,1.0
2013-03-05,34.41,34.48,33.75,34.29,32.5409,1413400,0.0,1.0
2013-03-06,34.34,34.38,33.85,33.85,32.1233,802000,0.0,1.0
2013-03-07,33.95,34.68,33.56,34.56,32.7971,1320000,0.0,1.0
2013-03-08,34.03,34.69,33.8,34.09,32.3511,1541100,0.0,1.0
2013-03-11,33.97,34.26,33.25,34.18,32.4365,1729400,0.0,1.0
2013-03-12,34.12,34.245,33.6,33.82,32.0949,1557600,0.0,1.0
2013-03-13,33.9,34.06,33.08,34.0,32.2657,2240800,0.0,1.0
2013-03-14,34.33,35.42,34.2978,34.64,32.873,1865200,0.0,1.0
2013-03-15,34.7,34.84,33.31,33.44,31.7343,2692100,0.0,1.0
2013-03-18,32.75,32.94,32.64,32.84,31.1649,2372000,0.0,1.0
2013-03-19,32.8,33.42,32.3276,32.8,31.1269,1336200,0.0,1.0
2013-03-20,32.9,33.54,32.5,33.51,31.8007,1944000,0.0,1.0
2013-03-21,33.9,34.0,33.29,33.47,31.7627,514500,0.0,1.0
2013-03-22,33.55,33.75,32.735,33.12,31.4306,763300,0.0,1.0
2013-03-25,33.48,33.48,32.25,32.46,30.8042,1324600,0.0,1.0
2013-03-26,32.73,32.79,32.0,32.51,30.8517,1396500,0.0,1.0
2013-03-27,32.38,32.89,32.0601,32.74,31.07,1896800,0.0,1.0
2013-03-28,32.85,33.5,32.63,33.4,31.6963,7434900,0.0,1.0
2013-04-01,33.42,33.59,32.43,32.59,30.9276,1466300,0.0,1.0
2013-04-02,32.66,33.13,32.46,32.55,30.8897,712200,0.0,1.0
2013-04-03,32.67,32.98,32.36,32.53,30.8707,1409700,0.0,1.0
2013-04-04,32.41,32.5,31.71,31.84,30.2159,1946400,0.0,1.0
2013-04-05,31.73,32.07,30.57,31.96,30.3298,3963500,0.0,1.0
2013-04-08,31.95,32.98,31.77,32.92,31.2408,1965200,0.0,1.0
2013-04-09,33.05,33.5899,32.56,33.44,31.7343,2004400,0.0,1.0
2013-04-10,33.76,33.76,32.98,33.15,31.4591,969500,0.0,1.0
2013-04-11,33.22,33.24,32.87,33.16,31.4685,1826600,0.0,1.0
2013-04-12,32.97,33.35,32.6,33.23,31.535,723500,0.0,1.0
2013-04-15,33.07,33.23,32.17,32.24,30.5955,839500,0.0,1.0
2013-04-16,32.36,33.37,32.29,33.21,31.516,2271200,0.0,1.0
2013-04-17,32.98,33.23,32.17,32.89,31.2123,3140500,0.0,1.0
2013-04-18,33.1,33.1,32.38,32.47,30.8137,799900,0.0,1.0
2013-04-19,32.71,32.79,31.81,32.71,31.0415,2159300,0.0,1.0
2013-04-22,32.9,32.9,32.22,32.66,30.994,922100,0.0,1.0
2013-04-23,32.78,32.96,31.5,31.7,30.083,2731700,0.0,1.0
2013-04-24,31.63,31.69,30.42,30.62,29.0581,4149300,0.0,1.0
2013-04-25,30.93,31.99,30.75,31.55,29.9407,1520600,0.0,1.0
2013-04-26,31.61,32.68,31.61,32.64,30.9751,1421800,0.0,1.0
2013-04-29,32.95,32.95,32.17,32.66,31.0557,1711600,0.065,1.0
2013-04-30,33.68,34.74,32.93,33.02,31.398,3390300,0.0,1.0
2013-05-01,32.97,33.51,32.66,33.39,31.7499,1393100,0.0,1.0
2013-05-02,33.38,33.87,33.11,33.28,31.6453,696300,0.0,1.0
2013-05-03,33.62,33.64,33.0,33.21,31.5787,998400,0.0,1.0
2013-05-06,33.35,33.49,32.75,32.94,31.322,503700,0.0,1.0
2013-05-07,33.08,33.08,32.295,32.88,31.2649,700700,0.0,1.0
2013-05-08,33.0,33.44,32.72,33.26,31.6263,1034100,0.0,1.0
2013-05-09,33.31,33.67,33.28,33.55,31.902,977200,0.0,1.0
2013-05-10,33.54,33.61,32.97,33.18,31.5502,534100,0.0,1.0
2013-05-13,33.06,33.49,32.75,33.04,31.4171,438700,0.0,1.0
2013-05-14,33.13,33.75,32.85,33.08,31.4551,872300,0.0,1.0
2013-05-15,32.94,33.06,32.56,32.79,31.1793,563200,0.0,1.0
2013-05-16,33.48,33.8,33.16,33.39,31.7499,1278700,0.0,1.0
2013-05-17,33.35,33.9,33.1903,33.9,32.2348,962200,0.0,1.0
2013-05-20,33.9,34.0,33.6,33.71,32.0542,735700,0.0,1.0
2013-05-21,33.57,33.74,32.99,33.04,31.4171,1692400,0.0,1.0
2013-05-22,32.55,33.99,31.75,33.55,31.902,26006000,0.0,1.0
2013-05-23,33.25,33.8,32.71,32.84,31.2269,9008500,0.0,1.0
2013-05-24,33.2,33.62,32.53,33.46,31.8164,5911600,0.0,1.0
2013-05-28,33.8,34.28,33.5858,34.26,32.5771,4960300,0.0,1.0
2013-05-29,34.25,34.25,32.88,32.95,31.3315,3095700,0.0,1.0
2013-05-30,32.77,33.1,32.1,32.24,30.6564,3934100,0.0,1.0
2013-05-31,32.3,32.34,31.8,32.0,30.4282,6512400,0.0,1.0
2013-06-03,32.01,32.84,31.31,32.75,31.1413,3398000,0.0,1.0
2013-06-04,32.83,32.99,31.84,32.4,30.8085,4513400,0.0,1.0
2013-06-05,32.42,32.42,31.75,32.17,30.5898,3522300,0.0,1.0
2013-06-06,32.17,32.3093,31.54,32.08,30.5042,2918200,0.0,1.0
2013-06-07,32.26,32.335,31.21,31.5,29.9527,5134200,0.0,1.0
2013-06-10,31.83,32.11,31.47,32.01,30.4377,4992100,0.0,1.0
2013-06-11,31.7,32.02,31.4,31.7,30.1429,6367500,0.0,1.0
2013-06-12,31.95,32.03,31.4,31.53,29.9812,7648500,0.0,1.0
2013-06-13,31.47,31.55,30.87,31.17,29.6389,5849800,0.0,1.0
2013-06-14,31.0,31.26,30.6133,30.8,29.2871,10665000,0.0,1.0
2013-06-17,31.4,31.76,30.71,30.96,29.4392,26785600,0.0,1.0
2013-06-18,31.33,31.39,30.95,31.18,29.6484,24286200,0.0,1.0
2013-06-19,31.06,31.24,30.82,31.0,29.4773,23483400,0.0,1.0
2013-06-20,30.89,31.04,30.05,30.19,28.7071,14938500,0.0,1.0
2013-06-21,30.55,31.09,30.34,30.6,29.0969,33694200,0.0,1.0
2013-06-24,30.15,30.5,29.4,30.38,28.8877,40766000,0.0,1.0
2013-06-25,30.8,31.62,30.5,31.49,29.9432,13511100,0.0,1.0
2013-06-26,31.8,31.9,30.92,30.97,29.4487,23779700,0.0,1.0
2013-06-27,31.46,31.51,30.79,30.87,29.3537,16734600,0.0,1.0
2013-06-28,30.9,31.39,30.54,30.89,29.3727,19415100,0.0,1.0
2013-07-01,31.02,31.06,30.13,30.61,29.1064,17601000,0.0,1.0
2013-07-02,30.22,30.83,29.62,29.7,28.2411,11157300,0.0,1.0
2013-07-03,29.65,29.74,28.97,29.28,27.8418,12930000,0.0,1.0
2013-07-05,29.81,30.18,29.78,30.17,28.688,10819200,0.0,1.0
2013-07-08,30.45,30.97,30.22,30.94,29.4202,15675100,0.0,1.0
2013-07-09,31.12,31.4,30.94,30.98,29.4583,8704800,0.0,1.0
2013-07-10,31.08,31.24,30.47,31.04,29.5153,6506200,0.0,1.0
2013-07-11,31.43,31.45,30.84,30.92,29.4012,4486900,0.0,1.0
2013-07-12,31.02,31.38,31.01,31.35,29.8101,5429400,0.0,1.0
2013-07-15,31.31,31.65,31.1,31.58,30.0288,4201900,0.0,1.0
2013-07-16,31.56,31.65,31.1,31.16,29.6294,4301200,0.0,1.0
2013-07-17,31.23,31.23,30.85,30.99,29.4678,3545800,0.0,1.0
2013-07-18,31.11,31.2,30.77,30.82,29.3061,4053700,0.0,1.0
2013-07-19,30.79,30.8,30.12,30.24,28.7546,8946200,0.0,1.0
2013-07-22,30.36,30.59,30.16,30.27,28.7831,4255800,0.0,1.0
2013-07-23,30.41,30.44,29.76,30.06,28.5834,5091800,0.0,1.0
2013-07-24,30.13,30.55,29.66,29.9,28.4313,4890100,0.0,1.0
2013-07-25,29.88,30.55,29.71,30.52,29.0208,5472900,0.0,1.0
2013-07-26,30.4,30.53,30.0,30.43,28.9353,5051600,0.0,1.0
2013-07-29,30.27,30.54,29.98,30.09,28.612,4123600,0.0,1.0
2013-07-30,30.15,30.32,29.89,30.04,28.6262,4630100,0.065,1.0
2013-07-31,30.0,30.19,29.8,29.81,28.4071,5375100,0.0,1.0
2013-08-01,29.97,30.21,29.46,30.16,28.7406,8105500,0.0,1.0
2013-08-02,30.12,30.96,29.91,30.94,29.4839,5187500,0.0,1.0
2013-08-05,30.47,31.39,30.47,31.25,29.7793,7283300,0.0,1.0
2013-08-06,31.68,32.5,31.09,31.13,29.6649,12471200,0.0,1.0
2013-08-07,31.1,31.4,30.65,31.24,29.7698,5920100,0.0,1.0
2013-08-08,31.4,31.83,31.18,31.24,29.7698,7161900,0.0,1.0
2013-08-09,31.14,31.24,30.78,30.91,29.4553,2784100,0.0,1.0
2013-08-12,30.68,30.99,30.04,30.33,28.9026,5793700,0.0,1.0
2013-08-13,30.5,30.75,30.2,30.45,29.0169,3116200,0.0,1.0
2013-08-14,30.5,30.63,30.08,30.14,28.7215,3858200,0.0,1.0
2013-08-15,29.94,30.16,29.79,30.02,28.6072,5818900,0.0,1.0
2013-08-16,29.94,30.2,29.75,30.0,28.5881,3678800,0.0,1.0
2013-08-19,29.91,30.3,29.84,29.87,28.4642,2480600,0.0,1.0
2013-08-20,29.86,30.41,29.71,30.23,28.8073,3804100,0.0,1.0
2013-08-21,30.07,30.19,29.6,29.85,28.4452,3531400,0.0,1.0
2013-08-22,29.83,30.01,29.57,29.87,28.4642,3030800,0.0,1.0
2013-08-23,29.88,30.23,29.64,30.2,28.7787,2531600,0.0,1.0
2013-08-26,30.16,30.16,29.65,29.8,28.3975,7179000,0.0,1.0
2013-08-27,29.53,29.67,29.0,29.2,27.8258,8103500,0.0,1.0
2013-08-28,29.07,29.83,28.81,29.57,28.1784,7067300,0.0,1.0
2013-08-29,29.43,29.61,29.22,29.47,28.0831,1590600,0.0,1.0
2013-08-30,29.45,29.5,29.04,29.15,27.7781,2296300,0.0,1.0
2013-09-03,29.46,29.775,29.19,29.43,28.0449,2052100,0.0,1.0
2013-09-04,29.45,29.71,29.35,29.69,28.2927,3187200,0.0,1.0
2013-09-05,29.72,30.49,29.66,30.33,28.9026,5688100,0.0,1.0
2013-09-06,30.45,30.95,29.97,30.61,29.1694,5245900,0.0,1.0
2013-09-09,30.64,31.0,30.355,30.59,29.1503,2723800,0.0,1.0
2013-09-10,31.33,31.82,30.86,30.95,29.4934,5024400,0.0,1.0
2013-09-11,31.36,31.46,30.89,31.33,29.8555,6367900,0.0,1.0
2013-09-12,31.36,31.39,30.82,31.08,29.6173,2881300,0.0,1.0
2013-09-13,31.07,31.3,30.91,31.05,29.5887,3087300,0.0,1.0
2013-09-16,31.44,32.18,31.39,31.85,30.3511,7069200,0.0,1.0
2013-09-17,32.01,32.515,31.98,32.38,30.8561,4616300,0.0,1.0
2013-09-18,32.28,32.73,31.96,32.72,31.1801,3913200,0.0,1.0
2013-09-19,32.8,32.9,32.155,32.51,30.98,4128700,0.0,1.0
2013-09-20,32.68,32.75,31.87,32.19,30.675,11372300,0.0,1.0
2013-09-23,32.19,32.19,31.35,31.58,30.0938,3322100,0.0,1.0
2013-09-24,31.62,31.665,31.21,31.48,29.9985,2212100,0.0,1.0
2013-09-25,31.48,31.59,31.03,31.06,29.5982,3165800,0.0,1.0
2013-09-26,31.22,31.64,31.2,31.58,30.0938,2289100,0.0,1.0
2013-09-27,31.56,31.6,31.05,31.15,29.684,2391000,0.0,1.0
2013-09-30,31.1,31.32,30.9279,31.12,29.6554,2890400,0.0,1.0
2013-10-01,31.12,32.04,31.01,31.78,30.2843,3263200,0.0,1.0
2013-10-02,31.67,32.13,31.43,32.0,30.494,3071500,0.0,1.0
2013-10-03,31.79,31.82,31.34,31.48,29.9985,2520500,0.0,1.0
2013-10-04,32.29,32.56,31.64,32.05,30.5416,5795500,0.0,1.0
2013-10-07,31.7,32.38,31.59,31.93,30.4273,4420200,0.0,1.0
2013-10-08,31.86,32.0887,31.46,31.53,30.0461,4152500,0.0,1.0
2013-10-09,31.73,31.73,31.08,31.43,29.9508,3379900,0.0,1.0
2013-10-10,31.78,32.36,31.47,32.36,30.837,4397600,0.0,1.0
2013-10-11,32.44,32.77,32.03,32.4,30.8752,6164800,0.0,1.0
2013-10-14,32.03,32.46,31.86,32.29,30.7703,2527800,0.0,1.0
2013-10-15,32.22,32.42,32.0,32.07,30.5607,2326600,0.0,1.0
2013-10-16,32.26,32.965,32.26,32.89,31.3421,3625900,0.0,1.0
2013-10-17,32.83,33.19,32.77,33.03,31.4755,2891500,0.0,1.0
2013-10-18,33.16,33.2997,32.85,33.22,31.6566,3979400,0.0,1.0
2013-10-21,33.16,33.34,32.62,32.77,31.2278,2677800,0.0,1.0
2013-10-22,32.92,33.0,32.26,32.51,30.98,3084600,0.0,1.0
2013-10-23,32.48,32.9,32.48,32.6,31.0658,2817700,0.0,1.0
2013-10-24,32.75,32.8899,32.5,32.74,31.1992,2351500,0.0,1.0
2013-10-25,32.8,32.8,32.35,32.47,30.9419,1480800,0.0,1.0
2013-10-28,32.53,32.53,31.94,31.98,30.4749,3636400,0.0,1.0
2013-10-29,31.99,32.3,31.92,32.03,30.5226,2912000,0.0,1.0
2013-10-30,32.17,32.61,31.95,32.06,30.6131,4398600,0.065,1.0
2013-10-31,32.0,32.28,31.66,31.66,30.2312,4241700,0.0,1.0
2013-11-01,31.77,31.93,31.38,31.84,30.403,5890500,0.0,1.0
2013-11-04,31.84,31.985,31.52,31.93,30.489,3838900,0.0,1.0
2013-11-05,31.9,31.965,31.26,31.69,30.2598,6642200,0.0,1.0
2013-11-06,32.08,32.18,30.89,31.27,29.8588,6722800,0.0,1.0
2013-11-07,31.38,31.53,30.86,31.04,29.6391,5204600,0.0,1.0
2013-11-08,31.17,31.63,30.96,31.59,30.1643,4664000,0.0,1.0
2013-11-11,31.7,32.0,31.62,31.77,30.3362,3078700,0.0,1.0
2013-11-12,31.75,31.98,31.45,31.84,30.403,3204200,0.0,1.0
2013-11-13,31.65,31.81,31.28,31.72,30.2885,4179800,0.0,1.0
2013-11-14,31.93,32.18,31.48,31.68,30.2503,2945000,0.0,1.0
2013-11-15,31.69,31.87,31.41,31.81,30.3744,3601700,0.0,1.0
2013-11-18,31.84,31.96,31.46,31.62,30.193,2927500,0.0,1.0
2013-11-19,31.66,31.95,31.2,31.42,30.002,2571200,0.0,1.0
2013-11-20,31.42,31.82,31.21,31.37,29.9542,2374400,0.0,1.0
2013-11-21,31.49,31.72,31.32,31.58,30.1548,4425000,0.0,1.0
2013-11-22,31.64,31.73,31.245,31.36,29.9447,3850500,0.0,1.0
2013-11-25,31.41,31.42,31.06,31.29,29.8779,4719800,0.0,1.0
2013-11-26,31.46,31.92,31.39,31.42,30.002,4398400,0.0,1.0
2013-11-27,31.45,31.547,31.1,31.28,29.8683,1783200,0.0,1.0
2013-11-29,31.29,31.45,31.08,31.15,29.7442,1058600,0.0,1.0
2013-12-02,31.31,31.6,31.09,31.15,29.7442,4065200,0.0,1.0
2013-12-03,31.13,31.24,30.89,31.09,29.6869,5514800,0.0,1.0
2013-12-04,31.07,31.335,30.96,31.21,29.8015,3196400,0.0,1.0
2013-12-05,31.2,31.705,30.995,31.44,30.0211,6498000,0.0,1.0
2013-12-06,31.62,31.69,31.3,31.54,30.1166,3263700,0.0,1.0
2013-12-09,31.56,31.94,31.39,31.75,30.3171,3073800,0.0,1.0
2013-12-10,31.62,31.62,31.2,31.36,29.9447,2941900,0.0,1.0
2013-12-11,31.43,31.54,30.76,31.09,29.6869,4436300,0.0,1.0
2013-12-12,30.98,31.41,30.98,31.17,29.7633,3603500,0.0,1.0
2013-12-13,31.31,31.89,31.23,31.58,30.1548,3286500,0.0,1.0
2013-12-16,31.67,32.0,31.55,32.0,30.5558,2635600,0.0,1.0
2013-12-17,31.91,31.97,31.32,31.64,30.2121,2629700,0.0,1.0
2013-12-18,31.61,32.2,31.3,32.17,30.7181,3684400,0.0,1.0
2013-12-19,32.14,32.37,31.66,32.31,30.8518,3447300,0.0,1.0
2013-12-20,32.33,32.69,32.26,32.38,30.9187,3681000,0.0,1.0
2013-12-23,32.61,32.64,32.16,32.37,30.9091,2219800,0.0,1.0
2013-12-24,32.3,32.48,32.07,32.37,30.9091,624300,0.0,1.0
2013-12-26,32.5,32.78,32.4,32.59,31.1192,1504700,0.0,1.0
2013-12-27,32.69,32.77,32.47,32.67,31.1956,1322400,0.0,1.0
2013-12-30,32.74,32.84,32.54,32.67,31.1956,1803600,0.0,1.0
2013-12-31,32.8,32.81,32.46,32.69,31.2147,2270400,0.0,1.0
2014-01-02,32.53,32.66,32.11,32.36,30.8996,2576100,0.0,1.0
2014-01-03,32.34,32.5,32.02,32.05,30.6036,2524900,0.0,1.0
2014-01-06,32.3,32.73,31.85,31.98,30.5367,2763200,0.0,1.0
2014-01-07,32.19,32.45,31.95,32.1,30.6513,2338200,0.0,1.0
2014-01-08,31.71,32.09,31.51,31.74,30.3076,3965900,0.0,1.0
2014-01-09,31.83,31.97,31.53,31.96,30.5176,2303300,0.0,1.0
2014-01-10,31.9,32.56,31.86,32.54,31.0714,2999900,0.0,1.0
2014-01-13,32.39,32.42,31.69,31.78,30.3457,4042800,0.0,1.0
2014-01-14,31.94,31.99,31.645,31.85,30.4126,2334500,0.0,1.0
2014-01-15,31.89,31.96,31.68,31.81,30.3744,2916300,0.0,1.0
2014-01-16,31.85,32.08,31.71,32.0,30.5558,1960400,0.0,1.0
2014-01-17,31.91,32.09,31.63,31.73,30.298,2502500,0.0,1.0
2014-01-21,31.98,32.09,31.26,31.27,29.8588,5681900,0.0,1.0
2014-01-22,31.42,31.67,31.26,31.46,30.0402,5693600,0.0,1.0
2014-01-23,31.46,31.83,31.4,31.74,30.3076,3263800,0.0,1.0
2014-01-24,31.51,31.67,31.295,31.46,30.0402,4520900,0.0,1.0
2014-01-27,31.53,31.62,31.26,31.36,29.9447,6934000,0.0,1.0
2014-01-28,31.32,31.62,31.19,31.44,30.0898,4203400,0.072,1.0
2014-01-29,31.27,31.45,30.72,30.78,29.4582,3152000,0.0,1.0
2014-01-30,31.07,31.33,30.59,30.67,29.3529,4700400,0.0,1.0
2014-01-31,30.39,30.54,30.07,30.36,29.0562,5302200,0.0,1.0
2014-02-03,30.4,30.5525,30.14,30.37,29.0658,6569400,0.0,1.0
2014-02-04,30.56,30.75,30.135,30.23,28.9318,3657300,0.0,1.0
2014-02-05,30.1,30.43,29.95,30.13,28.8361,3758700,0.0,1.0
2014-02-06,30.09,30.24,30.0,30.05,28.7595,3327100,0.0,1.0
2014-02-07,30.11,30.8,30.11,30.7,29.3816,4130100,0.0,1.0
2014-02-10,30.78,31.53,30.78,31.14,29.8027,6339700,0.0,1.0
2014-02-11,29.63,29.75,28.77,29.13,27.879,29137200,0.0,1.0
2014-02-12,29.2,30.1325,29.13,30.0,28.7117,14394200,0.0,1.0
2014-02-13,29.93,30.17,29.56,29.67,28.3959,7891600,0.0,1.0
2014-02-14,29.66,30.0,29.55,29.88,28.5968,5571100,0.0,1.0
2014-02-18,29.91,30.59,29.88,30.27,28.9701,6087800,0.0,1.0
2014-02-19,30.04,30.16,29.63,29.75,28.4724,6169900,0.0,1.0
2014-02-20,29.74,30.17,29.64,29.97,28.683,4699300,0.0,1.0
2014-02-21,29.99,30.03,29.53,29.61,28.3384,3235700,0.0,1.0
2014-02-24,29.78,30.07,29.62,29.7,28.4246,3105500,0.0,1.0
2014-02-25,29.56,30.38,29.55,30.13,28.8361,4412600,0.0,1.0
2014-02-26,30.04,30.45,30.0,30.4,29.0945,3647400,0.0,1.0
2014-02-27,30.4,30.74,30.35,30.72,29.4008,3778000,0.0,1.0
2014-02-28,30.75,31.02,30.6323,31.02,29.6879,5186800,0.0,1.0
2014-03-03,30.88,31.18,30.79,30.99,29.6592,3534700,0.0,1.0
2014-03-04,31.23,31.3,30.8,30.89,29.5635,5501800,0.0,1.0
2014-03-05,31.0,31.14,30.589,30.72,29.4008,4399200,0.0,1.0
2014-03-06,30.82,31.05,30.67,30.78,29.4582,3617500,0.0,1.0
2014-03-07,30.88,30.99,30.47,30.58,29.2668,4421500,0.0,1.0
2014-03-10,30.62,30.64,30.2,30.35,29.0466,3902900,0.0,1.0
2014-03-11,30.47,30.63,30.08,30.28,28.9797,2641400,0.0,1.0
2014-03-12,30.07,30.24,29.65,29.7,28.4246,4363300,0.0,1.0
2014-03-13,29.72,29.7799,29.06,29.25,27.9939,4090900,0.0,1.0
2014-03-14,29.25,29.82,29.23,29.42,28.1566,4021900,0.0,1.0
2014-03-17,29.48,29.61,29.32,29.38,28.1183,3837100,0.0,1.0
2014-03-18,29.42,29.48,29.25,29.28,28.0226,5453400,0.0,1.0
2014-03-19,29.31,30.11,29.27,29.91,28.6255,5692400,0.0,1.0
2014-03-20,29.81,30.11,29.67,30.09,28.7978,3672400,0.0,1.0
2014-03-21,30.37,30.43,29.19,29.26,28.0035,9668600,0.0,1.0
2014-03-24,29.32,29.38,28.97,29.14,27.8886,4632800,0.0,1.0
2014-03-25,29.27,29.38,29.11,29.26,28.0035,3182000,0.0,1.0
2014-03-26,29.41,29.45,29.16,29.21,27.9556,3914800,0.0,1.0
2014-03-27,29.21,29.395,29.08,29.3,28.0417,2984200,0.0,1.0
2014-03-28,29.46,29.51,28.91,29.01,27.7642,6398900,0.0,1.0
2014-03-31,29.07,29.14,28.66,28.94,27.6972,8689200,0.0,1.0
2014-04-01,28.97,29.39,28.97,29.35,28.0896,3658000,0.0,1.0
2014-04-02,29.28,29.7,29.14,29.62,28.348,2341200,0.0,1.0
2014-04-03,29.71,29.71,29.385,29.62,28.348,2896500,0.0,1.0
2014-04-04,29.64,30.005,29.21,29.32,28.0609,4963400,0.0,1.0
2014-04-07,29.25,29.32,28.85,29.0,27.7546,4073700,0.0,1.0
2014-04-08,28.9,29.22,28.68,29.15,27.8982,4744600,0.0,1.0
2014-04-09,29.22,29.22,28.77,29.06,27.812,3631300,0.0,1.0
2014-04-10,28.99,29.22,28.8,28.86,27.6206,5372600,0.0,1.0
2014-04-11,28.76,28.87,28.28,28.4,27.1804,3185500,0.0,1.0
2014-04-14,28.48,28.78,28.26,28.48,27.257,2559900,0.0,1.0
2014-04-15,28.57,28.57,28.135,28.55,27.3239,3231600,0.0,1.0
