Symbol,Company Name,GICS Sector,GICS Sub Industry,HQ Location,Date First Added,CIK
MMM,3M Company,Industrials,Industrial Conglomerates,"St. Paul, Minnesota",,0000066740
ABT,Abbott Laboratories,Health Care,Health Care Equipment,"North Chicago, Illinois",3/31/1964,0000001800
ABBV,AbbVie Inc.,Health Care,Pharmaceuticals,"North Chicago, Illinois",12/31/2012,0001551152
ABMD,ABIOMED Inc,Health Care,Health Care Equipment,"Danvers, Massachusetts",5/31/2018,0000815094
ACN,Accenture plc,Information Technology,IT Consulting & Other Services,"Dublin, Ireland",7/6/2011,0001467373
ATVI,Activision Blizzard,Communication Services,Interactive Home Entertainment,"Santa Monica, California",8/31/2015,0000718877
ADBE,Adobe Systems Inc,Information Technology,Application Software,"San Jose, California",5/5/1997,0000796343
AMD,Advanced Micro Devices Inc,Information Technology,Semiconductors,"Santa Clara, California",3/20/2017,0000002488
AAP,Advance Auto Parts,Consumer Discretionary,Automotive Retail,"Raleigh, North Carolina",7/9/2015,0001158449
AES,AES Corp,Utilities,Independent Power Producers & Energy Traders,"Arlington, Virginia",10/2/1998,0000874761
AFL,AFLAC Inc,Financials,Life & Health Insurance,"Columbus, Georgia",5/28/1999,0000004977
A,Agilent Technologies Inc,Health Care,Health Care Equipment,"Santa Clara, California",6/5/2000,0001090872
APD,Air Products & Chemicals Inc,Materials,Industrial Gases,"Allentown, Pennsylvania",4/30/1985,0000002969
AKAM,Akamai Technologies Inc,Information Technology,Internet Services & Infrastructure,"Cambridge, Massachusetts",7/12/2007,0001086222
ALK,Alaska Air Group Inc,Industrials,Airlines,"Seattle, Washington",5/13/2016,0000766421
ALB,Albemarle Corp,Materials,Specialty Chemicals,"Charlotte, North Carolina",7/1/2016,0000915913
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,"Pasadena, California",3/20/2017,0001035443
ALXN,Alexion Pharmaceuticals,Health Care,Biotechnology,"Boston, Massachusetts",5/25/2012,0000899866
ALGN,Align Technology,Health Care,Health Care Supplies,"San Jose, California",6/19/2017,0001097149
ALLE,Allegion,Industrials,Building Products,"Dublin, Ireland",12/2/2013,0001579241
AGN,"Allergan, plc",Health Care,Pharmaceuticals,"Dublin, Ireland",4/12/1999,0001578845
ADS,Alliance Data Systems,Information Technology,Data Processing & Outsourced Services,"Plano, Texas",12/23/2013,0001101215
LNT,Alliant Energy Corp,Utilities,Electric Utilities,"Madison, Wisconsin",7/1/2016,0000352541
ALL,Allstate Corp,Financials,Property & Casualty Insurance,"Northfield Township, Illinois",7/13/1995,0000899051
GOOGL,Alphabet Inc Class A,Communication Services,Interactive Media & Services,"Mountain View, California",4/3/2014,0001652044
GOOG,Alphabet Inc Class C,Communication Services,Interactive Media & Services,"Mountain View, California",4/3/2006,0001652044
MO,Altria Group Inc,Consumer Staples,Tobacco,"Richmond, Virginia",,0000764180
